ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cases_active
KI,KIR,Kiribati,2020-08-26,2020-04-26,100,3,66,0.04,0.0384072934108425,0.023363883864263,0.000151825808110309,0.04,0.0384072934108425,0.023363883864263,0.000151825808110309,0.0477652043674559,0.00627427896570755,5,2,0.0385262325333805,0.0376742626517408,0.0231433485086175,0.000150855112652759,0.0385262325333805,0.0376742626517408,0.0231433485086175,0.000150855112652759,0.0473968837044736,0.00622724061689915,0.0385262325333805
KI,KIR,Kiribati,2020-08-29,2020-05-03,100,1,66,0.04,0.0384072934108425,0.0233872712862853,0.000151975967166252,0.04,0.0384072934108425,0.0233872712862853,0.000151975967166252,0.0472460173634618,0.00620777192140768,5,2,0.0375265956726193,0.0371766908464638,0.0230490948050976,0.00015055609277854,0.0375265956726193,0.0371766908464638,0.0230490948050976,0.00015055609277854,0.0473249102638686,0.0062187385807332,0.0375265956726193
KI,KIR,Kiribati,2020-09-01,2020-05-04,100,1,66,0.04,0.0384072934108425,0.0232868659406881,0.000151331288280024,0.04,0.0384072934108425,0.0232868659406881,0.000151331288280024,0.0472460173634618,0.00620777192140768,5,2,0.0360761693382344,0.0364538864142812,0.0229569892684938,0.000150412389852182,0.0360761693382344,0.0364538864142812,0.0229569892684938,0.000150412389852182,0.0472137277251301,0.00620786900796626,0.0360761693382344
KI,KIR,Kiribati,2020-09-02,2020-05-12,100,1,66,0.04,0.0384072934108425,0.0229809188082688,0.000149366458346421,0.04,0.0384072934108425,0.0229809188082688,0.000149366458346421,0.0472460173634618,0.00620777192140768,5,2,0.0354977135889928,0.0361652521700791,0.0229301612177471,0.000150419367635573,0.0354977135889928,0.0361652521700791,0.0229301612177471,0.000150419367635573,0.047151044188949,0.00620247260097054,0.0354977135889928
KI,KIR,Kiribati,2020-09-03,2020-05-16,100,3,65,0.03,0.0334344809563718,0.0220038940153091,0.000146079979350787,0.03,0.0334344809563718,0.0220038940153091,0.000146079979350787,0.0472460173634618,0.00620777192140768,5,2,0.034885623373393,0.0358595483843927,0.0229060365119453,0.000150454339337388,0.034885623373393,0.0358595483843927,0.0229060365119453,0.000150454339337388,0.0470634581802715,0.00619528352307312,0.034885623373393
KI,KIR,Kiribati,2020-09-08,2020-05-17,100,1,65,0.03,0.0334344809563718,0.022728681241229,0.000150835791321376,0.03,0.0334344809563718,0.022728681241229,0.000150835791321376,0.0472460173634618,0.00620777192140768,5,2,0.0319302323635373,0.0343762858156887,0.0228060935938629,0.000150725430388822,0.0319302323635373,0.0343762858156887,0.0228060935938629,0.000150725430388822,0.0457884820499373,0.00609776608854285,0.0319302323635373
KI,KIR,Kiribati,2020-09-09,2020-05-18,100,1,65,0.03,0.0334344809563718,0.0230662958144287,0.000153049880702229,0.03,0.0334344809563718,0.0230662958144287,0.000153049880702229,0.0472460173634618,0.00620777192140768,5,2,0.03148176177976,0.0341490976799903,0.0227803029715876,0.000150695445350263,0.03148176177976,0.0341490976799903,0.0227803029715876,0.000150695445350263,0.0452506872162888,0.00605735746266628,0.03148176177976
KI,KIR,Kiribati,2020-09-10,2020-05-19,100,1,65,0.03,0.0334344809563718,0.0231199377531547,0.00015340159491482,0.03,0.0334344809563718,0.0231199377531547,0.00015340159491482,0.0472460173634618,0.00620777192140768,5,2,0.0311034912446327,0.0339564401420265,0.0227484209923189,0.000150603093926188,0.0311034912446327,0.0339564401420265,0.0227484209923189,0.000150603093926188,0.0445792884531233,0.0060070691021427,0.0311034912446327
KI,KIR,Kiribati,2020-09-13,2020-05-20,100,1,65,0.03,0.0334344809563718,0.0231709466324228,0.000153736026705231,0.03,0.0334344809563718,0.0231709466324228,0.000153736026705231,0.0472460173634618,0.00620777192140768,5,2,0.0303585328484485,0.0335710057525288,0.022604626797165,0.000149886351363993,0.0303585328484485,0.0335710057525288,0.022604626797165,0.000149886351363993,0.0416575121799806,0.00578918398036032,0.0303585328484485
KI,KIR,Kiribati,2020-09-14,2020-05-22,101,2,65,0.0297029702970297,0.0331085145091172,0.0223789758660197,0.000148541589147026,0.0297029702970297,0.0331085145091172,0.0223789758660197,0.000148541589147026,0.0467379956713816,0.00614265870664502,5,2,0.0302151669707056,0.0334946209395311,0.0225397408934152,0.000149503047934774,0.0302151669707056,0.0334946209395311,0.0225397408934152,0.000149503047934774,0.0403783341245841,0.00569405704451403,0.0302151669707056
KI,KIR,Kiribati,2020-09-17,2020-05-27,100,1,65,0.03,0.0334344809563718,0.0218619385211779,0.000145148094740368,0.03,0.0334344809563718,0.0218619385211779,0.000145148094740368,0.0249601601165459,0.00456454641149989,5,2,0.0299789512532343,0.0333631054693947,0.022308845469681,0.000148054943111867,0.0299789512532343,0.0333631054693947,0.022308845469681,0.000148054943111867,0.0358753043779859,0.00535990863075607,0.0299789512532343
KI,KIR,Kiribati,2020-09-20,2020-05-27,101,1,66,0.0297029702970297,0.0331085145091172,0.021687001641624,0.000143999510505284,0.0297029702970297,0.0331085145091172,0.021687001641624,0.000143999510505284,0.0246917712980884,0.00451608668651487,5,2,0.0298983011230825,0.0333127597409259,0.0220722194736576,0.000146522260792727,0.0298983011230825,0.0333127597409259,0.0220722194736576,0.000146522260792727,0.0312324890723003,0.00501669275644789,0.0298983011230825
KI,KIR,Kiribati,2020-09-22,2020-05-29,100,1,66,0.03,0.0334344809563718,0.0218208164991511,0.000144878118385263,0.03,0.0334344809563718,0.0218208164991511,0.000144878118385263,0.0249601601165459,0.00456454641149989,5,2,0.0298798242777591,0.033299682707767,0.0219448333037866,0.00014569014595031,0.0298798242777591,0.033299682707767,0.0219448333037866,0.00014569014595031,0.0286911100064481,0.00483025026082402,0.0298798242777591
KI,KIR,Kiribati,2020-09-27,2020-05-29,101,1,67,0.0297029702970297,0.0331085145091172,0.0216517085543741,0.000143767761127874,0.0297029702970297,0.0331085145091172,0.0216517085543741,0.000143767761127874,0.0246917712980884,0.00451608668651487,5,2,0.0298713279859973,0.0332932706156981,0.0217943944231478,0.000144704527806291,0.0298713279859973,0.0332932706156981,0.0217943944231478,0.000144704527806291,0.0254753233845818,0.00460531606355657,0.0298713279859973
