ISO2,ISO_3,country,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,pos_RF_symp,pos_XGB,pos_XGB_symp,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
SS,SSD,South Sudan,2020-05-26,2020-04-23,8,30,100,3187624.1214755,0,0,100,3,144807.992107626,1,25287.4418520224,39,1981.04964539007,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2020-05-27,2020-04-25,6,29,100,3075494.07419492,0,0,100,3,144807.992107626,1,25287.4418520224,59,1981.04964539007,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2020-05-28,2020-04-29,8,26,101,3102906.03366447,0,0,101,3,144807.992107626,1,25287.4418520224,77,1981.04964539007,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2020-05-29,2020-05-06,10,22,101,3008882.00121297,0,0,101,2,66425.1856325336,1,25287.4418520224,80,1960.41371158392,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2020-05-30,2020-05-10,6,19,101,3076400.9153744,0,0,101,2,66425.1856325336,1,25287.4418520224,85,1981.04964539007,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2020-05-31,2020-05-14,7,18,101,3000029.20437081,0,0,101,1,25287.4418520224,1,25287.4418520224,83,1960.41371158392,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2020-06-01,2020-05-16,9,17,101,2485837.13804556,0,0,101,1,25287.4418520224,1,25287.4418520224,112,1960.41371158392,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2020-06-02,2020-05-18,9,16,100,2218452.34580771,0,0,100,1,25287.4418520224,1,25287.4418520224,112,1981.04964539007,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2020-06-03,2020-05-19,5,16,101,2219018.34295629,0,0,101,2,32437.5584847431,2,32437.5584847431,111,1960.41371158392,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,SSD,South Sudan,2020-06-04,2020-05-20,6,16,104,2341392.67206452,0,0,104,2,32437.5584847431,2,32437.5584847431,113,2022.32151300236,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
