"date","ISO2","country","ISO3","population","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-05-06,"PT","Portugal","PRT",10276617,21833,21789,0.00164888013557459,0.00111070010212388,0.0021870601690253,0.00114505564970458,0.000696459137724383,0.00159365216168477,0.0162139879998168,0.0145387109890001,0.0178892650106335,0.00505881018377804,0.00492941610463169,0.00518820426292438,0.00114505564970458
2020-05-07,"PT","Portugal","PRT",10276617,23172,23126,0.00172622130157086,0.00119173152982034,0.00226071107332138,0.00112204384602106,0.000690994034373811,0.00155309365766831,0.0164422578974625,0.0148048872915003,0.0180796285034246,0.00505352955670249,0.00492799677328383,0.00517906234012116,0.00112204384602106
2020-05-08,"PT","Portugal","PRT",10276617,24507,24459,0.00167299139021504,0.00116132572048353,0.00218465705994655,0.00110172603745869,0.000686389198105684,0.00151706287681169,0.0163218672216102,0.0147354608537804,0.0179082735894399,0.00493548309955744,0.00481484589577863,0.00505612030333625,0.00110172603745869
2020-05-09,"PT","Portugal","PRT",10276617,25821,25766,0.00170403934781767,0.00120096632557509,0.00220711237006024,0.00108438867588397,0.000682950704584075,0.00148582664718387,0.0168080244762015,0.0152400497404792,0.0183759992119239,0.00486233869703969,0.0047456709423163,0.00497900645176307,0.00108438867588397
2020-05-10,"PT","Portugal","PRT",10276617,27149,27088,0.0016206858447825,0.00114220078843445,0.00209917090113054,0.00106817930678846,0.000679616545912483,0.00145674206766444,0.0168698662934178,0.0153379589557658,0.0184017736310698,0.00466404395457433,0.00455259195883713,0.00477549595031153,0.00106817930678846
2020-05-11,"PT","Portugal","PRT",10276617,28446,28381,0.0016522533923926,0.00118028084830211,0.0021242259364831,0.00112493847992688,0.000735393636581537,0.00151448332327222,0.0169092315264009,0.0154109403135457,0.0184075227392561,0.0043751034607926,0.00426963117766945,0.00448057574391575,0.00112493847992688
2020-05-12,"PT","Portugal","PRT",10276617,29615,29549,0.00172210028701671,0.0012498772495168,0.00219432332451663,0.00118183353030559,0.000790530156346962,0.00157313690426421,0.0168158028026338,0.0153513732983148,0.0182802323069528,0.00437967763171758,0.00427625711312072,0.00448309815031443,0.00118183353030559
2020-05-13,"PT","Portugal","PRT",10276617,30818,30749,0.00197936271010448,0.0014831380777918,0.00247558734241717,0.00149263417483289,0.00106161341070485,0.00192365493896093,0.0165812187682523,0.0151555345593015,0.0180069029772031,0.00416089616658802,0.00406206755707356,0.00425972477610248,0.00149263417483289
2020-05-14,"PT","Portugal","PRT",10276617,32281,32209,0.00182770050494099,0.00136176063537956,0.00229364037450242,0.00136303088504074,0.000960562965130583,0.00176549880495089,0.0165112604937889,0.0151211497124778,0.0179013712751001,0.00404023954396902,0.00394508139421671,0.00413539769372132,0.00136303088504074
2020-05-15,"PT","Portugal","PRT",10276617,33549,33470,0.00178842886524188,0.00133630707715407,0.0022405506533297,0.00134132164893141,0.000949685015652873,0.00173295828220995,0.0162150883781931,0.0148635821855631,0.0175665945708231,0.00388633019713514,0.00379477002539597,0.00397789036887431,0.00134132164893141
