ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope,p_cli_smooth_slope2,p_cliWHO_smooth_slope2
AG,ATG,Antigua,2020-05-22,2020-04-24,101,5,27,0.0396039603960396,0.0380348662281565,0.0874299872950464,0.000425705399318227,0.0198019801980198,0.0271705622473482,0.0143090343847936,0.000178986965701585,0.0140845070422535,0.00279752496876662,0.0237694918218437,0.028327723534352,0.0405895089072208,0.000257734907158774,0.0113059874949533,0.0162121482770628,0.00901138808471317,0.000115527773638664,0.00858837921609917,0.00208811389852561,,,,,,,
AG,ATG,Antigua,2020-05-23,2020-05-03,101,13,21,0.0396039603960396,0.0380348662281565,0.0938660027068466,0.00045542847700762,0.0198019801980198,0.0271705622473482,0.0153623705304084,0.000192060095582395,0.0130467012601927,0.00270804436240697,0.0226082364954728,0.0275813116129368,0.0370913541701993,0.000243898578606373,0.0105180293735888,0.0151587762685013,0.00836428593307378,0.000107802007750489,0.00826155578559011,0.00204649042914253,,,,,,,
AG,ATG,Antigua,2020-05-24,2020-05-04,103,4,21,0.0388349514563107,0.0373112541172863,0.090355846913119,0.000439245856587466,0.0194174757281553,0.0266482036524112,0.0147878886906829,0.000184931858557097,0.012777697110498,0.0026525698147197,0.0214565385409669,0.0268371546784838,0.033568773249184,0.000229825867691844,0.00973335655911654,0.0141105065846103,0.00769224408984572,9.98653110289263e-05,0.0079429391310821,0.00200661016632974,,,,,,,
AG,ATG,Antigua,2020-05-25,2020-05-07,100,6,19,0.02,0.0274394957835608,0.0155244954579119,0.000194070999377611,0.02,0.0274394957835608,0.0155244954579119,0.000194070999377611,0.00924295774647887,0.00227181188887245,0.0203442934782701,0.0261142091894955,0.0300758479364858,0.000215733208934887,0.00897767191995808,0.0131027762017735,0.00700839338492007,9.19104671167168e-05,0.00763891223938689,0.00196936257576926,,,,,,,
AG,ATG,Antigua,2020-05-26,2020-05-10,100,8,17,0.02,0.0274394957835608,0.0166103519112429,0.000202987975908658,0.01,0.0195013954179879,0.0129331909989259,0.000179450304690015,0.00569373688942164,0.00180515199026445,0.0193078196472913,0.0254355185116078,0.0266743068398291,0.000201878398262101,0.00828255149942824,0.0121784480666047,0.00632938456222544,8.41767305144096e-05,0.0073561700311754,0.00193564185354095,,,,,,,
AG,ATG,Antigua,2020-05-27,2020-05-15,102,14,13,0.00980392156862745,0.0191209083686488,0.00437426298873682,0.000114318024253392,0,0,0,0,0.000440140845070423,0.000497947481565844,0.0183892521234402,0.0248276933808422,0.0234309879928966,0.000188551368771246,0.0076847029067245,0.0113863001160356,0.00567492401586775,7.69409621625221e-05,0.00710150458411063,0.00190628084756007,,,,,,,
AG,ATG,Antigua,2020-05-28,2020-05-16,104,12,13,0.00961538461538462,0.0187549838461375,0.00427362195605184,0.000111693492425085,0,0,0,0,0.00474274216728945,0.00161431511529907,0.0176353577862964,0.0243201565071457,0.0204145981917971,0.000176064975234275,0.00722433712184582,0.0107783639315677,0.00506697291643163,7.05045364927483e-05,0.00688036938252032,0.00188189716511019,-0.0010223556725912,-0.00336248511923728,-0.000680275062184576,-0.000657402528046924,-0.000284668305596476,,
AG,ATG,Antigua,2020-05-29,2020-05-18,105,17,12,0.00952380952380953,0.0185772237565978,0.00438582736113012,0.000114619584629221,0,0,0,0,0.00560505892497844,0.0017541851218725,0.0170957371614341,0.0239436327410216,0.0176910497767285,0.000164734430196772,0.00694313991695865,0.0104060554791341,0.00452840132358623,6.51701004514789e-05,0.00669704414828159,0.00186288023585149,-0.000918749889006453,-0.00323338406557848,-0.000595814909438365,-0.000639314101581259,-0.00026075193955142,,
AG,ATG,Antigua,2020-05-30,2020-05-20,101,12,11,0.0099009900990099,0.0193092777830645,0.00366820266161731,9.58996626950483e-05,0,0,0,0,0.00575495986672725,0.00182450605345745,0.016818778677099,0.0237276738430621,0.0153180774948969,0.000154854282655176,0.00688006497453127,0.0103145847713082,0.00408092253742933,6.12115018328669e-05,0.00655408302359795,0.00184932911020218,-0.000772959977311326,-0.00304178262571451,-0.000475548597430879,-0.000601886925402732,-0.000231476017914025,,
AG,ATG,Antigua,2020-05-31,2020-05-22,102,11,10,0.00980392156862745,0.0191209083686488,0.00378920783766427,9.90571458995907e-05,0,0,0,0,0.00569373688942164,0.00180515199026445,0.0168488847921926,0.0236986576537658,0.0133406902310405,0.000146677267855899,0.00706772532831292,0.0105373339654486,0.00374309561064124,5.88425149276197e-05,0.00645209866386637,0.00184104297454991,-0.000582568114346251,-0.00278919295090755,-0.000318324431940859,-0.00054421629571314,-0.000197802262586753,,
AG,ATG,Antigua,2020-06-01,2020-05-22,104,2,11,0.00961538461538462,0.0187549838461375,0.00372347515229205,9.73419789680374e-05,0,0,0,0,0.00557511737089202,0.00176765008694524,0.0172212305818922,0.0238763649737743,0.011786429521957,0.000140386264072048,0.00752815595671169,0.0110913301181518,0.00352815255140039,5.8189698082948e-05,0.00638995782629975,0.00183756963373341,-0.000347764844233178,-0.00248131288631201,-0.000125732590452758,-0.000466872001804174,-0.000161035367479275,,
AG,ATG,Antigua,2020-06-02,2020-05-23,106,7,11,0.00943396226415094,0.0184028015418055,0.00392195192895021,0.000102520499475115,0,0,0,0,0.00640204865556978,0.00186451614489725,0.0179580827159355,0.0242729579571946,0.0106649938782525,0.000136090508419266,0.00826913182380451,0.0119731561796171,0.00344423648236298,5.92776475584264e-05,0.00636574247056311,0.00183833299365901,-7.18615679174417e-05,-0.00212766568577401,9.74048195133352e-05,-0.000371781255584128,-0.000122627018924588,,
AG,ATG,Antigua,2020-06-03,2020-05-24,102,9,11,0.00980392156862745,0.0191209083686488,0.00361404909221941,9.44864664631299e-05,0,0,0,0,0.00653404965877741,0.00190283336699792,0.019063159314251,0.0248883411778569,0.00996324086416532,0.000133789564758213,0.00928049141357751,0.0131560467148081,0.0034892696729517,6.20012031812943e-05,0.00637732954389503,0.00184277106337165,0.000237966921325758,-0.00174189288793863,0.000342692381955282,-0.000262950540579989,-8.38399731042146e-05,0.000210053765652827,0.00017049457402331
AG,ATG,Antigua,2020-06-04,2020-05-26,101,9,10,0.0198019801980198,0.0271705622473482,0.00720425453054205,0.000136406302496299,0.0099009900990099,0.0193092777830645,0.00341200948279768,9.40530532103689e-05,0.00689553990610329,0.00196455822304454,0.0205194733104323,0.0257101571364766,0.00965025023826042,0.000133389334801546,0.0105339576153285,0.0145921481272852,0.00365449477837675,6.61493964785662e-05,0.00642415471166546,0.00185054293062364,0.0005706226914997,-0.00134013325641134,0.000598469616394973,-0.000145651090868246,-4.54815727693549e-05,0.000248228763417692,0.000199047420972223
AG,ATG,Antigua,2020-06-05,2020-05-26,106,5,11,0.0188679245283019,0.0259012641269205,0.00595749955115961,0.00011287088485947,0.00943396226415094,0.0184028015418055,0.00282153342530363,7.77994433397624e-05,0.00661971830985916,0.00188623777833955,0.0222874200929286,0.0267129801573572,0.00968022383967738,0.000134706616513701,0.0119837748277587,0.0162159065978162,0.00392515709889855,7.14247381017047e-05,0.00650864847952348,0.00186172232790213,0.000911440235971603,-0.000939642275869926,0.000850618308871237,-2.59609064217972e-05,-7.57242401241238e-06,0.000280733368880488,0.000221027817717019
AG,ATG,Antigua,2020-06-06,2020-05-27,102,4,11,0.00980392156862745,0.0191209083686488,0.00286077028529107,7.88797874668696e-05,0.00980392156862745,0.0191209083686488,0.00286077028529107,7.88797874668696e-05,0.0067548146018971,0.0019246015439413,0.0243047679072865,0.027858705446995,0.00999705669294473,0.000137483552002035,0.0135692655411987,0.0179495681998273,0.00428256054907861,7.747536681784e-05,0.00663731746675775,0.00187691957773296,0.00124264718584898,-0.000557272256349292,0.00108359003548096,8.99108230728961e-05,3.0869800481896e-05,0.000304202550032539,0.00023365241123697
AG,ATG,Antigua,2020-06-07,2020-05-27,109,7,12,0.0091743119266055,0.0178986477811282,0.00271177731028438,7.47772022245211e-05,0.0091743119266055,0.0178986477811282,0.00271177731028438,7.47772022245211e-05,0.00643863179074447,0.00181559262665136,0.0264886748909263,0.0290980605703853,0.0105399426703164,0.000141409693656648,0.015218924076613,0.019709767700521,0.00470724957931394,8.39342716907677e-05,0.00682148270483743,0.00189734642640981,0.00154457405150568,-0.000207747808606769,0.00128179468665022,0.000196516171318925,7.19208130896135e-05,0.000315389815956476,0.000234587879517164
AG,ATG,Antigua,2020-06-08,2020-05-28,102,7,12,0.0294117647058824,0.032788840416564,0.0119109757447855,0.000159271517566719,0.0196078431372549,0.0269068483623884,0.00593622607400506,0.000112779132631142,0.00726005517641934,0.00200502946252147,0.0287396738350971,0.0303730878463188,0.0112491398371987,0.000146147943413603,0.0168555087489404,0.0214141425436123,0.00518266712014824,9.04582982230707e-05,0.00707723505976167,0.00192478188359017,0.0017969318531936,9.73576598243579e-05,0.00143106282085598,0.000289738439630875,0.000118582098199761,0.000311465570185173,0.000222276333557107
AG,ATG,Antigua,2020-06-09,2020-05-28,108,6,13,0.037037037037037,0.0356171465392445,0.0139329585747703,0.000169078616916716,0.0277777777777778,0.0309932939083888,0.00816510166973731,0.000129811833214378,0.00752085327498975,0.0019801338935346,0.0309476192447627,0.0316204947423457,0.0120716852256112,0.00015136257370471,0.0184015105453269,0.0229870525793022,0.00569886914775704,9.67620002631094e-05,0.00742445391864588,0.00196141922033009,0.00198074332175195,0.000351407393574318,0.00152016985529156,0.000368266579134224,0.000174520729125142,0.000290462733404366,0.000196246245556046
AG,ATG,Antigua,2020-06-10,2020-05-29,103,7,13,0.0485436893203884,0.0415040324517794,0.0188019412675917,0.000200560043898811,0.029126213592233,0.0324752782875229,0.00855585611920091,0.000135997395813548,0.00540617442025893,0.00171423052964889,0.0329981690057505,0.0327751139233796,0.0129657212417139,0.00015674523786993,0.0197846042435417,0.0243640725493051,0.00625591499180038,0.00010264342324256,0.00788485189967624,0.0020096124588684,0.00207978261588637,0.000552578500575584,0.00154177443803553,0.000433570035570604,0.000243449531335131,0.000251526654064445,0.000157217470273426
AG,ATG,Antigua,2020-06-11,2020-05-29,113,10,14,0.0442477876106195,0.0379164182893793,0.0172982804084734,0.000184661846947556,0.0265486725663717,0.0296406276500937,0.00787161262648959,0.000125164349165494,0.0056601289982888,0.00168697100997294,0.0347814118021254,0.0337746360967239,0.0139055580859391,0.000162043865722682,0.020942833473982,0.0254953512823003,0.00686715290995143,0.000108003467912475,0.00847958568443485,0.00207158308434001,0.0020823319515328,0.000704222374376953,0.00149317644103722,0.000490332635175481,0.000328489534151896,0.000195148619260199,0.000107093022027664
AG,ATG,Antigua,2020-06-12,2020-05-30,102,6,14,0.0490196078431373,0.0419004514931721,0.0171130633297397,0.000182701840835855,0.0294117647058824,0.032788840416564,0.00778732927223852,0.000123829442159817,0.00542840375586855,0.00174436513347046,0.0361998524680584,0.0345638257257046,0.0148847867264834,0.000167085497961416,0.0218288961574814,0.0263475429683327,0.00756119323243262,0.000112855066245817,0.00922641800707772,0.00214907749170923,0.00198251409346197,0.000814621672256442,0.00137660510271379,0.000546438780559001,0.000431516756719996,0.000123311151268832,4.88358445388043e-05
AG,ATG,Antigua,2020-06-13,2020-05-30,109,7,15,0.0458715596330275,0.0392744413219453,0.0166122105428327,0.000177399837045116,0.0275229357798165,0.0307129762630489,0.00755941533927336,0.00012021909636283,0.00533296868590182,0.00166925883202026,0.0371763821213781,0.0350990219856772,0.0159181187123987,0.000171794191632671,0.0224136705033086,0.0269050888408472,0.00838249466440238,0.000117324147077693,0.0101359600120075,0.00224300427232518,0.00178128453840865,0.000896362673680386,0.00119912440444925,0.00061254084751474,0.000552412884528346,3.94517478171619e-05,-1.37783803668284e-05
AG,ATG,Antigua,2020-06-14,2020-05-31,104,7,15,0.0480769230769231,0.0411150366322683,0.0196730105979578,0.000209758558464917,0.0288461538461538,0.0321676545583471,0.00895223773503478,0.000142269528793388,0.00625978090766823,0.00184381489700451,0.0376607870239007,0.0353518472033973,0.0170404356383799,0.000176198125440214,0.0226884019032414,0.0271705124309843,0.00939007556016826,0.000121641680421029,0.0112102815989834,0.00235324590296466,0.00148685219813393,0.000965215966863543,0.000972148859050169,0.000701234740003337,0.000688841089870296,-5.16799425099449e-05,-7.64856603009684e-05
AG,ATG,Antigua,2020-06-15,2020-06-01,101,8,15,0.0495049504950495,0.042304508043671,0.0177982185996381,0.000189950429283636,0.0297029702970297,0.0331085145091172,0.00809911037106936,0.000128766962435859,0.00659274797722505,0.00194156480100009,0.0376347624680844,0.0353124942418737,0.0183075752427131,0.000180440775229535,0.0226654236329422,0.0271642003143719,0.0106540542328565,0.000126129064932324,0.0124407822361633,0.00247851464173586,0.00111452387055362,0.00103931500285031,0.000710652181269215,0.000825864180849915,0.000836054719586239,-0.000144369908533055,-0.000134919612337057
AG,ATG,Antigua,2020-06-16,2020-06-03,101,9,14,0.0495049504950495,0.042304508043671,0.017213256320107,0.000183762150619233,0.0297029702970297,0.0331085145091172,0.00783292226700086,0.000124551572910265,0.00560351355444495,0.00180047645461088,0.0371138702859518,0.0349910284315248,0.0197866346745965,0.000184752248913037,0.022377261872969,0.026922937172406,0.0122486920990297,0.000131165627136774,0.0138074981100118,0.0026163100981714,0.00068595021336689,0.00113681890548043,0.000432109604904552,0.000998796184538223,0.000987107701722594,-0.000232305400419913,-0.000184944138855163
AG,ATG,Antigua,2020-06-17,2020-06-04,100,8,14,0.05,0.042716424707947,0.0192437351352819,0.000205226434694777,0.03,0.0334344809563718,0.00875689518811971,0.000139178847213785,0.00735524256651017,0.00209504371066499,0.0361473875625172,0.0344177758030549,0.0215506217037704,0.00018943155702861,0.0218739141641399,0.0264976035224746,0.0142440793497395,0.000137151949958489,0.0152803405709234,0.00276311350359792,0.000227662626731975,0.00127417726963855,0.000155180115026317,0.00122948773996468,0.00113345914774809,-0.00030911155413347,-0.000222999387668484
AG,ATG,Antigua,2020-06-18,2020-06-04,106,6,15,0.0471698113207547,0.040358496811933,0.0176716539385092,0.000188611826373446,0.0283018867924528,0.0315695602813257,0.0080415169015982,0.000127855001214103,0.0221537558685446,0.0034941558256,0.0348134990716497,0.0336408496894958,0.0236634273890434,0.000194793314322891,0.0212182733793563,0.0259493975534489,0.0166944304845052,0.000144459240030147,0.0168208724520338,0.002914642954514,-0.000231058899401447,0.00146310677709333,-0.00010177046302086,0.00152220620867876,0.00126574240749268,-0.000368928832143903,-0.000246395927622441
AG,ATG,Antigua,2020-06-19,2020-06-06,100,8,14,0.04,0.0384072934108425,0.0173579646685581,0.000201227090284382,0.02,0.0274394957835608,0.00620199674022369,0.000120963461159459,0.0249187432286024,0.00380085841599043,0.033214517986774,0.0327232964586532,0.0261769283122515,0.00020114656226079,0.0204803338721222,0.0253450288992251,0.0196311396657692,0.000153390760816886,0.0183857301844402,0.00306625770027463,-0.000660310689100686,0.00170980159997548,-0.000322222771864402,0.00187477416689446,0.00137496169540545,-0.000406932537918222,-0.000253557862718943
AG,ATG,Antigua,2020-06-20,2020-06-08,100,11,13,0.04,0.0384072934108425,0.016757071650832,0.000194320455850632,0.02,0.0274394957835608,0.0059872978047021,0.000116788596317763,0.0250391236306729,0.00383090002581546,0.0314666134951387,0.0317367772028903,0.0291152605989885,0.000208727932282073,0.0197300705899644,0.0247500039287494,0.0230503857968609,0.000164116896029185,0.0199295940961899,0.00321327884859761,-0.00103236225479366,0.00201247082676809,-0.000493055218879502,0.0022767183727821,0.00145321874953441,-0.000419869075487931,-0.000244200679654945
AG,ATG,Antigua,2020-06-21,2020-06-09,101,8,13,0.0198019801980198,0.0271705622473482,0.00671545032429833,0.000120260763761356,0.0099009900990099,0.0193092777830645,0.00253670275913975,7.40683721441244e-05,0.0249540722596448,0.00378275534474604,0.0296906772692937,0.0307556635224719,0.0324686162416004,0.000217665515188115,0.0190315319843242,0.0242237073041889,0.0269088207692525,0.00017664957856933,0.0214090894490219,0.00335147671118885,-0.00132401419979845,0.00236017349981455,-0.000605648608102985,0.00270912775606599,0.00149471786880977,-0.000406423011725346,-0.000219383464895367
AG,ATG,Antigua,2020-06-22,2020-06-10,102,7,13,0.00980392156862745,0.0191209083686488,0.00395962446817566,9.0015842338961e-05,0,0,0,0,0.0245343025897319,0.00373138706722542,0.0280002906726113,0.0298492269368801,0.0361889244570582,0.000227946997505839,0.0184354183716396,0.0238124148170133,0.0311217104011073,0.000190816552699105,0.0227848847077693,0.00347723711386763,-0.00151892993555676,0.00273371496374362,-0.000656973916888234,0.00314550305034627,0.00149623109962626,-0.000367480024820608,-0.000181513920298798
AG,ATG,Antigua,2020-06-23,2020-06-11,101,6,13,0,0,0,0,0,0,0,0,0.0230614455966569,0.00365994963254701,0.0264930292742182,0.0290757199273276,0.0401908150251207,0.000239407123122076,0.0179757673047018,0.0235457429750359,0.0355670202215426,0.000206264904578564,0.0240240403854299,0.00358778793102763,-0.0016090597147165,0.00310669888689172,-0.000649691143239683,0.00355382347863386,0.00145728330241775,-0.000306120390241412,-0.000134145209711
AG,ATG,Antigua,2020-06-24,2020-06-11,107,6,14,0.0186915887850467,0.0256615019570993,0.0715235214520549,0.000347180796302666,0.0186915887850467,0.0256615019570993,0.0715235214520549,0.000347180796302666,0.0306631455399061,0.00409288002997059,0.0252428416371136,0.028477349677395,0.0443573174948223,0.000251739098269318,0.0176678886932387,0.0234346114477725,0.0400942413392374,0.000222488316635854,0.0251006652782598,0.00368123728605776,-0.00159510957242267,0.00344898168429649,-0.000591730781019599,0.0038999684757887,0.00137996547103765,-0.000227341778836871,-8.16600529997898e-05
