ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cases_active
NC,NCL,New Caledonia,2020-11-28,2020-04-23,100,1,84,0.02,0.0274394957835608,0.019247990295016,0.000198252090947419,0.01,0.0195013954179879,0.00503865751735627,0.000102165908486116,0.0179852481386291,0.00398087158569611,0,0,,0.0198577170258441,0.0272621684087771,0.0187093579138866,0.000192822970627099,0.00991475412639194,0.0193357070491623,0.00488724908918739,9.91025882326465e-05,0.0179435433021962,0.00397172049111,0.0198577170258441
NC,NCL,New Caledonia,2020-11-30,2020-04-23,101,1,85,0.0198019801980198,0.0271705622473482,0.0190542736957663,0.0001962762134219,0.0099009900990099,0.0193092777830645,0.00498794720505425,0.000101140262488376,0.0177959297371698,0.00393934734429028,0,0,,0.019851465571112,0.0272611593302195,0.0186643461930761,0.000192395012747236,0.00990500043711967,0.0193166521007703,0.00487057538794897,9.87649756325293e-05,0.017960000633596,0.0039753299224242,0.019851465571112
NC,NCL,New Caledonia,2020-12-01,2020-04-23,102,1,86,0.0196078431372549,0.0269068483623884,0.0185850992078503,0.000191489069852607,0.00980392156862745,0.0191209083686488,0.0048651286913156,9.86559681272131e-05,0.0176105554690743,0.00389868032876463,0,0,,0.0198467195397605,0.0272595135968718,0.0186403568169379,0.000192170345526974,0.00989837481746152,0.0193037130275921,0.00486115758597454,9.85742572047932e-05,0.0179687433280519,0.00397724737469266,0.0198467195397605
NC,NCL,New Caledonia,2020-12-07,2020-05-04,100,1,86,0.02,0.0274394957835608,0.018900547238748,0.000194707946985261,0.01,0.0195013954179879,0.00494770534310401,0.000100326309737436,0.0179852481386291,0.00398087158569611,0,0,,0.0197823736167779,0.0272224595418807,0.0184801041592169,0.000190746376991091,0.00982160489740557,0.0191538807153166,0.00478629956224313,9.70577986651871e-05,0.0180254158213282,0.00398967678571619,0.0197823736167779
NC,NCL,New Caledonia,2020-12-08,2020-05-09,100,2,85,0.02,0.0274394957835608,0.0184443952058959,0.000190052967435816,0.01,0.0195013954179879,0.00482829579259199,9.791087581599e-05,0.0181786379035606,0.00402328044240275,0,0,,0.0197635488405093,0.0272099321343243,0.0184516115187433,0.000190510401970387,0.00980063990775837,0.0191129753391641,0.00477031630145685,9.6733915866144e-05,0.0180350038858741,0.00399177963214627,0.0197635488405093
NC,NCL,New Caledonia,2020-12-14,2020-05-09,101,1,86,0.0198019801980198,0.0271705622473482,0.0182608211862468,0.000188178996120143,0.0099009900990099,0.0193092777830645,0.00478024056189418,9.69387254599191e-05,0.0179852481386291,0.00398087158569611,0,0,,0.0195835265370943,0.0270806200785586,0.0182797299844482,0.000189240591525814,0.00960857693957435,0.0187383091287185,0.00465001861173491,9.42955028261404e-05,0.0180877774910326,0.00400335382933337,0.0195835265370943
NC,NCL,New Caledonia,2020-12-16,2020-05-11,100,1,86,0.02,0.0274394957835608,0.0189166860215651,0.000194872601220667,0.01,0.0195013954179879,0.00495193008543379,0.000100411763117176,0.0181786379035606,0.00402328044240275,0,0,,0.0194949796945624,0.0270142463168215,0.0182238392986045,0.000188896846532144,0.00951656120556183,0.0185588319876103,0.00460015909053879,9.32846025468346e-05,0.0181024781847534,0.00400657792715607,0.0194949796945624
NC,NCL,New Caledonia,2020-12-17,2020-05-14,100,1,86,0.02,0.0274394957835608,0.017789740657991,0.0001833684576434,0.01,0.0195013954179879,0.00465692309297428,9.44438153618135e-05,0.0181786379035606,0.00402328044240275,0,0,,0.0194451313991074,0.0269764877308204,0.0181962976423789,0.000188741722969816,0.00946510807461549,0.0184584756442048,0.00457337381488293,9.27414906330388e-05,0.0181091703071367,0.00400804561128578,0.0194451313991074
NC,NCL,New Caledonia,2020-12-19,2020-05-17,100,1,86,0.02,0.0274394957835608,0.0175327377013424,0.000180743031241884,0.01,0.0195013954179879,0.00458964594561227,9.30825600256189e-05,0.0181786379035606,0.00402328044240275,0,0,,0.0193344592673092,0.026891955441594,0.0181419424273105,0.000188463710391605,0.00935149434905907,0.0182368844992327,0.00451614228942766,9.15809606435215e-05,0.0181212162443862,0.00401068745766233,0.0193344592673092
NC,NCL,New Caledonia,2020-12-20,2020-05-20,100,1,86,0.02,0.0274394957835608,0.0175130068764048,0.000180541441248861,0.01,0.0195013954179879,0.00458448089368364,9.29780488874702e-05,0.0181786379035606,0.00402328044240275,0,0,,0.0192737883439985,0.0268453035690616,0.0181150560345148,0.000188339717131902,0.009289486272895,0.0181159471265827,0.00448573309899034,9.09642959364123e-05,0.0181265807929513,0.00401186397473175,0.0192737883439985
