"date","ISO2","country","ISO3","population","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-05-06,"VC","Saint Vincent and the Grenadines","VCT",110696,0,0,0,0.111111111111111,0,0.316430196199952,0.0188679245283019,0.006657951524669,0.0310778975319348,0
2020-05-07,"VC","Saint Vincent and the Grenadines","VCT",110696,0,0,0,0.111111111111111,0,0.316430196199952,0.0188679245283019,0.006657951524669,0.0310778975319348,0
2020-05-08,"VC","Saint Vincent and the Grenadines","VCT",110696,0,0,0,0.142857142857143,0,0.402082007388211,0.0134770889487871,0.00174398896693721,0.0252101889306369,0
2020-05-09,"VC","Saint Vincent and the Grenadines","VCT",110696,0,0,0,0.125,0,0.354172303767662,0.0117924528301887,0.00151722832135996,0.0220676773390174,0
2020-05-10,"VC","Saint Vincent and the Grenadines","VCT",110696,0,0,0,0.125,0,0.354172303767662,0.0117924528301887,0.00151722832135996,0.0220676773390174,0
2020-05-11,"VC","Saint Vincent and the Grenadines","VCT",110696,0,0,0,0,0,0,0.00943396226415094,0,0.0200588246881556,0
2020-05-12,"VC","Saint Vincent and the Grenadines","VCT",110696,0,0,0,0,0,0,0.0107816711590297,0.000272940662938622,0.0212904016551207,0
2020-05-13,"VC","Saint Vincent and the Grenadines","VCT",110696,0,0,0,0,0,0,0.0107816711590297,0.000272940662938622,0.0212904016551207,0
2020-05-14,"VC","Saint Vincent and the Grenadines","VCT",110696,0,0,0,0,0,0,0.0107816711590297,0.000272940662938622,0.0212904016551207,0
2020-05-15,"VC","Saint Vincent and the Grenadines","VCT",110696,0,0,0,0,0,0,0.00943396226415094,0.000232561493248209,0.0186353630350537,0
2020-05-16,"VC","Saint Vincent and the Grenadines","VCT",110696,0.1,0,0.285938509691368,0,0,0,0.19622641509434,0.162415591033593,0.230037239155086,0.1
