ISO2,ISO_3,country_agg,date,first_date,day_count,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B2,B4,E5,B0.NA,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope,p_cli_smooth_slope2,p_cliWHO_smooth_slope2,p_cases_active
GS,SGS,South Georgia and the South Sandwich Islands,2020-12-12,2020-04-29,2,100,2,61955.1093325384,1,6085.16146500007,7,87,7,0,3751280.65338775,62,431,6,182,100,3,94,3,12,85,3,6,90,4,27,69,4,13,83,4,26,70,4,11,85,4,9,87,4,7,88,5,6,90,4,8,88,4,22,72,6,11,84,5,4,5,91,17,71,12,8,8,84,0,7,1,92,29,54,17,51,32,17,25,56,19,34,48,18,15,68,17,20,62,18,30,52,18,18,9,0,3,70,17,76,7,41,13,2,4,9,8,23,34,16,14,13,23,3,5,4,11,50,27,3,4,7,18,41,27,14,22,10,22,32,5,8,14,44,29,26,32,1,1,40,9,15,12,8,8,8,3,37,23,22,12,43,79,0.02,0.0274394957835608,0.0165157222445053,0.000128970626169232,0.01,0.0195013954179879,0.00162215574553309,4.0724152426366e-05,0.00113323619880201,0.000839021888763156,0.0186538098977042,0.0263708765692443,0.0145491518138088,0.000116775439492876,0.011444980310333,0.0206484352909579,0.00389573751378255,5.3646668871215e-05,0.00105078836081723,0.000802163008827042,,,,,,,,0.0186538098977042
GS,SGS,South Georgia and the South Sandwich Islands,2020-12-14,2020-05-05,2,100,2,61955.1093325384,1,6085.16146500007,6,87,8,0,3794755.92786569,63,429,6,183,100,3,94,3,12,85,3,5,91,4,26,70,4,12,84,4,26,70,4,11,85,4,8,88,4,6,89,5,6,90,4,8,88,4,22,72,6,10,85,5,4,4,92,18,70,12,9,8,83,0,8,1,91,30,54,16,51,33,16,26,56,18,35,48,17,15,69,16,19,64,17,31,52,17,18,9,0,4,69,17,76,7,42,13,2,4,10,7,22,35,16,14,13,22,3,4,4,11,52,26,3,3,7,18,43,26,14,22,10,23,31,5,8,14,45,28,28,32,1,0,39,9,15,11,10,8,8,3,36,24,22,12,42,78,0.02,0.0274394957835608,0.0163265070297642,0.000127505315768499,0.01,0.0195013954179879,0.00160357123901315,4.02579638540342e-05,0.000971345313258863,0.000776846274621579,0.0185685209291228,0.0263031733299768,0.014493955293149,0.000116262019273643,0.0121793487505177,0.0212313843293074,0.00505555656730046,6.03327872325996e-05,0.00107684444517358,0.000809889235755728,,,,,,,,0.0185685209291228
GS,SGS,South Georgia and the South Sandwich Islands,2020-12-15,2020-05-07,1,100,2,61955.1093325384,1,6085.16146500007,6,87,8,0,3787994.30784747,63,430,6,182,100,3,94,3,12,85,3,5,91,4,26,70,4,12,84,4,27,69,4,11,85,4,8,88,4,6,89,5,6,90,4,8,88,4,22,72,6,10,85,5,4,4,92,18,70,12,9,8,83,0,8,1,91,31,53,16,50,34,16,26,56,18,35,48,17,16,68,16,19,64,17,31,52,17,18,9,0,4,69,17,76,7,41,13,3,4,10,7,22,34,17,14,13,22,3,5,4,11,51,26,3,3,7,18,42,27,14,21,10,24,31,5,8,14,45,28,29,31,1,0,39,10,15,11,10,8,7,3,36,24,21,13,42,78,0.02,0.0274394957835608,0.0163556500610858,0.000127731022277729,0.01,0.0195013954179879,0.00160643363491693,4.03297670400909e-05,0.000971345313258863,0.000776846274621579,0.0185525437670463,0.0262904904983648,0.0145150569914966,0.000116271929524789,0.0126344826329526,0.0215926741731616,0.00577421816750641,6.44761232149512e-05,0.00109612533846672,0.000815777434634478,,,,,,,,0.0185525437670463
GS,SGS,South Georgia and the South Sandwich Islands,2020-12-16,2020-05-12,1,100,2,61955.1093325384,1,6085.16146500007,6,88,8,0,3793267.18648365,64,357,6,186,100,2,95,3,12,86,2,5,92,3,27,70,3,12,85,3,27,70,3,11,86,3,8,89,3,6,90,4,6,91,3,8,89,3,22,73,5,9,86,5,4,4,92,18,70,12,9,8,83,0,8,1,91,32,53,15,50,35,15,26,57,17,35,49,16,16,69,15,19,65,16,31,53,16,18,9,0,4,69,18,75,7,42,13,3,4,10,7,21,35,17,14,13,21,3,5,4,11,52,25,3,3,7,19,42,26,14,21,11,24,30,5,8,15,45,27,30,31,1,0,38,10,15,11,10,9,7,3,35,25,21,13,41,78,0.02,0.0274394957835608,0.0163329146845494,0.0001275549422573,0.01,0.0195013954179879,0.00160420059169125,4.02737511803011e-05,0.000960307298335467,0.000768022718855559,0.0185581024388763,0.0262949030278533,0.0145738848869558,0.000116491119293173,0.0131459417725579,0.0219986755714692,0.00658165665440964,6.91312744383068e-05,0.00112015620002348,0.000823195308563543,,,,,,,,0.0185581024388763
GS,SGS,South Georgia and the South Sandwich Islands,2020-12-17,2020-05-14,1,100,1,6085.16146500007,1,6085.16146500007,6,89,8,0,3738565.89127583,65,257,6,187,100,1,96,3,12,86,2,4,93,3,26,71,3,12,85,3,27,70,3,11,86,3,7,90,3,5,91,4,6,91,3,8,89,3,21,74,5,8,87,5,3,4,93,19,70,11,9,9,82,0,8,1,91,32,54,14,50,36,14,26,58,16,36,49,15,16,70,14,19,66,15,31,54,15,18,9,0,4,69,19,74,7,43,13,3,4,10,7,20,35,17,15,13,20,3,6,4,11,52,24,3,3,8,19,42,25,14,22,11,24,29,5,8,16,45,26,30,32,1,0,37,10,15,11,11,9,7,3,34,26,21,13,40,78,0.01,0.0195013954179879,0.00162767265362372,4.08625412731413e-05,0.01,0.0195013954179879,0.00162767265362372,4.08625412731413e-05,0.000949517328691249,0.000759397350946438,0.0185867863596909,0.0263176726120837,0.0146720009482804,0.000116930435179261,0.0137066662756521,0.022443784309769,0.00746665349819212,7.42333541834451e-05,0.00114915543303521,0.000832203809487109,,,,,,,,0.0185867863596909
GS,SGS,South Georgia and the South Sandwich Islands,2020-12-21,2020-05-20,2,100,2,66095.5396411936,2,66095.5396411936,6,89,9,0,3802973.1332189,64,256,6,190,100,2,95,3,12,86,2,4,93,3,25,72,3,11,86,3,27,70,3,11,86,3,6,91,3,4,92,4,6,91,3,9,88,3,19,76,5,8,87,5,3,4,93,21,68,11,10,10,80,0,9,1,90,32,54,14,49,37,14,26,58,16,35,50,15,17,69,14,19,66,15,31,54,15,17,10,0,4,69,18,75,7,41,14,3,4,10,8,20,36,15,15,14,20,3,7,5,11,50,24,3,5,7,19,41,25,16,22,10,23,29,6,8,16,44,26,30,31,1,0,38,8,16,11,11,10,7,3,34,25,21,14,40,77,0.02,0.0274394957835608,0.0173799649184608,0.000131342027943726,0.02,0.0274394957835608,0.0173799649184608,0.000131342027943726,0.000949517328691249,0.000759397350946438,0.0189098060802735,0.0265740889082882,0.0153927640612847,0.000120574459187792,0.0161582132281677,0.0243898468857673,0.0113324933716927,9.65141470580509e-05,0.0013096842889231,0.000882228232239276,,,,,,,,0.0189098060802735
GS,SGS,South Georgia and the South Sandwich Islands,2020-12-22,2020-05-22,2,100,2,66095.5396411936,2,66095.5396411936,9,88,9,0,3782378.95875758,62,254,9,184,100,2,94,4,13,85,2,5,92,3,24,73,3,12,85,3,28,69,3,11,86,3,6,91,3,4,92,4,7,90,3,9,88,3,20,75,5,9,85,6,4,4,92,21,67,12,10,10,80,0,9,1,90,32,53,15,49,36,15,26,57,17,35,49,16,18,67,15,20,64,16,29,54,17,16,9,0,4,71,17,74,9,41,13,3,4,10,7,22,35,15,15,13,22,3,7,5,11,49,25,3,5,7,18,41,26,16,22,9,23,30,6,7,16,43,28,29,30,1,0,40,8,15,11,10,10,7,3,36,24,21,14,41,77,0.02,0.0274394957835608,0.0174745947885942,0.000132050795819556,0.02,0.0274394957835608,0.0174745947885942,0.000132050795819556,0.0014404609475032,0.000940405817879251,0.0190238027966282,0.0266645806458651,0.0156178207036869,0.000121758451338908,0.016734946254801,0.0248476633507229,0.0122407883182603,0.000101746836387037,0.00135738032658448,0.000897019281018541,6.16654831540111e-05,0.000178111481646348,0.000881660990744669,0.00139084180074628,5.10986609612083e-05,,,0.0190238027966282
GS,SGS,South Georgia and the South Sandwich Islands,2020-12-23,2020-05-25,1,100,2,66095.5396411936,2,66095.5396411936,9,88,9,0,3779844.21707924,62,254,9,188,100,2,94,4,13,85,2,5,92,3,24,73,3,12,85,3,28,69,3,11,86,3,6,91,3,4,92,4,7,90,3,9,88,3,20,75,5,9,85,6,4,4,92,21,67,12,10,10,80,0,9,1,90,32,53,15,49,36,15,27,56,17,35,49,16,19,66,15,20,64,16,28,55,17,16,8,0,4,72,18,73,9,41,13,3,4,10,7,22,35,14,16,13,22,3,7,6,10,49,25,3,5,8,17,41,26,16,22,9,23,30,6,7,16,43,28,28,31,1,0,40,8,15,11,10,9,8,3,36,24,22,13,41,77,0.02,0.0274394957835608,0.0174863131508279,0.000132138560319089,0.02,0.0274394957835608,0.0174863131508279,0.000132138560319089,0.0014404609475032,0.000940405817879251,0.0191406907483716,0.0267573674751117,0.0158421533768396,0.00012294895220912,0.0172657538557579,0.0252690237518434,0.0130761501304589,0.000106558150388421,0.0014061589875936,0.000912081845495391,9.53616365414756e-05,0.000224699680615102,0.000847734184206703,0.00133676559385974,5.48857570700047e-05,,,0.0191406907483716
GS,SGS,South Georgia and the South Sandwich Islands,2020-12-25,2020-05-27,1,100,2,66095.5396411936,2,66095.5396411936,9,89,9,0,3825456.89132961,62,258,9,188,100,2,94,4,14,84,2,5,92,3,25,72,3,13,84,3,28,69,3,11,86,3,7,90,3,5,91,4,8,89,3,10,87,3,20,75,5,9,86,5,4,4,92,21,68,11,10,10,80,0,9,1,90,32,54,14,50,36,14,28,56,16,35,50,15,19,67,14,20,65,15,28,56,16,16,8,0,4,72,19,72,9,41,13,3,4,11,7,21,36,14,16,13,21,3,8,6,10,49,24,3,5,9,17,41,25,16,22,9,24,29,6,7,17,43,27,28,31,1,0,40,8,15,11,10,9,8,3,36,24,22,13,41,77,0.02,0.0274394957835608,0.0172778158318811,0.000130576864282697,0.02,0.0274394957835608,0.0172778158318811,0.000130576864282697,0.00142427599303687,0.000929846995903798,0.0193643746804875,0.0269349300254419,0.0162576663604669,0.000125174460287008,0.0181573996737525,0.0259768211512218,0.0144774482514663,0.000114625204793024,0.00150335913975191,0.000941858511446436,0.0001353051522402,0.000290434894828386,0.000920486173466642,0.00145053834732665,6.78723002141991e-05,,,0.0193643746804875
GS,SGS,South Georgia and the South Sandwich Islands,2020-12-26,2020-05-28,1,100,2,66095.5396411936,2,66095.5396411936,17,89,9,0,3817489.97484515,61,183,17,179,100,2,93,5,14,83,3,5,91,4,24,72,4,14,83,3,28,68,4,11,85,4,7,89,4,5,90,5,8,88,4,10,86,4,19,75,6,10,85,5,5,4,91,22,67,11,10,10,80,0,9,1,90,32,53,15,49,36,15,28,55,17,35,49,16,19,66,15,20,64,16,28,55,17,16,8,0,4,72,19,71,10,41,13,3,4,10,7,22,35,14,16,13,22,3,8,5,10,49,25,3,5,8,17,41,26,16,22,8,24,30,6,7,17,42,28,27,31,1,0,41,7,15,11,10,9,8,3,37,23,22,13,42,77,0.02,0.0274394957835608,0.0173138737957981,0.000130846971287992,0.02,0.0274394957835608,0.0173138737957981,0.000130846971287992,0.00269029909795854,0.00127714209049657,0.0194643951051537,0.0270143272424026,0.0164384067345329,0.00012614910847549,0.0185133820703916,0.0262594035505116,0.0150358492838794,0.000117837793522799,0.00155040356965154,0.000956137301017495,0.000151048777712904,0.000310753641262852,0.000894573382972276,0.00140903210491163,7.17078949380105e-05,,,0.0194643951051537
