"date","ISO2","country","ISO3","population","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-05-06,"SH","Saint Helena","SHN",5633,16,16,0.0625,0,0.181107935488906,0.0625,0,0.181107935488906,0.0625,0,0.181107935488906,0.134433962264151,0.111474867095642,0.157393057432659,0.0625
2020-05-07,"SH","Saint Helena","SHN",5633,17,17,0.0588235294117647,0,0.170673197656264,0.0588235294117647,0,0.170673197656264,0.0588235294117647,0,0.170673197656264,0.126526082130966,0.104819037639365,0.148233126622566,0.0588235294117647
2020-05-08,"SH","Saint Helena","SHN",5633,18,18,0.0555555555555556,0,0.161374589902615,0.0555555555555556,0,0.161374589902615,0.0555555555555556,0,0.161374589902615,0.119496855345912,0.0989134324146858,0.140080278277138,0.0555555555555556
2020-05-09,"SH","Saint Helena","SHN",5633,20,20,0.05,0,0.145516829402721,0.05,0,0.145516829402721,0.05,0,0.145516829402721,0.107547169811321,0.0888968069012582,0.126197532721383,0.05
2020-05-10,"SH","Saint Helena","SHN",5633,20,20,0.1,0,0.231478381086487,0.1,0,0.231478381086487,0.1,0,0.231478381086487,0.112264150943396,0.0932596011651993,0.131268700721593,0.1
2020-05-11,"SH","Saint Helena","SHN",5633,22,22,0.0909090909090909,0,0.211037040800892,0.0909090909090909,0,0.211037040800892,0.0909090909090909,0,0.211037040800892,0.102915951972556,0.0854755403544334,0.120356363590678,0.0909090909090909
2020-05-12,"SH","Saint Helena","SHN",5633,21,21,0.0952380952380952,0,0.22078642725409,0.0952380952380952,0,0.22078642725409,0.0952380952380952,0,0.22078642725409,0.107816711590297,0.0895957794041111,0.126037643776482,0.0952380952380952
2020-05-13,"SH","Saint Helena","SHN",5633,19,19,0.105263157894737,0,0.243256187031479,0.105263157894737,0,0.243256187031479,0.105263157894737,0,0.243256187031479,0.118172790466733,0.0982346868447984,0.138110894088667,0.105263157894737
2020-05-14,"SH","Saint Helena","SHN",5633,17,17,0.0588235294117647,0,0.170673197656264,0.0588235294117647,0,0.170673197656264,0.0588235294117647,0,0.170673197656264,0.128745837957825,0.106877049299984,0.150614626615666,0.0588235294117647
2020-05-15,"SH","Saint Helena","SHN",5633,17,17,0.0588235294117647,0,0.170673197656264,0.0588235294117647,0,0.170673197656264,0.0588235294117647,0,0.170673197656264,0.128745837957825,0.106877049299984,0.150614626615666,0.0588235294117647
2020-05-16,"SH","Saint Helena","SHN",5633,17,17,0.0588235294117647,0,0.170673197656264,0.0588235294117647,0,0.170673197656264,0.0588235294117647,0,0.170673197656264,0.128745837957825,0.106877049299984,0.150614626615666,0.0588235294117647
2020-05-17,"SH","Saint Helena","SHN",5633,17,17,0.0588235294117647,0,0.170673197656264,0.0588235294117647,0,0.170673197656264,0.0588235294117647,0,0.170673197656264,0.128745837957825,0.106877049299984,0.150614626615666,0.0588235294117647
2020-05-18,"SH","Saint Helena","SHN",5633,14,14,0.0714285714285714,0,0.206333468106206,0.0714285714285714,0,0.206333468106206,0.0714285714285714,0,0.206333468106206,0.0215633423180593,0.0111120370086422,0.0320146476274764,0.0714285714285714
2020-05-19,"SH","Saint Helena","SHN",5633,13,13,0.0769230769230769,0,0.221774806631782,0.0769230769230769,0,0.221774806631782,0.0769230769230769,0,0.221774806631782,0.0217706821480406,0.0108739861231011,0.0326673781729802,0.0769230769230769
2020-05-20,"SH","Saint Helena","SHN",5633,11,11,0.0909090909090909,0,0.260795666866152,0.0909090909090909,0,0.260795666866152,0.0909090909090909,0,0.260795666866152,0.0102915951972556,0.00209923968241314,0.018483950712098,0.0909090909090909
2020-05-21,"SH","Saint Helena","SHN",5633,10,10,0.1,0,0.285938509691368,0.1,0,0.285938509691368,0.1,0,0.285938509691368,0.0113207547169811,0.00231385027196458,0.0203276591619977,0.1
2020-05-22,"SH","Saint Helena","SHN",5633,9,9,0.111111111111111,0,0.316430196199952,0.111111111111111,0,0.316430196199952,0.111111111111111,0,0.316430196199952,0.0125786163522013,0.00257731297610169,0.0225799197283008,0.111111111111111
2020-05-23,"SH","Saint Helena","SHN",5633,8,8,0.125,0,0.354172303767662,0.125,0,0.354172303767662,0.125,0,0.354172303767662,0.0141509433962264,0.00290843884091274,0.0253934479515401,0.125
2020-05-24,"SH","Saint Helena","SHN",5633,7,7,0,0,0,0,0,0,0,0,0,0.00269541778975741,0,0.00797121493606835,0
2020-05-25,"SH","Saint Helena","SHN",5633,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,"SH","Saint Helena","SHN",5633,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,"SH","Saint Helena","SHN",5633,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,"SH","Saint Helena","SHN",5633,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,"SH","Saint Helena","SHN",5633,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,"SH","Saint Helena","SHN",5633,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,"SH","Saint Helena","SHN",5633,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,"SH","Saint Helena","SHN",5633,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,"SH","Saint Helena","SHN",5633,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,"SH","Saint Helena","SHN",5633,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,"SH","Saint Helena","SHN",5633,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,"SH","Saint Helena","SHN",5633,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,"SH","Saint Helena","SHN",5633,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,"SH","Saint Helena","SHN",5633,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,"SH","Saint Helena","SHN",5633,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,"SH","Saint Helena","SHN",5633,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,"SH","Saint Helena","SHN",5633,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,"SH","Saint Helena","SHN",5633,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,"SH","Saint Helena","SHN",5633,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,"SH","Saint Helena","SHN",5633,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,"SH","Saint Helena","SHN",5633,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,"SH","Saint Helena","SHN",5633,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,"SH","Saint Helena","SHN",5633,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,"SH","Saint Helena","SHN",5633,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,"SH","Saint Helena","SHN",5633,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,"SH","Saint Helena","SHN",5633,7,7,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.00269541778975741,0,0.00797121493606835,0.142857142857143
2020-06-20,"SH","Saint Helena","SHN",5633,8,8,0.125,0,0.354172303767662,0.125,0,0.354172303767662,0.125,0,0.354172303767662,0.00235849056603774,0,0.00697559278741737,0.125
