"date","ISO2","country","ISO3","population","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-05-06,"MP","Northern Mariana Islands","MNP",56801,0.0188679245283019,0,0.0554978435392005,0,0,0,0,0,0,0,0,0,0.00471698113207547,0,0.0139402639808974,0
2020-05-07,"MP","Northern Mariana Islands","MNP",56801,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.00471698113207547,0,0.0139402639808974,0
2020-05-08,"MP","Northern Mariana Islands","MNP",56801,0.0754716981132075,0.00435651669249849,0.146586879533917,0,0,0,0,0,0,0,0,0,0.0188679245283019,0.00248652674456564,0.0352493223120381,0
2020-05-09,"MP","Northern Mariana Islands","MNP",56801,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0188679245283019,0.00248652674456564,0.0352493223120381,0
2020-05-10,"MP","Northern Mariana Islands","MNP",56801,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0188679245283019,0.00248652674456564,0.0352493223120381,0
2020-05-11,"MP","Northern Mariana Islands","MNP",56801,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0188679245283019,0.00248652674456564,0.0352493223120381,0
2020-05-12,"MP","Northern Mariana Islands","MNP",56801,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0188679245283019,0.00248652674456564,0.0352493223120381,0
2020-05-13,"MP","Northern Mariana Islands","MNP",56801,0,0,0,0,0,0,0,0,0,0,0,0,0.0157232704402516,0.00205024625527756,0.0293962946252256,0
2020-05-14,"MP","Northern Mariana Islands","MNP",56801,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0157232704402516,0.00205024625527756,0.0293962946252256,0
2020-05-15,"MP","Northern Mariana Islands","MNP",56801,0,0,0,0,0,0,0,0,0,0,0,0,0.0134770889487871,0.00174398896693721,0.0252101889306369,0
