"date","ISO2","country","ISO3","population","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-05-08,"AT","Austria","AUT",8858775,8,19,845,223,845,37,119,8805,1696,8799,0.00946745562130178,0.0029380935803985,0.015996817662205,0.0224852071005917,0.012489124141881,0.0324812900593025,0.00497934576309032,0.00432744124365567,0.00563125028252497,0.00420215786484952,0.00285100283226673,0.00555331289743231,0.0135150482680295,0.0111032696320418,0.0159268269040172,0.00363677690646664,0.0034640099541775,0.00380954385875579,0.00420215786484952
2020-05-09,"AT","Austria","AUT",8858775,4,9,840,96,839,38,120,9190,1746,9183,0.00476190476190476,0.000106448012132756,0.00941736151167677,0.0107142857142857,0.00375201463816647,0.017676556790405,0.00215890435603931,0.00172750790278504,0.00259030080929359,0.00413492927094668,0.00282295708512066,0.00544690145677271,0.0130576713819369,0.0107367037145187,0.015378639049355,0.00358743288973267,0.00341946380529613,0.0037554019741692,0.00413492927094668
2020-05-10,"AT","Austria","AUT",8858775,1,12,873,100,873,38,126,9630,1790,9624,0.0011454753722795,0,0.00338927963076335,0.013745704467354,0.00602211957791931,0.0214692893567886,0.0021612742873198,0.00173813031856757,0.00258441825607203,0.0039460020768432,0.00269385586579139,0.005198148287895,0.0130841121495327,0.0108145235215682,0.0153537007774972,0.00350930848978183,0.00334702297940641,0.00367159400015726,0.0039460020768432
2020-05-11,"AT","Austria","AUT",8858775,2,9,966,109,966,37,130,10155,1857,10151,0.0020703933747412,0,0.00493678757337972,0.0093167701863354,0.00325834673374255,0.0153751936389283,0.00212898941364897,0.00172973884168647,0.00252823998561147,0.00364352535696701,0.00247166355294261,0.00481538716099141,0.0128015755785327,0.0106151129121687,0.0149880382448968,0.00345165361531441,0.00329493574115205,0.00360837148947678,0.00364352535696701
2020-05-12,"AT","Austria","AUT",8858775,4,14,927,322,926,39,141,10670,2109,10665,0.00431499460625674,9.55106881424224e-05,0.00853447852437106,0.0151024811218986,0.00725142835231383,0.0229535338914834,0.00656098455519785,0.00584671888577023,0.00727525022462547,0.00365510777881912,0.00251006734062062,0.00480014821701762,0.0132146204311153,0.0110478915059879,0.0153813493562427,0.00373112544118037,0.00357218371232547,0.00389006717003528,0.00365510777881912
2020-05-13,"AT","Austria","AUT",8858775,1,6,881,99,881,39,144,11144,2048,11139,0.00113507377979569,0,0.0033585145480662,0.00681044267877412,0.00137964179374022,0.012241243563808,0.0021202321547127,0.00170302377861225,0.00253744053081315,0.00349964106245513,0.00240321835641829,0.00459606376849198,0.012921751615219,0.0108249177384515,0.0150185854919864,0.00346902858730247,0.00331904753581857,0.00361900963878638,0.00349964106245513
2020-05-14,"AT","Austria","AUT",8858775,5,7,875,176,875,42,146,11627,2146,11622,0.00571428571428571,0.000719916556804942,0.0107086548717665,0.008,0.00209737906146493,0.0139026209385351,0.00379514824797844,0.00323552618443307,0.00435477031152381,0.00361228175797712,0.00252179788664343,0.00470276562931081,0.0125569794443967,0.0105329684433317,0.0145809904454616,0.00348395853017861,0.00333681256560777,0.00363110449474946,0.00361228175797712
2020-05-15,"AT","Austria","AUT",8858775,4,8,910,166,908,46,151,12185,2288,12178,0.0043956043956044,9.74689509579884e-05,0.0086937398402508,0.00879120879120879,0.00272616047704475,0.0148562571053728,0.00344942232565872,0.00292559266039842,0.00397325199091901,0.00377513336068937,0.00268625300638532,0.00486401371499343,0.0123922855970455,0.0104280061704825,0.0143565650236086,0.00354490157010632,0.00339990653596666,0.00368989660424597,0.00377513336068937
2020-05-16,"AT","Austria","AUT",8858775,2,6,915,316,914,47,153,12789,2564,12781,0.00218579234972678,0,0.00521177780716606,0.00655737704918033,0.0013277102809125,0.0117870438174482,0.00652326493538665,0.00580638171099024,0.00724014815978306,0.00367503323168348,0.00262630987791674,0.00472375658545022,0.011963406052076,0.0100791334473716,0.0138476786567804,0.00378509963935264,0.00363886747310183,0.00393133180560344,0.00367503323168348
2020-05-17,"AT","Austria","AUT",8858775,3,11,891,139.3,887,48,149,12647,2476.3,12636,0.00336700336700337,0,0.00717063670479761,0.0123456790123457,0.00509515803122188,0.0195961999934695,0.00296313628725192,0.0024717989501647,0.00345447362433914,0.0037953664900767,0.00272371031734489,0.00486702266280851,0.0117814501462797,0.00990092039974996,0.0136619798928095,0.00369758163259212,0.00355221664175051,0.00384294662343372,0.0037953664900767
