ISO2,ISO_3,country_agg,date,first_date,count,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope
VI,VIR,"Virgin Islands, U.S.",2020-07-14,2020-04-24,100,0.02,0.0274394957835608,0.0151183029743433,0.000141320361553399,0.01,0.0195013954179879,0.0120338689812921,0.000126280081062544,0.00288912964969303,0.00141360104121051,0.02,0.0274394957835608,0.0147119558367228,0.000137548355298097,0.01,0.0195013954179879,0.0117104247281014,0.000122904651438583,0.00316140112130701,0.00146483280148536,,,,,
VI,VIR,"Virgin Islands, U.S.",2020-07-16,2020-04-24,100,0.02,0.0274394957835608,0.0150444825069083,0.000140635585126899,0.01,0.0195013954179879,0.0119751093549797,0.000125667210736543,0.00288912964969303,0.00141360104121051,0.02,0.0274394957835608,0.0145499767293434,0.00013604439545066,0.01,0.0195013954179879,0.0115814925748552,0.000121558878923984,0.00332676641694621,0.00149132333321823,,,,,
VI,VIR,"Virgin Islands, U.S.",2020-07-17,2020-04-26,100,0.02,0.0274394957835608,0.014980519460886,0.000140042206533244,0.01,0.0195013954179879,0.0119241960403846,0.000125136148689663,0.00306970025279884,0.00145697465888422,0.02,0.0274394957835608,0.0144526540099114,0.000135140729890089,0.01,0.0195013954179879,0.0115040256226096,0.00012075026770811,0.00344869289601259,0.00150999633695475,,,,,
VI,VIR,"Virgin Islands, U.S.",2020-07-20,2020-04-30,100,0.02,0.0274394957835608,0.0147802126359638,0.000138183728602525,0.01,0.0195013954179879,0.0117647557850026,0.000123472894898711,0.00303084328757354,0.00143855997596047,0.02,0.0274394957835608,0.0141085284524372,0.000131945253412317,0.01,0.0195013954179879,0.0112301085117549,0.000117890950022195,0.00407900008228684,0.00160031428829236,,,,,
VI,VIR,"Virgin Islands, U.S.",2020-07-22,2020-05-03,100,0.02,0.0274394957835608,0.0147101254035317,0.000137533358081225,0.01,0.0195013954179879,0.011708967739626,0.000122890859490189,0.00303084328757354,0.00143855997596047,0.02,0.0274394957835608,0.0138588329853754,0.000129626439692925,0.01,0.0195013954179879,0.0110313558778817,0.000115816107923337,0.00482873361503668,0.00170142588415772,,,,,
VI,VIR,"Virgin Islands, U.S.",2020-07-23,2020-05-07,100,0.02,0.0274394957835608,0.0132187198118758,0.000123682857495389,0.01,0.0195013954179879,0.0105218385017472,0.000110497711428843,0.00387323943661972,0.00161535655897614,0.02,0.0274394957835608,0.0137357172315777,0.000128483042301757,0.01,0.0195013954179879,0.0109333581824228,0.000114793025823927,0.00533978258650811,0.00176844156950691,,,,,
VI,VIR,"Virgin Islands, U.S.",2020-07-25,2020-05-08,100,0.02,0.0274394957835608,0.0132525055411416,0.000123996855765452,0.01,0.0195013954179879,0.0105487312713995,0.000110778627114622,0.00387323943661972,0.00161535655897614,0.0200004245810378,0.0274397503192634,0.0135033551910851,0.000126324243959994,0.0100004245810378,0.019501732454677,0.0107484289832979,0.000112861544228463,0.00668609312937354,0.0019411682477216,7.07635062953867e-08,-0.000201433440939619,7.07635062950976e-08,-0.000160332624133921,0.000587448668011088
VI,VIR,"Virgin Islands, U.S.",2020-07-26,2020-05-09,100,0.02,0.0274394957835608,0.0132512975775795,0.000123985629364471,0.01,0.0195013954179879,0.0105477697563891,0.000110768583482663,0.00387323943661972,0.00161535655897614,0.0200012490077654,0.0274402445618643,0.0133966614209355,0.000125331950375751,0.0100012490077654,0.0195023868928878,0.0106635539512336,0.000111973935392614,0.00753452586715483,0.00204831928544715,2.08167960907141e-07,-0.000192219218067987,2.08167960907141e-07,-0.000152989770603604,0.000701293241701438
VI,VIR,"Virgin Islands, U.S.",2020-07-27,2020-05-09,100,0.02,0.0274394957835608,0.013205623926168,0.000123561143854197,0.01,0.0195013954179879,0.0105114144367533,0.000110388821973943,0.00387323943661972,0.00161535655897614,0.020002825030244,0.0274411893850033,0.0132972473307425,0.000124406085557446,0.0100028250302439,0.0195036379553491,0.0105845199309973,0.000111145991160122,0.00849963441721682,0.0021692254367734,4.70838373991857e-07,-0.000192567779861476,4.70838373991857e-07,-0.000153250948602049,0.000841823586867371
VI,VIR,"Virgin Islands, U.S.",2020-07-28,2020-05-09,100,0.02,0.0274394957835608,0.0131648795871664,0.000123182454041027,0.01,0.0195013954179879,0.0104789827519203,0.000110050034219518,0.00382542166579725,0.00159545217783427,0.0200057727470593,0.0274429565368635,0.0132055494628261,0.000123549785769623,0.0100057727470593,0.0195059778825421,0.0105117127098968,0.000110380693963148,0.009572702835403,0.00230278124203295,9.6212450988407e-07,-0.000150496498268529,9.62124509884648e-07,-0.000119732633643011,0.000915617125519361
