ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
PF,PYF,French Polynesia,2020-09-05,2020-04-27,100,2,70,0.04,0.0384072934108425,0.16674937740761,0.000475787802048756,0.03,0.0334344809563718,0.0853754537096719,0.000356682094603852,0.0743227157300133,0.0125860259236071,7,0,,,0.0399022970547418,0.0383228473056023,0.162951796793414,0.00046597252953873,0.0299193641403099,0.0333559169366289,0.0834299378258701,0.000348913915270783,0.0741812757005021,0.012564519333223,,,0.0399022970547418
PF,PYF,French Polynesia,2020-09-06,2020-04-27,101,1,71,0.0396039603960396,0.0380348662281565,0.163613104481765,0.000467716783416897,0.0297029702970297,0.0331085145091172,0.0837696862509612,0.000350280591544946,0.0735320485413961,0.0124574488895548,8,0,,,0.0398976442809872,0.0383230373010399,0.162499524931142,0.000464800393394499,0.0299103456460637,0.0333526203311245,0.0831974260275923,0.000347985836691462,0.0741985002635455,0.0125679985273607,,,0.0398976442809872
PF,PYF,French Polynesia,2020-09-07,2020-04-28,100,1,71,0.04,0.0384072934108425,0.166011714042629,0.000473892644783391,0.03,0.0334344809563718,0.0849977710733145,0.000355177520095501,0.0743227157300133,0.0125860259236071,8,0,,,0.0398876163436359,0.0383206800071855,0.161990777048602,0.000463481398142818,0.0298938954648721,0.0333449743883218,0.0829353924635908,0.000346940561017329,0.0742173808988228,0.0125720152555951,,,0.0398876163436359
PF,PYF,French Polynesia,2020-09-09,2020-04-29,100,1,71,0.04,0.0384072934108425,0.165544463025381,0.000472691201978943,0.03,0.0334344809563718,0.0847585391900291,0.000354224147082201,0.0743227157300133,0.0125860259236071,8,0,,,0.0398396492288581,0.0383020399212396,0.160825112594446,0.00046045620114256,0.0298222301344919,0.0333064037024449,0.0823322297757397,0.00034453795021379,0.0742574665396913,0.0125815375934853,,,0.0398396492288581
PF,PYF,French Polynesia,2020-09-11,2020-05-04,100,2,70,0.04,0.0384072934108425,0.15461716489443,0.000444370968101578,0.03,0.0334344809563718,0.0791637774568548,0.000331852095185478,0.0743227157300133,0.0125860259236071,8,0,,,0.0397282557075276,0.038250919500598,0.159555391837741,0.000457151102441328,0.0296583524829556,0.0332117583562484,0.0816674044431895,0.000341898505890346,0.0742940214447874,0.0125923969530339,,,0.0397282557075276
PF,PYF,French Polynesia,2020-09-14,2020-05-06,100,2,69,0.04,0.0384072934108425,0.155106579267118,0.000445648494062933,0.03,0.0334344809563718,0.0794143569478838,0.000332857218549127,0.0743227157300133,0.0125860259236071,8,0,,,0.0393717510127579,0.0380758809304629,0.157835101780097,0.000452620181025919,0.0291008325751029,0.0328794047816807,0.0807309209700333,0.000338214486746971,0.0743249177770371,0.0126081554074508,,,0.0393717510127579
PF,PYF,French Polynesia,2020-09-16,2020-05-08,100,1,69,0.04,0.0384072934108425,0.15478741885265,0.000444815481269733,0.03,0.0334344809563718,0.0792509472511584,0.000332201783407608,0.0743227157300133,0.0125860259236071,8,0,,,0.038991394950546,0.0378847446843879,0.157029409313116,0.0004504160799109,0.0284384208681636,0.0324805891249646,0.0802429203554048,0.000336333388431839,0.0743316902030606,0.0126167996996739,,,0.038991394950546
PF,PYF,French Polynesia,2020-09-17,2020-05-09,100,1,69,0.04,0.0384072934108425,0.158049250425572,0.000453311820298373,0.03,0.0334344809563718,0.0809210005658522,0.000338894501730564,0.0751305713357743,0.0127172776171975,8,0,,,0.0387677130496961,0.0377715676251476,0.15674911663872,0.000449600621765508,0.0280097086411635,0.0322219207673574,0.0800458533007378,0.000335590467122922,0.0743369310356443,0.0126206672695532,,,0.0387677130496961
PF,PYF,French Polynesia,2020-09-18,2020-05-12,100,1,69,0.04,0.0384072934108425,0.157074233668148,0.000450776091321473,0.03,0.0334344809563718,0.0804217933164235,0.000336895294933692,0.0751305713357743,0.0127172776171975,8,0,,,0.0385319273439245,0.037651852709577,0.156544511210558,0.000448955755501434,0.0275180009296521,0.0319250436882109,0.0798753633061012,0.000334960217501782,0.0743480587848656,0.012624504263084,,,0.0385319273439245
PF,PYF,French Polynesia,2020-09-19,2020-05-13,100,1,69,0.04,0.0384072934108425,0.155764419643664,0.000447364322832717,0.03,0.0334344809563718,0.0797511703230779,0.000334207782785662,0.0739187879271328,0.0126225630716496,8,0,,,0.0382945609556281,0.0375309238257988,0.156406001245645,0.000448453516322652,0.0269690927656691,0.0315935076635016,0.0797257315225246,0.000334419133375689,0.0743690509736626,0.0126285914058208,,,0.0382945609556281
