ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
GW,GNB,Guinea-Bissau,2020-10-18,2020-04-29,100,3,76,0.03,0.0334344809563718,0.0116197172959517,0.000101975588898221,0.02,0.0274394957835608,0.007873017335474,8.40989626716065e-05,0.0162221697333034,0.00357074014705109,7,2,,,0.03,0.0334344809563718,0.0113027649433897,9.92096519619271e-05,0.02,0.0274394957835608,0.00765826414461026,8.18137050370711e-05,0.0162221697333034,0.00357074014705109,,,0.03
GW,GNB,Guinea-Bissau,2020-10-19,2020-05-03,100,1,76,0.03,0.0334344809563718,0.0111804704833666,9.81425234923676e-05,0.02,0.0274394957835608,0.00757540271353826,8.09320023953658e-05,0.0162221697333034,0.00357074014705109,7,2,,,0.03,0.0334344809563718,0.0112894150348178,9.9093131740281e-05,0.02,0.0274394957835608,0.0076492188245791,8.17174397345986e-05,0.0162221697333034,0.00357074014705109,,,0.03
GW,GNB,Guinea-Bissau,2020-10-20,2020-05-05,100,1,76,0.03,0.0334344809563718,0.0111498935758809,9.787563168267e-05,0.02,0.0274394957835608,0.00755468512492845,8.07115079673157e-05,0.0162221697333034,0.00357074014705109,7,2,,,0.03,0.0334344809563718,0.0112726731638203,9.89470021795351e-05,0.02,0.0274394957835608,0.00763787525767169,8.15967131437668e-05,0.0162221697333034,0.00357074014705109,,,0.03
GW,GNB,Guinea-Bissau,2020-10-31,2020-05-06,100,1,76,0.03,0.0334344809563718,0.0108065081614605,9.48778062672954e-05,0.02,0.0274394957835608,0.00732202203583396,7.82349890163503e-05,0.0162221697333034,0.00357074014705109,7,2,,,0.0299946549478679,0.0334286151872704,0.0108619175616084,9.53614846671809e-05,0.0199964366319119,0.027434656322198,0.00735956504628782,7.86345736290175e-05,0.016221442977463,0.0035703211022087,,,0.0299946549478679
GW,GNB,Guinea-Bissau,2020-11-01,2020-05-09,100,1,76,0.03,0.0334344809563718,0.0108007148030655,9.48272200523061e-05,0.02,0.0274394957835608,0.00731809670702322,7.81932019142312e-05,0.0162221697333034,0.00357074014705109,7,2,,,0.0299914600508389,0.033425109042183,0.0108428627006048,9.51951456932484e-05,0.0199943067005593,0.0274317636318467,0.00734665429749888,7.8497156400834e-05,0.0162217202170034,0.00357014591698885,,,0.0299914600508389
GW,GNB,Guinea-Bissau,2020-11-14,2020-05-09,101,1,77,0.0297029702970297,0.0331085145091172,0.0107079956470841,9.40175779921229e-05,0.0198019801980198,0.0271705622473482,0.00725527422143432,7.75244023068742e-05,0.0160531887985815,0.00353384839802315,7,2,,,0.0296602355636503,0.0331629149469239,0.0107734554618518,9.49546753941713e-05,0.019705670915522,0.0271545695686766,0.00726844492122211,7.80562762546143e-05,0.017983939147081,0.00372771152625617,,,0.0296602355636503
GW,GNB,Guinea-Bissau,2020-11-19,2020-05-11,100,2,76,0.03,0.0334344809563718,0.01127188648478,9.8940402224847e-05,0.02,0.0274394957835608,0.00763734223801519,8.1591188571238e-05,0.0176780054785999,0.00372476455933655,6,2,,,0.0289590310734634,0.0327548698299741,0.0104476210890015,9.34117805548654e-05,0.0189961881735245,0.026600687451861,0.00693666268076157,7.59191578404348e-05,0.0205575801834117,0.00395766156141231,,,0.0289590310734634
GW,GNB,Guinea-Bissau,2020-11-21,2020-05-12,100,1,76,0.03,0.0334344809563718,0.0108175252822701,9.49740042977459e-05,0.02,0.0274394957835608,0.00732948675988116,7.83144543048925e-05,0.0176780054785999,0.00372476455933655,6,2,,,0.0283786022627819,0.0324064981336939,0.0101798700837483,9.21108617791403e-05,0.0184160070502324,0.0261398271280653,0.00666684348086204,7.4157586803538e-05,0.0219423835867564,0.00407919873280719,,,0.0283786022627819
GW,GNB,Guinea-Bissau,2020-11-24,2020-05-14,100,2,76,0.03,0.0334344809563718,0.0104848575099695,9.20687779251748e-05,0.02,0.0274394957835608,0.00710408548104036,7.59146931673592e-05,0.0176780054785999,0.00372476455933655,7,2,,,0.0270730389603372,0.0316208521904095,0.00959090985365961,8.92852663123078e-05,0.0171123741361189,0.0251027509879905,0.00607025843757182,7.02885562479347e-05,0.0243110358050295,0.00428786741137803,,,0.0270730389603372
GW,GNB,Guinea-Bissau,2020-11-25,2020-05-17,101,2,76,0.0297029702970297,0.0331085145091172,0.010491378615277,9.21257369595344e-05,0.0198019801980198,0.0271705622473482,0.00710850389964941,7.59617396429609e-05,0.0174938595881978,0.00368631039745549,7,2,,,0.0265180924767306,0.0312876153169614,0.00934297242932109,8.8104538280201e-05,0.016557772950643,0.0246620891843151,0.0058183592607584,6.86612000022412e-05,0.0251467205714704,0.00436222294212613,,,0.0265180924767306
