"date","ISO2","country","ISO3","population","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-05-06,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.471698113207547,0.404500583035962,0.538895643379132,0
2020-05-07,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.471698113207547,0.404500583035962,0.538895643379132,0
2020-05-08,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.377358490566038,0.318997688453012,0.435719292679064,0
2020-05-09,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.377358490566038,0.318997688453012,0.435719292679064,0
2020-05-10,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.314465408805031,0.263434223264162,0.365496594345901,0
2020-05-11,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.314465408805031,0.263434223264162,0.365496594345901,0
2020-05-12,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.314465408805031,0.263434223264162,0.365496594345901,0
2020-05-13,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.314465408805031,0.263434223264162,0.365496594345901,0
2020-05-14,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.314465408805031,0.263434223264162,0.365496594345901,0
2020-05-15,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.314465408805031,0.263434223264162,0.365496594345901,0
2020-05-16,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.314465408805031,0.263434223264162,0.365496594345901,0
2020-05-17,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.308962264150943,0.264980893055023,0.352943635246864,0
2020-05-18,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.274633123689727,0.234579278060159,0.314686969319296,0
2020-05-19,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.353099730458221,0.30446701771529,0.401732443201152,0
2020-05-20,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.116981132075472,0.078284955534534,0.155677308616409,0
2020-05-21,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.0974842767295598,0.0648834055024611,0.130085147956658,0
2020-05-22,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.116981132075472,0.078284955534534,0.155677308616409,0
2020-05-23,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.0974842767295598,0.0648834055024611,0.130085147956658,0
2020-05-24,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.116981132075472,0.078284955534534,0.155677308616409,0
2020-05-25,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.116981132075472,0.078284955534534,0.155677308616409,0
2020-05-26,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.116981132075472,0.078284955534534,0.155677308616409,0
2020-05-27,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.116981132075472,0.078284955534534,0.155677308616409,0
2020-05-28,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.116981132075472,0.078284955534534,0.155677308616409,0
2020-05-29,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.0889487870619946,0.0599818519373485,0.117915722186641,0
2020-05-30,"ST","Sao Tome and Principe","STP",214610,0,0,0,0,0,0,0.0889487870619946,0.0599818519373485,0.117915722186641,0
2020-05-31,"ST","Sao Tome and Principe","STP",214610,0.166666666666667,0,0.464865690619526,0.166666666666667,0,0.464865690619526,0.320754716981132,0.269452707984634,0.37205672597763,0.166666666666667
2020-06-01,"ST","Sao Tome and Principe","STP",214610,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.384905660377359,0.326322449901079,0.443488870853638,0.2
2020-06-02,"ST","Sao Tome and Principe","STP",214610,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.384905660377359,0.326322449901079,0.443488870853638,0.2
2020-06-03,"ST","Sao Tome and Principe","STP",214610,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.384905660377359,0.326322449901079,0.443488870853638,0.2
2020-06-04,"ST","Sao Tome and Principe","STP",214610,0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.481132075471698,0.413874574266159,0.548389576677237,0.25
2020-06-05,"ST","Sao Tome and Principe","STP",214610,0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.481132075471698,0.413874574266159,0.548389576677237,0.25
2020-06-06,"ST","Sao Tome and Principe","STP",214610,0.25,0,0.674344650278564,0.5,0.0100090038649866,0.989990996135013,0.716981132075472,0.656343571875993,0.77761869227495,0.25
2020-06-07,"ST","Sao Tome and Principe","STP",214610,0.25,0,0.674344650278564,0.5,0.0100090038649866,0.989990996135013,0.716981132075472,0.656343571875993,0.77761869227495,0.25
2020-06-08,"ST","Sao Tome and Principe","STP",214610,0.2,0,0.550609016230633,0.4,0,0.829406594492118,0.573584905660377,0.514040591710032,0.633129219610722,0.2
2020-06-09,"ST","Sao Tome and Principe","STP",214610,0.2,0,0.550609016230633,0.4,0,0.829406594492118,0.573584905660377,0.514040591710032,0.633129219610722,0.2
2020-06-10,"ST","Sao Tome and Principe","STP",214610,0.2,0,0.550609016230633,0.4,0,0.829406594492118,0.573584905660377,0.514040591710032,0.633129219610722,0.2
2020-06-11,"ST","Sao Tome and Principe","STP",214610,0.2,0,0.550609016230633,0.4,0,0.829406594492118,0.573584905660377,0.514040591710032,0.633129219610722,0.2
