"date","ISO2","country","ISO3","population","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-05-06,"SC","Seychelles","SYC",98462,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.4,0,0.829406594492118,0,0,0,0.2
2020-05-07,"SC","Seychelles","SYC",98462,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.4,0,0.829406594492118,0,0,0,0.2
2020-05-08,"SC","Seychelles","SYC",98462,0,0,0,0,0,0,0.2,0,0.550609016230633,0,0,0,0
2020-05-09,"SC","Seychelles","SYC",98462,0,0,0,0,0,0,0.125,0,0.354172303767662,0,0,0,0
2020-05-10,"SC","Seychelles","SYC",98462,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,"SC","Seychelles","SYC",98462,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,"SC","Seychelles","SYC",98462,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,"SC","Seychelles","SYC",98462,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,"SC","Seychelles","SYC",98462,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,"SC","Seychelles","SYC",98462,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,"SC","Seychelles","SYC",98462,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,"SC","Seychelles","SYC",98462,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,"SC","Seychelles","SYC",98462,0.166666666666667,0,0.464865690619526,0.166666666666667,0,0.464865690619526,0.166666666666667,0,0.464865690619526,0.0251572327044025,0.00794515684658011,0.0423693085622249,0.166666666666667
2020-05-19,"SC","Seychelles","SYC",98462,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.0242587601078167,0.00860341064185135,0.0399141095737821,0.142857142857143
2020-05-20,"SC","Seychelles","SYC",98462,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.0242587601078167,0.00860341064185135,0.0399141095737821,0.142857142857143
2020-05-21,"SC","Seychelles","SYC",98462,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.0242587601078167,0.00860341064185135,0.0399141095737821,0.142857142857143
2020-05-22,"SC","Seychelles","SYC",98462,0.166666666666667,0,0.464865690619526,0.166666666666667,0,0.464865690619526,0.166666666666667,0,0.464865690619526,0.0283018867924528,0.0100751926658313,0.0465285809190743,0.166666666666667
2020-05-23,"SC","Seychelles","SYC",98462,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.0566037735849057,0.020685182850695,0.0925223643191163,0.333333333333333
2020-05-24,"SC","Seychelles","SYC",98462,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.0566037735849057,0.020685182850695,0.0925223643191163,0.333333333333333
2020-05-25,"SC","Seychelles","SYC",98462,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.0566037735849057,0.020685182850695,0.0925223643191163,0.333333333333333
2020-05-26,"SC","Seychelles","SYC",98462,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.0566037735849057,0.020685182850695,0.0925223643191163,0.333333333333333
