"date","ISO2","country","ISO3","population","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-05-06,"NU","Niue","NIU",1549,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"NU","Niue","NIU",1549,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,"NU","Niue","NIU",1549,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,"NU","Niue","NIU",1549,5,5,0,0,0,0,0,0,0.2,0,0.550609016230633,0.00377358490566038,0,0.0111557073357215,0
2020-05-10,"NU","Niue","NIU",1549,7,7,0,0,0,0,0,0,0.142857142857143,0,0.402082007388211,0.00539083557951483,0,0.0128418500615798,0
2020-05-11,"NU","Niue","NIU",1549,7,7,0,0,0,0,0,0,0.142857142857143,0,0.402082007388211,0.00539083557951483,0,0.0128418500615798,0
2020-05-12,"NU","Niue","NIU",1549,7,7,0,0,0,0,0,0,0.142857142857143,0,0.402082007388211,0.00539083557951483,0,0.0128418500615798,0
2020-05-13,"NU","Niue","NIU",1549,7,7,0,0,0,0,0,0,0.142857142857143,0,0.402082007388211,0.00539083557951483,0,0.0128418500615798,0
2020-05-14,"NU","Niue","NIU",1549,7,7,0,0,0,0,0,0,0.142857142857143,0,0.402082007388211,0.00539083557951483,0,0.0128418500615798,0
2020-05-15,"NU","Niue","NIU",1549,7,7,0,0,0,0,0,0,0.142857142857143,0,0.402082007388211,0.00539083557951483,0,0.0128418500615798,0
2020-05-16,"NU","Niue","NIU",1549,8,8,0,0,0,0,0,0,0.125,0,0.354172303767662,0.00471698113207547,0,0.011238826979279,0
2020-05-17,"NU","Niue","NIU",1549,8,8,0,0,0,0,0,0,0.125,0,0.354172303767662,0.00707547169811321,0,0.0150535993604193,0
2020-05-18,"NU","Niue","NIU",1549,8,8,0,0,0,0,0,0,0.125,0,0.354172303767662,0.00707547169811321,0,0.0150535993604193,0
2020-05-19,"NU","Niue","NIU",1549,9,9,0,0,0,0,0,0,0.111111111111111,0,0.316430196199952,0.00628930817610063,0,0.013383784123693,0
2020-05-20,"NU","Niue","NIU",1549,9,9,0,0,0,0,0,0,0.111111111111111,0,0.316430196199952,0.00628930817610063,0,0.013383784123693,0
2020-05-21,"NU","Niue","NIU",1549,10,10,0,0,0,0,0,0,0.1,0,0.285938509691368,0.00566037735849057,0,0.0120474259703057,0
2020-05-22,"NU","Niue","NIU",1549,10,10,0,0,0,0,0,0,0.1,0,0.285938509691368,0.00566037735849057,0,0.0120474259703057,0
2020-05-23,"NU","Niue","NIU",1549,10,10,0,0,0,0,0,0,0,0,0,0.00377358490566038,0,0.00899353373550594,0
2020-05-24,"NU","Niue","NIU",1549,7,7,0,0,0,0,0,0,0,0,0,0.00269541778975741,0,0.00797121493606835,0
2020-05-25,"NU","Niue","NIU",1549,7,7,0,0,0,0,0,0,0,0,0,0.00269541778975741,0,0.00797121493606835,0
2020-05-26,"NU","Niue","NIU",1549,7,7,0,0,0,0,0,0,0,0,0,0.00269541778975741,0,0.00797121493606835,0
2020-05-27,"NU","Niue","NIU",1549,7,7,0,0,0,0,0,0,0,0,0,0.00269541778975741,0,0.00797121493606835,0
2020-05-28,"NU","Niue","NIU",1549,8,8,0,0,0,0,0,0,0,0,0,0.00235849056603774,0,0.00697559278741737,0
2020-05-29,"NU","Niue","NIU",1549,8,8,0,0,0,0,0,0,0,0,0,0.00235849056603774,0,0.00697559278741737,0
2020-05-30,"NU","Niue","NIU",1549,9,9,0,0,0,0,0,0,0,0,0,0.010482180293501,0.00134259428926934,0.0196217662977328,0
2020-05-31,"NU","Niue","NIU",1549,8,8,0,0,0,0,0,0,0,0,0,0.00943396226415094,0.000232561493248209,0.0186353630350537,0
2020-06-01,"NU","Niue","NIU",1549,7,7,0,0,0,0,0,0,0,0,0,0.0107816711590297,0.000272940662938622,0.0212904016551207,0
2020-06-02,"NU","Niue","NIU",1549,7,7,0,0,0,0,0,0,0,0,0,0.0107816711590297,0.000272940662938622,0.0212904016551207,0
2020-06-03,"NU","Niue","NIU",1549,6,6,0,0,0,0,0,0,0,0,0,0.0125786163522013,0.000329571335091925,0.0248276613693106,0
2020-06-04,"NU","Niue","NIU",1549,5,5,0,0,0,0,0,0,0,0,0,0.0150943396226415,0.000414222198662526,0.0297744570466205,0
