"date","ISO2","country","ISO3","population","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-04-23,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,"NR","Nauru","NRU",11832,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,"NR","Nauru","NRU",11832,1,1,1,100,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-05,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-06,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,2,100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,1,0.5,0,1,0.943396226415094,0.899405116625756,0.987387336204432,0.5
2020-05-07,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,2,100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,1,0.5,0,1,0.943396226415094,0.899405116625756,0.987387336204432,0.5
2020-05-08,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,1,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
2020-05-09,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,1,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
2020-05-10,"NR","Nauru","NRU",11832,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-12,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-13,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-14,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-15,"NR","Nauru","NRU",11832,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-17,"NR","Nauru","NRU",11832,0,0,1,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,"NR","Nauru","NRU",11832,0,0,1,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-20,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-21,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-22,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-23,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-24,"NR","Nauru","NRU",11832,0,0,1,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-26,"NR","Nauru","NRU",11832,0,0,1,0,1,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-28,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-05-29,"NR","Nauru","NRU",11832,0,1,1,13,1,0,1,5,13,5,0,0,0,1,1,1,0.245283018867925,0.129449044285983,0.361116993449866,0,0,0,0.2,0,0.550609016230633,0.0490566037735849,0.0230519409755505,0.0750612665716194,0
2020-05-30,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,1,5,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.2,0,0.550609016230633,0.0490566037735849,0.0230519409755505,0.0750612665716194,0
2020-05-31,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,1,4,13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.25,0,0.674344650278564,0.0613207547169811,0.0290252174392754,0.0936162919946868,0
2020-06-01,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,1,3,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.333333333333333,0,0.866767964039479,0.0817610062893082,0.0391717056479707,0.124350306930646,0
2020-06-02,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,1,3,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.333333333333333,0,0.866767964039479,0.0817610062893082,0.0391717056479707,0.124350306930646,0
2020-06-03,"NR","Nauru","NRU",11832,0,0,2,0,2,0,1,5,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.550609016230633,0.0490566037735849,0.0230519409755505,0.0750612665716194,0
2020-06-04,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,1,5,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.2,0,0.550609016230633,0.0490566037735849,0.0230519409755505,0.0750612665716194,0
2020-06-05,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,1,5,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.2,0,0.550609016230633,0.0490566037735849,0.0230519409755505,0.0750612665716194,0
2020-06-06,"NR","Nauru","NRU",11832,0,0,4,1,4,0,1,9,14,9,0,0,0,0,0,0,0.00471698113207547,0,0.0139402639808974,0,0,0,0.111111111111111,0,0.316430196199952,0.0293501048218029,0.0142031602628355,0.0444970493807704,0
2020-06-07,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,1,8,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.125,0,0.354172303767662,0.0330188679245283,0.0160107893978949,0.0500269464511617,0
2020-06-08,"NR","Nauru","NRU",11832,0,0,1,9,1,0,1,9,23,9,0,0,0,0,0,0,0.169811320754717,0.0687274463244833,0.270895195184951,0,0,0,0.111111111111111,0,0.316430196199952,0.0482180293501048,0.0289932056025185,0.0674428530976911,0
2020-06-09,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,1,8,23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.125,0,0.354172303767662,0.0542452830188679,0.0326859455571856,0.0758046204805503,0
2020-06-10,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,1,8,23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.125,0,0.354172303767662,0.0542452830188679,0.0326859455571856,0.0758046204805503,0
2020-06-11,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,1,8,23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.125,0,0.354172303767662,0.0542452830188679,0.0326859455571856,0.0758046204805503,0
2020-06-12,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,7,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0269541778975741,0.0104747994440159,0.0434335563511324,0
2020-06-13,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,7,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0269541778975741,0.0104747994440159,0.0434335563511324,0
2020-06-14,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,7,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0269541778975741,0.0104747994440159,0.0434335563511324,0
2020-06-15,"NR","Nauru","NRU",11832,0,0,1,0,1,0,0,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235849056603774,0.00914050665427828,0.0380293046664764,0
2020-06-16,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,8,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0235849056603774,0.00914050665427828,0.0380293046664764,0
2020-06-17,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,6,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0314465408805031,0.0122650319079282,0.0506280498530781,0
2020-06-18,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,6,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0314465408805031,0.0122650319079282,0.0506280498530781,0
2020-06-19,"NR","Nauru","NRU",11832,1,1,1,20,1,1,1,7,30,7,1,1,1,1,1,1,0.377358490566038,0.246859769819899,0.507857211312177,0.142857142857143,0,0.402082007388211,0.142857142857143,0,0.402082007388211,0.0808625336927224,0.0531213464647764,0.108603720920668,0.142857142857143
2020-06-20,"NR","Nauru","NRU",11832,0,0,1,0,1,1,1,4,29,4,0,0,0,0,0,0,0,0,0,0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.136792452830189,0.0905363709129138,0.183048534747464,0.25
2020-06-21,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,4,29,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.136792452830189,0.0905363709129138,0.183048534747464,0.25
2020-06-22,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,3,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.125786163522013,0.0742425570591192,0.177329769984906,0.333333333333333
2020-06-23,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,3,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.125786163522013,0.0742425570591192,0.177329769984906,0.333333333333333
2020-06-24,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,3,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.125786163522013,0.0742425570591192,0.177329769984906,0.333333333333333
2020-06-25,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,3,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.125786163522013,0.0742425570591192,0.177329769984906,0.333333333333333
2020-06-26,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,3,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.125786163522013,0.0742425570591192,0.177329769984906,0.333333333333333
2020-06-27,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,3,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.125786163522013,0.0742425570591192,0.177329769984906,0.333333333333333
2020-06-28,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,3,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.125786163522013,0.0742425570591192,0.177329769984906,0.333333333333333
2020-06-29,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,2,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,1,0.5,0,1,0.188679245283019,0.114196870257605,0.263161620308433,0.5
2020-06-30,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,2,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,1,0.5,0,1,0.188679245283019,0.114196870257605,0.263161620308433,0.5
2020-07-01,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,1,1,2,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,1,0.5,0,1,0.188679245283019,0.114196870257605,0.263161620308433,0.5
2020-07-02,"NR","Nauru","NRU",11832,0,0,1,0,1,1,1,3,20,3,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.866767964039479,0.333333333333333,0,0.866767964039479,0.125786163522013,0.0742425570591192,0.177329769984906,0.333333333333333
2020-07-03,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-07-04,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-07-05,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-07-06,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-07-07,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-07-08,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-07-09,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-07-10,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-07-11,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2020-07-12,"NR","Nauru","NRU",11832,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
