"date","ISO2","country","ISO3","population","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-05-06,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.0251572327044025,0.000815681589675536,0.0494987838191295,0
2020-05-07,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.0150943396226415,0.000414222198662526,0.0297744570466205,0
2020-05-08,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.0125786163522013,0.000329571335091925,0.0248276613693106,0
2020-05-09,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00838574423480084,0.00020239494622651,0.0165690935233752,0
2020-05-10,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00943396226415094,0.00120397921936795,0.0176639453089339,0
2020-05-11,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00235849056603774,0,0.00697559278741737,0
2020-05-12,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00235849056603774,0,0.00697559278741737,0
2020-05-13,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00235849056603774,0,0.00697559278741737,0
2020-05-14,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00235849056603774,0,0.00697559278741737,0
2020-05-15,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00209643605870021,0,0.00620106590578278,0
2020-05-16,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00209643605870021,0,0.00620106590578278,0
2020-05-17,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00209643605870021,0,0.00620106590578278,0
2020-05-18,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00235849056603774,0,0.00697559278741737,0
2020-05-19,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00235849056603774,0,0.00697559278741737,0
2020-05-20,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00566037735849057,0,0.0120474259703057,0
2020-05-21,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00707547169811321,0,0.0150535993604193,0
2020-05-22,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.00808625336927224,0,0.0171994714533938,0
2020-05-23,"KN","Saint Kitts and Nevis","KNA",54961,0,0,0,0,0,0,0.0141509433962264,0,0.0300502458133923,0
2020-05-24,"KN","Saint Kitts and Nevis","KNA",54961,0.2,0,0.550609016230633,0.2,0,0.550609016230633,0.0377358490566038,0.0147928931569089,0.0606788049562986,0.2
2020-05-25,"KN","Saint Kitts and Nevis","KNA",54961,0.166666666666667,0,0.464865690619526,0.166666666666667,0,0.464865690619526,0.0314465408805031,0.0122650319079282,0.0506280498530781,0.166666666666667
2020-05-26,"KN","Saint Kitts and Nevis","KNA",54961,0.166666666666667,0,0.464865690619526,0.166666666666667,0,0.464865690619526,0.0314465408805031,0.0122650319079282,0.0506280498530781,0.166666666666667
2020-05-27,"KN","Saint Kitts and Nevis","KNA",54961,0.166666666666667,0,0.464865690619526,0.166666666666667,0,0.464865690619526,0.0314465408805031,0.0122650319079282,0.0506280498530781,0.166666666666667
