ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1.-77,B1_1.1,B1_1.2,B1_2.-77,B1_2.1,B1_2.2,B1_3.-77,B1_3.1,B1_3.2,B1_4.-77,B1_4.1,B1_4.2,B1_5.-77,B1_5.1,B1_5.2,B1_6.-77,B1_6.1,B1_6.2,B1_7.-77,B1_7.1,B1_7.2,B1_8.-77,B1_8.1,B1_8.2,B1_9.-77,B1_9.1,B1_9.2,B1_10.-77,B1_10.1,B1_10.2,B1_11.-77,B1_11.1,B1_11.2,B1_12.-77,B1_12.1,B1_12.2,B1_13.-77,B1_13.1,B1_13.2,B1_14.-77,B1_14.1,B1_14.2,B1b_x1.-99,B1b_x1.-77,B1b_x1.1,B1b_x1.2,B1b_x2.-99,B1b_x2.-77,B1b_x2.1,B1b_x2.2,B1b_x3.-99,B1b_x3.-77,B1b_x3.1,B1b_x3.2,B1b_x4.-99,B1b_x4.-77,B1b_x4.1,B1b_x4.2,B1b_x5.-99,B1b_x5.-77,B1b_x5.1,B1b_x5.2,B1b_x6.-99,B1b_x6.-77,B1b_x6.1,B1b_x6.2,B1b_x7.-99,B1b_x7.-77,B1b_x7.1,B1b_x7.2,B1b_x8.-99,B1b_x8.-77,B1b_x8.1,B1b_x8.2,B1b_x9.-99,B1b_x9.-77,B1b_x9.1,B1b_x9.2,B1b_x10.-99,B1b_x10.-77,B1b_x10.1,B1b_x10.2,B1b_x11.-99,B1b_x11.1,B1b_x11.2,B1b_x12.-99,B1b_x12.-77,B1b_x12.1,B1b_x12.2,B1b_x13.-99,B1b_x13.1,B1b_x13.2,B1b_x14.-99,B1b_x14.-77,B1b_x14.1,B1b_x14.2,B3.-99,B3.-77,B3.1,B3.2,B5.-99,B5.1,B5.2,B6.-99,B6.-77,B6.1,B6.2,B7.-99,B7.-77,B7.1,B7.2,B8.-99,B8.1,B8.2,B8.3,B9.-99,B9.1,B9.2,B9.3,B10.-99,B10.1,B11.-99,B11.-77,B11.1,B11.2,V1.-99,V1.-77,V1.1,V1.2,V1.3,V2.-99,V3.-99,V3.-77,V3.1,V3.2,V3.3,V3.4,V4_1.-99,V4_1.-77,V4_1.1,V4_1.2,V4_1.3,V4_2.-99,V4_2.-77,V4_2.1,V4_2.2,V4_2.3,V4_3.-99,V4_3.-77,V4_3.1,V4_3.2,V4_3.3,V4_4.-99,V4_4.-77,V4_4.1,V4_4.2,V4_4.3,V4_5.-99,V4_5.-77,V4_5.1,V4_5.2,V4_5.3,V9.-99,B12_1.-99,B12_1.-77,B12_1.1,B12_1.2,B12_2.-99,B12_2.-77,B12_2.1,B12_2.2,B12_3.-99,B12_3.-77,B12_3.1,B12_3.2,B12_4.-99,B12_4.-77,B12_4.1,B12_4.2,B12_5.-99,B12_5.-77,B12_5.1,B12_5.2,B12_6.-99,B12_6.-77,B12_6.1,B12_6.2,B13_1.-99,B13_1.-77,B13_1.1,B13_1.2,B13_2.-99,B13_2.-77,B13_2.1,B13_2.2,B13_3.-99,B13_3.-77,B13_3.1,B13_3.2,B13_4.-99,B13_4.-77,B13_4.1,B13_4.2,B13_5.-99,B13_5.-77,B13_5.1,B13_5.2,B13_6.-99,B13_6.-77,B13_6.1,B13_6.2,B13_7.-99,B13_7.-77,B13_7.1,B13_7.2,B14_1.-99,B14_1.-77,B14_1.1,B14_1.2,B14_2.-99,B14_2.-77,B14_2.1,B14_2.2,B14_3.-99,B14_3.-77,B14_3.1,B14_3.2,B14_4.-99,B14_4.-77,B14_4.1,B14_4.2,B14_5.-99,B14_5.-77,B14_5.1,B14_5.2,C0_1.-99,C0_1.-77,C0_1.1,C0_1.2,C0_2.-99,C0_2.-77,C0_2.1,C0_2.2,C0_3.-99,C0_3.-77,C0_3.1,C0_3.2,C0_4.-99,C0_4.-77,C0_4.1,C0_4.2,C0_5.-99,C0_5.-77,C0_5.1,C0_5.2,C0_6.-99,C0_6.-77,C0_6.1,C0_6.2,C1_m.-99,C1_m.-77,C1_m.1,C1_m.2,C2.-99,C2.-77,C2.1,C2.2,C2.3,C2.4,C7.-99,C7.-77,C7.1,C7.2,C7.3,C7.4,C8.-99,C8.-77,C8.1,C8.2,C3.-99,C3.-77,C3.1,C3.2,C5.-99,C5.-77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6.-99,C6.-77,C6.1,C6.2,C6.3,C6.4,C14.-99,C14.-77,C14.1,C14.2,C14.3,C14.4,C9.-99,C12.-99,C13_1.-99,C13_1.-77,C13_1.1,C13_1.2,C13_2.-99,C13_2.-77,C13_2.1,C13_2.2,C13_3.-99,C13_3.-77,C13_3.1,C13_3.2,C13_4.-99,C13_4.-77,C13_4.1,C13_4.2,C13_5.-99,C13_5.-77,C13_5.1,C13_5.2,C13_6.-99,C13_6.-77,C13_6.1,C13_6.2,D1.-99,D1.-77,D1.1,D1.2,D1.3,D1.4,D1.5,D2.-99,D2.-77,D2.1,D2.2,D2.3,D2.4,D2.5,D3.-99,D3.-77,D3.1,D3.2,D3.3,D3.4,D4.-99,D4.-77,D4.1,D4.2,D4.3,D4.4,D5.-99,D5.-77,D5.1,D5.2,D5.3,D5.4,D6_1.-99,D6_1.-77,D6_1.1,D6_1.2,D6_2.-99,D6_2.-77,D6_2.1,D6_2.2,D6_3.-99,D6_3.-77,D6_3.1,D6_3.2,D7.-99,D7.-77,D7.1,D7.2,D8.-99,D8.-77,D8.1,D8.2,D9.-99,D9.-77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10.-99,D10.-77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3.-99,E3.-77,E3.1,E3.2,E3.3,E3.4,E4.-99,E4.-77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2.-99,E2.-77,E2.1,E2.2,E2.3,E7.-99,E7.-77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
NZL,New Zealand,Auckland,2021-01-01,2021-01-01,134,0,0,0,0,10,128,697462.096449145,102,0,0,134,1,12,121,0,2,132,1,22,111,1,14,119,0,22,112,1,1,132,1,1,132,1,5,128,1,1,132,1,5,128,1,20,113,1,1,132,1,16,117,134,0,0,0,122,0,1,11,132,0,1,1,112,0,8,14,120,0,3,11,112,0,3,19,133,0,0,1,133,0,1,0,129,0,1,4,133,0,1,0,129,2,3,114,0,3,17,133,1,0,118,0,5,11,6,0,4,124,130,3,1,7,4,52,71,82,3,3,46,131,0,3,0,131,0,3,0,134,0,17,3,0,114,134,0,0,0,0,0,7,0,53,39,26,9,11,2,29,80,12,11,2,56,58,7,11,2,46,63,12,11,1,51,59,12,11,5,17,63,38,0,134,0,0,0,134,0,0,0,134,0,0,0,134,0,0,0,134,0,0,0,134,0,0,0,17,4,1,112,17,5,2,110,17,4,2,111,17,5,1,111,17,5,11,101,17,4,8,105,17,5,9,103,117,0,0,17,117,0,0,17,117,0,1,16,117,0,1,16,117,0,2,15,18,0,32,84,18,0,91,25,18,0,80,36,18,0,88,28,18,0,60,56,18,0,25,91,20,0,87,27,47,0,36,15,10,26,21,0,1,7,37,68,21,1,112,0,23,0,10,101,23,0,3,0,11,16,77,4,23,0,16,10,49,36,23,0,5,15,32,59,134,134,103,1,3,27,44,2,7,81,55,2,9,68,47,2,8,77,75,2,5,52,110,2,17,5,25,2,1,2,6,6,92,25,0,0,2,9,9,89,27,1,11,16,47,32,27,0,1,3,13,90,27,0,4,13,28,62,117,2,10,5,117,4,2,11,117,3,4,10,28,0,47,59,75,0,32,27,104,1,5,2,1,0,0,0,21,57,0,1,7,6,8,2,5,11,3,0,1,8,3,3,5,14,32,2,45,55,0,0,32,0,12,13,20,20,22,10,5,32,0,70,17,15,32,0,17,18,36,21,10,4.267857142857143,5.251808593855407,3,2.6457513110645907,13.553763440860216,5.387920449442295,3.1683168316831685,1.7033455722823425
NZL,New Zealand,Auckland,2021-01-02,2021-01-01,100,0,0,0,0,9,93,540188.0596050868,71,0,0,100,1,7,92,0,2,98,1,22,77,1,10,89,0,18,82,1,0,99,1,1,98,1,4,95,1,1,98,1,4,95,1,14,85,1,0,99,1,14,85,100,0,0,0,93,0,1,6,98,0,1,1,78,0,9,13,90,0,2,8,82,0,3,15,100,0,0,0,99,0,1,0,96,0,1,3,99,0,1,0,96,2,2,86,0,1,13,100,0,0,86,0,3,11,7,0,3,90,97,2,1,9,3,36,52,64,1,3,32,97,0,3,0,97,0,3,0,100,0,16,1,0,83,100,0,0,0,0,0,9,0,39,31,18,3,12,1,25,55,7,12,1,45,38,4,12,1,38,40,9,12,0,42,38,8,12,3,14,46,25,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,3,1,79,17,3,2,78,17,3,1,79,17,4,1,78,17,4,7,72,17,3,5,75,17,4,5,74,89,0,0,11,89,0,0,11,89,0,1,10,89,0,1,10,89,0,2,9,17,0,21,62,17,0,68,15,17,0,55,28,17,0,64,19,17,0,42,41,17,0,18,65,18,0,61,21,39,0,24,12,6,19,19,0,1,6,25,49,19,1,80,0,22,0,5,73,22,0,2,0,9,9,55,3,22,0,10,8,36,24,22,0,4,11,26,37,100,100,79,1,2,18,32,2,7,59,45,2,8,45,36,2,5,57,58,2,4,36,82,2,12,4,23,1,1,2,5,4,64,23,0,0,2,5,8,62,24,0,8,9,36,23,24,0,1,2,9,64,24,0,4,9,15,48,87,1,8,4,87,3,1,9,87,3,2,8,26,0,30,44,56,0,25,19,77,0,5,2,1,0,0,0,15,47,0,1,6,5,6,1,3,8,2,0,1,6,1,3,2,8,29,1,36,34,0,0,29,0,9,10,16,10,17,5,4,29,0,49,11,11,29,0,15,12,23,13,8,4.108108108108108,5.450707312836584,4,2.8284271247461903,13.6953125,5.435492696451225,3.1,1.660714007435583
NZL,New Zealand,Auckland,2021-01-03,2021-01-03,151,0,0,0,0,8,145,842614.1683172229,103,3,3,145,1,13,137,4,7,140,5,20,126,5,18,128,4,20,127,3,4,144,4,4,143,5,2,144,4,2,145,4,3,144,5,14,132,5,2,144,5,13,133,148,0,0,3,138,0,7,6,144,0,2,5,131,1,5,14,133,1,6,11,131,0,8,12,147,0,3,1,147,0,2,2,149,0,2,0,149,0,1,1,148,1,2,137,0,5,9,149,0,2,138,1,6,6,6,0,4,141,147,3,1,6,6,65,74,86,4,10,51,141,0,10,0,141,1,9,0,150,1,28,3,2,118,151,0,0,0,0,0,13,2,60,48,19,9,19,1,44,70,17,19,1,67,51,13,19,1,58,53,20,19,1,68,48,15,19,2,25,69,36,0,150,1,0,0,150,0,0,1,150,0,1,0,150,1,0,0,150,1,0,0,150,1,0,0,151,0,0,0,151,0,0,0,151,0,0,0,151,0,0,0,151,0,0,0,151,0,0,0,151,0,0,0,151,0,0,0,151,0,0,0,151,0,0,0,151,0,0,0,151,0,0,0,20,0,39,92,20,1,100,30,20,2,87,42,20,1,79,51,20,1,48,82,20,2,17,112,27,1,77,46,74,0,41,8,12,16,28,1,0,13,35,74,28,3,120,0,32,1,14,104,32,1,6,2,13,18,77,2,32,0,22,17,52,28,33,2,5,23,32,56,151,151,112,0,11,28,54,0,11,86,66,0,8,77,74,0,6,71,105,0,9,37,134,0,14,3,36,1,1,1,6,13,93,36,0,1,3,8,19,84,38,1,18,24,39,31,38,0,2,6,28,77,38,0,9,20,39,45,123,1,18,9,123,2,9,17,123,2,9,17,40,4,50,57,94,0,39,18,116,1,0,0,4,2,0,0,28,66,0,1,9,7,9,0,8,9,3,0,2,10,3,2,4,18,46,3,54,47,1,0,46,1,7,18,27,19,18,14,1,48,3,73,17,10,48,1,8,26,46,17,5,9.156862745098039,10.437188412632223,2.3333333333333335,0.5773502691896257,13.642105263157895,6.044015484782543,3.4361702127659575,1.4995232980029745
NZL,New Zealand,Canterbury,2021-01-03,2021-01-01,100,0,0,0,0,7,100,482751.6418814796,82,0,1,99,0,8,92,0,0,100,0,7,93,0,12,88,0,9,91,0,5,95,0,0,100,0,3,97,0,2,98,0,2,98,0,11,89,0,1,99,0,6,94,99,0,0,1,92,0,4,4,100,0,0,0,93,0,3,4,88,0,4,8,91,0,5,4,95,0,4,1,100,0,0,0,97,0,1,2,98,0,1,1,98,1,1,89,0,4,7,99,1,0,94,0,0,6,0,0,5,95,96,3,1,1,1,20,78,80,0,1,19,99,0,1,0,99,0,1,0,100,0,3,0,2,95,100,0,0,0,0,0,4,0,41,35,15,5,5,1,29,58,7,5,2,54,35,4,5,0,46,42,7,5,1,51,38,5,5,1,18,51,25,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,1,0,99,0,0,1,85,1,0,14,85,0,1,14,85,1,0,14,85,1,0,14,85,0,2,13,85,2,1,12,85,0,3,12,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,7,0,21,72,7,1,71,21,7,0,67,26,7,0,67,26,7,0,35,58,7,0,11,82,9,0,65,26,35,0,28,21,5,11,9,0,0,8,26,57,9,0,91,0,9,1,12,78,9,0,2,0,1,3,82,3,9,0,8,22,29,32,9,0,4,12,27,48,100,100,79,1,1,19,30,0,3,67,34,0,5,61,34,1,3,62,66,0,2,32,89,0,5,6,12,1,1,0,6,9,71,12,0,0,0,8,14,66,12,0,15,26,25,22,12,0,1,4,5,78,12,0,6,5,25,52,90,0,8,2,90,1,0,9,90,1,1,8,14,0,42,44,56,0,23,21,79,1,1,0,2,1,0,1,15,37,1,3,3,6,9,0,2,7,6,0,1,6,1,3,2,13,16,0,28,56,0,0,16,0,6,15,16,14,15,15,3,18,1,50,16,15,18,0,12,28,26,11,5,7.923076923076923,8.912566754523983,1.5,0.5773502691896257,13.707894736842105,5.2524981525085055,2.5121951219512195,1.2397122569273529
NZL,New Zealand,Waikato,2021-01-03,2021-01-01,100,1,4416.62866756636,0,0,6,93,592608.4190005019,71,1,1,98,1,18,81,1,3,96,1,17,82,1,18,81,1,12,87,1,6,93,1,1,98,1,5,94,1,0,99,1,3,96,1,15,84,1,0,99,1,8,91,99,1,0,0,82,0,5,13,97,1,0,2,83,0,2,15,82,0,4,14,88,0,2,10,94,0,3,3,99,0,0,1,95,0,3,2,100,0,0,0,97,0,3,85,0,5,10,100,0,0,92,0,1,7,7,0,2,91,98,2,0,8,1,32,59,69,0,0,31,100,0,0,0,100,0,0,0,100,0,10,0,2,88,100,0,0,0,0,0,10,0,44,22,18,6,12,2,26,51,9,12,3,41,39,5,12,3,38,39,8,12,3,44,36,5,12,5,15,37,31,0,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,68,3,0,29,68,3,0,29,68,3,0,29,68,3,1,28,68,3,2,27,68,3,0,29,68,3,2,27,97,0,0,3,97,0,1,2,97,0,1,2,97,0,1,2,97,0,0,3,16,1,26,57,16,1,67,16,16,1,59,24,16,1,59,24,16,2,36,46,16,1,4,79,17,0,60,23,40,0,32,11,10,7,18,1,0,3,35,43,18,0,82,0,18,2,9,71,18,0,2,3,3,2,70,2,18,0,10,16,34,22,20,0,2,18,21,39,100,100,74,0,1,25,33,1,3,63,41,0,3,56,41,1,4,54,64,0,4,32,96,0,2,2,21,0,0,0,2,10,67,21,0,0,1,2,11,65,21,0,9,27,18,25,21,1,1,2,18,57,21,0,4,10,25,40,87,1,8,4,87,4,2,7,87,5,1,7,22,0,41,37,63,0,16,21,84,1,1,1,0,0,1,0,12,44,0,4,2,6,3,0,0,7,4,0,4,2,5,1,4,14,26,0,32,41,0,1,26,0,5,9,10,9,23,13,5,29,3,14,30,24,29,1,5,17,30,12,6,6.551282051282051,7.7245293433482605,3,2.8284271247461903,12.125,5.691450222377669,2.823529411764706,1.2922406373403055
NZL,New Zealand,Wellington,2021-01-03,2021-01-01,100,1,4645.82969514018,1,4645.82969514018,2,97,383999.2154010612,77,0,2,98,0,7,93,0,4,96,0,17,83,0,15,85,0,17,83,0,4,96,0,3,97,0,2,98,0,1,99,0,3,97,0,17,83,0,0,100,0,8,92,98,1,0,1,93,1,0,6,96,1,1,2,83,0,3,14,85,1,4,10,83,1,3,13,96,0,2,2,97,0,0,3,98,1,0,1,99,0,1,0,97,0,3,83,1,3,13,100,0,0,92,0,2,6,3,0,2,95,99,0,1,4,1,27,68,73,1,0,26,100,0,0,0,100,0,0,0,100,0,6,1,0,93,100,0,0,0,0,0,4,0,45,32,17,2,6,1,25,65,3,6,1,49,41,3,6,1,42,46,5,6,0,49,42,3,6,1,14,58,21,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,74,1,1,24,74,1,0,25,74,1,0,25,74,1,0,25,74,1,2,23,74,1,1,24,74,1,1,24,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,1,2,8,0,21,71,8,0,69,23,8,0,61,31,8,0,67,25,8,1,33,58,8,1,18,73,9,1,65,25,35,0,32,16,7,10,10,0,0,9,31,50,10,0,90,0,12,2,9,77,12,0,0,2,3,3,77,3,12,0,9,18,35,26,13,0,2,11,31,43,100,100,79,0,1,20,32,0,3,65,40,0,3,57,34,0,5,61,67,0,0,33,82,0,4,14,13,1,0,1,5,7,73,13,0,0,0,8,11,68,13,1,6,21,29,30,13,0,2,2,8,75,13,0,3,10,21,53,87,0,9,4,87,3,1,9,87,3,2,8,13,0,41,46,54,0,27,19,78,0,2,2,2,0,0,0,16,37,0,2,1,3,14,1,4,6,3,0,1,7,8,0,2,11,20,0,33,47,0,0,20,0,10,9,13,18,11,13,6,21,1,36,30,12,21,0,7,25,30,12,5,5.2894736842105265,6.721920151736094,1,0,12.43421052631579,5.297384326415669,3.0641025641025643,1.4888306541096998
NZL,New Zealand,Auckland,2021-01-04,2021-01-03,100,0,0,0,0,3,94,532526.9625281714,53,2,3,95,0,6,94,3,4,93,4,16,80,4,9,87,3,18,79,2,4,94,3,1,96,4,1,95,4,1,95,3,0,97,4,9,87,4,1,95,4,9,87,97,0,0,3,94,0,2,4,96,0,1,3,84,1,4,11,91,1,4,4,82,0,8,10,96,0,3,1,99,0,1,0,99,0,1,0,99,0,0,1,100,0,0,91,0,3,6,99,0,1,91,1,4,4,6,0,1,93,99,1,0,6,1,45,48,55,1,5,39,95,0,5,0,95,1,4,0,99,1,13,4,1,82,100,0,0,0,0,0,10,1,37,34,10,8,16,0,28,43,13,16,1,42,31,10,16,1,32,36,15,16,1,41,31,11,16,1,15,44,24,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,18,0,22,60,18,0,63,19,18,1,49,32,18,0,51,31,18,0,34,48,18,1,13,68,25,1,50,24,50,0,22,9,11,8,27,0,0,9,21,43,27,1,72,0,30,0,7,63,30,1,3,3,6,10,44,3,30,0,11,15,33,11,31,0,3,14,22,30,100,100,78,0,6,16,39,0,10,51,52,0,6,42,50,0,5,45,67,0,7,26,87,0,11,2,34,1,1,0,3,9,52,34,0,1,0,2,15,48,36,0,7,14,22,21,36,0,3,4,15,42,36,0,5,12,21,26,85,0,10,5,85,0,4,11,85,0,4,11,39,2,22,37,63,0,25,12,79,1,0,0,1,1,0,0,18,57,0,1,4,4,6,0,5,3,0,0,1,7,1,0,1,10,45,2,31,22,0,0,45,0,4,11,13,7,9,9,2,46,1,40,7,6,46,0,5,11,24,11,3,7.764705882352942,10.027413405651686,3,0,13.627450980392156,6.492952438802321,3.607843137254902,1.5630538234181062
NZL,New Zealand,Canterbury,2021-01-04,2021-01-01,100,0,0,0,0,6,99,485191.4815175752,77,0,1,99,0,7,93,0,1,99,0,8,92,0,13,87,0,8,92,0,6,94,0,1,99,0,3,97,0,2,98,0,1,99,0,10,90,0,1,99,0,4,96,99,0,0,1,93,0,3,4,99,0,1,0,92,0,4,4,87,0,4,9,92,0,5,3,94,0,5,1,99,0,1,0,97,0,1,2,98,0,1,1,99,1,0,90,0,4,6,99,1,0,96,0,0,4,1,0,4,95,96,3,1,1,1,21,77,79,0,1,20,99,0,1,0,99,0,1,0,100,0,3,0,2,95,100,0,0,0,0,0,5,0,39,36,16,4,6,1,28,58,7,6,2,53,34,5,6,0,44,42,8,6,1,52,35,6,6,1,20,47,26,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,1,0,99,0,0,1,91,1,0,8,91,0,1,8,91,1,0,8,91,1,0,8,91,0,2,7,91,2,1,6,91,0,3,6,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,8,0,24,68,8,1,69,22,8,0,65,27,8,0,66,26,8,0,35,57,8,0,12,80,11,0,63,26,37,0,27,21,5,10,11,0,0,7,27,55,11,0,89,0,11,1,12,76,11,0,2,0,1,3,80,3,11,0,9,18,32,30,11,0,4,11,26,48,100,100,76,1,1,22,32,0,3,65,36,0,5,59,35,1,3,61,66,0,2,32,88,0,5,7,15,1,1,0,5,10,68,15,0,0,0,7,12,66,15,0,15,23,24,23,15,0,1,3,4,77,15,0,5,4,23,53,92,0,6,2,92,1,0,7,92,1,1,6,17,0,43,40,60,0,20,20,82,1,0,0,2,1,0,1,13,41,1,3,2,6,9,0,2,6,6,0,1,6,1,1,2,13,21,0,26,53,0,0,21,0,5,13,15,13,15,15,3,23,1,45,16,15,23,0,11,28,24,10,4,9.04,10.03527113070029,1.5,0.5773502691896257,13.60281690140845,5.3671480011264805,2.4415584415584415,1.17533317217655
NZL,New Zealand,Waikato,2021-01-04,2021-01-01,100,1,4416.62866756636,0,0,6,93,592608.4190005019,71,1,1,98,1,18,81,1,3,96,1,17,82,1,18,81,1,12,87,1,6,93,1,1,98,1,5,94,1,0,99,1,3,96,1,15,84,1,0,99,1,8,91,99,1,0,0,82,0,5,13,97,1,0,2,83,0,2,15,82,0,4,14,88,0,2,10,94,0,3,3,99,0,0,1,95,0,3,2,100,0,0,0,97,0,3,85,0,5,10,100,0,0,92,0,1,7,7,0,2,91,98,2,0,8,1,32,59,69,0,0,31,100,0,0,0,100,0,0,0,100,0,10,0,2,88,100,0,0,0,0,0,10,0,44,22,18,6,12,2,26,51,9,12,3,41,39,5,12,3,38,39,8,12,3,44,36,5,12,5,15,37,31,0,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,68,3,0,29,68,3,0,29,68,3,0,29,68,3,1,28,68,3,2,27,68,3,0,29,68,3,2,27,97,0,0,3,97,0,1,2,97,0,1,2,97,0,1,2,97,0,0,3,16,1,26,57,16,1,67,16,16,1,59,24,16,1,59,24,16,2,36,46,16,1,4,79,17,0,60,23,40,0,32,11,10,7,18,1,0,3,35,43,18,0,82,0,18,2,9,71,18,0,2,3,3,2,70,2,18,0,10,16,34,22,20,0,2,18,21,39,100,100,74,0,1,25,33,1,3,63,41,0,3,56,41,1,4,54,64,0,4,32,96,0,2,2,21,0,0,0,2,10,67,21,0,0,1,2,11,65,21,0,9,27,18,25,21,1,1,2,18,57,21,0,4,10,25,40,87,1,8,4,87,4,2,7,87,5,1,7,22,0,41,37,63,0,16,21,84,1,1,1,0,0,1,0,12,44,0,4,2,6,3,0,0,7,4,0,4,2,5,1,4,14,26,0,32,41,0,1,26,0,5,9,10,9,23,13,5,29,3,14,30,24,29,1,5,17,30,12,6,6.551282051282051,7.7245293433482605,3,2.8284271247461903,12.125,5.691450222377669,2.823529411764706,1.2922406373403055
NZL,New Zealand,Wellington,2021-01-04,2021-01-01,100,1,4645.82969514018,1,4645.82969514018,2,97,382266.4885067196,76,0,2,98,0,7,93,0,4,96,0,18,82,0,16,84,0,18,82,0,4,96,0,3,97,0,2,98,0,1,99,0,3,97,0,18,82,0,0,100,0,9,91,98,1,0,1,93,1,0,6,96,1,1,2,82,0,3,15,84,1,4,11,82,1,3,14,96,0,2,2,97,0,0,3,98,1,0,1,99,0,1,0,97,0,3,82,1,3,14,100,0,0,91,0,2,7,3,0,2,95,99,0,1,4,1,27,68,73,1,0,26,100,0,0,0,100,0,0,0,100,0,6,1,0,93,100,0,0,0,0,0,4,0,45,32,17,2,6,1,26,64,3,6,1,49,41,3,6,1,41,47,5,6,0,49,42,3,6,1,14,58,21,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,75,1,1,23,75,1,0,24,75,1,0,24,75,1,0,24,75,1,2,22,75,1,1,23,75,1,1,23,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,1,2,8,0,21,71,8,0,68,24,8,0,61,31,8,0,66,26,8,1,33,58,8,1,19,72,9,1,64,26,36,0,32,15,7,10,10,0,0,9,32,49,10,0,90,0,12,3,8,77,12,0,0,2,3,3,77,3,12,0,9,19,34,26,13,0,2,12,31,42,100,100,79,0,1,20,33,0,3,64,40,0,3,57,35,0,5,60,67,0,0,33,81,0,4,15,13,1,0,1,5,7,73,13,0,0,0,8,12,67,13,2,6,20,29,30,13,0,2,3,8,74,13,0,3,10,20,54,87,0,9,4,87,3,1,9,87,3,2,8,13,0,40,47,53,0,27,20,78,0,2,2,2,0,0,0,16,38,0,2,1,3,14,1,4,5,3,0,1,7,8,0,2,11,21,0,33,46,0,0,21,0,10,9,13,18,11,12,6,22,1,36,29,12,22,0,7,24,30,12,5,5.333333333333333,6.638537145983029,1,0,12.333333333333334,5.259054825504071,3.051948051948052,1.494693278658164
