ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1.-77,B1_1.1,B1_1.2,B1_2.-77,B1_2.1,B1_2.2,B1_3.-77,B1_3.1,B1_3.2,B1_4.-77,B1_4.1,B1_4.2,B1_5.-77,B1_5.1,B1_5.2,B1_6.-77,B1_6.1,B1_6.2,B1_7.-77,B1_7.1,B1_7.2,B1_8.-77,B1_8.1,B1_8.2,B1_9.-77,B1_9.1,B1_9.2,B1_10.-77,B1_10.1,B1_10.2,B1_11.-77,B1_11.1,B1_11.2,B1_12.-77,B1_12.1,B1_12.2,B1_13.-77,B1_13.1,B1_13.2,B1_14.-77,B1_14.1,B1_14.2,B1b_x1.-99,B1b_x1.-77,B1b_x1.1,B1b_x1.2,B1b_x2.-99,B1b_x2.-77,B1b_x2.1,B1b_x2.2,B1b_x3.-99,B1b_x3.-77,B1b_x3.1,B1b_x3.2,B1b_x4.-99,B1b_x4.-77,B1b_x4.1,B1b_x4.2,B1b_x5.-99,B1b_x5.-77,B1b_x5.1,B1b_x5.2,B1b_x6.-99,B1b_x6.-77,B1b_x6.1,B1b_x6.2,B1b_x7.-99,B1b_x7.-77,B1b_x7.1,B1b_x7.2,B1b_x8.-99,B1b_x8.-77,B1b_x8.1,B1b_x8.2,B1b_x9.-99,B1b_x9.-77,B1b_x9.1,B1b_x9.2,B1b_x10.-99,B1b_x10.1,B1b_x10.2,B1b_x11.-99,B1b_x11.-77,B1b_x11.1,B1b_x11.2,B1b_x12.-99,B1b_x12.-77,B1b_x12.1,B1b_x12.2,B1b_x13.-99,B1b_x13.-77,B1b_x13.1,B1b_x13.2,B1b_x14.-99,B1b_x14.-77,B1b_x14.1,B1b_x14.2,B3.-99,B3.-77,B3.1,B3.2,B5.-99,B5.1,B5.2,B6.-99,B6.-77,B6.1,B6.2,B7.-99,B7.-77,B7.1,B7.2,B8.-99,B8.-77,B8.1,B8.2,B8.3,B9.-99,B9.-77,B9.1,B9.2,B10.-99,B10.-77,B10.1,B10.2,B10.3,B11.-99,B11.-77,B11.1,B11.2,V1.-99,V1.-77,V1.1,V1.2,V1.3,V2.-99,V3.-99,V3.-77,V3.1,V3.2,V3.3,V3.4,V4_1.-99,V4_1.-77,V4_1.1,V4_1.2,V4_1.3,V4_2.-99,V4_2.-77,V4_2.1,V4_2.2,V4_2.3,V4_3.-99,V4_3.-77,V4_3.1,V4_3.2,V4_3.3,V4_4.-99,V4_4.-77,V4_4.1,V4_4.2,V4_4.3,V4_5.-99,V4_5.-77,V4_5.1,V4_5.2,V4_5.3,V9.-99,B12_1.-99,B12_1.-77,B12_1.1,B12_1.2,B12_2.-99,B12_2.-77,B12_2.1,B12_2.2,B12_3.-99,B12_3.-77,B12_3.1,B12_3.2,B12_4.-99,B12_4.-77,B12_4.1,B12_4.2,B12_5.-99,B12_5.-77,B12_5.1,B12_5.2,B12_6.-99,B12_6.-77,B12_6.1,B12_6.2,B13_1.-99,B13_1.-77,B13_1.1,B13_1.2,B13_2.-99,B13_2.-77,B13_2.1,B13_2.2,B13_3.-99,B13_3.-77,B13_3.1,B13_3.2,B13_4.-99,B13_4.-77,B13_4.1,B13_4.2,B13_5.-99,B13_5.-77,B13_5.1,B13_5.2,B13_6.-99,B13_6.-77,B13_6.1,B13_6.2,B13_7.-99,B13_7.-77,B13_7.1,B13_7.2,B14_1.-99,B14_1.-77,B14_1.1,B14_1.2,B14_2.-99,B14_2.-77,B14_2.1,B14_2.2,B14_3.-99,B14_3.-77,B14_3.1,B14_3.2,B14_4.-99,B14_4.-77,B14_4.1,B14_4.2,B14_5.-99,B14_5.-77,B14_5.1,B14_5.2,C0_1.-99,C0_1.-77,C0_1.1,C0_1.2,C0_2.-99,C0_2.-77,C0_2.1,C0_2.2,C0_3.-99,C0_3.-77,C0_3.1,C0_3.2,C0_4.-99,C0_4.-77,C0_4.1,C0_4.2,C0_5.-99,C0_5.-77,C0_5.1,C0_5.2,C0_6.-99,C0_6.-77,C0_6.1,C0_6.2,C1_m.-99,C1_m.-77,C1_m.1,C1_m.2,C2.-99,C2.-77,C2.1,C2.2,C2.3,C2.4,C7.-99,C7.-77,C7.1,C7.2,C7.3,C7.4,C8.-99,C8.-77,C8.1,C8.2,C3.-99,C3.-77,C3.1,C3.2,C5.-99,C5.-77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6.-99,C6.-77,C6.1,C6.2,C6.3,C6.4,C14.-99,C14.-77,C14.1,C14.2,C14.3,C14.4,C9.-99,C9.-77,C9.1,C9.2,C9.3,C12.-99,C12.-77,C12.1,C12.2,C12.3,C13_1.-99,C13_1.-77,C13_1.1,C13_1.2,C13_2.-99,C13_2.-77,C13_2.1,C13_2.2,C13_3.-99,C13_3.-77,C13_3.1,C13_3.2,C13_4.-99,C13_4.-77,C13_4.1,C13_4.2,C13_5.-99,C13_5.-77,C13_5.1,C13_5.2,C13_6.-99,C13_6.-77,C13_6.1,C13_6.2,D1.-99,D1.-77,D1.1,D1.2,D1.3,D1.4,D1.5,D2.-99,D2.-77,D2.1,D2.2,D2.3,D2.4,D2.5,D3.-99,D3.-77,D3.1,D3.2,D3.3,D3.4,D4.-99,D4.-77,D4.1,D4.2,D4.3,D4.4,D5.-99,D5.-77,D5.1,D5.2,D5.3,D5.4,D6_1.-99,D6_1.-77,D6_1.1,D6_1.2,D6_2.-99,D6_2.-77,D6_2.1,D6_2.2,D6_3.-99,D6_3.-77,D6_3.1,D6_3.2,D7.-99,D7.-77,D7.1,D7.2,D8.-99,D8.-77,D8.1,D8.2,D9.-99,D9.-77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10.-99,D10.-77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3.-99,E3.-77,E3.1,E3.2,E3.3,E3.4,E4.-99,E4.-77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2.-99,E2.-77,E2.1,E2.2,E2.3,E7.-99,E7.-77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
GRC,Greece,Attiki,2021-01-01,2021-01-01,199,0,0,0,0,23,194,2311782.5284803715,162,0,0,199,0,6,193,0,0,199,0,15,184,0,12,187,0,10,189,0,4,195,0,1,198,0,2,197,0,1,198,0,7,192,0,23,176,0,1,198,0,9,190,199,0,0,0,193,0,2,4,199,0,0,0,184,0,2,13,187,1,1,10,189,0,3,7,195,1,0,3,198,0,0,1,197,0,1,1,198,0,1,192,0,2,5,176,0,7,16,198,0,1,0,190,0,6,3,5,0,15,179,184,2,13,5,3,87,104,112,0,34,53,165,0,0,34,0,165,0,8,26,191,0,1,7,0,43,1,10,145,199,0,0,0,0,0,8,0,86,60,33,12,10,3,47,96,43,10,6,104,61,18,10,8,100,58,23,10,9,59,72,49,10,9,16,72,92,0,189,4,1,5,189,5,0,5,189,2,4,4,189,5,1,4,189,5,0,5,189,5,0,5,24,6,1,168,24,6,0,169,24,7,9,159,24,7,8,160,24,7,23,145,24,7,27,141,24,7,4,164,158,1,1,39,158,1,3,37,158,0,3,38,158,0,9,32,158,1,5,35,18,0,53,128,18,3,146,32,18,3,7,171,18,2,113,66,18,3,6,172,18,3,22,156,18,0,107,74,92,1,83,15,5,3,21,1,0,18,61,98,21,0,178,0,23,2,24,150,23,1,160,11,0,1,1,2,23,1,53,49,52,21,23,1,56,92,19,8,24,1,79,95,0,28,1,60,108,2,146,3,49,1,53,3,139,4,192,1,3,3,86,3,70,40,193,1,3,2,177,2,19,1,30,1,2,8,24,37,97,30,1,1,10,21,53,83,31,2,64,83,17,2,31,0,3,7,30,128,31,0,28,45,46,49,126,6,59,8,126,30,11,32,126,24,21,28,31,1,90,77,122,0,25,52,176,0,8,1,1,6,0,1,6,86,0,1,9,4,8,1,14,10,8,0,6,16,8,7,1,20,36,4,92,67,0,0,36,3,11,24,48,40,24,13,0,37,4,143,14,1,37,2,38,63,52,7,0,4.1,6.331811489194375,1.666666666666667,1.1547005383792515,15.227272727272725,4.880965734390797,2.571794871794872,1.4750306665721802
GRC,Greece,Kentriki Makedonia,2021-01-01,2021-01-01,135,0,0,0,0,33,132,1178684.3298348412,110,0,0,135,0,3,132,0,0,135,0,6,129,0,4,131,0,2,133,0,5,130,0,1,134,0,2,133,0,0,135,0,4,131,0,12,123,0,1,134,0,10,125,135,0,0,0,132,0,0,3,135,0,0,0,129,0,2,4,131,0,0,4,133,0,0,2,130,0,1,4,134,0,1,0,133,0,2,0,135,0,0,131,0,2,2,123,0,6,6,134,0,0,1,125,0,5,5,3,0,17,115,120,2,13,5,3,55,72,80,0,23,32,112,0,1,22,0,112,0,10,13,125,0,4,6,0,31,2,9,93,135,0,0,0,0,0,7,0,62,38,17,11,9,8,38,50,30,9,8,64,38,16,9,11,60,32,23,9,7,39,52,28,9,11,10,39,66,0,127,3,2,3,127,1,2,5,127,1,4,3,127,3,1,4,127,1,4,3,127,3,0,5,17,2,1,115,17,2,1,115,17,2,9,107,17,1,8,109,17,2,18,98,17,1,20,97,17,1,5,112,106,2,0,27,106,1,4,24,106,2,4,23,106,2,6,21,106,1,1,27,11,0,37,87,11,0,103,21,11,0,7,117,11,0,65,59,11,0,4,120,11,0,5,119,13,1,56,65,79,0,43,11,1,1,13,1,0,3,39,79,13,0,122,0,15,2,13,105,15,0,109,6,0,0,0,5,15,0,45,38,25,12,17,1,52,48,13,4,18,0,53,64,0,19,1,30,84,1,98,1,33,3,32,2,100,1,128,0,6,1,70,1,49,15,131,0,2,2,130,0,3,2,19,1,5,6,23,22,59,19,0,5,7,30,29,45,19,0,69,31,12,4,19,0,2,12,26,76,19,0,23,43,27,23,70,2,57,6,70,20,11,34,70,15,21,29,20,0,47,68,67,0,29,39,106,0,8,0,3,2,1,1,14,59,0,2,8,7,6,1,4,3,7,0,2,14,8,2,0,12,22,3,66,44,0,0,22,0,7,9,22,42,25,6,2,24,3,78,13,17,24,3,15,40,45,6,2,6.961538461538462,9.022109594682473,2.6,1.7126976771553504,15.176190476190476,4.161395933724177,2.792452830188679,1.4522034563745534
GRC,Greece,Attiki,2021-01-02,2021-01-01,100,0,0,0,0,13,97,1306256.4739284706,68,0,0,100,0,4,96,0,0,100,0,8,92,0,9,91,0,7,93,0,2,98,0,0,100,0,0,100,0,0,100,0,4,96,0,10,90,0,0,100,0,6,94,100,0,0,0,96,0,1,3,100,0,0,0,92,0,2,6,91,0,1,8,93,0,3,4,98,0,0,2,100,0,0,0,100,0,0,0,100,0,0,96,0,1,3,90,0,3,7,100,0,0,0,94,0,4,2,3,0,11,86,89,3,8,4,1,45,50,55,0,16,29,84,0,0,16,0,84,0,5,11,95,0,1,4,0,21,1,3,75,100,0,0,0,0,0,6,0,43,30,18,3,7,0,20,54,19,7,0,54,27,12,7,1,48,30,14,7,1,30,38,24,7,1,10,41,41,0,97,1,0,2,97,1,0,2,97,0,2,1,97,1,1,1,97,1,0,2,97,1,0,2,27,2,0,71,27,2,0,71,27,3,5,65,27,3,4,66,27,3,12,58,27,3,10,60,27,3,2,68,82,0,0,18,82,0,0,18,82,0,1,17,82,0,3,15,82,0,2,16,14,0,21,65,14,2,63,21,14,2,2,82,14,1,59,26,14,2,1,83,14,2,10,74,14,0,54,32,46,0,40,11,2,1,17,1,0,11,24,47,17,0,83,0,18,0,15,67,18,0,71,10,0,1,0,0,18,0,25,23,25,9,18,1,22,40,14,5,19,0,41,40,0,23,0,28,48,1,79,0,19,2,37,0,60,3,98,0,0,2,41,0,33,26,99,0,0,1,90,0,10,0,25,0,2,2,12,17,42,25,0,1,4,8,22,40,26,1,30,37,6,0,26,0,1,3,16,54,26,0,12,21,19,22,67,2,26,5,67,14,7,12,67,12,8,13,26,1,37,36,64,0,12,24,90,0,3,0,0,3,0,1,3,53,0,0,5,2,3,2,5,3,3,0,2,6,3,3,0,10,31,1,39,29,0,0,31,0,7,8,21,15,12,6,0,32,0,59,9,0,32,0,17,28,21,2,0,4.392857142857143,7.519551236187621,1.2,0.42163702135578385,15.31818181818182,4.823529160939485,2.639393939393939,1.3601898948737086
GRC,Greece,Kentriki Makedonia,2021-01-02,2021-01-01,100,0,0,0,0,31,97,932313.4181083046,75,0,0,100,0,3,97,0,0,100,0,6,94,0,4,96,0,2,98,0,4,96,0,1,99,0,2,98,0,0,100,0,4,96,0,8,92,0,1,99,0,9,91,100,0,0,0,97,0,0,3,100,0,0,0,94,0,2,4,96,0,0,4,98,0,0,2,96,0,0,4,99,0,1,0,98,0,2,0,100,0,0,96,0,2,2,92,0,4,4,99,0,0,1,91,0,5,4,3,0,15,82,87,3,10,5,2,37,56,63,0,15,22,85,0,1,14,0,85,0,9,6,91,0,3,6,0,22,2,7,69,100,0,0,0,0,0,7,0,46,27,14,6,9,6,30,32,23,9,5,52,25,9,9,6,45,23,17,9,2,31,39,19,9,6,8,30,47,0,94,2,3,1,94,2,1,3,94,1,3,2,94,3,0,3,94,2,1,3,94,3,0,3,20,2,0,78,20,2,0,78,20,2,8,70,20,1,6,73,20,2,11,67,20,1,12,67,20,1,1,78,81,2,0,17,81,1,3,15,81,2,3,14,81,2,5,12,81,1,1,17,11,0,24,65,11,0,72,17,11,0,5,84,11,0,45,44,11,0,2,87,11,0,3,86,13,1,38,48,62,0,29,8,1,0,13,1,0,1,29,56,13,0,87,0,15,2,8,75,15,0,77,4,0,0,0,4,15,0,33,30,16,6,17,1,37,36,8,1,18,0,38,44,0,19,1,22,57,1,76,1,20,3,28,2,69,1,95,0,4,1,55,1,32,12,98,0,1,1,97,0,2,1,19,1,3,3,21,16,37,19,0,3,5,25,19,29,19,0,49,22,7,3,19,0,1,7,23,50,19,0,16,30,19,16,55,2,40,3,55,15,7,23,55,12,13,20,20,0,34,46,54,0,18,28,82,0,6,0,2,1,0,1,8,48,0,2,7,6,2,1,1,1,5,0,1,11,4,2,0,9,22,3,41,34,0,0,22,0,6,7,15,26,18,4,2,24,2,53,7,14,24,2,7,26,34,5,2,8.75,9.667498451812106,3,1.6903085094570331,15.471830985915492,3.499885022543763,3.0136986301369864,1.4481132426265289
GRC,Greece,Attiki,2021-01-03,2021-01-03,282,0,0,0,0,23,276,2812458.323287508,231,0,1,281,1,14,267,0,4,278,1,30,251,0,29,253,1,12,269,0,8,274,1,6,275,0,2,280,1,0,281,1,5,276,0,30,252,1,2,279,1,23,258,281,0,0,1,268,0,4,10,278,0,1,3,252,0,5,25,253,0,4,25,270,0,4,8,274,0,1,7,276,0,3,3,280,0,1,1,282,0,0,277,0,1,4,252,0,5,25,280,0,2,0,259,0,12,11,6,0,19,257,263,4,15,7,4,115,156,168,0,37,77,245,0,0,37,0,245,0,12,25,270,1,5,6,0,49,1,21,211,282,0,0,0,0,0,11,0,120,84,51,16,15,18,75,131,43,15,17,145,80,25,15,14,140,78,35,15,16,91,94,66,15,23,38,74,132,0,261,11,2,8,261,12,3,6,261,7,9,5,261,13,4,4,261,9,5,7,261,12,0,9,282,0,0,0,282,0,0,0,282,0,0,0,282,0,0,0,282,0,0,0,282,0,0,0,282,0,0,0,282,0,0,0,282,0,0,0,282,0,0,0,282,0,0,0,282,0,0,0,17,3,46,216,17,2,172,91,17,3,20,242,17,4,150,111,17,3,11,251,17,3,22,240,20,0,135,127,147,0,107,24,3,1,22,0,0,27,124,109,22,0,260,0,24,2,22,234,24,0,220,20,6,2,0,10,24,0,64,91,84,19,26,1,88,112,34,21,28,0,108,143,3,29,2,100,145,6,237,2,40,3,111,5,161,5,262,1,16,3,132,2,94,54,271,0,5,6,260,1,20,1,32,1,6,12,40,61,130,32,2,8,18,48,61,113,34,1,116,91,32,8,34,0,10,20,59,159,34,0,51,89,49,59,142,8,117,15,142,42,33,65,142,35,48,57,38,1,100,143,139,0,60,83,226,0,20,1,6,7,2,2,18,126,1,2,14,4,23,1,8,9,5,0,9,14,7,10,7,42,46,5,114,115,2,0,46,0,27,36,52,72,31,15,3,50,5,199,18,10,50,2,46,103,64,15,2,6.627906976744186,8.517175051731243,1.2352941176470589,0.4372373160976031,14.865044247787608,5.009384016049843,2.642533936651584,1.4089973562712714
GRC,Greece,Kentriki Makedonia,2021-01-03,2021-01-03,163,0,0,0,0,38,161,1214087.9918007469,143,2,0,161,2,8,153,2,2,159,2,13,148,2,14,147,2,8,153,2,2,159,2,3,158,2,3,158,2,0,161,2,4,157,2,20,141,2,4,157,2,21,140,163,0,0,0,155,0,3,5,161,0,0,2,150,0,3,10,149,0,2,12,155,1,2,5,161,0,0,2,160,0,0,3,160,0,1,2,163,0,0,159,0,1,3,143,0,6,14,159,0,2,2,142,0,10,11,1,1,27,134,137,5,21,2,0,78,83,85,0,36,42,127,0,1,35,0,127,0,12,24,151,0,5,7,0,38,3,11,111,163,0,0,0,0,0,4,1,58,58,25,17,6,7,36,68,46,6,6,78,51,22,6,4,80,45,28,6,8,38,54,57,6,8,10,46,93,0,152,4,4,3,152,6,0,5,152,5,2,4,152,6,0,5,152,5,2,4,152,5,2,4,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,6,1,24,132,6,1,103,53,6,1,5,151,6,1,80,76,6,1,6,150,6,1,6,150,11,1,66,85,97,0,57,7,1,1,12,0,0,10,58,83,12,0,150,1,12,1,13,137,12,1,128,12,1,1,1,7,12,2,46,43,47,13,12,3,60,72,11,5,13,0,49,101,0,14,2,31,116,0,140,0,22,1,61,1,96,5,158,0,4,1,83,2,52,26,157,1,3,2,157,0,6,0,14,3,5,11,30,30,70,14,3,4,17,23,41,61,14,2,77,46,15,9,14,0,6,15,43,85,14,1,33,45,42,28,85,1,72,5,85,31,16,31,85,23,33,22,14,2,62,85,78,0,42,43,123,4,14,1,1,2,1,0,17,61,0,4,9,4,11,0,2,8,8,0,0,15,8,5,7,21,18,1,81,63,0,0,18,0,9,21,29,44,33,6,3,18,8,94,23,20,18,8,35,53,40,9,0,7,8.049327094028834,1.55,0.6863327411532596,14.838129496402878,4.233756609275907,2.398529411764706,1.4798390950629356
GRC,Greece,Attiki,2021-01-04,2021-01-03,100,0,0,0,0,7,95,1160102.1534904137,77,0,1,99,1,5,94,0,2,98,1,11,88,0,11,89,1,4,95,0,3,97,1,3,96,0,1,99,1,0,99,1,2,97,0,15,85,1,2,97,1,9,90,99,0,0,1,95,0,1,4,98,0,1,1,89,0,2,9,89,0,2,9,96,0,2,2,97,0,0,3,97,0,3,0,99,0,1,0,100,0,0,98,0,1,1,85,0,5,10,98,0,2,0,91,0,5,4,5,0,6,89,94,1,5,5,2,40,53,60,0,13,27,87,0,0,13,0,87,0,5,8,95,0,2,3,0,20,1,6,73,100,0,0,0,0,0,6,0,37,30,21,6,9,4,26,49,12,9,7,48,28,8,9,4,51,26,10,9,5,32,34,20,9,8,12,25,46,0,94,2,1,3,94,3,1,2,94,2,2,2,94,3,1,2,94,1,2,3,94,2,0,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,10,1,19,70,10,1,60,29,10,1,5,84,10,0,46,44,10,1,3,86,10,1,9,80,12,0,46,42,54,0,38,7,1,0,12,0,0,5,43,40,12,0,88,0,14,0,6,80,14,0,74,5,2,0,0,5,14,0,26,27,27,6,15,0,37,33,10,5,16,0,41,42,1,16,1,32,50,1,82,0,18,0,41,2,55,2,95,0,5,0,54,2,29,15,97,0,2,1,91,1,8,0,17,1,2,2,13,19,46,17,1,1,4,17,17,43,18,0,42,31,7,2,18,0,2,6,20,54,18,0,15,34,14,19,51,2,43,4,51,16,10,23,51,13,17,19,19,0,32,49,51,0,19,30,81,0,9,1,2,1,1,0,5,49,0,0,6,0,5,1,3,3,2,0,5,4,4,2,2,14,20,1,36,42,1,0,20,0,9,14,20,15,11,10,1,23,0,71,5,1,23,0,15,35,20,6,1,7.656250000000001,10.941514240312799,1.1666666666666667,0.40824829046386296,14.506410256410257,4.9585905973996995,2.689189189189189,1.507294370679306
GRC,Greece,Kentriki Makedonia,2021-01-04,2021-01-03,100,0,0,0,0,25,99,811323.0198045481,80,0,0,100,0,6,94,0,2,98,0,8,92,0,10,90,0,7,93,0,1,99,0,1,99,0,3,97,0,0,100,0,4,96,0,11,89,0,4,96,0,12,88,100,0,0,0,94,0,1,5,98,0,0,2,92,0,1,7,90,0,2,8,93,1,0,6,99,0,0,1,99,0,0,1,97,0,1,2,100,0,0,96,0,1,3,89,0,3,8,96,0,2,2,88,0,7,5,1,0,17,82,84,4,12,2,0,44,54,56,0,18,26,82,0,1,17,0,82,0,7,11,93,0,3,4,0,20,2,9,69,100,0,0,0,0,0,4,0,34,37,14,11,6,4,20,44,26,6,3,46,30,15,6,3,46,28,17,6,6,23,30,35,6,6,8,27,53,0,91,3,2,4,91,4,1,4,91,3,2,4,91,5,0,4,91,4,2,3,91,3,1,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,6,0,16,78,6,0,61,33,6,0,4,90,6,0,50,44,6,0,5,89,6,0,3,91,11,1,40,48,60,0,38,2,0,0,12,0,0,6,34,48,12,0,88,0,12,1,11,76,12,0,71,8,1,1,0,7,12,1,33,24,25,5,12,1,32,45,8,2,13,0,35,52,0,14,0,22,64,0,85,0,14,1,40,1,55,4,96,0,4,0,50,2,30,18,95,1,2,2,97,0,3,0,14,2,3,8,16,19,38,14,2,1,12,11,26,34,14,2,41,29,9,5,14,0,3,8,24,51,14,0,20,26,25,15,54,1,43,2,54,23,9,14,54,17,19,10,14,1,31,54,46,0,27,27,75,2,9,1,1,1,1,0,10,44,0,1,5,4,5,0,2,4,4,0,0,6,5,5,4,11,18,0,43,38,1,0,18,0,5,9,16,25,21,3,3,18,6,55,11,10,18,5,18,29,25,5,0,6.454545454545454,7.004868436893146,1.6153846153846154,0.6504436355879909,13.954545454545455,4.5234635499844895,2.4105263157894736,1.572393415348582
GRC,Greece,Anatoliki Makedonia Thraki,2021-01-13,2021-01-01,100,0,0,0,0,10,98,993710.4164989145,83,0,0,100,0,3,97,0,2,98,0,10,90,0,3,97,0,7,93,0,2,98,0,1,99,0,1,99,0,0,100,0,2,98,0,12,88,0,0,100,0,10,90,100,0,0,0,97,0,1,2,98,0,0,2,90,0,1,9,97,0,0,3,93,0,1,6,98,0,0,2,99,0,0,1,99,0,1,0,100,0,0,98,0,0,2,88,0,1,11,100,0,0,0,90,0,7,3,2,0,6,92,94,1,5,2,1,40,57,60,0,18,22,82,0,1,17,0,82,0,6,12,94,0,1,4,1,21,2,5,72,60,1,2,37,0,0,5,1,33,28,19,14,7,12,21,36,24,7,13,33,28,19,7,5,44,20,24,7,12,27,27,27,7,14,9,27,43,0,95,3,0,2,95,2,1,2,95,2,1,2,95,2,3,0,95,3,1,1,95,2,1,2,90,0,0,10,90,0,0,10,90,0,0,10,90,0,2,8,90,0,1,9,90,0,2,8,90,0,0,10,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,5,2,19,74,5,0,67,28,5,2,3,90,5,0,42,53,5,1,3,91,5,1,4,90,6,0,38,56,62,0,30,6,1,1,9,0,0,7,38,46,9,1,90,0,9,0,14,77,9,0,79,6,0,0,0,6,9,0,32,29,14,16,9,1,31,40,12,7,9,0,35,55,1,10,0,26,60,4,81,0,17,2,34,0,65,1,97,0,2,1,59,0,33,8,97,0,3,0,96,0,4,0,11,2,1,5,20,21,40,11,0,0,5,21,30,33,12,0,37,36,12,3,12,0,3,10,22,53,12,0,15,32,19,22,53,4,39,4,53,19,8,20,53,12,15,20,12,0,30,58,42,0,22,36,78,1,6,0,2,5,1,0,7,48,0,6,3,0,5,2,4,9,0,0,1,2,3,5,2,10,12,5,53,29,0,1,12,1,8,14,17,25,13,9,1,17,4,47,15,17,17,1,12,28,33,4,5,8.428571428571429,9.472879696029594,2,0.8164965809277259,14.487804878048783,5.171727276566871,2.68,1.444093281407197
GRC,Greece,Attiki,2021-01-13,2021-01-13,258,0,0,0,0,28,258,2626135.750382539,236,0,3,255,0,10,248,0,2,256,0,31,227,0,25,233,0,33,225,0,9,249,0,6,252,1,4,253,0,0,258,0,8,250,0,34,224,0,3,255,0,31,227,255,0,2,1,248,0,2,8,256,0,1,1,227,0,3,28,233,0,2,23,225,0,8,25,249,0,3,6,252,0,4,2,254,0,1,3,258,0,0,250,0,3,5,224,0,6,28,255,0,2,1,227,0,14,17,0,0,15,243,244,5,9,2,4,115,137,143,1,39,75,219,0,1,37,1,219,0,11,28,247,0,5,6,0,46,1,16,195,2,0,7,248,1,0,11,0,96,85,43,23,13,11,65,120,49,13,9,128,82,26,13,11,116,82,36,13,9,72,95,69,13,14,30,73,128,0,242,6,2,8,242,5,6,5,242,7,4,5,242,4,8,4,242,6,3,7,242,7,1,8,258,0,0,0,258,0,0,0,258,0,0,0,258,0,0,0,258,0,0,0,258,0,0,0,258,0,0,0,258,0,0,0,258,0,0,0,258,0,0,0,258,0,0,0,258,0,0,0,9,1,78,170,9,0,186,63,9,1,12,236,9,0,134,115,9,0,10,239,9,0,28,221,10,0,123,125,135,0,102,15,3,3,11,0,0,19,87,141,11,1,246,0,12,2,30,214,12,0,208,29,1,1,0,7,12,0,75,62,73,36,12,1,76,125,30,14,12,0,93,150,3,13,0,70,171,4,181,0,77,0,72,0,184,2,246,0,11,1,125,0,92,41,248,0,8,2,230,0,24,4,13,3,1,12,38,68,123,13,1,2,15,45,73,109,14,2,101,89,40,12,14,1,11,19,49,164,14,0,45,92,61,46,121,9,118,10,121,57,24,56,121,45,48,44,14,1,118,125,133,0,49,76,209,1,16,0,6,5,0,2,19,91,1,1,17,6,17,3,9,18,11,0,5,30,6,8,6,29,16,6,121,111,0,4,16,1,19,47,54,66,34,19,2,21,5,208,16,8,21,3,46,92,75,17,4,6.069306930693069,7.822093614554321,2,0.816496580927726,15.292207792207792,4.034377261371258,2.575221238938053,1.3420071848425867
