"date","pct_cli_weighted","pct_cli","population"
2020-05-03,0.9189,1.5267,16486542
2020-05-04,0.8484,1.6807,16486542
2020-05-05,3.1567,3.0534,16486542
2020-05-06,1.8616,3.2,16486542
2020-05-07,1.488,2.4194,16486542
2020-05-08,3.3061,1.4925,16486542
2020-05-09,4.4573,4.4248,16486542
2020-05-10,3.5367,3.937,16486542
2020-05-11,0.9044,0.7752,16486542
2020-05-12,0.8475,1.5504,16486542
2020-05-13,2.8734,1.7699,16486542
2020-05-14,1.2806,2.4793,16486542
2020-05-15,1.3563,1.5748,16486542
2020-05-16,0.7822,0.6289,16486542
2020-05-17,1.7209,2.381,16486542
2020-05-18,0.3647,1.1905,16486542
2020-05-19,2.1471,3.3333,16486542
2020-05-20,0.2834,0.6289,16486542
2020-05-21,4.6929,2.7586,16486542
2020-05-22,1.5945,1.4599,16486542
2020-05-23,5.0661,3.9735,16486542
2020-05-24,0.4345,0.6369,16486542
2020-05-25,4.6688,3.4965,16486542
2020-05-26,3.0722,2.069,16486542
2020-05-27,1.2916,0.7634,16486542
2020-05-28,2.5847,1.3423,16486542
2020-05-29,0,0,16486542
2020-05-30,1.8945,2.7972,16486542
2020-05-31,1.7416,2.069,16486542
2020-06-01,0.8155,0.8333,16486542
2020-06-02,0.5395,1.4599,16486542
2020-06-03,3.908,2.7778,16486542
2020-06-04,2.5698,3.4783,16486542
2020-06-05,5.0276,4.4248,16486542
2020-06-07,2.2442,3.5714,16486542
2020-06-08,6.294,3.3898,16486542
2020-06-09,1.7149,2.9126,16486542
2020-06-10,5.9442,6.25,16486542
2020-06-11,3.7169,3.4483,16486542
2020-06-12,4.4502,4.4444,16486542
2020-06-13,0.8529,1.8349,16486542
2020-06-15,1.9106,2.9703,16486542
2020-06-17,7.9053,6.5421,16486542
2020-06-18,3.2253,4.3478,16486542
2020-06-19,5.2428,4.902,16486542
2020-06-20,5.1672,3.9216,16486542
2020-06-22,4.1207,6.422,16486542
2020-06-24,7.0164,8.7719,16486542
2020-06-25,1.9188,2.7778,16486542
2020-06-26,2.4116,3.7037,16486542
2020-06-28,7.2965,5.8824,16486542
2020-06-29,2.9461,3.7037,16486542
2020-06-30,0,0,16486542
2020-07-14,1.4469,2.6786,16486542
2020-07-26,3.5007,2.6786,16486542
2020-07-29,2.2408,2.9703,16486542
2020-07-30,5.4722,4.5045,16486542
2020-12-01,6.7925,6.7961,16486542
2020-12-04,5.1308,2.5424,16486542
2020-12-05,6.327,5.7692,16486542
2020-12-06,5.3207,4.3165,16486542
2020-12-07,5.5701,3.252,16486542
2020-12-08,7.2852,6.6667,16486542
2020-12-14,0.9155,1.626,16486542
2021-02-23,3.7242,6.5421,16486542
2021-02-24,2.8191,3.5398,16486542
2021-02-25,3.0978,5.5556,16486542
2021-02-26,3.4416,4.717,16486542
2021-02-27,3.7575,3.8095,16486542
2021-03-08,1.9977,2.9703,16486542
2021-03-09,2.931,3.5971,16486542
2021-03-10,5.3825,6.7164,16486542
2021-03-11,3.1655,5.1613,16486542
2021-03-12,4.522,5.8824,16486542
2021-03-13,0.3603,0.9804,16486542
2021-03-14,5.6847,6.4,16486542
