"date","pct_cli_weighted","pct_cli","population"
2020-04-23,3.5213,2.459,5517919
2020-04-24,0.7862,0.6515,5517919
2020-04-25,0.6877,0.8375,5517919
2020-04-26,0.8858,0.936,5517919
2020-04-27,0.4396,0.5997,5517919
2020-04-28,0.8227,1.0327,5517919
2020-04-29,0.2771,0.5425,5517919
2020-05-01,1.0725,1.0799,5517919
2020-05-02,1.0834,1.4118,5517919
2020-05-03,0.7871,0.6061,5517919
2020-05-04,1.7221,0.7994,5517919
2020-05-05,0.8496,1.0638,5517919
2020-05-06,0.6036,0.6216,5517919
2020-05-07,0.8034,0.652,5517919
2020-05-08,0.6922,0.4854,5517919
2020-05-09,0.8137,0.7438,5517919
2020-05-10,0.5721,0.626,5517919
2020-05-11,0.9416,0.7728,5517919
2020-05-12,0.8246,0.6867,5517919
2020-05-13,0.7782,0.9735,5517919
2020-05-14,0.9922,1.0552,5517919
2020-05-15,0.609,0.5902,5517919
2020-05-16,0.6221,0.6565,5517919
2020-05-17,1.3286,0.665,5517919
2020-05-18,0.7791,0.873,5517919
2020-05-19,1.3703,1.0838,5517919
2020-05-20,0.7272,0.684,5517919
2020-05-21,0.6077,0.7512,5517919
2020-05-22,0.3435,0.543,5517919
2020-05-23,0.2704,0.4451,5517919
2020-05-24,0.4228,0.5251,5517919
2020-05-25,0.7443,0.7831,5517919
2020-05-26,0.3517,0.3864,5517919
2020-05-27,0.1946,0.2525,5517919
2020-05-28,0.5615,0.6112,5517919
2020-05-29,0.7935,0.8711,5517919
2020-05-30,0.2538,0.2549,5517919
2020-05-31,0.1397,0.1567,5517919
2020-06-01,0.7864,0.7293,5517919
2020-06-02,0.3866,0.5634,5517919
2020-06-03,1.3059,0.7121,5517919
2020-06-04,1.0164,0.816,5517919
2020-06-05,0.3902,0.501,5517919
2020-06-06,0.2133,0.2868,5517919
2020-06-07,0.2772,0.4604,5517919
2020-06-08,0.4005,0.3865,5517919
2020-06-09,0.1764,0.3106,5517919
2020-06-10,1.0111,0.7659,5517919
2020-06-11,0.707,0.4505,5517919
2020-06-12,0.2035,0.2088,5517919
2020-06-13,0,0,5517919
2020-06-14,0.3551,0.3452,5517919
2020-06-15,0.9379,0.7839,5517919
2020-06-16,0.205,0.2503,5517919
2020-06-17,1.0436,0.7417,5517919
2020-06-18,2.6356,0.8208,5517919
2020-06-19,0,0,5517919
2020-06-20,0.6833,0.9346,5517919
2020-06-21,0.0699,0.1178,5517919
