"Date","CountryName","RegionName","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings","PrescriptionIndex"
2021-02-15,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-16,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-17,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-18,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-19,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-20,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-21,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-22,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-23,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-24,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-25,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-26,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-27,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-02-28,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-03-01,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-03-02,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-03-03,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-03-04,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-03-05,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-03-06,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-03-07,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-03-08,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
2021-03-09,"Afghanistan","",3,3,2,4,2,3,2,4,2,3,2,4,3
