ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,first_date,day_count,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
JP,JPN,Japan,2021-10-01,99369849.5318538,4589,6997.6,300.3,9094,0,16,5286,1470,674,4439,4684,488,431,4203,19,432824.80187622,15,3,2,12,14,238192.374064934,307.3,5212,54882.533326667,23,15,6,1,14,94,74,16,9,64,171,136,20,12,123,280,243,0,0,0,8,3,5,0,2,5,6,8,2,3,13,1,2,3,3,2,3,1,1,1,4,2,1,1,1,1,1,0,1,0,0,0,0,0,0,3,3,4,6,3,6,1,3,2,12,3,3,1,2,2,2,1,2,0,1,1,3,1,1,2021-10-01,5286,1,0.0030268634127885,0.00148088949290515,0.00359440030268634,0.00161330252112148,0.00435569545405696,1.29479685291336e-05,0.00264850548618994,0.00138550810748843,0.00239702862776883,9.61471139089717e-06,0.00559923132868004,0.000624275005324004
JP,JPN,Japan,2021-10-02,102152026.655799,4991,7965.165,227,9875,0,21,5717,1553,704,4855,5115,505,428,4641,26,651078.050331258,20,6,2,18,16,416427.135237115,234,5643,59420.9776597048,15,10,3,5,5,112,87,20,13,73,163,133,19,8,124,280,249,0,0,0,14,6,8,4,2,12,10,11,7,3,19,2,6,2,4,5,2,3,2,1,5,2,0,1,2,0,1,0,1,0,0,0,3,1,0,2,10,2,5,6,2,3,2,3,12,5,0,1,5,0,1,1,1,0,0,1,7,3,0,2021-10-02,5717,1,0.00367325520377821,0.00156816024744625,0.00454783977610635,0.00174412163559865,0.00637361853353204,1.54322477825591e-05,0.00279867063145006,0.00136940312477713,0.00407654305910412,1.23561620407298e-05,0.00393800319712145,0.000503569492976334
JP,JPN,Japan,2021-10-03,100266029.191162,4670,7424.4,198,9439,0,12,5398,1502,659,4588,4777,516,412,4317,18,426956.870023536,13,5,0,13,11,256062.158746627,204,5332,56146.137317304,12,7,5,1,6,98,75,18,7,67,174,145,19,14,129,264,223,0,0,0,8,6,2,1,5,3,7,5,1,6,7,1,2,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,3,5,2,5,3,4,1,1,2,5,4,1,1,1,0,2,1,2,1,1,1,2,1,1,2021-10-03,5398,1,0.00222304557243424,0.00125638449530497,0.00333456835865135,0.00153789314485125,0.00425824053737606,1.27455810343663e-05,0.00203779177473138,0.00120300823721107,0.00255382766039765,9.878970993975e-06,0.00363337550448245,0.000497683081050541
JP,JPN,Japan,2021-10-04,101636229.605058,3922,6784.9,171,7923,0,13,4532,1318,533,3869,3991,453,326,3623,27,467533.448016477,19,6,2,17,23,398391.248433606,178,4471,47079.7786844835,15,7,7,1,6,91,68,19,6,62,134,105,18,8,96,202,173,0,0,0,7,1,6,0,1,4,3,10,1,2,10,0,2,3,3,1,2,1,2,0,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,6,3,5,2,2,2,3,0,8,2,0,0,2,1,1,0,0,0,1,0,2,1,0,2021-10-04,4532,1,0.0028684907325684,0.00155706264588438,0.0059576345984113,0.00224048746752619,0.00460006682492293,1.31554192193584e-05,0.00507502206531333,0.00206879412821374,0.00391977594979359,1.21479109324595e-05,0.00378081641362229,0.000554371799313227
JP,JPN,Japan,2021-10-05,102367529.62971,4795,7589,189,9447,0,18,5542,1578,724,4647,4920,524,391,4482,17,242071.102226211,8,8,2,6,12,174159.767864729,189,5455,57441.3314077069,22,14,8,4,10,119,90,25,9,80,201,173,21,13,157,281,239,0,0,0,9,7,2,4,3,4,13,5,5,8,13,1,3,1,2,2,2,3,1,0,3,3,1,1,2,1,2,1,2,2,1,0,2,3,1,2,8,3,9,5,6,6,2,2,12,7,2,1,4,2,7,3,5,3,2,1,8,6,1,2021-10-05,5542,1,0.0032479249368459,0.00149799856162758,0.00306748466257669,0.00145592468908583,0.00236472544665134,9.40899505518849e-06,0.0021652832912306,0.0012237747762643,0.00170131846001081,7.98343944553244e-06,0.00329031370562281,0.00046831582657881
JP,JPN,Japan,2021-10-06,102328350.648929,4784,7299.2,282,9401,0,17,5562,1567,727,4695,4947,514,375,4514,30,580431.650322061,23,5,4,19,20,415756.627373694,289,5492,57830.9426381533,20,14,4,1,12,136,105,21,13,92,205,167,21,19,146,269,232,0,0,0,3,1,1,0,1,0,10,5,1,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,5,3,4,1,1,14,4,0,1,3,0,3,4,3,3,1,1,9,1,0,2021-10-06,5562,1,0.00305645451276519,0.00145069745835817,0.00539374325782093,0.00192487852500211,0.00567224671013628,1.45509865951244e-05,0.00359582883854729,0.00157307660703225,0.00406296617444839,1.23250204413701e-05,0.00499732473337441,0.000574710147343086
JP,JPN,Japan,2021-10-07,100141392.998819,4703,7216.75,171,9567,0,18,5432,1536,18,98,4708,433,359,4298,31,726878.403456558,23,2,4,19,18,495031.030827355,179,5347,56304.0878161336,11,7,3,0,7,107,85,14,10,75,163,133,16,18,115,259,210,0,0,0,10,4,6,1,3,6,9,6,1,8,14,2,3,2,3,4,3,2,1,1,2,2,2,1,1,0,1,2,1,0,0,0,0,0,0,7,7,5,6,6,6,5,3,4,10,4,4,5,4,2,3,4,3,2,1,1,5,1,1,2021-10-07,5432,1,0.00331369661266568,0.00152828315890967,0.00570692194403535,0.00200320956245557,0.00725852099406218,1.66258336007629e-05,0.00331369661266568,0.00152828315890967,0.00494332079875496,1.37364523514553e-05,0.00317916526033672,0.000464989593010235
JP,JPN,Japan,2021-10-08,99627535.2296147,4458,7016.5,168,9258,0,6,5202,1500,0,0,4384,445,309,4033,27,583848.993356837,18,5,1,17,15,255150.212259861,172,5134,54061.1907327529,14,8,3,2,6,104,74,17,7,67,161,125,20,9,116,253,207,0,0,0,2,2,0,1,1,2,3,2,1,2,6,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,2,4,2,2,2,1,1,5,3,2,0,1,1,2,2,1,1,1,0,2,1,0,2021-10-08,5202,1,0.00115340253748558,0.000922364895364405,0.00519031141868512,0.001952673481758,0.00586031755188183,1.49879652544871e-05,0.00288350634371396,0.00145712336696759,0.00256104109844541,9.92452741117578e-06,0.00318157994059487,0.000474716945653308
JP,JPN,Japan,2021-10-09,101188303.811963,4984,6892.1,216,10007,0,16,5690,1537,0,0,4807,437,338,4413,20,357177.145229425,13,3,2,10,13,212732.557380645,222,5601,58978.7162629819,9,5,2,0,5,89,68,12,3,63,161,131,14,7,121,287,249,0,0,0,11,5,4,1,4,7,5,6,1,4,12,0,3,1,2,1,1,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,4,3,3,2,1,1,2,0,7,0,0,0,1,0,1,1,1,0,0,0,1,0,0,2021-10-09,5690,1,0.00281195079086116,0.00137589200947454,0.00351493848857645,0.00153775171024353,0.00352982639073745,1.15555802473244e-05,0.00228471001757469,0.00124054012128054,0.00210234334766559,8.92437388948215e-06,0.0037640697198311,0.000494208673709402
JP,JPN,Japan,2021-10-10,100661966.824392,4836,8088.1,204,9944,0,17,5563,1536,0,0,4720,423,308,4361,26,509946.74633155,18,6,2,16,18,310803.09452369,209,5496,57873.0627711745,21,11,5,1,10,110,85,12,11,74,186,146,15,16,130,233,200,0,0,0,3,3,0,0,3,0,10,3,3,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,7,6,8,4,3,0,14,4,1,3,2,1,2,3,3,1,1,0,7,1,0,2021-10-10,5563,1,0.00305590508718317,0.00145043708193068,0.0046737371921625,0.00179229064040969,0.00506593266969608,1.38689072148108e-05,0.00323566420995866,0.00149235288296496,0.0030875921097975,1.08381173003923e-05,0.00361135198298333,0.000488718920381417
