p_cases,p_cases_error,p_fatalities,p_fatalities_error,p_recentcases,p_recentcases_error,p_cases_daily,p_cases_daily_error,p_stillsick,p_stillsick_error,date,population
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020/03/23,82176000
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020/03/24,82176000
0.0275080906148867,0.0128951700938693,NA,NA,NA,NA,NA,NA,NA,NA,2020/03/25,82176000
0.027355623100304,0.0124633700583081,NA,NA,NA,NA,NA,NA,NA,NA,2020/03/26,82176000
0.0250696378830084,0.0114352772134177,NA,NA,NA,NA,NA,NA,NA,NA,2020/03/27,82176000
0.0250696378830084,0.0114352772134177,NA,NA,NA,NA,NA,NA,NA,NA,2020/03/28,82176000
0.0250696378830084,0.0114352772134177,NA,NA,NA,NA,NA,NA,NA,NA,2020/03/29,82176000
0.0234375,0.0106997380441477,NA,NA,NA,NA,NA,NA,NA,NA,2020/03/30,82176000
0.0234375,0.0106997380441477,NA,NA,NA,NA,NA,NA,NA,NA,2020/03/31,82176000
0.0234375,0.0106997380441477,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/01,82176000
0.0234375,0.0106997380441477,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/02,82176000
0.021608643457383,0.00987405736122096,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/03,82176000
0.0203850509626274,0.00932076035318124,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/04,82176000
0.0203850509626274,0.00932076035318124,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/05,82176000
0.0203850509626274,0.00932076035318124,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/06,82176000
0.0212765957446809,0.00946462517691513,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/07,82176000
0.0212765957446809,0.00946462517691513,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/08,82176000
0.020997375328084,0.00831188277388005,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/09,82176000
0.0199902615411757,0.00983676360832291,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/10,82176000
0.019429718129481,0.00961714989146361,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/11,82176000
0.019429718129481,0.00961714989146361,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/12,82176000
0.0193655945812341,0.00959201433220547,NA,NA,NA,NA,NA,NA,NA,NA,2020/04/13,82176000
