"date","country","region","population","p_cases_infected","p_cases_recent","p_cases_active"
2020-03-28,"GR","GRA",606170,0,NA,NA
2020-03-28,"GR","GRB",1874590,0,NA,NA
2020-03-28,"GR","GRC",282120,0.0666666666666667,NA,NA
2020-03-28,"GR","GRD",336650,0,0,0
2020-03-28,"GR","GRE",730730,0,0,0
2020-03-28,"GR","GRF",206470,0,NA,NA
2020-03-28,"GR","GRG",680190,0,0,0
2020-03-28,"GR","GRH",546870,0,0,0
2020-03-28,"GR","GRI",3812330,0.00718390804597701,NA,NA
2020-03-28,"GR","GRJ",581980,0,0,0
2020-03-28,"GR","GRK",197810,0,0,0
2020-03-28,"GR","GRL",308610,0,0,0
2020-03-28,"GR","GRM",621340,0,0,0
2020-03-29,"GR","GRA",606170,0,NA,NA
2020-03-29,"GR","GRB",1874590,0,NA,NA
2020-03-29,"GR","GRC",282120,0.0666666666666667,NA,NA
2020-03-29,"GR","GRD",336650,0,0,0
2020-03-29,"GR","GRE",730730,0,0,0
2020-03-29,"GR","GRF",206470,0,NA,NA
2020-03-29,"GR","GRG",680190,0,0,0
2020-03-29,"GR","GRH",546870,0,0,0
2020-03-29,"GR","GRI",3812330,0.00670241286863271,NA,NA
2020-03-29,"GR","GRJ",581980,0,0,0
2020-03-29,"GR","GRK",197810,0,0,0
2020-03-29,"GR","GRL",308610,0,0,0
2020-03-29,"GR","GRM",621340,0,0,0
2020-03-30,"GR","GRA",606170,0,NA,NA
2020-03-30,"GR","GRB",1874590,0,NA,NA
2020-03-30,"GR","GRC",282120,0.0666666666666667,NA,NA
2020-03-30,"GR","GRD",336650,0,0,0
2020-03-30,"GR","GRE",730730,0,0,0
2020-03-30,"GR","GRF",206470,0,NA,NA
2020-03-30,"GR","GRG",680190,0,0,0
2020-03-30,"GR","GRH",546870,0,NA,NA
2020-03-30,"GR","GRI",3812330,0.00642570281124498,NA,NA
2020-03-30,"GR","GRJ",581980,0,0,0
2020-03-30,"GR","GRK",197810,0,0,0
2020-03-30,"GR","GRL",308610,0,0,0
2020-03-30,"GR","GRM",621340,0,0,0
2020-03-31,"GR","GRA",606170,0,NA,NA
2020-03-31,"GR","GRB",1874590,0,NA,NA
2020-03-31,"GR","GRC",282120,0.0666666666666667,NA,NA
2020-03-31,"GR","GRD",336650,0,0,0
2020-03-31,"GR","GRE",730730,0,0,0
2020-03-31,"GR","GRF",206470,0,NA,NA
2020-03-31,"GR","GRG",680190,0,0,0
2020-03-31,"GR","GRH",546870,0.005,NA,NA
2020-03-31,"GR","GRI",3812330,0.00677966101694915,NA,NA
2020-03-31,"GR","GRJ",581980,0,0,0
2020-03-31,"GR","GRK",197810,0,0,0
2020-03-31,"GR","GRL",308610,0,0,0
2020-03-31,"GR","GRM",621340,0,NA,NA
2020-04-01,"GR","GRA",606170,0,NA,NA
2020-04-01,"GR","GRB",1874590,0,NA,NA
2020-04-01,"GR","GRC",282120,0.0666666666666667,NA,NA
2020-04-01,"GR","GRD",336650,0,0,0
2020-04-01,"GR","GRE",730730,0,0,0
2020-04-01,"GR","GRF",206470,0.00476190476190476,NA,NA
2020-04-01,"GR","GRG",680190,0,0,0
2020-04-01,"GR","GRH",546870,0.0037037037037037,NA,NA
2020-04-01,"GR","GRI",3812330,0.00881285640228098,NA,NA
2020-04-01,"GR","GRJ",581980,0,NA,NA
2020-04-01,"GR","GRK",197810,0,0,0
2020-04-01,"GR","GRL",308610,0,0,0
2020-04-01,"GR","GRM",621340,0,NA,NA
2020-04-02,"GR","GRA",606170,0,NA,NA
2020-04-02,"GR","GRB",1874590,0,NA,NA
2020-04-02,"GR","GRC",282120,0.0666666666666667,NA,NA
2020-04-02,"GR","GRD",336650,0,0,0
2020-04-02,"GR","GRE",730730,0,0,0
2020-04-02,"GR","GRF",206470,0.00333333333333333,NA,NA
2020-04-02,"GR","GRG",680190,0,0,0
2020-04-02,"GR","GRH",546870,0.003125,NA,NA
2020-04-02,"GR","GRI",3812330,0.015506958250497,NA,NA
2020-04-02,"GR","GRJ",581980,0.00847457627118644,NA,NA
2020-04-02,"GR","GRK",197810,0,0,0
