"date","country","region","population","p_cases_infected","p_cases_recent","p_cases_active"
2020-03-22,"PT","PT01",714200,0.04,NA,NA
2020-03-22,"PT","PT02",152758,0,0,0
2020-03-22,"PT","PT03",848185,0.0151515151515152,NA,NA
2020-03-22,"PT","PT04",136252,0,0,0
2020-03-22,"PT","PT05",196264,0,0,0
2020-03-22,"PT","PT06",430104,0,0,0
2020-03-22,"PT","PT07",166706,0,0,0
2020-03-22,"PT","PT08",451006,0,0,0
2020-03-22,"PT","PT09",160939,0,0,0
2020-03-22,"PT","PT10",470930,0,0,0
2020-03-22,"PT","PT11",2250533,0.0125,NA,NA
2020-03-22,"PT","PT12",118506,0,0,0
2020-03-22,"PT","PT13",1817117,0.0176470588235294,NA,NA
2020-03-22,"PT","PT14",453638,0,0,0
2020-03-22,"PT","PT15",851258,0,0,0
2020-03-22,"PT","PT16",244836,0,0,0
2020-03-22,"PT","PT17",206661,0,0,0
2020-03-22,"PT","PT18",377653,0,0,0
2020-03-22,"PT","PT20",245766,0,0,0
2020-03-22,"PT","PT30",267785,0,0,0
2020-03-23,"PT","PT01",714200,0.04,NA,NA
2020-03-23,"PT","PT02",152758,0,0,0
2020-03-23,"PT","PT03",848185,0.0150943396226415,NA,NA
2020-03-23,"PT","PT04",136252,0,0,0
2020-03-23,"PT","PT05",196264,0,0,0
2020-03-23,"PT","PT06",430104,0,0,0
2020-03-23,"PT","PT07",166706,0.02,NA,NA
2020-03-23,"PT","PT08",451006,0,0,0
2020-03-23,"PT","PT09",160939,0,0,0
2020-03-23,"PT","PT10",470930,0,0,0
2020-03-23,"PT","PT11",2250533,0.0125,NA,NA
2020-03-23,"PT","PT12",118506,0,0,0
2020-03-23,"PT","PT13",1817117,0.0224299065420561,NA,NA
2020-03-23,"PT","PT14",453638,0,0,0
2020-03-23,"PT","PT15",851258,0,0,0
2020-03-23,"PT","PT16",244836,0,0,0
2020-03-23,"PT","PT17",206661,0,0,0
2020-03-23,"PT","PT18",377653,0,0,0
2020-03-23,"PT","PT20",245766,0,0,0
2020-03-23,"PT","PT30",267785,0,0,0
2020-03-24,"PT","PT01",714200,0.04,NA,NA
2020-03-24,"PT","PT02",152758,0,0,0
2020-03-24,"PT","PT03",848185,0.0136986301369863,NA,NA
2020-03-24,"PT","PT04",136252,0,0,0
2020-03-24,"PT","PT05",196264,0,0,0
2020-03-24,"PT","PT06",430104,0,0,0
2020-03-24,"PT","PT07",166706,0.02,NA,NA
2020-03-24,"PT","PT08",451006,0,0,0
2020-03-24,"PT","PT09",160939,0,0,0
2020-03-24,"PT","PT10",470930,0,0,0
2020-03-24,"PT","PT11",2250533,0.0125,NA,NA
2020-03-24,"PT","PT12",118506,0,0,0
2020-03-24,"PT","PT13",1817117,0.0287878787878788,NA,NA
2020-03-24,"PT","PT14",453638,0,0,0
2020-03-24,"PT","PT15",851258,0,0,0
2020-03-24,"PT","PT16",244836,0,0,0
2020-03-24,"PT","PT17",206661,0,0,0
2020-03-24,"PT","PT18",377653,0,0,0
2020-03-24,"PT","PT20",245766,0,0,0
2020-03-24,"PT","PT30",267785,0,0,0
2020-03-25,"PT","PT01",714200,0.04,NA,NA
2020-03-25,"PT","PT02",152758,0,0,0
2020-03-25,"PT","PT03",848185,0.0136986301369863,NA,NA
2020-03-25,"PT","PT04",136252,0,0,0
2020-03-25,"PT","PT05",196264,0,0,0
2020-03-25,"PT","PT06",430104,0,0,0
2020-03-25,"PT","PT07",166706,0.02,NA,NA
2020-03-25,"PT","PT08",451006,0,0,0
2020-03-25,"PT","PT09",160939,0,0,0
2020-03-25,"PT","PT10",470930,0,0,0
2020-03-25,"PT","PT11",2250533,0.0125,NA,NA
2020-03-25,"PT","PT12",118506,0,0,0
2020-03-25,"PT","PT13",1817117,0.0230769230769231,NA,NA
2020-03-25,"PT","PT14",453638,0,0,0
2020-03-25,"PT","PT15",851258,0,0,0
2020-03-25,"PT","PT16",244836,0,0,0
2020-03-25,"PT","PT17",206661,0,0,0
2020-03-25,"PT","PT18",377653,0,0,0
2020-03-25,"PT","PT20",245766,0,0,0
2020-03-25,"PT","PT30",267785,0,0,0
2020-03-26,"PT","PT01",714200,0.04,NA,NA
2020-03-26,"PT","PT02",152758,0,0,0
2020-03-26,"PT","PT03",848185,0.0136986301369863,NA,NA
2020-03-26,"PT","PT04",136252,0,0,0
2020-03-26,"PT","PT05",196264,0,0,0
2020-03-26,"PT","PT06",430104,0,0,0
2020-03-26,"PT","PT07",166706,0.02,NA,NA
2020-03-26,"PT","PT08",451006,0,0,0
2020-03-26,"PT","PT09",160939,0,0,0
2020-03-26,"PT","PT10",470930,0,0,0
2020-03-26,"PT","PT11",2250533,0.0125,NA,NA
2020-03-26,"PT","PT12",118506,0,0,0
2020-03-26,"PT","PT13",1817117,0.0230769230769231,NA,NA
2020-03-26,"PT","PT14",453638,0,0,0
2020-03-26,"PT","PT15",851258,0,0,0
2020-03-26,"PT","PT16",244836,0,0,0
2020-03-26,"PT","PT17",206661,0,0,0
2020-03-26,"PT","PT18",377653,0,0,0
2020-03-26,"PT","PT20",245766,0,0,0
2020-03-26,"PT","PT30",267785,0,0,0
2020-03-27,"PT","PT01",714200,0.04,NA,NA
2020-03-27,"PT","PT02",152758,0,0,0
2020-03-27,"PT","PT03",848185,0.0136986301369863,NA,NA
2020-03-27,"PT","PT04",136252,0,0,0
2020-03-27,"PT","PT05",196264,0,0,0
2020-03-27,"PT","PT06",430104,0,0,0
2020-03-27,"PT","PT07",166706,0.02,NA,NA
2020-03-27,"PT","PT08",451006,0,0,0
2020-03-27,"PT","PT09",160939,0,0,0
2020-03-27,"PT","PT10",470930,0,0,0
2020-03-27,"PT","PT11",2250533,0.0125,NA,NA
2020-03-27,"PT","PT12",118506,0,0,0
2020-03-27,"PT","PT13",1817117,0.0230769230769231,NA,NA
2020-03-27,"PT","PT14",453638,0,0,0
2020-03-27,"PT","PT15",851258,0,0,0
2020-03-27,"PT","PT16",244836,0,0,0
2020-03-27,"PT","PT17",206661,0,0,0
2020-03-27,"PT","PT18",377653,0,0,0
2020-03-27,"PT","PT20",245766,0,0,0
2020-03-27,"PT","PT30",267785,0,0,0
2020-03-28,"PT","PT01",714200,0.024,NA,NA
2020-03-28,"PT","PT02",152758,0,0,0
2020-03-28,"PT","PT03",848185,0.0141025641025641,NA,NA
2020-03-28,"PT","PT04",136252,0,0,0
2020-03-28,"PT","PT05",196264,0,0,0
