ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,first_date,day_count,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
IN,IND,India,2021-10-01,754601116.439008,1470,5124.9838,891.3,4341,0,91,2419,743,529,1724,2077,159,627,1418,38,7159952.9430585,27,4,14,13,19,3830893.10897126,907.3,2317,55637.0862013398,35,17,5,11,6,77,55,4,20,34,87,66,3,28,37,310,265,0,0,0,47,33,3,9,24,21,51,7,20,31,59,4,8,4,5,6,9,3,4,1,6,8,7,4,6,2,4,5,6,2,2,0,3,6,3,19,25,18,26,26,23,22,18,14,31,28,25,11,13,8,13,11,12,9,7,7,16,15,10,2021-10-01,2419,1,0.0376188507647788,0.00758239618119292,0.0157089706490285,0.00495525244500363,0.00948839431466335,6.91696400804459e-06,0.00785448532451426,0.00351784507893001,0.00507671274997498,5.07078810414421e-06,0.0163074679489263,0.00105241942721098
IN,IND,India,2021-10-02,757707779.474639,1522,4927.3,1576.5,4695.2,0,83,2389,735,559,1668,2061,161,653,1370,39,13060687.6215771,27,2,10,16,16,4088661.52550949,1585.5,2311,55493.0108810083,55,38,5,20,17,88,62,6,24,36,107,80,8,34,44,294,261,0,0,0,43,32,3,15,15,26,48,9,23,23,63,10,13,4,14,7,14,8,6,6,12,9,8,7,11,3,12,5,12,6,4,3,9,6,6,27,33,13,28,17,35,25,18,22,35,27,24,14,17,6,18,9,19,13,7,8,19,14,13,2021-10-02,2389,1,0.034742570113018,0.00734332186304839,0.0163248221012976,0.005081478601191,0.0172371037692563,9.26731108670224e-06,0.00669736291335287,0.00327063987165004,0.00539609284247337,5.21629332729162e-06,0.0285711655364985,0.00138611230971676
IN,IND,India,2021-10-03,755377165.442563,1470,4007,1213,4414,0,85,2404,728,523,1720,2104,129,637,1432,42,11407915.0945118,26,5,11,15,19,5448473.89663166,1225,2319,55685.1113081169,52,42,4,17,25,81,60,10,24,35,91,68,10,26,40,321,290,0,0,0,35,31,0,11,18,16,56,3,22,32,62,6,6,5,7,4,9,6,2,3,6,8,3,4,3,3,6,3,8,4,1,1,6,7,2,21,23,21,31,23,33,28,13,24,29,30,28,11,14,11,17,15,24,17,7,12,21,20,16,2021-10-03,2404,1,0.0353577371048253,0.00738254721548642,0.0174708818635607,0.00523734264487385,0.0151022768709564,8.69726985938608e-06,0.00790349417637271,0.00353970759900432,0.00721291845437172,6.03461731751991e-06,0.0219986989560249,0.00121827900387649
IN,IND,India,2021-10-04,725779606.848151,1146,3627.4,908.2,3640,0,83,1884,579,385,1350,1611,122,493,1088,39,13919185.0717769,27,1,9,18,16,4306523.90635721,914.2,1811,43486.7341867183,42,30,1,13,17,76,56,5,23,33,87,68,4,29,38,242,211,0,0,0,42,31,2,11,20,17,46,3,17,29,56,9,8,0,5,5,6,6,1,3,8,6,7,8,8,0,4,4,5,5,1,3,8,5,7,22,24,15,22,26,23,21,12,22,34,25,23,12,15,3,13,15,14,10,6,9,18,14,12,2021-10-04,1884,1,0.0440552016985138,0.00926664756414248,0.0207006369426752,0.00642920438282503,0.0191782532058511,9.97804085459047e-06,0.00849256900212314,0.0041435746803157,0.00593365240042936,5.58746025611395e-06,0.0210225030022883,0.00134833640399995
IN,IND,India,2021-10-05,757907616.940599,1582,5494.1,1222,5262,0,97,2555,800,587,1811,2219,148,664,1515,39,13366051.9212512,26,5,9,17,20,6380511.66913241,1236,2472,59359.0319765697,49,25,10,10,14,88,60,11,15,45,99,65,12,15,49,331,283,0,0,0,53,40,4,13,27,24,56,10,19,36,61,3,7,3,6,5,6,6,3,7,7,6,7,3,6,2,5,5,6,5,3,5,5,5,5,21,24,17,27,24,28,22,13,17,29,22,23,9,12,6,10,10,13,10,5,9,15,10,9,2021-10-05,2555,1,0.0379647749510763,0.00741034692854563,0.0152641878669276,0.0047538924937906,0.0176354632444587,9.37065026459996e-06,0.00782778864970646,0.00341716314692238,0.00841858760423632,6.50464742900199e-06,0.0208224419914374,0.00114868577290005
IN,IND,India,2021-10-06,778123902.97243,1460,5136.2,1009,4768.3,0,96,2440,787,504,1749,2110,129,674,1402,38,13447575.9552923,27,2,11,16,16,3815367.81691029,1021,2345,56309.43769622,46,28,4,15,13,84,60,7,22,38,106,77,14,33,44,261,231,0,0,0,45,36,2,15,19,20,53,6,23,28,64,7,7,3,7,6,8,9,5,5,5,7,8,6,6,2,5,5,8,8,4,4,5,5,6,25,25,19,22,25,26,23,17,26,27,26,22,13,10,6,10,13,14,12,8,9,13,13,9,2021-10-06,2440,1,0.039344262295082,0.00771396691230687,0.0155737704918033,0.00491294216149202,0.0172820496889025,9.15663245330214e-06,0.00655737704918033,0.00320250377676152,0.00490329085424005,4.90795063145743e-06,0.018131951618983,0.00110206278037413
IN,IND,India,2021-10-07,763400220.36734,1468,4856.5,1024,4976.9,0,95,2438,771,41,129,2029,120,577,1409,60,19182387.7294553,40,4,20,19,26,5183457.37001833,1036,2342,56237.4000360543,57,31,4,12,18,113,75,6,33,41,121,83,6,37,45,336,276,0,0,0,54,42,3,20,21,26,55,7,24,29,66,9,14,4,10,9,10,12,6,3,12,14,6,9,12,3,7,6,7,10,4,3,9,11,5,30,33,23,26,32,27,31,17,23,42,30,18,16,16,10,12,14,14,17,7,7,20,20,8,2021-10-07,2438,1,0.0389663658736669,0.0076814902923172,0.0246103363412633,0.00615005627077241,0.0251275637832865,1.11025065528132e-05,0.0106644790812141,0.00407730185536049,0.00678996053672098,5.82540502389233e-06,0.018421904272527,0.00111138661927004
IN,IND,India,2021-10-08,756750646.537184,1422,4856.6,1000.18,4731,0,85,2291,697,0,0,1865,130,546,1296,45,15649090.1422482,31,7,11,19,21,8827728.42669076,1003.18,2215,53187.8057557046,47,27,6,6,19,84,63,10,23,38,94,64,10,25,37,283,227,0,0,0,44,33,5,14,18,21,50,10,18,31,58,7,11,6,7,5,8,6,4,3,6,6,6,5,7,4,4,2,4,5,2,1,4,3,3,28,27,18,22,20,27,23,14,14,27,25,17,14,15,10,11,8,13,14,6,5,13,11,8,2021-10-08,2291,1,0.0371017023134003,0.00773967410403009,0.0196420776953296,0.00568226639115023,0.0206793218001952,1.01391675250705e-05,0.00916630292448712,0.00390241123409209,0.0116653067520795,7.65018244851431e-06,0.0188610901643072,0.00115608748334506
IN,IND,India,2021-10-09,750022505.235329,1521,5498.2,1374.4,5605.5,0,90,2467,756,0,0,2007,134,564,1416,36,10750652.9882739,21,3,16,4,18,6343325.8246371,1381.4,2370,56909.7515309345,50,29,6,20,9,85,60,8,26,33,112,80,8,32,47,292,234,0,0,0,50,34,7,20,14,24,50,9,29,19,62,8,8,7,9,8,8,6,6,7,6,8,7,5,7,4,5,5,4,4,3,4,3,4,3,24,25,21,24,23,28,25,15,16,31,27,21,10,15,10,10,10,14,11,8,9,18,11,6,2021-10-09,2467,1,0.0364815565464127,0.00739827060501288,0.0145926226185651,0.00473192765914242,0.014333773871093,8.50660282006131e-06,0.00729631130928253,0.00335834270405878,0.00845751398172619,6.55372131083022e-06,0.0242735201409043,0.00126440199681284
IN,IND,India,2021-10-10,738145305.468802,1484,4191.2,865.15,5075,0,89,2459,740,0,0,1984,133,529,1427,41,6340289.72061965,25,4,14,11,20,2693111.52505325,869.15,2370,56909.7515309345,40,23,3,11,12,82,57,4,24,31,86,60,4,20,37,273,230,0,0,0,54,45,3,21,23,27,56,6,27,27,60,8,6,5,8,6,8,3,4,1,8,16,7,6,4,3,7,5,6,2,4,1,8,12,6,22,25,17,23,17,22,19,15,11,26,32,19,9,10,7,11,7,11,6,7,2,15,16,7,2021-10-10,2459,1,0.0361935746238308,0.00738209235544825,0.0166734444896299,0.0050609305139813,0.00858948729152031,6.65713770586468e-06,0.00813338755591704,0.00355002323800122,0.00364848425520071,4.34950356489495e-06,0.0152724265458716,0.00100755048916535
IN,IND,India,2021-10-11,768593384.487146,1447,4833.592021,1124,4927,0,89,2374,786,0,0,1897,122,507,1357,50,11488408.1805101,36,0,17,19,21,4443858.3334528,1131,2272,54556.5212988537,45,28,2,15,13,89,63,3,25,37,109,80,6,33,46,279,221,0,0,0,44,31,3,15,16,23,45,3,24,21,62,5,10,5,8,10,10,4,6,6,7,8,7,5,7,3,5,7,8,3,4,3,5,5,3,27,28,21,24,28,26,18,14,25,33,29,20,14,14,8,11,14,15,7,8,8,15,12,8,2021-10-11,2374,1,0.0374894692502106,0.00764126259459428,0.02106149957877,0.00577603855016979,0.0149473159831787,8.57849509138517e-06,0.0088458298230834,0.00376658376415666,0.00578180663943397,5.36009398535691e-06,0.020730793919292,0.00119559412407513
