ISO2,ISO_3,country_agg,region_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
ZA,ZAF,South Africa,Eastern Cape,2021-07-01,2021-06-30,66,7877042.65924477,118,571,181,395,0,9,148,78,31,108,43,102,37,2,5,290294.130663369,0,5,0,0,2,65004.9565725515,181,145,3396.5683248731,8,2,6,1,1,20,5,15,4,1,22,7,15,5,2,24,4,0,0,0,4,2,2,2,0,3,3,6,3,0,8,0,3,0,3,2,3,1,0,1,2,3,1,0,2,0,2,1,2,0,0,1,1,2,1,1,7,2,7,5,5,4,3,3,6,7,4,0,3,0,2,1,2,0,0,2,1,2,1,2,0.0608108108108108,0.0385020782905053,0.0337837837837838,0.0291077434734052,0.0368531875757547,0.000131567998189956,0.0135135135135135,0.0186014561875711,0.00825245709393987,6.31769559340171e-05,0.0532890796497558,0.00755363015091078
ZA,ZAF,South Africa,Eastern Cape,2021-07-02,2021-07-01,73,8222243.77124531,102,484,145,325,0,12,139,78,26,102,34,101,30,2,6,346239.770826285,0,5,0,0,2,74856.1423953981,147,138,3232.59606091371,7,2,5,2,0,18,5,12,5,0,16,7,9,7,0,18,3,0,0,0,6,3,3,3,0,5,4,8,4,0,11,1,5,0,5,5,4,2,1,2,3,4,2,0,3,0,3,3,3,1,0,1,1,2,0,3,8,0,7,7,6,4,3,2,8,6,4,1,3,0,3,3,4,1,1,1,2,2,1,2,0.0863309352517986,0.0466894087339792,0.0431654676258993,0.0337852655121486,0.0421101320344148,0.000137278968765636,0.0143884892086331,0.0197970815489537,0.00910410156619094,6.49210416190589e-05,0.0454742866816616,0.0071820617540814
ZA,ZAF,South Africa,Eastern Cape,2021-07-03,2021-07-02,64,7828461.30690038,93,519,87,300,0,15,137,90,24,104,33,99,28,5,10,484403.322632062,2,7,1,1,5,249330.439010512,89,134,3138.89762436548,10,1,8,1,0,25,6,18,5,1,19,5,13,5,0,17,5,0,0,0,6,2,4,2,0,6,3,11,3,0,15,1,5,0,5,5,3,2,1,3,3,4,2,0,2,0,2,2,2,1,0,0,0,1,0,5,11,0,9,9,7,4,5,4,10,8,5,1,2,0,2,2,3,1,1,0,1,1,1,2,0.109489051094891,0.0522868868923068,0.072992700729927,0.0435581173661779,0.0618772072367638,0.000168773820772576,0.0364963503649635,0.0314006912055998,0.0318492267172273,0.000123007284415345,0.0283539033924342,0.00580657444145816
ZA,ZAF,South Africa,Eastern Cape,2021-07-04,2021-07-03,59,7228605.51556054,87,454,83,291,0,10,123,75,24,94,34,84,26,8,9,525648.814555974,3,6,2,1,5,254700.395249412,84,118,2764.10387817259,6,0,5,0,0,20,4,16,3,1,15,1,13,1,0,18,5,0,0,0,4,0,4,0,0,4,0,9,0,0,10,2,3,0,2,2,1,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,6,6,5,0,2,5,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0813008130081301,0.0482980554307738,0.0731707317073171,0.0460218533557061,0.0727178725446345,0.000189298579716568,0.040650406504065,0.034899276984327,0.0352350663902097,0.000134406146737874,0.0303895959422242,0.00639929317446236
ZA,ZAF,South Africa,Eastern Cape,2021-07-05,2021-07-04,71,7541092.43654701,101,384,103,348,0,9,130,77,25,100,36,90,27,8,8,541290.1997958,2,6,2,0,4,248328.371279356,104,127,2974.92536040609,4,0,4,0,0,16,2,14,2,0,14,1,13,0,1,15,4,0,0,0,3,0,3,0,0,3,0,9,0,0,9,3,3,0,1,2,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,6,8,6,4,1,5,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0692307692307692,0.0436362079203045,0.0615384615384615,0.0413102640930125,0.0717787514674269,0.00018422758614937,0.0307692307692308,0.0296857708537838,0.0329300261691346,0.000127366714606344,0.0349588602739947,0.00660026846229324
ZA,ZAF,South Africa,Eastern Cape,2021-07-06,2021-07-05,82,7942728.4518662,119,609,87,390,0,11,153,94,27,121,48,101,40,5,12,554929.176722942,3,9,3,0,6,296698.150205737,87,150,3513.69137055838,4,1,3,1,0,20,3,17,3,0,21,4,17,2,1,17,5,0,0,0,4,1,3,1,0,4,1,10,1,0,11,2,4,0,3,3,2,2,0,2,0,2,2,0,1,0,1,1,1,0,0,1,0,1,1,6,11,4,10,10,8,6,2,5,3,8,7,0,1,0,1,1,1,0,0,1,0,1,1,2,0.0718954248366013,0.0409309155909254,0.0784313725490196,0.0426001495918742,0.0698663161010569,0.000177284122398856,0.0392156862745098,0.0307570895680033,0.0373546888835191,0.000131876965437129,0.0247602850748313,0.00513806737362976
ZA,ZAF,South Africa,Eastern Cape,2021-07-07,2021-07-06,86,8139137.5292313,120,713,106.4,395,0,11,168,106,22,140,46,117,41,2,10,317855.688967771,2,7,2,0,4,122377.262320372,106.4,163,3818.2112893401,4,2,2,2,0,22,4,17,4,0,23,6,17,5,0,22,7,0,0,0,4,1,3,1,0,3,1,10,1,0,10,1,3,0,3,2,2,1,0,1,0,1,2,0,1,0,1,1,1,0,0,1,0,1,1,2,9,2,7,7,5,3,4,3,2,5,5,0,1,0,1,1,1,0,0,1,0,1,1,2,0.0654761904761905,0.0374050584066496,0.0595238095238095,0.0357777242012575,0.0390527482581795,0.000133086643778507,0.0238095238095238,0.0230534585142241,0.0150356548075101,8.36046293186053e-05,0.027866451575651,0.00522061795968977
ZA,ZAF,South Africa,Eastern Cape,2021-07-08,2021-07-07,77,8028752.88792035,106,409,151.4,350,0,8,163,96,15,141,36,120,32,2,6,287033.149726477,0,3,0,0,1,35623.2805551121,151.4,158,3701.08824365482,4,1,2,1,0,17,2,12,2,0,16,3,12,3,0,25,7,0,0,0,2,0,2,0,0,1,0,7,0,0,7,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,3,5,4,4,5,2,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.049079754601227,0.0331648110241446,0.0368098159509202,0.028906275385087,0.035750651904897,0.000128428291496162,0.00613496932515337,0.0119873777642962,0.0044369631314359,4.59728404151726e-05,0.0409068873890163,0.00638134132535601
ZA,ZAF,South Africa,Eastern Cape,2021-07-09,2021-07-08,75,7548238.08437015,101,385.4,172,337,0,9,152,85,23,122,38,104,35,2,6,394728.038852134,0,4,0,0,2,138668.17421674,172,149,3490.26676142132,5,0,4,0,0,10,0,8,0,0,10,0,8,0,0,16,3,0,0,0,2,0,2,0,0,2,0,6,0,0,9,1,2,1,0,2,1,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,5,9,6,6,5,4,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0592105263157895,0.0375207907502754,0.0394736842105263,0.030955281817109,0.052294063123086,0.000158813819227785,0.0131578947368421,0.0181152084782698,0.018370932748382,9.57998004799449e-05,0.0492799008663617,0.0071809190466665
ZA,ZAF,South Africa,Eastern Cape,2021-07-10,2021-07-09,72,7790710.92774114,103,390.4,137,347,0,10,147,88,31,109,44,95,38,5,6,342468.363169948,0,6,0,0,2,138668.17421674,137,145,3396.5683248731,6,1,5,1,0,13,0,13,0,0,15,2,12,2,0,10,3,0,0,0,3,1,2,0,0,3,2,6,1,0,10,1,2,1,0,3,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,3,6,2,5,9,6,4,4,4,7,4,3,0,1,0,1,1,1,0,0,0,1,0,1,2,0.0680272108843538,0.0407035578896526,0.0408163265306122,0.0319858039068264,0.043958550939233,0.000143952625596709,0.0136054421768707,0.0187271240736186,0.0177991682020919,9.28452197055835e-05,0.0403348282431853,0.00661649343926281
