ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,first_date,day_count,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
IN,IND,India,2021-04-01,760312935.090341,2048,7650.4,1619,5525.5,31840.5,159,4307,1383,0,0,821,2928,531,246,87,10246744.447659,8,61,6,1,54,7198713.75612951,1632,3924,162693.809696127,90,9,51,7,1,165,17,110,13,3,189,24,114,17,7,328,54,9,42,6,1,41,15,95,10,2,143,19,28,5,24,18,24,24,10,7,17,18,8,4,5,0,5,4,3,4,1,1,3,3,3,66,97,38,72,66,81,77,40,28,76,68,37,6,11,1,9,8,6,8,4,2,6,6,4,2021-04-01,4307,1,0.036916647318319,0.00563123588050424,0.0201996749477595,0.00420147356296829,0.0134770092349428,8.19600604167484e-06,0.0125377292779197,0.00332300010226998,0.00946809323357644,6.88362810535633e-06,0.0100311130647699,0.0004842257853463
IN,IND,India,2021-04-02,816977232.995817,2363,9900.6480482231,1916,6720.3,35659.5,197,4610,1554,0,0,871,3177,583,251,78,13793570.9938411,13,49,10,1,36,6368102.134073,1928,4254,176376.010817361,92,7,64,4,1,194,22,141,14,6,222,33,153,23,7,383,88,18,70,10,5,60,25,134,16,5,163,16,32,5,25,23,36,25,6,7,22,24,12,3,2,0,4,4,6,4,1,2,2,4,2,63,94,32,65,66,91,72,21,27,78,63,31,7,5,1,8,7,11,8,3,5,7,8,4,2021-04-02,4610,1,0.0427331887201735,0.00583843943933529,0.0169197396963124,0.00372296501276257,0.0168836663211051,8.83443846370987e-06,0.00780911062906725,0.00254094949816859,0.00779471186818936,6.03036939111595e-06,0.0109311917820642,0.000485260948821626
IN,IND,India,2021-04-03,801389812.500164,2279,8870.4,1918,6300.1,35218.6813,191,4600,1543,0,0,940,3066,638,263,92,16687916.6989774,8,63,8,0,46,7626638.00923546,1927,4195,173929.799101746,101,9,63,7,1,190,19,135,14,2,205,32,128,23,6,385,76,19,56,12,6,46,26,121,17,7,159,21,26,6,28,20,28,21,11,10,29,25,13,2,2,0,1,3,2,2,1,1,3,4,2,72,104,40,77,76,94,77,42,30,96,84,42,6,8,2,6,8,7,7,3,5,7,9,6,2021-04-03,4600,1,0.0415217391304348,0.00576498360486228,0.02,0.00404573293423225,0.0208237195415732,9.88634536136011e-06,0.01,0.00287532388817828,0.00951676436395166,6.72193649493569e-06,0.0110791825779822,0.000491921396118489
IN,IND,India,2021-04-04,812367896.556138,2428,9084.3,1866,6569,37078.1,238,4826,1659,0,0,1002,3219,686,269,120,19020172.4267765,17,73,12,3,51,8318232.26238509,1879,4404,182595.193145194,130,16,81,7,4,222,26,153,15,5,254,43,159,30,9,409,95,22,69,12,8,61,34,151,18,11,202,22,35,11,28,27,29,24,13,12,33,20,12,6,6,4,6,6,6,6,4,3,6,4,3,91,125,57,92,102,104,98,46,50,119,88,50,12,15,6,14,12,15,13,9,6,14,9,8,2021-04-04,4826,1,0.0493162038955657,0.00610896022953967,0.0248653128885205,0.00439322755707583,0.0234132497202419,1.03981954709543e-05,0.0105677579776212,0.00288495398577995,0.0102394891497417,6.92270652790547e-06,0.010290522809688,0.000462888088361554
IN,IND,India,2021-04-05,795101159.375224,2337,8950.66,1806.1,6434,35704.6,213,4681,1597,0,0,941,3175,626,272,82,12956810.1601852,10,57,9,1,36,5393062.73817525,1816,4280,177454.002420852,98,7,62,5,1,193,21,131,16,4,217,28,140,23,4,429,80,12,66,10,2,54,24,148,17,3,182,22,29,11,21,26,27,22,7,8,25,16,7,4,2,2,4,1,3,1,0,2,2,2,1,71,111,48,78,84,106,89,39,43,93,74,36,10,8,5,10,7,11,6,2,6,6,6,4,2021-04-05,4681,1,0.0455030976287118,0.00597016746333049,0.0175176244392224,0.00375819023959197,0.0162958008643409,8.800493261822e-06,0.00769066438795129,0.00250255850291699,0.00678286363261377,5.7051299689242e-06,0.0102336378736229,0.000468259458865943
IN,IND,India,2021-04-06,800012362.878368,2426,9930.7,1824,6716,36565.6,224,4869,1697,0,0,908,3338,627,246,106,17674445.4100041,12,68,7,4,65,10485661.1990781,1831,4445,184295.102981469,119,5,79,2,3,245,26,166,17,8,271,33,181,25,7,427,70,15,53,9,5,52,24,139,12,11,201,21,36,4,32,23,29,29,7,14,30,24,5,5,6,1,5,5,2,8,1,2,2,2,0,82,142,43,111,104,121,99,43,43,115,95,44,8,11,3,9,8,5,9,4,5,5,3,0,2021-04-06,4869,1,0.0460053399055248,0.00588444214836983,0.0217703840624358,0.0040990352453263,0.0220927153505642,1.01852837162054e-05,0.013349763811871,0.0032236405261501,0.0131068739504871,7.88105512533406e-06,0.00993515275435242,0.000452804034914443
IN,IND,India,2021-04-07,799858270.054893,2421,10041.5,2184.2,6714,37009.95,199,4850,1663,0,0,970,3281,668,261,107,21644798.5009672,13,68,7,6,51,10391937.7358206,2197,4434,183839.029610761,116,9,77,3,6,214,29,138,15,12,224,28,151,20,6,430,79,15,63,10,3,53,20,140,12,5,168,16,24,11,24,18,26,24,5,10,26,21,5,4,2,1,2,0,3,2,0,0,3,3,1,77,99,45,81,72,91,88,30,52,97,72,39,6,5,2,4,1,6,4,1,1,5,3,2,2021-04-07,4850,1,0.0410309278350515,0.00558258303006607,0.0220618556701031,0.00413384257959084,0.0270607922819649,1.12448761783532e-05,0.0105154639175258,0.00287075378520379,0.0129922239037517,7.84772193761782e-06,0.0119506723063741,0.000496723508088524
IN,IND,India,2021-04-08,821685907.361818,2470,10457.6,2272,6938.3,37747.5,234,4844,1627,0,0,1005,3240,675,281,116,22435546.5128866,16,72,11,3,56,11187828.5895266,2279,4418,183175.650162459,126,13,81,7,5,230,28,162,21,7,247,43,157,28,13,451,90,21,65,14,3,66,27,148,17,6,206,23,40,15,35,24,33,26,13,15,28,34,7,6,4,6,6,5,8,4,6,3,5,6,1,98,128,50,91,97,110,99,46,52,112,93,43,11,6,8,11,8,13,6,7,5,8,10,2,2021-04-08,4844,1,0.0483071841453344,0.00603809971356986,0.0239471511147812,0.00430536145017869,0.0273042853867608,1.11429217390646e-05,0.0115606936416185,0.00301032214670725,0.0136156997330614,7.9238862058934e-06,0.0124416099955357,0.000507614364643488
IN,IND,India,2021-04-09,782504951.745591,2470,9438,2602,7059.6,37634.67,233,4796,1602,0,0,1011,3194,690,292,118,19458241.1492342,13,81,11,2,69,11061369.266456,2617,4356,180605.054800287,121,14,89,12,2,238,30,165,21,8,254,39,171,26,12,459,98,23,73,19,2,71,32,155,26,3,201,31,45,21,39,28,42,39,18,23,40,37,14,6,9,6,10,8,8,5,4,6,7,7,5,94,139,57,107,99,124,100,48,61,115,101,49,8,15,9,14,14,14,10,5,9,14,12,7,2021-04-09,4796,1,0.048582151793161,0.0060846068815809,0.024603836530442,0.00438430179950771,0.0248666044934633,1.09105037334388e-05,0.0143869891576314,0.00337013017190126,0.0141358457116222,8.27130394290308e-06,0.0144901813678132,0.000551125529200672
IN,IND,India,2021-04-10,814947388.107251,2605,11819.4,3096.5,7131.1,39547,260,5015,1753,0,0,1075,3345,741,298,139,23074670.7994036,21,93,14,6,65,10580835.5110698,3104,4600,190721.591386897,118,12,81,8,4,261,33,188,25,8,268,44,186,34,9,501,113,16,95,7,9,79,31,188,16,12,221,25,52,9,44,29,42,36,11,13,29,33,12,3,5,0,3,4,5,2,1,2,5,5,1,91,148,58,118,106,120,114,46,51,97,103,50,12,15,4,12,15,12,9,5,3,12,13,6,2021-04-10,5015,1,0.0518444666001994,0.00613625811724796,0.0277168494516451,0.00454339958039867,0.028314307323563,1.13880451359512e-05,0.0129611166500499,0.00313040812979126,0.0129834583992523,7.77214180584129e-06,0.0162750319847282,0.000567866086094151
