ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,first_date,day_count,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
MX,MEX,Mexico,2021-04-01,82078074.1423335,4875,20228.25,4504,14819,68548.4,248,6912,3525,0,0,630,5777,415,201,84,1218581.47081226,2,71,2,0,59,837451.560542651,4512,6465,264256.147111226,154,2,129,2,0,272,11,229,9,1,330,17,266,12,4,427,91,5,85,3,2,79,7,207,5,2,236,30,46,23,54,55,45,37,36,22,40,55,20,0,0,0,1,2,1,1,1,0,0,0,0,82,127,72,184,148,150,118,85,77,162,155,81,2,0,0,3,2,3,1,1,0,2,1,0,2021-04-01,6912,1,0.0358796296296296,0.00438465908071764,0.0121527777777778,0.00258302670412283,0.0148466138313514,2.6163759331298e-05,0.00853587962962963,0.00216874688595477,0.0102031092870236,2.17407150556482e-05,0.0170743426380953,0.00049393280785039
MX,MEX,Mexico,2021-04-02,81613534.5463285,4811,20712.2,3827,14438.1,67140.62,272,6629,3351,0,0,603,5539,410,185,64,923258.789553787,2,57,1,1,39,600146.347624722,3841,6181,252647.679086541,127,7,98,4,3,250,12,211,6,6,299,19,243,11,8,438,111,5,105,2,3,84,9,232,5,4,245,18,46,24,65,50,45,39,31,23,38,52,28,0,1,0,1,1,0,0,0,0,0,1,0,54,116,69,176,149,137,101,81,55,157,137,82,1,2,0,3,3,3,2,1,1,4,2,2,2021-04-02,6629,1,0.041031829838588,0.00477514562130083,0.00965454819731483,0.00235387509929492,0.0113125695962805,2.2944422756499e-05,0.00588324030773872,0.0018409884901429,0.00735351496489892,1.85358195319423e-05,0.0152029894511096,0.000477120736743935
MX,MEX,Mexico,2021-04-03,81640021.0084633,4759,20496,3813,14446,66832.6,269,6650,3316,0,0,664,5484,441,205,90,1336059.83568093,7,67,2,3,68,955441.396504785,3825,6218,254160.049920743,156,9,118,5,3,260,17,207,10,5,307,25,233,15,8,420,91,5,86,1,3,75,14,219,6,5,253,24,43,24,63,45,46,37,28,20,43,44,25,1,3,2,3,3,2,3,2,1,1,3,2,81,128,73,203,152,157,125,84,82,179,157,87,3,6,4,10,11,8,8,3,5,8,8,5,2021-04-03,6650,1,0.0404511278195489,0.00473517610475867,0.0135338345864662,0.00277708260074898,0.0163652559024014,2.75216753640581e-05,0.0102255639097744,0.00241795947827038,0.0117031008162741,2.33287101189464e-05,0.0150495721148654,0.000473329650151657
MX,MEX,Mexico,2021-04-04,82006494.2817748,4869,19551.7,3912,14762.4,67446.4,268,6849,3440,0,0,690,5673,473,196,92,1365505.46449589,4,75,1,2,55,659659.743089347,3922,6400,261599.27942952,143,10,108,7,2,277,11,229,7,3,336,24,266,16,6,427,96,7,89,5,2,78,12,222,7,3,250,24,44,25,57,45,42,37,23,20,40,43,23,1,1,0,4,0,1,2,0,0,3,2,0,75,116,82,192,139,145,104,87,67,172,150,78,4,4,1,8,2,5,5,2,0,7,5,2,2021-04-04,6849,1,0.0391297999707987,0.00459219883556478,0.0134326179004234,0.00272632869649885,0.0166511869145876,2.76949359239671e-05,0.00803036939699226,0.00211373947306517,0.00804399394056223,1.9333302259175e-05,0.0149923960362309,0.000465677370354823
MX,MEX,Mexico,2021-04-05,81002527.3106594,5194,20273.1,3949,15418.3,72375.86,277,7300,3772,0,0,668,6081,451,195,101,1161415.505552,4,80,3,1,71,786580.28127176,3953,6833,279298.105678424,171,5,135,3,1,296,16,237,8,7,345,17,278,8,9,422,96,6,90,6,0,80,12,225,9,2,261,19,37,29,62,39,45,37,33,19,45,56,21,1,1,2,5,3,2,0,0,2,3,4,0,80,134,95,198,153,164,141,96,82,185,175,90,3,4,4,8,6,4,3,2,4,7,8,2,2021-04-05,7300,1,0.0379452054794521,0.0043829348947566,0.0138356164383562,0.00267954203584036,0.0143380156658293,2.58885266600111e-05,0.00972602739726027,0.00225129334514984,0.00971056468713724,2.13551252118687e-05,0.0141533362369145,0.000438074721554388
MX,MEX,Mexico,2021-04-06,82066801.4219146,5508,20742.25,4463,16823.8,76075.02,290,7574,3946,0,0,709,6333,462,229,105,1384365.45863877,6,83,3,3,71,857639.913616449,4472,7110,290620.449491232,148,4,124,2,2,319,17,274,11,6,371,17,318,12,5,424,81,2,77,2,0,58,9,242,5,3,266,17,37,14,40,35,33,35,22,9,37,33,20,0,0,0,0,0,0,0,0,0,0,0,0,72,135,79,203,156,158,121,98,79,175,164,90,3,4,1,7,5,5,4,5,4,4,3,6,2021-04-06,7574,1,0.0382888830208608,0.00432159542769022,0.0138632162661738,0.0026332131733379,0.0168687634299477,2.78619628508639e-05,0.00937417480855559,0.00217023512110391,0.010450509813429,2.20014769556996e-05,0.0153877678182275,0.000447512769081583
MX,MEX,Mexico,2021-04-07,81544835.9023571,5212,19288.56,3892.1,15565.4,71242.73,286,7111,3653,0,0,719,5886,460,228,98,1295197.70561251,6,77,4,2,69,866286.774076498,3900,6667,272512.87436822,155,10,122,7,2,304,25,249,20,5,355,29,291,23,5,448,96,5,90,2,1,78,14,236,8,3,264,22,40,28,59,52,45,39,32,21,39,51,27,1,1,1,1,1,1,1,1,0,1,2,0,83,137,92,206,169,157,144,96,78,176,172,100,7,7,3,8,4,8,7,3,5,7,7,5,2021-04-07,7111,1,0.0402193784277879,0.0045665310764292,0.0137814653353959,0.00270967391368855,0.0158832584710011,2.71358213323741e-05,0.00970327661369709,0.00227837196882677,0.010623441257688,2.22517042006461e-05,0.0143112504649241,0.000445926487622604
MX,MEX,Mexico,2021-04-08,80771087.0889247,4986,20978.9,3683.6,14965.8,69374.57,268,6865,3632,0,0,699,5622,463,217,83,1069419.72525625,1,63,1,0,53,678713.964258509,3693,6388,261108.78078059,138,2,100,2,0,265,11,210,8,3,333,19,253,14,5,405,96,5,86,4,0,82,8,213,6,0,253,19,44,24,60,46,46,38,24,24,38,54,27,1,2,2,3,3,2,2,1,0,0,2,2,61,129,79,191,144,156,120,87,76,161,159,86,1,3,3,5,4,3,2,2,0,2,2,2,2021-04-08,6865,1,0.0390386016023307,0.00458171338357453,0.0120903131828114,0.00258526589849904,0.0132401303956559,2.49271138698458e-05,0.00772032046613256,0.00207043944534849,0.00840293214713429,1.99068787980796e-05,0.0141435304816625,0.000452921683960468
MX,MEX,Mexico,2021-04-09,81133164.0924349,4710,19651.2,3408,13709.7,65591,270,6537,3385,0,0,674,5348,452,203,80,1236821.07545197,2,67,2,0,48,805089.539777938,3416,6107,249622.937418137,141,2,120,1,1,252,13,202,10,3,315,22,248,16,6,391,94,3,89,3,0,82,5,231,5,0,258,18,36,12,59,44,44,32,26,21,39,47,19,0,1,0,3,1,1,1,0,1,1,0,0,61,113,69,190,154,152,107,89,81,169,150,84,1,1,1,4,2,2,1,1,2,2,1,1,2021-04-09,6537,1,0.0413033501606241,0.00482383109826042,0.012238029677222,0.00266526717280399,0.0152443342902646,2.66604429277235e-05,0.00734281780633318,0.00206961645809755,0.00992306350656682,2.15678195723749e-05,0.0136846398625537,0.000455753939024007
MX,MEX,Mexico,2021-04-10,80975995.2441,4533,18116.7,3613,13487.3,63631,244,6314,3306,0,0,702,5122,454,238,79,1189932.54104408,6,58,3,3,52,806371.930878584,3621,5903,241284.460386321,140,9,108,7,2,221,16,173,13,3,274,24,202,19,4,417,90,10,80,8,2,72,16,200,13,3,226,22,38,21,60,38,38,40,27,17,36,54,22,2,3,1,4,2,2,3,2,2,3,4,1,66,110,69,182,125,140,108,79,61,149,160,71,3,6,2,9,6,6,4,2,4,8,8,3,2021-04-10,6314,1,0.0386442825467216,0.0047542332316343,0.0125118783655369,0.00274171936324406,0.0146948800994302,2.62082689578211e-05,0.00823566677225214,0.00222920202113811,0.00995816017386136,2.16265016058727e-05,0.015007182784181,0.000485120394252534
