ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
YE,YEM,Yemen,2021-04-01,2021-03-31,93,16295294.8964924,130,623,487,699,1889,20,191,111,0,0,3,162,2,1,16,1489808.53226555,1,13,1,0,12,1180636.87808224,488,160,4830.33589319304,25,1,17,1,0,28,1,21,1,0,31,1,23,1,0,6,4,1,3,1,0,2,1,15,1,0,18,1,1,1,2,1,2,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,10,12,6,18,13,16,12,7,6,14,12,8,1,1,1,1,1,1,1,0,1,1,1,0,2,0.104712041884817,0.0434221269950938,0.0837696335078534,0.0392895501030957,0.0914256870912002,0.0001399366015127,0.0628272251308901,0.0344124171381301,0.0724526242440922,0.00012586706042261,0.101028170874762,0.0084987237232727
YE,YEM,Yemen,2021-04-02,2021-04-02,116,7197350.57582605,87,362,204,544,1239,4,116,76,0,0,0,102,0,0,11,846768.746302358,0,9,0,0,6,333164.110811356,206,102,3079.33913191056,13,0,13,0,0,13,0,12,0,0,15,0,15,0,0,7,1,0,1,0,0,1,0,4,0,0,4,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,2,4,2,2,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0344827586206897,0.0332047423094912,0.0948275862068965,0.0533153297100072,0.117650062669786,0.00023538472336754,0.0517241379310345,0.0403026009943121,0.0462898266940565,0.00015350154373765,0.0668974709103211,0.00882447472382258
YE,YEM,Yemen,2021-04-03,2021-04-03,122,9564415.68660868,83,610,330,381,1240,8,122,76,0,0,1,107,1,0,11,740208.594957283,0,8,0,0,5,419758.209118403,330,111,3351.04552590267,12,0,9,0,0,13,0,11,0,0,17,0,14,0,0,5,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,8,8,8,6,6,1,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0655737704918033,0.0439243925515473,0.0901639344262295,0.0508236880845297,0.0773919305905601,0.000169346152539645,0.040983606557377,0.0351792258384126,0.0438874911831901,0.000129820640397862,0.0984767283670693,0.0100881888573443
YE,YEM,Yemen,2021-04-04,2021-04-04,116,9248921.03221736,79,462,361,409,1233,15,116,73,0,0,1,101,1,0,13,1304124.00606988,0,13,0,0,12,1198856.57952964,361,101,3049.1495325781,16,0,15,0,0,19,0,19,0,0,21,0,20,0,0,8,4,0,4,0,0,3,0,15,0,0,14,1,1,0,3,2,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,10,5,14,10,13,10,9,6,11,12,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.129310344827586,0.0610614936573964,0.112068965517241,0.0574052213231845,0.141002826332622,0.000224291250214167,0.103448275862069,0.0554202397026245,0.129621236396504,0.000216468535114408,0.118393668838789,0.0114672774177053
YE,YEM,Yemen,2021-04-05,2021-04-05,106,8411678.95484038,76,334,468,366,1101,12,106,76,0,0,3,90,2,1,14,1166575.02156413,0,11,0,0,11,1046893.93863667,468,88,2656.68474125617,12,0,10,0,0,22,0,19,0,0,24,0,18,0,0,5,1,0,1,0,0,1,0,9,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,3,10,7,10,9,8,5,7,10,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0.113207547169811,0.0603175708408045,0.132075471698113,0.0644536066971287,0.138685157603743,0.000233562279075588,0.10377358490566,0.0580560438831878,0.124457191513978,0.000223077329832381,0.176159403760762,0.0144861370809895
YE,YEM,Yemen,2021-04-06,2021-04-05,87,15552584.9879637,140,623,680,709,1991,26,193,131,0,0,5,169,3,1,23,2531580.81716835,0,19,0,0,19,2358235.2127135,680,168,5071.85268785269,27,0,24,0,0,39,0,35,0,0,46,0,38,0,0,7,3,1,2,1,0,2,1,21,1,0,25,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,7,22,16,21,18,13,13,16,20,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0.134715025906736,0.0481678250792233,0.119170984455959,0.045708872238956,0.162775565549236,0.000183468856116133,0.0984455958549223,0.0420304028022017,0.151629791095085,0.000178250916904711,0.134073294681573,0.00937727134636463
YE,YEM,Yemen,2021-04-07,2021-04-07,118,8687050.04249953,80,437,518,320,1116,11,118,79,0,0,2,101,1,0,14,1106225.1585974,1,12,1,0,11,959695.159077706,519,108,3260.4767279053,20,0,17,0,0,17,1,16,1,0,29,1,24,1,0,6,1,0,1,0,0,1,0,10,0,0,11,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,11,8,11,5,8,3,10,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0932203389830508,0.0524581911743965,0.11864406779661,0.0583452852635695,0.127341865556827,0.000221676473536096,0.0932203389830508,0.0524581911743965,0.110474229385419,0.000208459497759085,0.15917917633273,0.0125574770941644
YE,YEM,Yemen,2021-04-08,2021-04-08,107,8860332.96680202,71,433,292,318,1008,13,107,77,0,0,3,86,2,1,12,731128.309060347,0,10,0,0,10,489882.013224104,293,86,2596.30554259126,12,0,12,0,0,15,0,14,0,0,21,0,18,0,0,5,1,1,0,1,0,0,1,11,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,11,7,10,7,6,5,9,10,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.121495327102804,0.0619024769968409,0.11214953271028,0.0597894901686385,0.082517024111819,0.000181173158425528,0.0934579439252336,0.0551516222708939,0.0552893457909086,0.000150484996276497,0.112852665140317,0.0121709359465852
YE,YEM,Yemen,2021-04-09,2021-04-09,105,11287959.8062652,62,463,316,339,829,13,105,70,0,0,1,87,0,0,14,1531227.76735773,1,11,0,0,13,1488215.18154631,316,81,2445.35754592897,15,1,12,0,0,22,1,18,0,0,24,0,20,0,0,5,1,0,1,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,11,12,11,12,5,3,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.123809523809524,0.0629984308438001,0.133333333333333,0.0650202831480922,0.135651419179208,0.000199754695295772,0.123809523809524,0.0629984308438001,0.13184093557104,0.000197362734605476,0.129224456573263,0.0132954296288965
YE,YEM,Yemen,2021-04-10,2021-04-10,101,8935928.02071391,70,458,198,339,935,5,101,67,0,0,4,88,2,1,8,583072.590904579,0,8,0,0,6,495375.49723445,198,85,2566.1159432588,12,0,12,0,0,13,0,11,0,0,18,0,16,0,0,7,1,0,1,0,0,1,0,5,0,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,4,2,4,1,4,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0495049504950495,0.042304508043671,0.0792079207920792,0.0526686877686011,0.0652503679028064,0.000161926300554504,0.0594059405940594,0.0461002688546413,0.0554363795328416,0.000150034555939398,0.0771594130499626,0.0103244697123507
