ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
PT,PRT,Portugal,2021-04-01,2021-04-01,1128,7951414.78637902,754,4206,97,1815,7147,3,1128,405,143,930,97,46,0,0,0,0,0,0,0,0,97,1090,45001.2803152874,10,1,6,1,0,26,3,20,2,1,34,6,24,5,1,83,3,0,3,0,0,2,0,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00265957446808511,0.00300553181906723,0,0,0,0,0,0,0,0,0.00215549422861749,0.000428489834769453
PT,PRT,Portugal,2021-04-02,2021-04-02,1338,8308092.53139848,941,3593,169,2396.4,8615.5,5,1338,469,185,1090,119,64,5,27324.6459883952,1,3,1,0,3,17273.0370602792,169,1288,53175.8248129268,8,0,7,0,0,29,5,23,3,2,28,5,20,3,2,116,3,0,3,0,0,2,0,5,0,0,4,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,2,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00373692077727952,0.00326936943210374,0.00373692077727952,0.00326936943210374,0.00328891931392532,3.89321763051881e-05,0.00224215246636771,0.00253434176751201,0.00207906170941162,3.09727085664202e-05,0.00317813594043053,0.000478394288377502
PT,PRT,Portugal,2021-04-03,2021-04-03,1229,8038327.09124188,832,3885,110,2219,7942,2,1229,425,172,995,115,55,3,22996.9750185416,0,3,0,0,2,18342.7488864985,112,1171,48345.4121552308,7,1,4,1,0,26,2,21,2,0,29,4,23,3,1,89,2,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0016273393002441,0.00225349991427434,0.00244100895036615,0.00275883755436309,0.00286091555587453,3.69228863211953e-05,0.0016273393002441,0.00225349991427434,0.00228191123330671,3.29851565848301e-05,0.00231666242994025,0.000428546739137219
PT,PRT,Portugal,2021-04-04,2021-04-04,1240,8319317.22696509,838,3606,198,2064,7966,3,1240,446,155,1038,97,57,4,29391.030333623,1,3,0,1,2,21696.6654127508,198,1197,49418.8371902744,12,1,10,0,1,27,3,21,0,3,30,3,23,0,3,103,2,0,2,0,0,1,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00241935483870968,0.00273439367280685,0.0032258064516129,0.00315612935291271,0.00353286568257776,4.03180297800514e-05,0.00161290322580645,0.00223352533700044,0.00260798630714865,3.46569105345976e-05,0.00400656938239264,0.000556950246803294
PT,PRT,Portugal,2021-04-05,2021-04-05,1154,7915909.47010918,748,3088,127,1867,7023.5,5,1154,432,128,963,77,48,0,0,0,0,0,0,0,0,128,1101,45455.4216762674,13,1,11,0,0,22,3,16,2,1,29,4,22,2,1,80,5,1,4,0,1,5,1,4,0,1,5,0,1,0,3,2,2,1,1,0,3,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,2,2,1,1,0,3,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0.00433275563258232,0.00378952166497632,0,0,0,0,0,0,0,0,0.00281594571735828,0.000487141408512252
PT,PRT,Portugal,2021-04-06,2021-04-06,1256,8124665.87531569,880,4284,81,2206,8087,10,1256,459,147,1056,105,41,2,8654.24576856773,0,2,0,0,2,8654.24576856773,82,1211,49996.835286067,13,1,10,0,1,26,1,23,1,0,25,3,20,1,2,103,8,1,7,1,0,6,1,9,1,0,8,1,3,1,4,4,3,2,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,1,0,2,5,3,6,5,5,3,2,1,4,3,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0.00796178343949045,0.00491499016435978,0.00159235668789809,0.0022050954747224,0.00106518174425622,2.24298189939487e-05,0.00159235668789809,0.0022050954747224,0.00106518174425622,2.24298189939487e-05,0.00164010380918753,0.000354695816125845
PT,PRT,Portugal,2021-04-07,2021-04-07,1252,7989131.85116063,839,3872,257,2200,8027,5,1252,463,189,1000,119,64,4,38709.9769793042,0,4,0,0,3,29802.7810119807,259,1202,49625.2650816289,9,0,8,0,0,23,4,18,3,1,31,5,22,4,1,111,5,1,4,1,0,1,1,4,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00399361022364217,0.00349349259161387,0.00319488817891374,0.00312592739122922,0.00484532959281183,4.81509934146151e-05,0.0023961661341853,0.00270821690236567,0.0037304154653113,4.22732204095235e-05,0.00521911569790044,0.000633955609582228
PT,PRT,Portugal,2021-04-08,2021-04-08,1200,7910419.91613103,818,3856,206,2028,7907,4,1200,470,165,978,105,59,3,16488.725568169,0,2,0,0,1,6022.83788418742,206,1146,47313.2726984581,6,0,4,0,0,16,2,12,1,1,23,3,16,2,1,113,2,0,2,0,0,1,0,3,0,0,3,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00333333333333333,0.00326115775196754,0.0025,0.00282542591687607,0.00208443113551342,3.17825688825597e-05,0.000833333333333333,0.00163262263556095,0.000761380299408072,1.92213437232175e-05,0.00435395795410097,0.00059326837383988
PT,PRT,Portugal,2021-04-09,2021-04-09,1074,7930309.81138507,756,3315,138,1829.3,6881.12,7,1074,386,147,882,103,40,3,13678.8816737044,0,3,0,0,2,7628.1584972222,140,1035,42730.5735103876,6,0,6,0,0,20,0,17,0,0,23,0,20,0,0,112,7,0,7,0,0,6,0,7,0,0,6,2,4,1,5,5,3,2,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,5,5,3,2,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00651769087523278,0.00481252389307502,0.00279329608938548,0.00315643631809783,0.00172488616448079,2.88807425816891e-05,0.00186219739292365,0.00257842236460773,0.000961899179054885,2.15753980427886e-05,0.00327634263944449,0.000541827159153908
PT,PRT,Portugal,2021-04-10,2021-04-10,1211,8213740.41872251,830,3370,164,2117.3,7566,1,1211,449,207,962,142,61,1,5152.26422530315,0,1,0,0,1,5152.26422530315,166,1173,48427.9833117726,4,0,4,0,0,25,2,21,2,0,29,2,25,2,0,135,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000825763831544178,0.00161779899564598,0.000825763831544178,0.00161779899564598,0.000627273807382445,1.71226085213351e-05,0.000825763831544178,0.00161779899564598,0.000627273807382445,1.71226085213351e-05,0.00342777024042722,0.000520547232024202
