"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_active"
"2021-02-28","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-01","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-02","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-03","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-04","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-05","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-06","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-07","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-08","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-09","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-10","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-11","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-12","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-13","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-14","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-15","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-16","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-17","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-18","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-19","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-20","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-21","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-22","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-23","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-24","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-25","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-26","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-27","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2021-03-28","TM",6118000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
