"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_active"
"2020-03-15","RK",1873000,0,0,2,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-16","RK",1873000,0,0,2,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-17","RK",1873000,0,0,2,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-18","RK",1873000,0,0,2,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-19","RK",1873000,0,0,2,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-20","RK",1873000,0,0,2,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-21","RK",1873000,0,0,2,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-26","RK",1873000,69,1,71,1,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-27","RK",1873000,15,0,86,1,5833.57696875477,5822.56486996344,5844.60989450509,5833.57696875477,5833.57696875477,0.0031145632508034,0.00310868386009794,0.0031204537610812,0.0031145632508034,0.0031145632508034
"2020-03-28","RK",1873000,5,0,91,1,1445.77973842807,300.820750143569,6948.58666182943,0,5833.57696875477,0.00077190589344798,0.000160609049729615,0.00370987008106216,0,0.0031145632508034
"2020-03-29","RK",1873000,3,0,94,1,685.940735026311,117.319588712423,4010.53819854222,0,5833.57696875477,0.000366225699426755,6.26372603910428e-05,0.00214123769276147,0,0.0031145632508034
"2020-03-30","RK",1873000,0,0,94,1,418.309232542023,66.4753668874853,2632.29256524553,0,5833.57696875477,0.000223336482937546,3.54913864855767e-05,0.00140538844914337,0,0.0031145632508034
"2020-03-31","RK",1873000,18,0,112,1,353.940486099327,54.1878480967053,2311.84429905134,0,5833.57696875477,0.000188969827068514,2.89310454333718e-05,0.00123430021305464,0,0.0031145632508034
"2020-04-01","RK",1873000,13,0,125,1,305.105366205606,45.7916160991683,2032.88925828385,0,5833.57696875477,0.00016289661836925,2.4448273411195e-05,0.00108536532743398,0,0.0031145632508034
"2020-04-02","RK",1873000,0,0,125,1,246.072682982311,36.4780398307385,1659.95118134303,0,5833.57696875477,0.000131378901752435,1.94757286869934e-05,0.000886252632858,0,0.0031145632508034
"2020-04-03","RK",1873000,1,0,126,1,206.662857163653,30.3787915079045,1405.89978768351,0,5833.57696875477,0.000110337884230461,1.62193227484808e-05,0.000750613874897764,0,0.0031145632508034
"2020-04-04","RK",1873000,9,0,135,1,190.285893349915,27.8009313554666,1302.42835194999,0,5833.57696875477,0.000101594176908657,1.4842995918562e-05,0.000695370182568067,0,0.0031145632508034
"2020-04-05","RK",1873000,10,0,145,1,179.961787763143,26.1709010895388,1237.49063679936,0,5833.57696875477,9.60821077219129e-05,1.3972718147111e-05,0.000660699752695868,0,0.0031145632508034
"2020-04-06","RK",1873000,0,0,145,1,160.973405485365,23.3244815831182,1110.95447850428,0,0,8.59441566926667e-05,1.24530067181624e-05,0.000593141739724653,0,0
"2020-04-07","RK",1873000,25,3,170,4,683.667603030655,429.57853108765,1088.0464399612,0,0,0.000365012067822026,0.000229353193319621,0.000580911073123974,0,0
"2020-04-08","RK",1873000,14,1,184,5,844.405864108361,583.797335149173,1221.35066471037,0,0,0.000450830680250059,0.000311691049198704,0.000652082575926522,0,0
"2020-04-09","RK",1873000,0,0,184,5,771.842243918325,532.552447701898,1118.65122781362,0,0,0.000412088758098412,0.000284331258783715,0.000597251055960286,0,0
