"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020-04-04","LI",39062,2,1,77,1,130.638868674696,19.2234077595754,887.798574636352,130.638868674696,130.638868674696,130.638868674696,0.00334439784636465,0.000492125537852015,0.0227279344282513,0.00334439784636465,0.00334439784636465,0.00334439784636465
"2020-04-05","LI",39062,0,0,77,1,122.658278165203,18.0125425704063,835.254275938288,0,130.638868674696,130.638868674696,0.00314009211420825,0.0004611269922279,0.0213827831636447,0,0.00334439784636465,0.00334439784636465
"2020-04-06","LI",39062,0,0,77,1,115.818004175022,16.9618019091621,790.824592983823,0,130.638868674696,130.638868674696,0.00296497885860994,0.000434227686988942,0.0202453687211055,0,0.00334439784636465,0.00334439784636465
"2020-04-07","LI",39062,1,0,78,1,111.483994579001,16.2879067174182,763.061900029145,0,130.638868674696,130.638868674696,0.00285402679276536,0.000416975749255497,0.0195346346840701,0,0.00334439784636465,0.00334439784636465
"2020-04-08","LI",39062,0,0,78,1,106.57126995177,15.547589357144,730.494954442211,0,130.638868674696,130.638868674696,0.00272825943248606,0.000398023382242178,0.0187009102053712,0,0.00334439784636465,0.00334439784636465
"2020-04-09","LI",39062,0,0,78,1,102.404888503051,14.9196825971345,702.880984300319,0,130.638868674696,130.638868674696,0.00262159870214149,0.000381948763430816,0.0179939835210772,0,0.00334439784636465,0.00334439784636465
"2020-04-10","LI",39062,1,0,79,1,100.140475133234,14.5715416282675,688.198614514209,0,130.638868674696,130.638868674696,0.0025636289778617,0.000373036240547528,0.0176181100433723,0,0.00334439784636465,0.00334439784636465
"2020-04-11","LI",39062,0,0,79,1,97.0794182129266,14.1096679618189,667.940129141449,0,130.638868674696,130.638868674696,0.00248526491764187,0.000361212123337744,0.0170994861794442,0,0.00334439784636465,0.00334439784636465
"2020-04-12","LI",39062,0,0,79,1,94.4228143964606,13.7086137471941,650.369763344841,0,130.638868674696,130.638868674696,0.00241725498941325,0.00035094500402422,0.0166496790575199,0,0.00334439784636465,0.00334439784636465
"2020-04-13","LI",39062,0,0,79,1,92.1184396779991,13.3671278375953,634.826496148461,0,130.638868674696,130.638868674696,0.00235826224151347,0.000342202852838955,0.0162517663240096,0,0.00334439784636465,0.00334439784636465
"2020-04-14","LI",39062,0,0,79,1,90.1213800421947,13.0644256277668,621.677781489884,0,130.638868674696,0,0.002307136860432,0.000334453577076618,0.015915154920124,0,0.00334439784636465,0
"2020-04-15","LI",39062,0,0,79,1,88.3885963802603,12.8071974511124,610.011987391822,0,130.638868674696,0,0.00226277703088066,0.000327868451464657,0.0156165067685173,0,0.00334439784636465,0
"2020-04-16","LI",39062,0,0,79,1,86.8810543491962,12.5830097065706,599.881727889506,0,0,0,0.00222418346088772,0.000322129171741605,0.0153571688057321,0,0,0
"2020-04-17","LI",39062,0,0,79,1,85.5648512575145,12.3868920471637,591.055750130396,0,0,0,0.00219048823044172,0.000317108495396132,0.0151312208829654,0,0,0
"2020-04-18","LI",39062,0,0,79,1,84.4112342676964,12.2146314960127,583.33781685693,0,0,0,0.00216095525748032,0.000312698568839605,0.01493363926212,0,0,0
"2020-04-19","LI",39062,2,0,81,1,85.5073905378453,12.3680819136777,591.159881347961,0,0,0,0.00218901721718922,0.000316626949815108,0.0151338866762573,0,0,0
