"Timestamp","Country","ISO.3166.1.a2","Region","ISO.3166.2","Language","Reach","Cases","Visibility","Recovered","Fatalities","RecentCases","RecentCases14","PositiveTest14Days","PositiveTest07Days","LongCovid","StillSick","Tested","Positive","Hospital","Severe","ICU","Vaccinated","RecentVaccinated","VaccineSideEffects","RefuseVaccine","ContactsDoctors","Surveyfirst","Surveyknown","Surveyforward","Dataset","Cookie","Campaign"
"2021-07-03","United Kingdom","GB","England","GBENG","en",10,2,0,,0,0,,,,,0,,,0,,,7,,2,0,,,,,"limesurvey-16672","l1eanyecyov1u9v5k4",
"2021-07-13","United Kingdom","GB","Scotland","GBSCT","en",10,2,8,,0,0,,,,,0,,,0,,,10,,0,1,,,,,"limesurvey-17207","8e1hytw55hqk8i9h9z",
"2021-08-22","United Kingdom","GB","England","GBENG","en",190,50,10,,3,10,,,,,0,,,50,,,5,,0,2,,,,,"limesurvey-18303","9gjnucc811ynmk1xjg",
"2021-09-25","United Kingdom","GB","England","GBENG","en",4,2,4,,0,0,,,,,0,,,0,,,2,,0,2,,,,,"limesurvey-19166","ca4ack2iwvo7i96e0c",
"2021-09-25","United Kingdom","GB","England","GBENG","en",4,2,4,,0,0,,,,,0,,,0,,,2,,0,2,,,,,"limesurvey-19167","ca4ack2iwvo7i96e0c",
"2021-10-18","United Kingdom","GB","England","GBENG","en",30,10,10,,,0,,,,,1,,,,,,20,,0,3,,,,,"limesurvey-19738","zqglp6msax1ogz8z9r",
"2021-10-18","United Kingdom","GB","England","GBENG","en",20,5,10,,0,0,,,,,1,,,3,,,15,,0,3,,,,,"limesurvey-19717","zqglp6msax1ogz8z9r",
"2021-10-18","United Kingdom","GB","England","GBENG","en",20,2,10,,,0,,,,,0,,,,,,10,,0,2,,,,,"limesurvey-19723","zqglp6msax1ogz8z9r",
"2021-11-25","United Kingdom","GB","England","GBENG","en",10,0,4,,0,0,,,,,0,,,0,,,2,,1,7,,,,,"limesurvey-20593","6taho0mdl11pv3itir",
"2021-12-08","United Kingdom","GB","England","GBENG","en",1,0,0,,0,0,,,,,0,,,0,,,0,,0,0,,,,,"limesurvey-20931","6inwqfok80xt1pmf3i",
"2022-01-01","United Kingdom","GB","Scotland","GBSCT","en",20,6,10,,0,0,,,,,0,,,1,,,15,,1,0,,,,,"limesurvey-21465","fwzrs35vxsvtprc3h7",
"2022-01-01","United Kingdom","GB","England","GBENG","en",40,7,4,,0,0,,,,,0,,,0,,,25,,0,1,,,,,"limesurvey-21471","cmz5s0nwzfaqvuucle",
