ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
KE,KEN,Kenya,2021-07-01,2021-07-01,346,27125708.4448916,260,931,177,864,0,15,346,177,69,259,108,220,33,60,19,1909871.43408566,3,12,1,1,11,1131308.96639299,177,342,5432.20382241723,19,3,15,0,1,30,7,19,1,3,27,7,16,2,3,52,21,0,0,0,7,1,6,0,1,6,2,13,0,1,14,2,3,1,4,1,3,3,2,0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,7,10,4,11,6,8,10,4,4,12,10,6,1,2,1,1,1,1,1,1,0,1,1,0,1,0.0433526011560694,0.0214582138570634,0.0549132947976879,0.0240040553566259,0.0704081678812462,9.62753747058581e-05,0.0317919075144509,0.0184864146031783,0.0417061537283477,7.52327549878785e-05,0.0325834607437904,0.00472134157390201
KE,KEN,Kenya,2021-07-02,2021-07-02,311,23596969.0462577,214,785,166,792,0,9,311,154,65,235,106,193,35,62,13,863038.757678155,3,10,1,1,8,503453.620111283,166,305,4844.50925683408,17,2,14,0,1,28,8,19,1,5,30,9,21,2,6,36,18,0,0,0,2,1,1,0,1,1,2,7,0,2,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,5,6,3,4,2,7,7,4,0,0,1,1,1,1,0,0,1,1,1,0,1,0.0289389067524116,0.0186308313132592,0.0418006430868167,0.0222426903387595,0.0365741361098673,7.57384073724965e-05,0.0257234726688103,0.0175943738292551,0.0213355206392969,5.83026795559718e-05,0.0342655966165873,0.00512249091062853
KE,KEN,Kenya,2021-07-03,2021-07-03,281,23701297.2633671,186,635,262,834,0,10,281,158,60,209,91,173,30,49,13,746509.840440146,3,10,2,1,6,391101.090750948,263,278,4415.65106032746,12,4,8,1,2,29,5,21,1,2,32,6,23,2,2,46,22,0,0,0,3,2,1,1,1,2,4,6,2,2,9,2,0,0,2,0,1,1,2,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,8,5,3,9,4,8,4,7,6,5,7,4,2,1,0,3,1,2,3,3,2,2,1,2,1,0.0355871886120997,0.0216607383626605,0.0462633451957295,0.0245599616502704,0.0314965814801182,7.03144074434913e-05,0.0213523131672598,0.0169017075665846,0.0165012525012897,5.12870114416005e-05,0.0595608657493186,0.00698066127521699
KE,KEN,Kenya,2021-07-04,2021-07-04,320,25110906.1564461,213,890,163,937,0,6,320,180,69,228,93,203,28,58,21,1753498.038913,3,17,0,2,13,1227570.46680066,164,308,4892.16016755704,11,1,9,0,0,27,3,22,0,2,23,3,18,1,1,45,18,0,0,0,5,0,5,0,0,5,0,6,0,0,6,2,5,1,2,3,3,2,3,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,3,3,4,3,3,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01875,0.0148615317200739,0.065625,0.0271311601583162,0.0698301378687152,9.9682628283975e-05,0.040625,0.0216303719459685,0.0488859485656409,8.43383733963986e-05,0.0335230234462858,0.00504388416388886
KE,KEN,Kenya,2021-07-05,2021-07-05,328,24496082.2784938,223,855,217,901,0,8,328,189,62,251,102,209,27,64,10,522614.623809834,3,6,1,2,7,421987.26691069,219,319,5066.88017354122,11,1,8,0,0,33,10,19,3,6,36,10,23,4,6,42,19,0,0,0,3,2,1,2,0,2,2,4,2,0,7,0,1,1,2,0,1,1,1,1,1,1,2,0,1,1,1,0,1,0,1,0,0,0,1,2,6,4,7,3,6,3,5,3,3,5,6,0,1,1,1,0,1,0,1,0,0,0,1,1,0.024390243902439,0.0166938807978053,0.0304878048780488,0.0186059086965929,0.0213346206902914,5.72215148063835e-05,0.0213414634146341,0.0156400760922314,0.0172267247518666,5.15261627982871e-05,0.0432218628622002,0.00559931804094076
KE,KEN,Kenya,2021-07-06,2021-07-06,346,26431287.5003647,245,985,198,973,0,11,346,170,88,241,103,226,35,54,16,960618.201591406,2,13,1,1,8,448857.814751578,198,340,5400.43654860193,14,1,13,0,1,32,4,27,1,3,27,3,22,0,3,66,28,0,0,0,6,3,3,1,2,4,3,8,1,2,9,1,4,1,3,1,2,1,2,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,6,8,4,8,6,6,4,6,6,4,6,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0317919075144509,0.0184864146031783,0.046242774566474,0.0221284453893922,0.036343980654675,7.13454361542541e-05,0.023121387283237,0.0158357007589939,0.0169820639552797,4.92566519389433e-05,0.0366637026873797,0.00501234297607487
KE,KEN,Kenya,2021-07-07,2021-07-07,317,27021052.1812578,213,884,230,739,0,8,317,167,76,228,110,195,32,57,14,923579.590053799,1,12,0,1,7,376472.893472832,232,312,4955.69471518765,16,3,11,2,0,33,6,25,1,3,27,7,18,2,2,52,28,0,0,0,5,2,3,2,0,5,3,5,3,0,8,2,3,0,3,3,5,2,3,0,4,3,1,1,0,0,0,1,2,0,1,0,1,0,0,4,6,1,5,5,7,4,4,2,6,4,1,1,1,0,1,2,2,0,2,1,2,0,0,1,0.0252365930599369,0.0172656697992057,0.0441640378548896,0.0226174963958949,0.0341800009806579,6.8506392010805e-05,0.0220820189274448,0.01617666771044,0.0139325771234756,4.41942732295009e-05,0.0468148288652634,0.00588133851983536
KE,KEN,Kenya,2021-07-08,2021-07-08,318,26356408.0038172,218,945,136,813,0,4,318,168,61,234,89,211,24,56,16,1502332.84475387,1,12,0,1,8,909467.632416263,137,310,4923.92744137235,10,2,7,0,2,28,3,22,0,3,29,3,25,1,2,44,20,0,0,0,3,2,1,1,1,3,2,2,1,1,4,1,3,0,1,2,1,1,2,1,1,2,1,1,2,0,1,2,1,1,2,1,1,2,1,2,4,0,2,3,2,1,2,2,2,3,2,1,2,0,1,2,1,1,2,1,1,2,1,1,0.0125786163522013,0.0122490450171093,0.050314465408805,0.0240254136564437,0.0570006673343459,8.85116920017165e-05,0.0251572327044025,0.0172120758578224,0.0345065090920032,6.96835340121149e-05,0.0278233182010125,0.00459377087610385
KE,KEN,Kenya,2021-07-09,2021-07-09,314,23938636.6522561,222,719,216,761,0,7,314,157,61,237,117,178,33,68,16,1452722.64626954,7,7,3,2,8,653326.743473313,217,307,4876.27653064939,12,2,8,1,1,24,11,10,4,5,22,11,8,2,8,54,29,0,0,0,2,1,1,1,0,1,2,4,2,0,6,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,4,4,1,5,4,4,2,4,3,5,6,5,1,1,0,2,1,0,0,1,1,1,2,1,1,0.0222929936305732,0.0163294601276537,0.0509554140127389,0.0243232577662505,0.0606852707350245,9.56413279882134e-05,0.0254777070063694,0.0174284725059688,0.0272917273010926,6.52687358018039e-05,0.0445011677734161,0.00578768267867895
KE,KEN,Kenya,2021-07-10,2021-07-10,279,24914914.3695783,200,1062,157,721,0,11,279,160,65,205,78,179,23,49,18,1692187.85342849,5,12,3,0,10,945034.119722129,157,274,4352.11651269685,20,3,17,3,0,27,4,22,3,0,29,6,21,3,1,41,19,0,0,0,3,1,2,1,0,2,1,9,1,0,10,0,1,1,1,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,9,7,9,7,7,6,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.039426523297491,0.022835237122307,0.0645161290322581,0.028826923283822,0.0679186702521721,9.87961186967289e-05,0.03584229390681,0.0218131269095142,0.0379304582670385,7.50093961415232e-05,0.0360744018552741,0.00554011985637502
