ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1.-77,B1_1.1,B1_1.2,B1_2.-77,B1_2.1,B1_2.2,B1_3.-77,B1_3.1,B1_3.2,B1_4.-77,B1_4.1,B1_4.2,B1_5.-77,B1_5.1,B1_5.2,B1_6.-77,B1_6.1,B1_6.2,B1_7.-77,B1_7.1,B1_7.2,B1_8.-77,B1_8.1,B1_8.2,B1_9.-77,B1_9.1,B1_9.2,B1_10.-77,B1_10.1,B1_10.2,B1_11.-77,B1_11.1,B1_11.2,B1_12.-77,B1_12.1,B1_12.2,B1_13.-77,B1_13.1,B1_13.2,B1_14.-77,B1_14.1,B1_14.2,B1b_x1.-99,B1b_x1.-77,B1b_x1.1,B1b_x1.2,B1b_x2.-99,B1b_x2.-77,B1b_x2.1,B1b_x2.2,B1b_x3.-99,B1b_x3.-77,B1b_x3.1,B1b_x3.2,B1b_x4.-99,B1b_x4.-77,B1b_x4.1,B1b_x4.2,B1b_x5.-99,B1b_x5.-77,B1b_x5.1,B1b_x5.2,B1b_x6.-99,B1b_x6.-77,B1b_x6.1,B1b_x6.2,B1b_x7.-99,B1b_x7.-77,B1b_x7.1,B1b_x7.2,B1b_x8.-99,B1b_x8.-77,B1b_x8.1,B1b_x8.2,B1b_x9.-99,B1b_x9.-77,B1b_x9.1,B1b_x9.2,B1b_x10.-99,B1b_x10.-77,B1b_x10.1,B1b_x10.2,B1b_x11.-99,B1b_x11.-77,B1b_x11.1,B1b_x11.2,B1b_x12.-99,B1b_x12.-77,B1b_x12.1,B1b_x12.2,B1b_x13.-99,B1b_x13.-77,B1b_x13.1,B1b_x13.2,B1b_x14.-99,B1b_x14.-77,B1b_x14.1,B1b_x14.2,B3.-99,B3.-77,B3.1,B3.2,B5.-99,B5.-77,B5.1,B5.2,B6.-99,B6.-77,B6.1,B6.2,B7.-99,B7.-77,B7.1,B7.2,B8.-99,B8.1,B8.2,B8.3,B9.-99,B9.-77,B9.1,B9.2,B10.-99,B10.-77,B10.1,B10.2,B11.-99,B11.-77,B11.1,B11.2,V1.-99,V2.-99,V2a.-99,V3.-99,V3.-77,V3.1,V3.2,V3.3,V3.4,V4_1.-99,V4_1.-77,V4_1.1,V4_1.2,V4_1.3,V4_2.-99,V4_2.-77,V4_2.1,V4_2.2,V4_2.3,V4_3.-99,V4_3.-77,V4_3.1,V4_3.2,V4_3.3,V4_4.-99,V4_4.-77,V4_4.1,V4_4.2,V4_4.3,V4_5.-99,V4_5.-77,V4_5.1,V4_5.2,V4_5.3,V4_6.-99,V5a_1.-99,V5a_2.-99,V5a_3.-99,V5a_4.-99,V5a_5.-99,V5a_6.-99,V5a_7.-99,V5a_8.-99,V5a_9.-99,V5b_1.-99,V5b_2.-99,V5b_3.-99,V5b_4.-99,V5b_5.-99,V5b_6.-99,V5b_7.-99,V5b_8.-99,V5b_9.-99,V5c_1.-99,V5c_2.-99,V5c_3.-99,V5c_4.-99,V5c_5.-99,V5c_6.-99,V5c_7.-99,V5c_8.-99,V5c_9.-99,V5d_1.-99,V5d_2.-99,V5d_3.-99,V5d_4.-99,V5d_5.-99,V5d_6.-99,V5d_7.-99,V5d_8.-99,V5d_9.-99,V6_1.-99,V6_2.-99,V6_3.-99,V6_4.-99,V6_5.-99,V6_6.-99,V6_7.-99,V9.-99,V9.-77,V9.1,V9.2,V9.3,V9.4,V10_1.-99,V10_2.-99,V10_3.-99,V10_4.-99,V10_5.-99,V10_6.-99,V10_7.-99,V10_8.-99,V10_9.-99,V10_10.-99,V11.-99,V12.-99,B12_1.-99,B12_1.-77,B12_1.1,B12_1.2,B12_2.-99,B12_2.-77,B12_2.1,B12_2.2,B12_3.-99,B12_3.-77,B12_3.1,B12_3.2,B12_4.-99,B12_4.-77,B12_4.1,B12_4.2,B12_5.-99,B12_5.-77,B12_5.1,B12_5.2,B12_6.-99,B12_6.-77,B12_6.1,B12_6.2,B13_1.-99,B13_1.2,B13_2.-99,B13_2.-77,B13_2.2,B13_3.-99,B13_3.-77,B13_3.2,B13_4.-99,B13_4.-77,B13_4.2,B13_5.-99,B13_5.-77,B13_5.2,B13_6.-99,B13_6.-77,B13_6.2,B13_7.-99,B13_7.-77,B13_7.2,B14_1.-99,B14_2.-99,B14_3.-99,B14_4.-99,B14_5.-99,C0_1.-99,C0_1.-77,C0_1.1,C0_1.2,C0_2.-99,C0_2.-77,C0_2.1,C0_2.2,C0_3.-99,C0_3.-77,C0_3.1,C0_3.2,C0_4.-99,C0_4.-77,C0_4.1,C0_4.2,C0_5.-99,C0_5.-77,C0_5.1,C0_5.2,C0_6.-99,C0_6.-77,C0_6.1,C0_6.2,C1_m.-99,C1_m.-77,C1_m.1,C1_m.2,C2.-99,C2.-77,C2.1,C2.2,C2.3,C2.4,C7.-99,C7.-77,C7.1,C7.2,C7.3,C7.4,C8.-99,C8.-77,C8.1,C8.2,C3.-99,C3.-77,C3.1,C3.2,C5.-99,C5.-77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6.-99,C6.-77,C6.1,C6.2,C6.3,C6.4,C14.-99,C14.-77,C14.1,C14.2,C14.3,C14.4,C9.-99,C9.-77,C9.1,C9.2,C9.3,C9a.-99,C12.-99,C12.-77,C12.1,C12.2,C12.3,C13_1.-99,C13_1.-77,C13_1.1,C13_1.2,C13_2.-99,C13_2.-77,C13_2.1,C13_2.2,C13_3.-99,C13_3.-77,C13_3.1,C13_3.2,C13_4.-99,C13_4.-77,C13_4.1,C13_4.2,C13_5.-99,C13_5.-77,C13_5.1,C13_5.2,C13_6.-99,C13_6.-77,C13_6.1,C13_6.2,D1.-99,D1.-77,D1.1,D1.2,D1.3,D1.4,D1.5,D2.-99,D2.-77,D2.1,D2.2,D2.3,D2.4,D2.5,D3.-99,D3.-77,D3.1,D3.2,D3.3,D3.4,D4.-99,D4.-77,D4.1,D4.2,D4.3,D4.4,D5.-99,D5.-77,D5.1,D5.2,D5.3,D5.4,D6_1.-99,D6_1.-77,D6_1.1,D6_1.2,D6_2.-99,D6_2.-77,D6_2.1,D6_2.2,D6_3.-99,D6_3.-77,D6_3.1,D6_3.2,D7.-99,D7.-77,D7.1,D7.2,D8.-99,D8.1,D8.2,D9.-99,D9.1,D9.2,D9.3,D9.4,D9.6,D9.7,D10.-99,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3.-99,E3.-77,E3.1,E3.2,E3.4,E4.-99,E4.-77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2.-99,E2.-77,E2.1,E2.2,E2.3,E7.-99,E7.-77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
ALA,Aland Islands,-99,2021-01-24,2021-01-14,100,11,563206.7192113538,3,127319.78532602021,68,62,4589805.389808524,0,23,16,61,22,22,56,23,19,58,23,38,39,21,31,48,24,29,47,24,20,56,26,15,59,23,17,60,21,20,59,23,21,56,24,26,50,29,12,59,28,18,54,84,7,8,1,78,6,10,6,81,8,6,5,62,14,10,14,69,9,17,5,71,8,11,10,80,8,9,3,85,7,6,2,83,7,9,1,80,10,8,2,79,6,13,2,74,10,10,6,88,5,6,1,82,4,9,5,36,2,15,47,87,2,6,5,41,4,17,38,84,2,5,9,95,2,3,0,95,0,3,2,97,0,3,0,54,1,9,36,100,100,0,48,0,26,10,5,11,58,10,14,12,6,58,10,18,9,5,58,10,17,6,9,58,9,21,7,5,58,11,8,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2,12,7,13,4,0,0,0,0,0,0,0,0,0,0,0,0,92,2,4,2,92,3,1,4,92,3,3,2,92,3,2,3,92,4,3,1,92,3,3,2,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,100,100,100,100,69,5,12,14,69,5,17,9,69,5,12,14,69,5,9,17,69,6,6,19,69,4,8,19,74,2,12,12,88,1,9,1,0,1,77,2,0,4,4,13,77,1,20,2,79,2,5,14,79,1,11,3,2,0,2,2,79,1,7,6,3,4,80,3,7,3,3,4,80,0,1,15,4,0,90,0,1,6,3,89,1,9,1,85,1,11,3,88,1,9,2,93,1,5,1,95,1,3,1,93,2,5,0,92,1,0,0,2,1,4,92,1,0,0,2,1,4,93,0,0,4,0,3,93,0,1,1,2,3,93,0,1,1,2,3,98,0,2,0,98,0,1,1,98,0,1,1,94,0,3,3,97,1,2,100,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,36.2962962962963,97.30950416654892,8.571428571428571,9.641181512261916,0,0,0,0
ALA,Aland Islands,-99,2021-01-25,2021-01-14,100,11,563206.7192113538,3,127319.78532602021,70,63,4564975.799978111,0,24,16,60,21,22,57,23,19,58,23,38,39,21,30,49,24,30,46,24,20,56,26,15,59,23,18,59,22,20,58,23,21,56,24,27,49,30,13,57,29,18,53,84,7,8,1,78,6,10,6,81,8,6,5,62,14,10,14,70,9,16,5,70,8,11,11,80,8,9,3,85,7,6,2,82,7,10,1,80,10,8,2,79,6,13,2,73,10,11,6,87,5,6,2,82,4,9,5,35,2,17,46,86,3,6,5,41,4,18,37,83,2,7,8,93,2,5,0,93,1,3,3,97,0,3,0,56,1,9,34,100,100,0,48,0,22,11,6,13,58,11,13,12,6,58,10,17,9,6,58,10,16,8,8,58,10,19,7,6,58,10,8,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2,13,7,11,4,0,0,0,0,0,0,0,0,0,0,0,0,92,2,4,2,92,3,1,4,92,3,3,2,92,3,2,3,92,4,3,1,92,3,3,2,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,100,100,100,100,69,5,13,13,69,6,16,9,69,6,14,11,69,7,7,17,69,7,6,18,69,4,9,18,74,2,13,11,87,1,9,1,1,1,77,2,1,4,4,12,77,2,20,1,80,2,5,13,80,1,12,2,1,0,1,3,80,2,6,6,2,4,81,3,7,4,1,4,81,1,2,13,3,0,90,0,2,6,2,88,1,10,1,86,1,9,4,86,1,10,3,95,1,4,0,95,1,3,1,92,3,5,0,92,1,0,0,2,1,4,92,1,0,0,2,1,4,94,0,0,3,0,3,94,0,1,1,1,3,94,0,1,1,2,2,98,0,2,0,98,0,1,1,98,0,1,1,95,0,3,2,98,0,2,100,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,34.266666666666666,92.5820915628985,7.625,9.31875988070761,0,0,0,0
ALA,Aland Islands,-99,2021-01-26,2021-01-15,100,12,663267.4931325896,4,224412.69277211322,70,62,4439906.5313818175,0,22,16,62,19,24,57,22,19,59,22,37,41,20,32,48,22,29,49,22,22,56,24,17,59,21,17,62,21,20,59,21,23,56,22,26,52,28,14,58,27,18,55,84,7,7,2,76,6,12,6,81,8,5,6,63,15,9,13,68,10,15,7,71,8,11,10,78,8,9,5,83,7,7,3,83,7,9,1,80,10,7,3,77,7,13,3,74,10,10,6,86,5,6,3,82,4,8,6,36,2,17,45,86,3,6,5,42,4,17,37,84,2,7,7,93,2,5,0,93,1,3,3,97,0,3,0,56,1,9,34,100,100,0,48,0,21,13,5,13,56,11,13,12,8,56,10,17,9,8,56,10,18,8,8,56,10,20,7,7,56,10,9,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2,13,7,12,5,0,0,0,0,0,0,0,0,0,0,0,0,92,2,4,2,92,3,1,4,92,3,3,2,92,3,2,3,92,4,3,1,92,3,3,2,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,100,100,100,100,67,5,15,13,67,6,18,9,67,6,16,11,67,7,9,17,67,7,7,19,67,4,10,19,74,2,13,11,87,1,9,1,1,1,77,2,1,4,4,12,77,2,20,1,80,2,5,13,80,1,12,2,1,0,1,3,80,2,6,6,2,4,81,3,7,4,1,4,81,1,2,13,3,0,90,0,2,6,2,87,1,11,1,85,1,10,4,85,1,11,3,94,1,4,1,95,1,3,1,92,3,5,0,92,1,0,0,2,1,4,92,1,0,0,2,1,4,94,0,0,3,0,3,94,0,1,1,1,3,94,0,1,1,2,2,98,0,2,0,98,0,1,1,98,0,1,1,95,0,3,2,98,0,2,100,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,34.233333333333334,92.59428869455488,7.625,9.31875988070761,0,0,0,0
ALA,Aland Islands,-99,2021-01-27,2021-01-15,100,12,663267.4931325896,4,224412.69277211322,70,61,4749695.6332982,0,23,16,61,20,24,56,22,21,57,23,37,40,21,32,47,23,29,48,23,22,55,25,17,58,22,17,61,22,21,57,22,23,55,23,26,51,29,14,57,28,17,55,84,7,7,2,76,6,12,6,79,8,6,7,63,15,9,13,68,10,15,7,71,8,11,10,78,8,9,5,83,7,7,3,83,7,9,1,79,10,7,4,77,7,13,3,74,10,10,6,86,5,6,3,83,4,8,5,37,2,17,44,86,3,6,5,44,4,17,35,84,2,7,7,93,2,5,0,93,1,3,3,97,0,3,0,58,1,9,32,100,100,0,50,0,19,13,6,12,56,12,13,11,8,56,10,18,8,8,56,10,19,7,8,56,10,20,7,7,56,10,10,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2,11,8,12,6,0,0,0,0,0,0,0,0,0,0,0,0,92,2,4,2,92,3,1,4,92,3,2,3,92,3,2,3,92,4,2,2,92,3,2,3,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,100,100,100,100,67,5,16,12,67,7,17,9,67,7,16,10,67,9,9,15,67,8,7,18,67,5,10,18,73,2,13,12,87,1,9,1,1,1,76,3,2,4,4,11,76,2,21,1,80,2,5,13,80,2,12,1,1,0,1,3,80,3,6,5,2,4,81,3,7,4,1,4,82,1,2,12,3,0,91,0,2,5,2,86,1,12,1,86,1,10,3,85,1,11,3,94,1,4,1,95,1,3,1,92,3,5,0,93,1,0,0,2,1,3,93,1,0,0,1,1,4,95,0,0,3,0,2,95,0,1,1,0,3,95,0,1,1,1,2,98,0,2,0,98,0,1,1,98,0,1,1,95,0,3,2,98,0,2,100,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,22.466666666666665,68.5508788310241,7.625,9.31875988070761,0,0,0,0
ALA,Aland Islands,-99,2021-01-28,2021-01-15,100,12,663267.4931325896,4,224412.69277211322,69,63,4677819.931866152,0,23,15,62,19,25,56,21,21,58,22,36,42,20,32,48,22,27,51,21,23,56,24,17,59,21,18,61,22,20,58,21,23,56,22,27,51,28,14,58,27,17,56,85,7,6,2,75,6,12,7,79,8,6,7,64,15,7,14,68,10,15,7,73,8,11,8,77,8,10,5,83,7,7,3,82,7,9,2,80,9,7,4,77,7,13,3,73,10,11,6,86,5,6,3,83,4,7,6,35,2,16,47,87,3,5,5,42,4,19,35,82,3,7,8,93,1,6,0,93,1,3,3,97,0,3,0,57,1,8,34,100,100,0,46,0,21,14,6,13,52,13,13,13,9,52,11,18,10,9,52,11,19,9,9,52,11,20,9,8,52,11,10,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,12,9,12,6,0,0,0,0,0,0,0,0,0,0,0,0,93,1,4,2,93,2,1,4,93,2,2,3,93,2,2,3,93,3,2,2,93,2,2,3,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,100,100,100,100,64,6,17,13,64,8,18,10,64,7,18,11,64,9,11,16,64,9,7,20,64,6,10,20,72,2,13,13,87,1,9,1,1,1,75,3,2,4,4,12,75,2,22,1,80,2,5,13,80,2,12,1,1,0,1,3,80,3,6,5,2,4,81,3,7,4,1,4,82,1,2,12,3,0,91,0,2,5,2,86,1,12,1,86,1,10,3,85,1,11,3,94,1,4,1,95,1,3,1,92,3,5,0,93,1,0,0,2,1,3,93,1,0,0,1,1,4,95,0,0,3,0,2,95,0,1,1,0,3,95,0,1,1,1,2,98,0,2,0,98,0,1,1,98,0,1,1,95,0,3,2,98,0,2,100,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,21.46875,66.41899474475073,7.625,9.31875988070761,0,0,0,0
ALA,Aland Islands,-99,2021-01-29,2021-01-16,100,13,793531.9133535547,4,224412.69277211322,69,64,4530208.973245845,0,21,16,63,17,27,56,19,21,60,21,36,43,18,33,49,21,28,51,19,23,58,23,17,60,20,17,63,20,20,60,20,23,57,21,27,52,26,15,59,25,18,57,84,7,7,2,73,6,12,9,79,8,6,7,64,14,7,15,67,10,15,8,72,8,12,8,77,8,10,5,83,6,8,3,83,6,9,2,80,9,7,4,77,6,13,4,73,9,12,6,85,5,7,3,82,4,7,7,34,2,16,48,87,3,5,5,41,4,20,35,81,3,8,8,92,1,7,0,92,1,3,4,97,0,3,0,57,1,7,35,100,100,0,45,0,20,15,6,14,52,12,14,13,9,52,11,18,10,9,52,10,20,9,9,52,10,20,9,9,52,10,11,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,11,9,13,6,0,0,0,0,0,0,0,0,0,0,0,0,93,1,4,2,93,2,1,4,93,2,2,3,93,2,2,3,93,3,2,2,93,2,2,3,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,100,100,100,100,64,5,18,13,64,7,19,10,64,6,19,11,64,8,12,16,64,8,8,20,64,6,10,20,72,2,13,13,87,1,9,1,1,1,75,3,2,4,4,12,75,2,22,1,81,2,5,12,81,2,12,1,1,0,1,2,81,3,5,5,2,4,82,3,6,4,1,4,83,1,2,11,3,0,91,0,2,5,2,85,1,13,1,85,1,11,3,84,1,12,3,93,1,5,1,94,1,4,1,92,2,6,0,93,1,0,0,2,1,3,93,1,0,0,1,1,4,95,0,0,3,0,2,95,0,1,1,0,3,95,0,1,1,1,2,98,0,2,0,98,0,1,1,98,0,1,1,95,0,3,2,98,0,2,100,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,21.303030303030305,65.37367821249087,7.625,9.31875988070761,0,0,0,0
ALA,Aland Islands,-99,2021-01-30,2021-01-16,100,12,732597.3114003473,4,176513.85959315172,64,65,4317362.850422186,0,20,14,66,17,23,60,20,16,64,21,30,49,19,27,54,20,24,56,19,19,62,21,17,62,21,16,63,20,17,63,19,21,60,22,22,56,24,13,63,23,16,61,86,6,6,2,77,4,10,9,84,7,4,5,70,12,5,13,73,8,11,8,76,7,10,7,81,7,7,5,83,5,9,3,84,6,8,2,83,7,6,4,79,5,12,4,78,6,9,7,87,3,7,3,84,4,6,6,33,2,12,53,90,2,5,3,39,3,20,38,82,3,8,7,92,1,7,0,92,1,3,4,97,0,3,0,55,1,8,36,100,100,0,44,0,19,15,8,14,52,13,14,12,9,52,11,18,10,9,52,10,20,9,9,52,10,20,9,9,52,10,13,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2,11,9,12,8,0,0,0,0,0,0,0,0,0,0,0,0,92,1,4,3,92,2,2,4,92,2,2,4,92,2,2,4,92,3,2,3,92,2,2,4,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,100,100,100,100,65,4,18,13,65,7,17,11,65,5,18,12,65,8,9,18,65,7,7,21,65,6,10,19,72,2,10,16,90,1,6,1,1,1,74,2,2,4,7,11,74,2,23,1,80,1,5,14,80,2,13,1,1,0,1,2,80,3,7,5,2,3,81,2,8,4,1,4,82,1,2,12,3,0,89,0,3,6,2,85,0,13,2,86,0,11,3,85,0,12,3,95,0,4,1,95,0,3,2,91,1,8,0,91,1,1,0,3,1,3,91,1,1,0,1,2,4,93,0,1,3,1,2,93,0,1,1,1,4,93,0,2,1,1,3,97,0,3,0,97,0,2,1,97,0,2,1,94,0,3,3,97,1,2,99,0,1,0,0,0,0,97,1,0,0,0,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,22.233333333333334,68.5488415522897,9.666666666666666,10.073066398404542,0,0,0,0
ALA,Aland Islands,-99,2021-01-31,2021-01-17,100,11,676388.7720230494,3,120305.32021585382,62,65,4285026.855854647,0,21,13,66,19,21,60,20,17,63,22,31,47,19,27,54,21,25,54,20,19,61,21,17,62,23,15,62,21,16,63,20,21,59,23,20,57,24,13,63,23,17,60,87,5,6,2,79,2,10,9,83,7,5,5,69,12,5,14,73,8,10,9,75,7,9,9,81,6,8,5,83,5,8,4,85,6,7,2,84,6,6,4,79,5,12,4,80,5,8,7,87,3,7,3,83,4,7,6,34,1,12,53,91,2,5,2,41,2,20,37,82,3,8,7,92,1,7,0,92,1,3,4,97,0,3,0,56,0,8,36,100,100,0,46,0,19,15,8,12,53,13,14,12,8,53,11,18,10,8,53,10,20,9,8,53,10,20,9,8,53,10,13,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2,11,9,12,8,0,0,0,0,0,0,0,0,0,0,0,0,92,1,4,3,92,2,2,4,92,2,2,4,92,2,2,4,92,3,2,3,92,2,2,4,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,100,100,100,100,65,4,18,13,65,7,17,11,65,5,18,12,65,8,9,18,65,7,7,21,65,6,10,19,72,2,10,16,90,1,6,1,1,1,74,2,2,4,7,11,74,2,23,1,80,1,5,14,80,2,13,1,1,0,1,2,80,3,7,5,2,3,81,2,8,4,1,4,82,1,2,12,3,0,89,0,3,6,2,85,0,13,2,86,0,11,3,85,0,12,3,95,0,4,1,95,0,3,2,91,1,8,0,91,1,1,0,3,1,3,91,1,1,0,1,2,4,93,0,1,3,1,2,93,0,1,1,1,4,93,0,2,1,1,3,97,0,3,0,97,0,2,1,97,0,2,1,94,0,3,3,97,1,2,99,0,1,0,0,0,0,97,1,0,0,0,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,23.714285714285715,70.80168293817815,11,10.653637876331258,0,0,0,0
ALA,Aland Islands,-99,2021-02-01,2021-01-17,100,10,642000.4805589186,3,120305.32021585382,63,65,4198249.418288476,0,21,11,68,20,20,60,21,15,64,23,31,46,20,26,54,22,25,53,21,18,61,21,17,62,24,13,63,22,15,63,20,21,59,24,20,56,25,11,64,24,16,60,89,4,6,1,80,2,9,9,85,5,5,5,69,11,5,15,74,7,10,9,75,8,7,10,82,5,7,6,83,4,8,5,87,5,6,2,85,5,6,4,79,5,12,4,80,6,8,6,89,2,6,3,84,3,7,6,33,2,13,52,90,2,6,2,40,2,21,37,81,3,8,8,92,1,7,0,92,1,3,4,97,0,3,0,55,0,8,37,100,100,0,45,0,20,14,8,13,52,15,14,11,8,52,13,18,9,8,52,12,20,9,7,52,12,19,9,8,52,12,13,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,13,9,11,8,0,0,0,0,0,0,0,0,0,0,0,0,92,1,4,3,92,2,2,4,92,2,2,4,92,2,2,4,92,3,2,3,92,2,2,4,99,1,99,1,0,99,1,0,99,1,0,99,1,0,99,1,0,99,1,0,100,100,100,100,100,64,6,17,13,64,9,17,10,64,7,18,11,64,10,9,17,64,8,7,21,64,8,9,19,72,3,9,16,91,1,5,1,1,1,74,2,2,4,7,11,74,3,22,1,81,1,4,14,81,2,13,1,0,0,1,2,81,3,7,4,2,3,82,2,8,4,1,3,83,1,2,11,3,0,89,0,3,6,2,86,0,12,2,86,0,11,3,85,0,12,3,95,0,4,1,95,0,3,2,92,1,7,0,91,1,1,0,3,1,3,91,1,1,0,1,2,4,93,0,1,3,1,2,93,0,1,1,1,4,93,0,2,1,1,3,97,0,3,0,97,0,2,1,97,0,2,1,94,0,3,3,97,1,2,99,0,1,0,0,0,0,97,1,0,0,0,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,22.714285714285715,70.90727233395225,11,10.653637876331258,0,0,0,0
ALA,Aland Islands,-99,2021-02-02,2021-01-17,100,10,642000.4805589186,3,120305.32021585382,63,65,4062572.4203106277,0,21,11,68,19,20,61,20,15,65,23,30,47,19,26,55,21,26,53,20,18,62,20,17,63,24,12,64,21,15,64,19,21,60,23,20,57,24,11,65,23,16,61,89,4,6,1,80,2,9,9,85,5,5,5,70,10,5,15,74,7,10,9,74,8,7,11,82,5,7,6,83,4,8,5,88,5,5,2,85,5,6,4,79,5,12,4,80,6,8,6,89,2,6,3,84,3,7,6,33,2,13,52,90,2,6,2,40,2,21,37,81,3,8,8,92,1,7,0,92,1,3,4,97,0,3,0,55,0,8,37,100,100,0,45,0,20,14,8,13,52,15,14,11,8,52,13,18,9,8,52,12,20,9,7,52,12,19,9,8,52,12,13,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,13,9,11,8,0,0,0,0,0,0,0,0,0,0,0,0,92,1,4,3,92,2,2,4,92,2,2,4,92,2,2,4,92,3,2,3,92,2,2,4,99,1,99,1,0,99,1,0,99,1,0,99,1,0,99,1,0,99,1,0,100,100,100,100,100,64,6,17,13,64,9,17,10,64,7,18,11,64,10,9,17,64,8,7,21,64,8,9,19,72,3,9,16,91,1,5,1,1,1,74,2,2,4,7,11,74,3,22,1,81,1,4,14,81,2,13,1,0,0,1,2,81,3,7,4,2,3,82,2,8,4,1,3,83,1,2,11,3,0,89,0,3,6,2,86,0,12,2,86,0,11,3,85,0,12,3,95,0,4,1,95,0,3,2,92,1,7,0,91,1,1,0,3,1,3,91,1,1,0,1,2,4,93,0,1,3,1,2,93,0,1,1,1,4,93,0,2,1,1,3,97,0,3,0,97,0,2,1,97,0,2,1,94,0,3,3,97,1,2,99,0,1,0,0,0,0,97,1,0,0,0,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,22.714285714285715,70.90727233395225,11,10.653637876331258,0,0,0,0
