ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1.-77,B1_1.1,B1_1.2,B1_2.-77,B1_2.1,B1_2.2,B1_3.-77,B1_3.1,B1_3.2,B1_4.-77,B1_4.1,B1_4.2,B1_5.-77,B1_5.1,B1_5.2,B1_6.-77,B1_6.1,B1_6.2,B1_7.-77,B1_7.1,B1_7.2,B1_8.-77,B1_8.1,B1_8.2,B1_9.-77,B1_9.1,B1_9.2,B1_10.-77,B1_10.1,B1_10.2,B1_11.-77,B1_11.1,B1_11.2,B1_12.-77,B1_12.1,B1_12.2,B1_13.-77,B1_13.1,B1_13.2,B1_14.-77,B1_14.1,B1_14.2,B1b_x1.-99,B1b_x1.-77,B1b_x1.1,B1b_x1.2,B1b_x2.-99,B1b_x2.-77,B1b_x2.1,B1b_x2.2,B1b_x3.-99,B1b_x3.-77,B1b_x3.1,B1b_x3.2,B1b_x4.-99,B1b_x4.-77,B1b_x4.1,B1b_x4.2,B1b_x5.-99,B1b_x5.-77,B1b_x5.1,B1b_x5.2,B1b_x6.-99,B1b_x6.-77,B1b_x6.1,B1b_x6.2,B1b_x7.-99,B1b_x7.-77,B1b_x7.1,B1b_x7.2,B1b_x8.-99,B1b_x8.-77,B1b_x8.1,B1b_x8.2,B1b_x9.-99,B1b_x9.-77,B1b_x9.1,B1b_x9.2,B1b_x10.-99,B1b_x10.-77,B1b_x10.1,B1b_x10.2,B1b_x11.-99,B1b_x11.1,B1b_x11.2,B1b_x12.-99,B1b_x12.-77,B1b_x12.1,B1b_x12.2,B1b_x13.-99,B1b_x13.1,B1b_x13.2,B1b_x14.-99,B1b_x14.-77,B1b_x14.1,B1b_x14.2,B3.-99,B3.-77,B3.1,B3.2,B5.-99,B5.1,B5.2,B6.-99,B6.-77,B6.1,B6.2,B7.-99,B7.-77,B7.1,B7.2,B8.-99,B8.1,B8.2,B8.3,B9.-99,B9.1,B9.2,B9.3,B10.-99,B10.1,B11.-99,B11.-77,B11.1,B11.2,V1.-99,V1.-77,V1.1,V1.2,V1.3,V2.-99,V3.-99,V3.-77,V3.1,V3.2,V3.3,V3.4,V4_1.-99,V4_1.-77,V4_1.1,V4_1.2,V4_1.3,V4_2.-99,V4_2.-77,V4_2.1,V4_2.2,V4_2.3,V4_3.-99,V4_3.-77,V4_3.1,V4_3.2,V4_3.3,V4_4.-99,V4_4.-77,V4_4.1,V4_4.2,V4_4.3,V4_5.-99,V4_5.-77,V4_5.1,V4_5.2,V4_5.3,V9.-99,B12_1.-99,B12_1.-77,B12_1.1,B12_1.2,B12_2.-99,B12_2.-77,B12_2.1,B12_2.2,B12_3.-99,B12_3.-77,B12_3.1,B12_3.2,B12_4.-99,B12_4.-77,B12_4.1,B12_4.2,B12_5.-99,B12_5.-77,B12_5.1,B12_5.2,B12_6.-99,B12_6.-77,B12_6.1,B12_6.2,B13_1.-99,B13_1.-77,B13_1.1,B13_1.2,B13_2.-99,B13_2.-77,B13_2.1,B13_2.2,B13_3.-99,B13_3.-77,B13_3.1,B13_3.2,B13_4.-99,B13_4.-77,B13_4.1,B13_4.2,B13_5.-99,B13_5.-77,B13_5.1,B13_5.2,B13_6.-99,B13_6.-77,B13_6.1,B13_6.2,B13_7.-99,B13_7.-77,B13_7.1,B13_7.2,B14_1.-99,B14_1.-77,B14_1.1,B14_1.2,B14_2.-99,B14_2.-77,B14_2.1,B14_2.2,B14_3.-99,B14_3.-77,B14_3.1,B14_3.2,B14_4.-99,B14_4.-77,B14_4.1,B14_4.2,B14_5.-99,B14_5.-77,B14_5.1,B14_5.2,C0_1.-99,C0_1.-77,C0_1.1,C0_1.2,C0_2.-99,C0_2.-77,C0_2.1,C0_2.2,C0_3.-99,C0_3.-77,C0_3.1,C0_3.2,C0_4.-99,C0_4.-77,C0_4.1,C0_4.2,C0_5.-99,C0_5.-77,C0_5.1,C0_5.2,C0_6.-99,C0_6.-77,C0_6.1,C0_6.2,C1_m.-99,C1_m.-77,C1_m.1,C1_m.2,C2.-99,C2.-77,C2.1,C2.2,C2.3,C2.4,C7.-99,C7.-77,C7.1,C7.2,C7.3,C7.4,C8.-99,C8.-77,C8.1,C8.2,C3.-99,C3.-77,C3.1,C3.2,C5.-99,C5.-77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6.-99,C6.-77,C6.1,C6.2,C6.3,C6.4,C14.-99,C14.-77,C14.1,C14.2,C14.3,C14.4,C9.-99,C12.-99,C13_1.-99,C13_1.-77,C13_1.1,C13_1.2,C13_2.-99,C13_2.-77,C13_2.1,C13_2.2,C13_3.-99,C13_3.-77,C13_3.1,C13_3.2,C13_4.-99,C13_4.-77,C13_4.1,C13_4.2,C13_5.-99,C13_5.-77,C13_5.1,C13_5.2,C13_6.-99,C13_6.-77,C13_6.1,C13_6.2,D1.-99,D1.-77,D1.1,D1.2,D1.3,D1.4,D1.5,D2.-99,D2.-77,D2.1,D2.2,D2.3,D2.4,D2.5,D3.-99,D3.-77,D3.1,D3.2,D3.3,D3.4,D4.-99,D4.-77,D4.1,D4.2,D4.3,D4.4,D5.-99,D5.-77,D5.1,D5.2,D5.3,D5.4,D6_1.-99,D6_1.-77,D6_1.1,D6_1.2,D6_2.-99,D6_2.-77,D6_2.1,D6_2.2,D6_3.-99,D6_3.-77,D6_3.1,D6_3.2,D7.-99,D7.-77,D7.1,D7.2,D8.-99,D8.-77,D8.1,D8.2,D9.-99,D9.-77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10.-99,D10.-77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3.-99,E3.-77,E3.1,E3.2,E3.3,E3.4,E4.-99,E4.-77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2.-99,E2.-77,E2.1,E2.2,E2.3,E7.-99,E7.-77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
NZL,New Zealand,-99,2021-01-01,2021-01-01,110,2,81528.42625362726,0,0,4,93,693082.5129335587,0,1,2,107,3,12,95,1,5,104,3,20,87,3,21,86,2,20,88,3,3,104,3,3,104,2,5,103,3,3,104,3,2,105,3,25,82,3,2,105,3,18,89,108,2,0,0,98,0,2,10,105,2,1,2,90,1,6,13,89,1,7,13,90,2,3,15,107,1,1,1,107,1,1,1,105,1,2,2,107,1,2,0,108,0,2,85,1,6,18,108,0,2,92,1,7,10,16,1,3,90,108,2,0,20,1,34,55,77,1,5,27,105,0,5,0,105,0,5,0,110,0,28,1,1,80,110,0,0,0,0,0,25,0,26,30,19,10,34,2,16,46,12,34,4,35,29,8,34,4,31,32,9,34,3,34,33,6,34,6,10,36,24,0,109,0,0,1,109,0,0,1,109,0,0,1,109,0,0,1,109,0,0,1,109,0,0,1,47,6,1,56,47,5,2,56,47,5,2,56,47,6,2,55,47,6,8,49,47,7,3,53,47,6,6,51,99,1,0,10,99,0,3,8,99,1,1,9,99,1,1,9,99,1,1,9,52,0,16,42,52,0,51,7,52,1,40,17,52,1,40,17,52,0,27,31,52,0,10,48,64,1,30,15,80,0,13,6,5,6,70,1,0,1,14,24,70,0,40,0,77,0,4,29,77,0,2,0,1,1,25,4,77,0,6,4,10,13,78,0,3,5,9,15,110,110,97,0,0,13,63,1,4,42,73,1,4,32,74,2,2,32,86,1,0,23,101,1,2,6,85,0,0,1,1,1,22,85,1,0,1,1,4,18,90,1,2,3,10,4,90,0,0,1,6,13,90,0,0,5,3,12,107,0,2,1,107,0,1,2,107,0,1,2,95,1,1,13,97,0,11,2,108,0,0,0,1,0,0,0,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,110,0,0,0,0,0,110,0,0,0,0,0,0,0,0,110,0,0,0,0,110,0,0,0,0,0,0,3.590909090909091,4.933597120730763,1.5,0.7071067811865476,0,0,0,0
NZL,New Zealand,-99,2021-01-02,2021-01-01,100,2,81528.42625362726,0,0,4,83,638440.3549470964,0,1,3,96,3,11,86,1,5,94,3,19,78,3,14,83,2,20,78,3,2,95,3,2,95,2,5,93,3,2,95,3,2,95,3,19,78,3,2,95,3,12,85,97,2,0,1,89,0,2,9,95,2,1,2,81,0,8,11,86,0,5,9,80,1,4,15,98,0,1,1,98,0,1,1,95,1,2,2,98,0,2,0,98,0,2,81,0,4,15,98,0,2,88,0,4,8,16,1,3,80,98,2,0,21,1,28,50,73,0,5,22,95,0,5,0,95,0,5,0,100,0,28,1,2,69,100,0,0,0,0,0,26,0,26,24,16,8,36,2,19,35,8,36,4,35,21,4,36,3,31,24,6,36,2,34,24,4,36,5,10,30,19,0,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,45,7,1,47,45,6,3,46,45,7,1,47,45,8,1,46,45,7,5,43,45,9,3,43,45,7,5,43,93,0,0,7,93,0,1,6,93,0,1,6,93,0,1,6,93,0,0,7,49,0,13,38,49,0,44,7,49,0,39,12,49,0,37,14,49,0,25,26,49,0,8,43,58,1,28,13,72,0,11,7,3,7,66,0,0,1,13,20,66,0,34,0,71,0,3,26,71,0,2,1,1,2,20,3,71,0,4,5,10,10,73,0,3,6,9,9,100,100,88,0,0,12,59,1,4,36,64,1,4,31,66,1,2,31,78,1,0,21,92,1,1,6,79,0,0,1,1,1,18,79,1,0,1,1,3,15,82,0,3,3,9,3,82,0,0,1,6,11,82,0,1,4,3,10,96,0,3,1,96,1,1,2,96,1,1,2,87,0,2,11,89,0,9,2,98,0,0,0,1,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.6486486486486487,5.127356998472974,1.5,0.7071067811865476,0,0,0,0
NZL,New Zealand,-99,2021-01-03,2021-01-03,117,1,4645.82969514018,1,4645.82969514018,10,97,627410.8419473944,0,3,3,111,1,18,98,4,4,109,4,20,93,5,20,92,3,20,94,2,9,106,4,1,112,5,4,108,5,3,109,5,6,106,5,14,98,5,2,110,4,13,100,114,1,0,2,99,1,4,13,113,1,0,3,97,0,6,14,97,2,8,10,97,1,6,13,108,0,4,5,116,0,0,1,113,1,1,2,114,0,2,1,111,2,4,103,1,5,8,115,0,2,104,0,4,9,19,1,4,93,114,3,0,21,6,31,59,86,3,2,26,115,0,2,0,115,0,2,0,117,0,34,2,3,78,117,0,0,0,0,0,33,1,31,34,12,6,49,0,23,35,10,49,1,32,24,11,49,1,27,31,9,49,1,32,26,9,49,2,13,31,22,0,116,0,0,1,116,0,0,1,116,0,0,1,116,0,0,1,116,0,1,0,116,0,0,1,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,0,54,0,22,41,54,0,52,11,54,1,47,15,54,0,44,19,54,0,29,34,54,0,9,54,64,1,34,18,83,0,13,9,7,5,67,0,0,8,17,25,67,1,49,0,74,0,8,35,74,1,2,1,4,6,28,1,74,0,9,7,17,10,76,1,1,9,16,14,117,117,95,0,5,17,70,0,6,41,74,0,7,36,77,0,6,34,91,0,6,20,108,0,4,5,84,0,0,0,3,3,27,84,0,0,0,3,5,25,88,0,3,6,7,13,88,0,2,2,5,20,88,0,2,7,4,16,111,0,4,2,111,2,0,4,111,1,2,3,93,2,5,17,100,0,14,3,116,0,0,0,0,0,0,0,1,112,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,117,0,0,0,0,0,117,0,0,0,0,0,0,0,0,117,0,0,0,0,117,0,0,0,0,0,0,7.424242424242424,9.158432941251137,3,1.7320508075688772,0,0,0,0
NZL,New Zealand,2,2021-01-03,2021-01-01,100,0,0,0,0,14,100,733018.819832582,99,0,2,98,0,11,89,0,2,98,0,22,78,0,19,81,0,18,82,0,4,96,0,1,99,0,2,98,0,1,99,0,5,95,0,16,84,0,1,99,0,16,84,98,0,1,1,89,0,8,3,98,0,1,1,78,0,8,14,81,0,6,13,82,0,6,12,96,0,2,2,99,0,1,0,98,0,1,1,99,0,0,1,95,2,3,84,0,3,13,99,0,1,84,0,4,12,0,0,5,95,95,2,3,0,0,38,62,62,0,3,35,97,0,3,0,97,0,3,0,100,0,3,0,1,96,100,0,0,0,0,0,0,0,33,39,21,7,0,1,30,64,5,0,0,48,43,9,0,0,35,50,15,0,0,45,43,12,0,0,10,54,36,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,1,0,99,0,0,1,99,0,0,1,65,2,0,33,65,2,1,32,65,2,1,32,65,2,0,33,65,2,4,29,65,2,1,32,65,2,2,31,96,0,0,4,96,0,0,4,96,0,0,4,96,0,1,3,96,0,0,4,0,0,34,66,0,0,79,21,0,0,68,32,0,0,73,27,0,0,48,52,0,0,15,85,0,0,76,24,24,0,33,18,10,15,0,0,1,11,32,56,0,0,99,1,0,0,10,90,0,1,3,4,6,7,75,4,0,0,12,15,42,31,0,0,4,20,29,47,100,100,66,1,4,29,21,1,8,70,32,1,5,62,27,1,4,68,52,1,2,45,85,1,5,9,0,0,2,2,10,15,71,0,0,1,5,13,16,65,0,0,10,28,26,36,0,0,1,10,19,70,0,0,8,18,30,44,74,1,17,8,74,1,3,22,74,1,2,23,0,0,54,46,54,0,30,16,70,0,1,2,2,0,1,0,24,16,0,6,5,12,9,2,6,8,7,0,2,10,5,1,0,11,0,1,40,55,0,4,0,0,0,100,0,0,0,0,0,1,1,55,30,13,1,0,14,26,33,18,8,4.410714285714286,5.886121691863716,4,2.6457513110645907,11.482954545454545,5.9448852079616445,3.127659574468085,1.5043595611807523
NZL,New Zealand,3,2021-01-03,2021-01-01,100,0,0,0,0,9,100,480982.46496345126,99,0,0,100,0,10,90,0,1,99,0,19,81,0,16,84,0,20,80,0,5,95,0,3,97,0,4,96,0,2,98,0,5,95,0,16,84,0,0,100,0,17,83,100,0,0,0,90,0,3,7,99,0,0,1,81,0,4,15,84,0,3,13,80,0,4,16,95,0,2,3,97,0,1,2,96,0,2,2,98,0,1,1,95,1,4,84,0,2,14,100,0,0,83,0,7,10,0,0,4,96,96,3,1,0,0,38,62,62,1,1,36,99,0,1,0,99,0,1,0,100,0,2,0,1,97,100,0,0,0,0,0,0,0,42,27,25,6,0,0,27,60,13,0,0,50,44,6,0,0,41,45,14,0,0,43,46,11,0,0,14,57,29,0,99,1,0,0,99,0,0,1,99,0,1,0,99,1,0,0,99,1,0,0,99,1,0,0,82,1,0,17,82,1,0,17,82,1,0,17,82,1,0,17,82,1,3,14,82,1,1,16,82,1,2,15,96,0,0,4,96,0,0,4,96,0,1,3,96,0,0,4,96,0,1,3,0,0,32,68,0,2,81,17,0,1,74,25,0,1,78,21,0,1,46,53,0,1,11,88,0,1,80,19,20,0,42,13,7,18,0,1,0,2,28,69,0,0,100,0,0,0,12,88,0,0,1,1,5,9,84,0,0,0,10,17,43,30,0,0,2,16,33,49,100,100,68,0,2,30,19,0,4,77,26,0,2,72,22,0,2,76,54,0,3,43,89,0,8,3,0,1,0,1,2,10,86,0,0,0,2,3,16,79,0,2,8,24,44,22,0,0,4,4,16,76,0,0,10,14,31,45,76,0,18,6,76,2,4,18,76,2,8,14,0,1,65,34,66,0,25,9,75,0,0,1,2,2,0,0,20,10,0,1,4,5,8,1,5,11,4,0,3,11,2,3,4,28,0,1,36,61,0,2,0,0,0,0,100,0,0,0,0,0,2,54,31,13,0,0,9,31,40,13,7,5.0813953488372094,5.64413964146519,2.25,0.5,13.065934065934066,6.038399710376174,3.4479166666666665,1.4057759922373398
NZL,New Zealand,4,2021-01-03,2021-01-01,100,0,0,0,0,5,100,531277.1073327902,97,0,0,100,0,7,93,1,1,98,1,7,92,0,10,90,1,12,87,0,6,94,0,1,99,1,1,98,1,1,98,1,4,95,1,13,86,0,0,100,0,6,94,100,0,0,0,93,0,3,4,99,0,1,0,93,0,1,6,90,0,1,9,88,0,5,7,94,0,1,5,99,0,1,0,99,0,0,1,99,0,0,1,96,2,2,87,0,4,9,100,0,0,94,0,0,6,0,0,3,97,97,2,1,0,0,32,68,68,0,1,31,99,0,1,0,99,0,1,0,100,0,1,1,1,97,100,0,0,0,0,0,0,0,42,31,22,5,0,0,20,72,8,0,0,48,49,3,0,0,48,44,8,0,0,48,44,8,0,1,18,60,21,0,99,0,0,1,99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,94,0,0,6,94,0,0,6,94,0,0,6,94,0,0,6,94,0,1,5,94,0,0,6,94,0,1,5,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,0,0,24,76,0,0,74,26,0,1,62,37,0,0,70,30,0,0,32,68,0,0,11,89,0,0,70,30,30,0,36,9,9,16,0,1,0,7,28,64,0,1,99,0,0,1,8,91,0,0,1,0,4,5,86,4,0,0,14,19,39,28,0,0,5,11,27,57,100,100,76,1,3,20,26,1,3,70,38,1,3,58,30,1,2,67,68,1,3,28,89,0,4,7,0,0,0,2,2,11,85,0,0,0,1,5,12,82,0,1,14,23,32,30,0,0,1,6,14,79,0,0,5,12,33,50,83,2,10,5,83,3,2,12,83,2,5,10,0,0,59,41,59,0,29,12,71,1,1,1,2,2,0,0,22,12,1,6,5,6,16,1,3,16,5,0,3,6,5,3,2,10,0,0,33,67,0,0,0,0,0,0,0,100,0,0,0,2,0,47,26,25,2,0,10,20,45,17,6,9.121212121212121,11.607534125939432,1.6666666666666667,1.1547005383792515,13.136170212765958,5.989683802734297,3.229166666666666,1.475977226087796
NZL,New Zealand,5,2021-01-03,2021-01-02,100,0,0,0,0,1,100,425722.81695892435,97,0,0,100,0,18,82,0,4,96,0,19,81,0,13,87,0,15,85,0,3,97,0,3,97,0,1,99,0,1,99,0,2,98,0,11,89,0,1,99,0,8,92,100,0,0,0,82,0,6,12,96,0,2,2,81,0,5,14,87,0,4,9,85,0,4,11,97,0,2,1,97,0,2,1,99,0,1,0,99,0,0,1,98,1,1,89,0,4,7,99,0,1,92,0,2,6,0,0,1,99,99,1,0,0,1,26,73,74,2,2,22,98,0,2,0,98,0,2,0,100,0,5,0,1,94,100,0,0,0,0,0,0,0,45,32,20,3,0,2,40,52,6,0,3,53,39,5,0,4,43,44,9,0,4,51,39,6,0,6,21,43,30,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,1,0,99,0,0,1,99,0,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,26,73,0,3,69,28,0,1,62,37,0,1,64,35,0,1,24,75,0,3,6,91,0,0,62,38,38,0,33,8,9,12,0,0,1,9,35,55,0,0,100,0,0,1,9,90,0,0,2,2,3,3,87,3,0,0,21,20,32,27,0,0,6,23,30,41,100,100,74,0,3,23,31,0,5,64,38,0,4,58,36,0,5,59,76,0,1,23,94,0,3,3,0,1,0,0,10,8,81,0,0,0,0,8,15,77,0,0,19,32,19,30,0,1,1,2,20,76,0,0,4,20,32,44,76,2,17,5,76,6,3,15,76,5,6,13,0,1,52,47,53,0,24,23,76,2,1,0,1,0,0,2,18,24,2,4,3,3,6,0,3,13,6,0,3,3,4,2,5,19,0,0,38,60,0,2,0,0,0,0,0,0,100,0,0,2,3,45,24,26,2,2,11,28,36,16,5,8.13888888888889,9.320186318731672,1,0,11.625,5.554240534230392,2.6382978723404253,1.293915154269026
NZL,New Zealand,6,2021-01-03,2021-01-01,100,0,0,0,0,5,99,496844.5239662991,98,1,2,97,1,4,95,1,2,97,1,10,89,1,6,93,1,12,87,1,1,98,1,2,97,1,1,98,0,0,100,1,1,98,1,10,89,1,1,98,1,4,95,98,0,0,2,96,0,0,4,98,0,1,1,90,1,2,7,94,0,1,5,88,0,5,7,99,0,1,0,98,0,1,1,99,0,1,0,100,0,0,0,99,0,1,90,0,5,5,99,1,0,96,1,2,1,0,1,2,97,98,2,0,0,3,24,73,76,2,2,20,98,0,2,0,98,0,2,0,100,0,7,2,0,91,100,0,0,0,0,0,0,0,51,32,10,7,0,3,35,56,6,0,2,56,35,7,0,2,50,41,7,0,3,53,41,3,0,4,19,54,23,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,72,0,0,28,72,0,0,28,72,0,1,27,72,0,1,27,72,0,2,26,72,0,1,27,72,0,2,26,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,0,2,19,79,0,0,71,29,0,2,56,42,0,0,55,45,0,2,39,59,0,1,15,84,0,1,61,38,39,0,26,14,10,11,0,1,1,1,29,68,0,1,99,0,0,4,12,84,0,0,4,0,6,7,79,4,0,0,20,17,37,26,0,3,5,19,27,46,100,100,81,0,2,17,29,1,7,63,44,1,4,51,45,1,4,50,61,2,1,36,85,1,6,8,0,2,1,0,2,9,86,0,1,0,0,4,11,84,0,0,9,22,37,32,0,0,1,2,10,87,0,0,3,5,25,67,92,1,4,3,92,2,3,3,92,2,3,3,0,1,31,68,32,0,14,54,86,2,0,0,1,1,0,0,10,55,0,3,2,2,5,0,2,3,2,0,1,2,3,2,5,13,0,4,34,61,0,1,0,0,0,0,0,0,0,100,0,2,3,44,27,24,2,2,31,15,34,12,4,7.612903225806451,9.145772864570963,2.5,0.7071067811865476,12.648351648351646,4.705490000163229,2.075268817204301,1.095807813399945
NZL,New Zealand,-99,2021-01-04,2021-01-03,100,1,4645.82969514018,1,4645.82969514018,6,85,538936.3883412762,0,2,3,95,0,12,88,3,4,93,4,17,79,4,14,82,3,20,77,2,7,91,3,1,96,4,4,92,4,2,94,3,4,93,4,12,84,4,0,96,4,9,87,97,1,0,2,88,1,2,9,96,1,1,2,83,0,5,12,86,2,4,8,80,1,5,14,93,0,4,3,99,0,1,0,96,1,1,2,98,0,1,1,96,2,2,88,1,2,9,100,0,0,91,0,2,7,15,0,2,83,99,1,0,16,1,31,52,69,2,1,28,99,0,1,0,99,0,1,0,100,0,20,3,1,76,100,0,0,0,0,0,25,1,25,31,12,6,37,0,23,25,15,37,1,24,23,15,37,1,19,28,15,37,1,27,23,12,37,1,13,22,27,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,41,1,24,34,41,0,49,10,41,1,42,16,41,0,40,19,41,1,25,33,41,1,13,45,52,1,27,20,73,0,11,8,5,3,56,0,0,6,15,23,56,1,43,0,63,1,7,29,63,1,1,2,4,5,22,2,63,0,10,6,15,6,65,1,1,8,13,12,100,100,76,1,5,18,55,1,9,35,61,1,8,30,63,1,5,31,77,0,5,18,87,0,6,7,72,0,0,0,3,3,22,72,0,0,0,3,5,20,74,1,5,5,6,9,74,0,3,3,7,13,74,0,3,3,5,15,97,0,2,1,97,1,0,2,97,0,2,1,79,2,5,14,86,0,10,4,100,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,7.84,10.094057657849989,5,0,0,0,0,0
NZL,New Zealand,2,2021-01-04,2021-01-01,100,0,0,0,0,14,100,732828.9880230183,99,0,2,98,0,11,89,0,2,98,0,22,78,0,19,81,0,18,82,0,4,96,0,1,99,0,2,98,0,1,99,0,4,96,0,16,84,0,1,99,0,16,84,98,0,1,1,89,0,8,3,98,0,1,1,78,0,8,14,81,0,6,13,82,0,6,12,96,0,2,2,99,0,1,0,98,0,1,1,99,0,0,1,96,2,2,84,0,3,13,99,0,1,84,0,4,12,0,0,5,95,95,2,3,0,0,37,63,63,0,3,34,97,0,3,0,97,0,3,0,100,0,3,0,1,96,100,0,0,0,0,0,0,0,33,39,20,8,0,1,30,63,6,0,0,48,42,10,0,0,35,50,15,0,0,45,43,12,0,0,10,54,36,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,1,0,99,0,0,1,99,0,0,1,66,2,0,32,66,2,1,31,66,2,1,31,66,2,0,32,66,2,4,28,66,2,1,31,66,2,2,30,96,0,0,4,96,0,0,4,96,0,0,4,96,0,1,3,96,0,0,4,0,0,35,65,0,0,79,21,0,0,68,32,0,0,73,27,0,0,48,52,0,0,16,84,0,0,76,24,24,0,33,18,10,15,0,0,1,11,32,56,0,0,99,1,0,0,10,90,0,1,3,4,6,7,75,4,0,0,12,14,42,32,0,0,4,20,29,47,100,100,65,1,4,30,21,1,8,70,32,1,5,62,27,1,4,68,52,1,2,45,84,1,5,10,0,0,2,2,10,15,71,0,0,1,5,13,16,65,0,0,10,28,26,36,0,0,1,10,19,70,0,0,8,18,29,45,74,1,17,8,74,1,3,22,74,1,2,23,0,0,54,46,54,0,30,16,70,0,1,2,2,0,1,0,24,16,0,6,5,12,9,2,6,8,7,0,2,10,4,1,1,11,0,1,41,54,0,4,0,0,0,100,0,0,0,0,0,1,1,55,30,13,1,0,14,26,33,18,8,4.472727272727273,5.921882037721359,4,2.6457513110645907,11.664772727272727,6.0499461339432985,3.1382978723404253,1.4998284047354677
