ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-09-26,2020-05-05,100,3,75153.5675220355,2,53287.7657883738,6,95,4,0,2899668.51800477,73,6,81,13,8,79,13,6,81,13,18,69,13,16,73,11,16,72,12,8,79,13,6,83,11,6,81,13,3,84,13,10,80,10,23,66,11,11,89,0,4,7,89,10,88,2,4,4,92,0,3,1,96,38,48,14,56,30,14,22,58,20,27,57,16,27,56,17,21,62,17,27,63,10,16,5,2,4,73,18,82,0,50,14,10,3,2,4,17,46,16,10,10,18,4,4,17,19,35,21,2,8,16,22,31,21,25,27,11,17,20,7,13,18,42,20,50,27,1,22,7,12,22,19,11,3,1,25,41,21,13,25,11.5079365079365,23.6984439449968,11.1111111111111,8.6066296582387,3.54967443814325,2.57744174388958,0.03,0.0334344809563718,0.0259179858164436,0.000182882563410274,0.02,0.0274394957835608,0.0183771922402498,0.000154591572136404,0.000889547813194959,0.000711456765164581
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-09-28,2020-05-07,100,3,75153.5675220355,2,53287.7657883738,6,95,4,0,2979995.49858921,73,6,80,14,8,78,14,6,80,14,18,68,14,16,72,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,10,79,11,23,65,12,11,89,0,4,7,89,10,88,2,4,4,92,0,3,1,96,38,47,15,56,29,15,23,57,20,27,56,17,28,55,17,21,61,18,28,62,10,17,5,2,4,72,18,82,0,50,14,10,3,2,4,17,45,16,10,11,18,4,4,17,19,35,21,2,8,17,22,30,21,24,27,12,17,20,7,13,19,41,20,50,27,1,22,7,12,21,19,11,4,1,25,41,21,13,25,11.5079365079365,23.6984439449968,11.1111111111111,8.6066296582387,3.50766645662676,2.5638587525002,0.03,0.0334344809563718,0.0252193560552742,0.00017801669427674,0.02,0.0274394957835608,0.0178818276113509,0.000150462444163969,0.000889547813194959,0.000711456765164581
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-09-30,2020-05-14,100,3,75153.5675220355,2,53287.7657883738,6,95,5,0,3061681.92087796,72,6,80,14,8,78,14,6,80,14,17,69,14,15,73,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,11,89,0,4,7,89,11,87,2,5,4,91,0,4,1,95,37,48,15,55,30,15,21,58,21,26,57,17,27,55,18,21,61,18,27,63,10,17,5,2,3,73,18,82,0,49,15,10,3,2,4,17,46,16,10,10,18,4,4,17,19,35,21,2,8,17,21,31,21,25,26,12,17,20,7,13,18,42,20,49,27,1,23,7,12,20,20,10,4,1,26,42,20,12,26,12.0761451516954,24.5055276668768,11.1111111111111,8.6066296582387,3.719723183391,2.78874753386334,0.03,0.0334344809563718,0.0245464974691051,0.000173326955303343,0.02,0.0274394957835608,0.0174047360782315,0.000146483635678851,0.000889547813194959,0.000711456765164581
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-01,2020-05-17,100,3,75153.5675220355,2,53287.7657883738,6,95,5,0,3088926.53047185,71,6,80,14,8,78,14,6,80,14,17,69,14,15,73,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,11,89,0,4,7,89,12,86,2,5,4,91,0,4,1,95,37,47,16,56,28,16,22,56,22,27,55,18,26,55,19,20,61,19,27,62,11,18,4,2,3,73,18,82,0,49,15,10,3,2,3,18,46,16,9,10,19,4,4,18,18,34,22,2,9,17,21,29,22,25,26,11,17,21,6,13,18,42,21,49,26,1,24,6,11,20,21,10,4,1,27,43,19,11,27,12.0761451516954,24.5055276668768,11.1111111111111,8.6066296582387,3.78703497438182,2.85004831852982,0.03,0.0334344809563718,0.024329995155487,0.000171817260264069,0.02,0.0274394957835608,0.0172512247418956,0.000145202978085099,0.000889547813194959,0.000711456765164581
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-03,2020-05-17,100,3,75153.5675220355,2,53287.7657883738,6,95,5,0,3088926.53047185,71,6,80,14,8,78,14,6,80,14,17,69,14,15,73,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,11,89,0,4,7,89,12,86,2,5,4,91,0,4,1,95,37,47,16,56,28,16,22,56,22,27,55,18,26,55,19,20,61,19,27,62,11,18,4,2,3,73,18,82,0,49,15,10,3,2,3,18,46,16,9,10,19,4,4,18,18,34,22,2,9,17,21,29,22,25,26,11,17,21,6,13,18,42,21,49,26,1,24,6,11,20,21,10,4,1,27,43,19,11,27,12.0761451516954,24.5055276668768,11.1111111111111,8.6066296582387,3.78703497438182,2.85004831852982,0.03,0.0334344809563718,0.024329995155487,0.000171817260264069,0.02,0.0274394957835608,0.0172512247418956,0.000145202978085099,0.000889547813194959,0.000711456765164581
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-04,2020-05-18,100,3,75153.5675220355,2,53287.7657883738,6,95,5,0,3159455.14037834,71,6,80,14,8,78,14,6,80,14,18,68,14,15,73,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,11,89,0,4,7,89,12,86,2,5,4,91,0,4,1,95,37,47,16,56,28,16,22,56,22,27,55,18,26,55,19,20,61,19,26,63,11,17,4,2,3,74,18,82,0,50,15,9,3,2,3,18,46,16,9,10,19,4,4,17,19,34,22,2,9,16,21,30,22,25,26,11,17,21,6,14,18,41,21,48,27,1,24,6,12,20,20,10,4,1,27,43,19,11,27,11.9047619047619,23.6405151400408,11.1111111111111,8.6066296582387,3.85674931129477,2.91362576539702,0.03,0.0334344809563718,0.0237868759589465,0.000168028526614868,0.02,0.0274394957835608,0.016866125145234,0.000141989419529071,0.000889547813194959,0.000711456765164581
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-07,2020-05-20,100,3,75153.5675220355,2,53287.7657883738,6,95,5,0,3135487.77889719,71,6,80,14,8,78,14,6,80,14,18,68,14,15,73,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,11,89,0,4,7,89,12,86,2,5,4,91,0,4,1,95,37,47,16,55,29,16,22,56,22,26,56,18,25,56,19,19,62,19,26,63,11,17,4,2,3,74,17,83,0,50,15,9,3,2,3,18,45,16,10,10,19,4,4,18,18,34,22,2,9,17,21,30,21,25,26,11,17,21,6,14,17,42,21,48,27,1,24,6,13,19,20,10,4,1,27,43,19,11,27,11.9047619047619,23.6405151400408,11.1111111111111,8.6066296582387,3.83379247015611,2.86519545340357,0.03,0.0334344809563718,0.0239687005090061,0.000169297151793956,0.02,0.0274394957835608,0.0169950481539163,0.000143065391400615,0.000889547813194959,0.000711456765164581
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-08,2020-05-22,100,3,75153.5675220355,2,53287.7657883738,6,94,5,0,3138501.76762268,71,6,81,13,8,78,14,6,80,14,18,68,14,15,73,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,12,88,0,4,8,88,12,86,2,5,4,91,0,4,1,95,37,47,16,55,29,16,22,56,22,25,57,18,25,56,19,19,62,19,26,64,10,17,4,2,3,74,17,83,0,50,14,10,3,2,3,18,46,15,10,10,19,4,4,19,18,33,22,2,9,18,21,29,21,25,27,11,16,21,6,15,17,41,21,48,27,1,24,6,13,19,19,11,4,1,27,43,19,11,27,11.9047619047619,23.6405151400408,11.1111111111111,8.6066296582387,3.85674931129477,2.85237321005183,0.03,0.0334344809563718,0.0239456827131126,0.000169136565471078,0.02,0.0274394957835608,0.0169787273463089,0.00014292918831899,0.000899011087803416,0.000719022048950883
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-15,2020-05-22,100,3,75153.5675220355,2,53287.7657883738,6,94,5,0,3152772.03538133,70,6,81,13,8,78,14,6,80,14,18,68,14,14,74,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,12,88,0,4,8,88,12,86,2,5,4,91,0,4,1,95,38,46,16,55,29,16,22,56,22,25,57,18,25,56,19,19,62,19,25,65,10,16,4,2,3,75,17,83,0,49,14,10,3,2,3,19,46,15,9,10,20,4,4,18,18,33,23,2,9,18,20,29,22,25,27,10,16,22,6,15,17,40,22,48,26,1,25,5,13,19,19,11,4,1,28,42,19,11,28,12.3735871505057,24.4899804925972,11.1111111111111,8.6066296582387,3.95266272189349,2.90339057517994,0.03,0.0334344809563718,0.0238372983135603,0.000168380357289366,0.02,0.0274394957835608,0.0169018772021456,0.00014228781509585,0.000899011087803416,0.000719022048950883
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-17,2020-05-22,100,3,75153.5675220355,2,53287.7657883738,6,94,5,0,3152772.03538133,70,6,81,13,8,78,14,6,80,14,18,68,14,14,74,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,12,88,0,4,8,88,12,86,2,5,4,91,0,4,1,95,38,46,16,55,29,16,22,56,22,25,57,18,25,56,19,19,62,19,25,65,10,16,4,2,3,75,17,83,0,49,14,10,3,2,3,19,46,15,9,10,20,4,4,18,18,33,23,2,9,18,20,29,22,25,27,10,16,22,6,15,17,40,22,48,26,1,25,5,13,19,19,11,4,1,28,42,19,11,28,12.3735871505057,24.4899804925972,11.1111111111111,8.6066296582387,3.95266272189349,2.90339057517994,0.03,0.0334344809563718,0.0238372983135603,0.000168380357289366,0.02,0.0274394957835608,0.0169018772021456,0.00014228781509585,0.000899011087803416,0.000719022048950883
