ISO2,ISO_3,country_agg,region_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
ZA,ZAF,South Africa,Eastern Cape,2021-04-01,2021-03-30,46,11861617.2167013,95,606,41,295,1124,3,155,80,0,0,11,130,7,0,11,981743.018453613,1,9,0,0,5,447418.126144842,42,148,2054.68456222474,6,1,4,0,0,15,1,12,0,0,11,1,8,0,0,6,1,0,1,0,0,1,1,1,0,0,3,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,2,2,1,1,1,3,2,1,1,1,1,1,1,1,0,1,0,1,1,0,3,0.0193548387096774,0.0216886722083548,0.0709677419354839,0.0404229619104477,0.0827663716100451,0.000156798925145492,0.032258064516129,0.0278151352140537,0.037719825043323,0.000108420584098257,0.0204410938652908,0.0061184703122577
ZA,ZAF,South Africa,Eastern Cape,2021-04-02,2021-04-01,57,7821075.4470372,64,348,21,190,736,3,103,54,0,0,7,82,5,0,9,770061.77188115,0,6,0,0,5,484888.73938126,21,94,1305.00235708869,3,0,2,0,0,10,0,7,0,0,8,0,5,0,0,2,2,0,2,0,0,1,0,2,0,0,2,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.029126213592233,0.0324752782875229,0.087378640776699,0.0545352659623367,0.0984598316556154,0.000208803098280853,0.0485436893203884,0.0415040324517794,0.0619977064106889,0.000169006969763955,0.0160919249577822,0.00682690256786824
ZA,ZAF,South Africa,Eastern Cape,2021-04-03,2021-04-02,61,8110127.77301243,81,187,18,256,946,3,118,58,0,0,10,96,9,0,7,647729.50836246,0,4,0,0,4,417243.793615373,18,106,1471.59840267448,0,0,0,0,0,9,0,7,0,0,8,0,6,0,0,4,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0254237288135593,0.0284010651185517,0.0593220338983051,0.0426221731910667,0.0798667451970201,0.000186570338408808,0.0338983050847458,0.032651828097163,0.0514472527798895,0.000152035875849052,0.0122315979463465,0.00561594182671458
ZA,ZAF,South Africa,Eastern Cape,2021-04-04,2021-04-03,46,7315631.41009171,76,158,13,248,893,3,107,51,0,0,9,88,8,0,5,429895.548005219,0,3,0,0,1,75622.3363618009,13,98,1360.53437228395,0,0,0,0,0,8,0,5,0,0,5,0,3,0,0,5,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,1,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0280373831775701,0.0312787739529993,0.0467289719626168,0.0399905624684511,0.0587639704499313,0.000170422534775263,0.00934579439252336,0.0182316240644272,0.0103370894626378,7.32934167414215e-05,0.00955506914402808,0.00516922475884804
ZA,ZAF,South Africa,Eastern Cape,2021-04-05,2021-04-04,58,7937937.73144665,64,224,12,184,745,2,104,50,0,0,4,88,4,0,6,452829.785846351,0,5,0,0,1,53376.7381762463,12,94,1305.00235708869,1,0,1,0,0,7,0,5,0,0,2,0,1,0,0,5,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0192307692307692,0.0263944833692685,0.0576923076923077,0.0448112176503365,0.0570462758925957,0.000161344098998568,0.00961538461538462,0.0187549838461375,0.00672425760721086,5.68527312369806e-05,0.00919538569016123,0.00517870804836503
ZA,ZAF,South Africa,Eastern Cape,2021-04-06,2021-04-05,68,8298322.15689732,73,300,15,192,885,3,126,58,0,0,8,104,6,0,11,825289.025318624,1,8,1,0,5,382257.900588718,15,113,1568.77942926619,3,0,2,0,0,11,1,9,1,0,9,0,7,0,0,9,3,0,3,0,0,2,0,3,0,0,2,1,1,0,2,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0238095238095238,0.0266198409578783,0.0873015873015873,0.0492875846647068,0.0994525169925668,0.000203617051059884,0.0396825396825397,0.0340855228881751,0.0460644806698661,0.000142624963111676,0.00956157361587562,0.00481554643841144
ZA,ZAF,South Africa,Eastern Cape,2021-04-07,2021-04-06,58,7806165.93970904,80,288,22,225,983,6,126,67,0,0,8,106,6,0,11,827143.449794786,1,8,1,0,5,385353.498201393,22,113,1568.77942926619,4,0,3,0,0,13,1,10,1,0,13,0,10,0,0,9,4,0,4,0,0,2,0,6,0,0,4,1,1,0,2,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0476190476190476,0.0371842067871001,0.0873015873015873,0.0492875846647068,0.105960269892189,0.000215913172533319,0.0396825396825397,0.0340855228881751,0.0493652711430519,0.000151966129683465,0.0140236413032842,0.00581876471119923
ZA,ZAF,South Africa,Eastern Cape,2021-04-08,2021-04-07,60,7571076.02013576,83,247,27,250,992,5,118,68,0,0,6,102,6,0,8,439571.129441763,0,8,0,0,3,183779.63568742,27,108,1499.36441027211,5,1,4,1,0,11,1,9,1,0,12,1,10,1,0,4,2,0,2,0,0,0,1,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,0,1,2,2,2,0,1,0,1,1,1,1,0,0,1,1,1,2,0.0423728813559322,0.036345387540049,0.0677966101694915,0.0453593075594475,0.0580592677015388,0.000166577696887054,0.0254237288135593,0.0284010651185517,0.0242739123472867,0.000109623366659555,0.0180076303098991,0.00673095724194035
ZA,ZAF,South Africa,Eastern Cape,2021-04-09,2021-04-08,47,7693205.17678797,71,218,24,215,865,2,107,56,0,0,6,92,6,0,6,324266.789011056,0,6,0,0,2,127307.299898499,24,99,1374.41737608277,3,1,2,1,0,9,1,7,1,0,12,1,10,1,0,3,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,1,2,0,1,0,1,1,1,1,0,0,1,1,1,2,0.0186915887850467,0.0256615019570993,0.0560747663551402,0.0435921948951269,0.0421497648326653,0.000141984460791692,0.0186915887850467,0.0256615019570993,0.0165480182801587,9.01454911573972e-05,0.0174619445429324,0.00692484034426235
ZA,ZAF,South Africa,Eastern Cape,2021-04-10,2021-04-09,58,7919927.13755325,63,478,33,242,749,2,105,54,0,0,5,89,5,0,6,383278.400068699,0,5,0,0,3,201559.201231479,34,98,1360.53437228395,3,0,2,0,0,10,0,8,0,0,12,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0190476190476191,0.0261455482229834,0.0571428571428571,0.0443973823343272,0.0483941825994004,0.000149455747673783,0.0285714285714286,0.0318658021730655,0.0254496282264722,0.000109680738234386,0.0249901808382273,0.00829435321913164
