"Timestamp","Country","ISO.3166.1.a2","Region","ISO.3166.2","Language","Reach","Cases","Visibility","Recovered","Fatalities","RecentCases","RecentCases14","PositiveTest14Days","PositiveTest07Days","LongCovid","StillSick","Tested","Positive","Hospital","Severe","ICU","Vaccinated","RecentVaccinated","VaccineSideEffects","RefuseVaccine","ContactsDoctors","Surveyfirst","Surveyknown","Surveyforward","Dataset","Cookie","Campaign"
"2020-03-31","Greece","GR","Αττική","GRI",,6,2,,,,,,,,,,,,,,,,,,,,,,,"GR-g-sheet",,
"2020-03-31","Greece","GR","Αττική","GRI",,4,0,,,,,,,,,,,,,,,,,,,,,,,"GR-g-sheet",,
"2020-03-31","Greece","GR","Στερεά Ελλάδα","GRH",,50,1,,,,,,,,,,,,,,,,,,,,,,,"GR-g-sheet",,
"2020-03-31","Greece","GR","","",,40,0,,,,,,,,,,,,,,,,,,,,,,,"GR-g-sheet",,
"2020-03-31","Greece","GR","Αττική","GRI",,100,0,,,,,,,,,,,,,,,,,,,,,,,"GR-g-sheet",,
"2020-03-31","Greece","GR","Αττική","GRI",,50,0,,,,,,,,,,,,,,,,,,,,,,,"GR-g-sheet",,
"2020-03-31","Greece","GR","Αττική","GRI",,50,0,,,,,,,,,,,,,,,,,,,,,,,"GR-g-sheet",,
"2020-03-31","Greece","GR","Στερεά Ελλάδα","GRH",,50,0,,,,,,,,,,,,,,,,,,,,,,,"GR-g-sheet",,
"2020-03-31","Greece","GR","Αττική","GRI",,20,0,,,,,,,,,,,,,,,,,,,,,,,"GR-g-sheet",,
"2020-03-31","Greece","GR","Κρήτη","GRM",,9,0,,,,,,,,,,,,,,,,,,,,,,,"GR-g-sheet",,
"2020-04-01","Greece","GR","Πελοπόννησος","GRJ",,30,0,,,,,,,,,,,,,,,,,,,,,,,"GR-g-sheet",,
"2020-04-01","Greece","GR","","",,20,0,,,,,,,,,,,,,,,,,,,,,,,"GR-g-sheet",,
