Timestamp,Country,ISO_3166_1_a2,Region,ISO_3166_2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,RecentHospital,RecentCasesNursing,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/07/30,Spain,ES,,ESMRO,es,150,1,0,1,0,,1,0,,,0,,,,N,N,limesurvey-5866,jkyg2yem96kd93bp52,
2020/07/30,Spain,ES,,ESMRC,en,6,3,3,0,0,,0,0,2,2,2,2,0,,N,N,limesurvey-5857,uhbfx08orgkd92cz49,
2020/07/30,Spain,ES,,ESMRO,es,30,0,,,,,,,,,,,,,N,N,limesurvey-5877,p48t01ez8ikd94xmv3,
2020/07/30,Spain,ES,,ESMRC,es,30,2,2,0,0,,0,0,0,,0,0,0,,N,N,limesurvey-5659,y0azbhxug2kd8tr2u1,
2020/07/30,Spain,ES,,ESMRO,es,3,0,0,0,0,,0,0,0,,0,0,,,N,Y,limesurvey-5380,3gtxn1qahakd8jttki,
2020/07/30,Spain,ES,,ESMRO,es,50,4,4,0,0,,0,0,7,5,0,,,,Y,N,limesurvey-5417,qrm2tmed81kd8komim,
2020/07/30,Spain,ES,,ESMRC,es,50,20,20,0,0,,0,0,10,8,1,1,1,,N,Y,limesurvey-5549,qoskbcta5xkd8ny9ot,
2020/07/30,Spain,ES,,ESMRO,es,25,3,4,1,0,,0,0,1,0,2,1,2,,N,N,limesurvey-5449,0s4aqmmwfwkd8lf7oq,
2020/07/30,Spain,ES,,ESMAR,en,60,6,5,1,0,,0,0,4,4,0,0,4,,N,Y,limesurvey-5799,3ua2v0wephkd8yfoni,
2020/07/30,Spain,ES,,ESMRE,es,11,0,,,,,,,,,,,,,N,Y,limesurvey-5484,g3pvpfuc26kd8m6pn3,
2020/07/30,Spain,ES,,ESMRO,en,100,0,,,,,,,,,,,,,N,,limesurvey-5926,5rqnqabcp9kd99r1ek,
2020/07/30,Spain,ES,,ESMRC,en,21,2,2,0,0,,0,0,0,0,2,1,1,,N,N,limesurvey-5358,v5tll820ufkd8jfvfu,
2020/07/30,Spain,ES,,ESMAR,en,40,3,3,0,0,,0,0,1,1,1,0,0,,Y,Y,limesurvey-5402,m928p45ivmkd8k4kkc,
2020/07/30,Spain,ES,,ESMRC,es,18,2,2,0,0,,0,0,3,1,1,1,1,,N,Y,limesurvey-5633,jqvarxx2f6kd8t8kfz,
2020/07/30,Spain,ES,,ESMRC,es,4,0,0,0,0,,0,0,0,0,0,0,0,,N,N,limesurvey-5784,84qqkj1g70kd8y0dx6,
2020/07/30,Spain,ES,,ESMRE,en,30,1,1,0,0,,0,0,1,1,0,0,0,,N,N,limesurvey-5685,3mcpj7jynekd8u6qpl,
2020/07/30,Spain,ES,,ESMRE,en,300,6,5,1,0,,0,0,30,1,1,1,1,,Y,Y,limesurvey-5325,pmxenzqps0kd8j1wb2,
2020/07/30,Spain,ES,,ESMRO,es,12,1,,2,0,,0,0,0,,0,,,,N,N,limesurvey-5764,taehposj0hkd8x51w2,
2020/07/30,Spain,ES,,ESMRC,es,30,1,1,0,0,,0,0,2,0,0,0,0,,N,N,limesurvey-5836,698jw9g4xhkd9046fr,
2020/07/30,Spain,ES,,ESMRC,en,20,0,0,0,0,,0,0,0,0,0,0,0,,Y,Y,limesurvey-5275,29awl6ywc0kd8il418,
2020/07/30,Spain,ES,,ESMRE,es,30,3,3,0,0,,0,0,2,0,0,0,0,,Y,Y,limesurvey-5709,3qnlatj5crkd8vwumc,
2020/07/30,Spain,ES,,ESMRO,es,20,0,,,,,,,1,0,0,,,,N,Y,limesurvey-5399,00uxbljoofkd8k47fk,
2020/07/30,Spain,ES,,ESMRO,es,40,2,2,1,0,,0,0,2,2,1,1,1,,Y,Y,limesurvey-5725,xbilbwelw3kd8vvc5x,
2020/07/30,Spain,ES,,ESMRE,en,25,0,0,0,0,,0,0,1,0,0,0,0,,N,N,limesurvey-5901,7ydbbrsv9qkd97fuah,
2020/07/30,Spain,ES,,ESMRO,es,20,5,4,1,0,,0,0,2,2,2,2,1,,N,Y,limesurvey-5251,o0trp1botqkd8ihufx,
2020/07/30,Spain,ES,,ESMRC,en,50,6,6,0,0,,0,1,4,3,2,2,1,,Y,Y,limesurvey-5870,3vr4wdsttlkd93vyp0,
2020/07/30,Spain,ES,,ESMRO,en,23,0,0,0,0,,0,0,3,0,0,0,0,,Y,Y,limesurvey-5838,swosdmcvi5kd9046af,
2020/07/30,Spain,ES,,ESMRO,es,15,2,2,,0,,0,0,,,,,,,Y,N,limesurvey-5481,rcdnk9l05hkd8lzfnd,
2020/07/30,Spain,ES,,ESMRC,es,40,1,1,0,0,,0,0,15,1,1,1,0,,N,Y,limesurvey-5920,f87433uu8bkd99ehq1,
2020/07/30,Spain,ES,,ESMRO,es,20,5,5,0,0,,0,0,2,2,0,,,,N,Y,limesurvey-5745,71x3irgl4ikd8wb3j1,
2020/07/30,Spain,ES,,ESMRO,en,20,4,4,0,0,,0,0,6,4,0,0,0,,N,N,limesurvey-5447,ef1nyv03iykd8l5i2t,
2020/07/30,Spain,ES,,ESMRO,es,80,5,5,0,0,,,0,5,5,0,,,,Y,Y,limesurvey-5729,umb0y42sfxkd8vvfd2,
2020/07/30,Spain,ES,,ESMRO,es,10,0,0,0,0,,0,0,1,0,0,0,0,,N,N,limesurvey-5211,6hhtep6paukd8iiu0m,
2020/07/30,Spain,ES,,ESMRO,es,20,0,,,,,,,,,,,,,Y,N,limesurvey-5400,tq4lf9nxlbkd8k3bbf,
2020/07/30,Spain,ES,,ESMRE,es,4,2,2,0,0,,0,0,0,0,0,0,0,,N,N,limesurvey-5423,3s5eb6setzkd8kxo3n,
2020/07/30,Spain,ES,,ESMRE,es,20,0,,,,,,,,,,,,,Y,N,limesurvey-5563,rlznp45732kd8oexdl,
2020/07/30,Spain,ES,,ESMRO,es,20,3,30,0,0,,0,0,3,3,1,0,0,,N,,limesurvey-5594,u3pvfwfrpxkd8pph1z,
2020/07/30,Spain,ES,,ESMRE,en,200,4,2,0,0,,0,2,5,3,10,7,3,,Y,Y,limesurvey-5825,jvl9yucoigayigy899,
2020/07/30,Spain,ES,,ESMRC,es,23,7,7,0,0,,0,0,6,3,0,0,0,,N,N,limesurvey-5326,k3nf3132q3kd8j1d6r,
2020/07/30,Spain,ES,,ESMRC,en,40,0,0,0,0,,0,0,3,0,0,0,0,,Y,Y,limesurvey-5680,d4kpp2uytrkd8u4k9b,
2020/07/30,Spain,ES,,ESMAR,en,10,2,2,0,,,0,0,4,2,0,0,0,,N,N,limesurvey-5232,yg8914b0tikd8i8pq6,
2020/07/30,Spain,ES,,ESMRE,es,4,1,1,0,0,,0,0,1,0,0,0,0,,N,N,limesurvey-5515,vu5subzlfwkd8mvtaq,
2020/07/30,Spain,ES,,ESMAR,en,3,0,,,,,,,1,0,,,,,N,Y,limesurvey-5694,69sf2ih8d8kd8ufw40,
2020/07/30,Spain,ES,,ESMRC,es,100,4,4,0,0,,0,0,,,,,,,N,N,limesurvey-5284,yvgsmpjgo6kd8ir5z2,
2020/07/30,Spain,ES,,ESMRC,en,13,1,1,0,0,,0,0,9,1,1,1,1,,N,N,limesurvey-5601,plwmjxeloskd8pr95t,
2020/07/30,Spain,ES,,ESMRO,es,26,0,,0,,,,,3,0,0,,,,N,N,limesurvey-5851,p51feo0snnkd928d1w,
2020/07/30,Spain,ES,,ESMRC,es,25,1,1,0,0,,0,0,2,0,0,0,0,,Y,N,limesurvey-5849,gac7yngb8okd923hnm,
2020/07/30,Spain,ES,,ESMRO,es,100,4,4,0,0,,0,0,20,0,0,0,0,,N,N,limesurvey-5329,knsxqdbaknkd8j9wp8,
2020/07/30,Spain,ES,,ESMRC,es,20,1,1,0,0,,0,0,1,0,0,0,0,,Y,Y,limesurvey-5829,x6hqhs35owkd8zj9b4,
2020/07/30,Spain,ES,,ESMRO,es,10,0,0,0,0,,0,0,2,0,0,0,0,,N,N,limesurvey-5932,wxq59g4rdkkd9a96dc,
2020/07/30,Spain,ES,,ESMRO,es,3,1,1,0,0,,0,0,1,0,0,,,,N,N,limesurvey-5622,e0dhf225cekd8reicg,
2020/07/30,Spain,ES,,ESMRO,en,25,5,5,0,0,,0,0,8,5,0,0,0,,N,N,limesurvey-5785,9vuusk6vltkd8xz76f,
2020/07/30,Spain,ES,,ESMRO,es,14,2,1,1,0,,0,0,2,1,0,,,,N,N,limesurvey-5621,v1c56a6435kd8re8sq,
2020/07/30,Spain,ES,,ESMRC,es,50,3,3,0,0,,0,0,0,0,0,0,0,,Y,Y,limesurvey-5956,m3pmd3mpsmkd9c9mdi,
2020/07/30,Spain,ES,,ESMAR,en,40,2,2,0,0,,,0,2,0,0,0,0,,Y,Y,limesurvey-5581,7e2t6uiyclkd8ox4ad,
2020/07/30,Spain,ES,,ESMRO,en,14,0,0,0,0,,0,0,4,0,0,0,0,,N,N,limesurvey-5971,tsuzy2hcaskd9efy0l,
2020/07/30,Spain,ES,,ESMRO,es,30,2,2,0,0,,,0,1,0,0,0,0,,Y,N,limesurvey-5333,3zjstjc6m9kd8je8c0,
2020/07/30,Spain,ES,,ESMRO,es,10,6,6,0,0,,0,0,1,0,0,0,,,N,N,limesurvey-5301,5rfy73ughjkd8izalt,
2020/07/30,Spain,ES,,ESMRC,en,34,3,3,0,0,,0,0,3,0,0,0,0,,Y,N,limesurvey-5567,gmhvm5fxzskd8ohq29,
2020/07/30,Spain,ES,,ESMRE,en,100,2,2,0,0,,0,0,0,0,0,0,0,,N,Y,limesurvey-5757,zj4ro69mu1kd8wo6sh,
2020/07/30,Spain,ES,,ESMRO,es,5,3,5,0,0,,0,0,4,3,0,0,0,,Y,Y,limesurvey-5226,qds0k48u8mkd8i9nr9,
2020/07/30,Spain,ES,,ESMRC,es,15,0,,,,,,,1,0,,,,,Y,Y,limesurvey-5673,o6naadftgikd8u2oa4,
2020/07/30,Spain,ES,,ESMRC,en,30,0,,,,,,,,,,,,,N,N,limesurvey-5872,6ukte9pvwjkd94aivl,
2020/07/30,Spain,ES,,ESMRO,es,2,0,0,0,0,,0,0,0,0,0,0,0,,N,N,limesurvey-5512,xkglsyyhmakd8mukux,
2020/07/30,Spain,ES,,ESMRC,en,20,0,0,0,0,,0,0,1,0,0,0,1,,N,N,limesurvey-5721,d6jx0etgpykd8vlxmm,
2020/07/30,Spain,ES,,ESMRO,es,10,0,0,0,0,,0,0,1,0,0,0,0,,Y,N,limesurvey-5736,k9dqaspbyzkd8w1t9u,
2020/07/30,Spain,ES,,ESMRO,en,10,1,1,0,0,,0,0,1,1,0,0,0,,N,N,limesurvey-5780,fklv7axb5rkd8xsndx,
2020/07/30,Spain,ES,,ESMRE,en,10,0,0,0,0,,0,0,0,0,0,0,0,,N,Y,limesurvey-5863,bzqvr9fe6ckd92zikw,
2020/07/30,Spain,ES,,ESMRE,es,10,0,0,0,0,,0,0,3,0,0,0,0,,Y,Y,limesurvey-5403,z3vmfhul7okd8kcfsm,
2020/07/30,Spain,ES,,ESMRC,en,10,0,,,,,,,,,,,,,N,N,limesurvey-5827,yuutdugb6skd8zasgi,
2020/07/30,Spain,ES,,ESMAR,en,20,2,2,0,0,,0,0,0,0,0,0,0,,N,N,limesurvey-5379,g4fqfq2o0gkd8jprr1,
2020/07/30,Spain,ES,,ESMRO,es,9,0,0,,0,,0,0,,,,,,,Y,Y,limesurvey-5429,b5sau5aqpakd8ky4x6,
2020/07/30,Spain,ES,,ESMRO,en,6,9,7,2,0,,,0,1,,0,,,,Y,Y,limesurvey-5944,xychlva9t1kd9azt1o,
2020/07/30,Spain,ES,,ESMRC,en,8,0,0,0,0,,0,0,0,0,0,0,0,,N,N,limesurvey-5831,j5jvqp64sekd8zoznl,
2020/07/30,Spain,ES,,ESMRO,es,2,2,2,0,0,,0,0,2,1,1,0,0,,Y,N,limesurvey-5629,ryck97orkbkd8rygbz,
2020/07/30,Spain,ES,,ESMRE,en,100,2,2,0,0,,0,0,0,0,0,0,0,,N,Y,limesurvey-5759,zj4ro69mu1kd8wo6sh,
2020/07/30,Spain,ES,,ESMRC,en,31,2,2,0,0,,0,0,2,0,0,0,0,,N,Y,limesurvey-5819,juzs1q15hnkd8z0thm,
2020/07/30,Spain,ES,,ESMRO,en,50,1,1,0,0,,0,0,,,0,0,0,,N,N,limesurvey-5453,0ennykv85okd8ldhq8,
2020/07/30,Spain,ES,,ESMRC,es,120,1,0,0,1,,0,1,5,1,,,,,Y,N,limesurvey-5712,g06rj7ss11kd8vpl0q,
2020/07/30,Spain,ES,,ESMRE,es,50,5,5,0,0,,0,0,0,0,0,0,0,,Y,N,limesurvey-5768,02epy11d8lkd8xf87b,
2020/07/30,Spain,ES,,ESMRO,en,8,0,0,0,0,,0,0,1,1,0,0,0,,N,N,limesurvey-5634,4n9lqzsr59kd8sft8i,
2020/07/30,Spain,ES,,ESMRO,es,40,4,3,0,0,,0,1,5,2,1,1,1,,N,N,limesurvey-5378,ghjchpv2dfkd8jry8z,
2020/07/30,Spain,ES,,ESMRE,en,50,5,5,0,0,,0,0,0,0,0,0,0,,Y,N,limesurvey-5771,02epy11d8lkd8xf87b,
2020/07/30,Spain,ES,,ESMRC,en,20,4,4,0,0,,0,0,6,4,0,0,0,,Y,Y,limesurvey-5948,vhkoqebsq7kd9b4nz8,
2020/07/30,Spain,ES,,ESMAR,es,10,0,0,0,0,,0,0,0,0,0,0,0,,N,N,limesurvey-5302,jqxaqcx43qkd8iy3vt,
2020/07/30,Spain,ES,,ESMRE,es,25,45,45,0,0,,0,0,5,0,3,1,0,,N,Y,limesurvey-5250,p5u5z963j6kd8ihqp1,
2020/07/30,Spain,ES,,ESMRC,en,200,0,0,0,0,,0,0,10,0,0,0,10,,Y,,limesurvey-5791,rh725f8t8bkd8y6g1b,
2020/07/30,Spain,ES,,ESMRC,es,4,0,,,,,,,,,,,,,N,N,limesurvey-5840,lovwq01480kd90ay0w,
2020/07/30,Spain,ES,,ESMRC,es,50,2,1,1,0,,1,0,0,,0,,,,Y,Y,limesurvey-5895,lf1iudb0hckd96sqdn,
2020/07/30,Spain,ES,,ESMRC,es,10,0,,,,,,,,,,,,,N,Y,limesurvey-5291,90ivm4vz8ekd8iucke,
2020/07/30,Spain,ES,,ESMRE,en,200,6,60,0,0,,0,0,6,6,2,0,0,,N,N,limesurvey-5383,ffd2aq2qfkd8jrzvt,
2020/07/30,Spain,ES,,ESMRE,es,19,0,,,,,,,,,,,,,N,Y,limesurvey-5321,dsfj2oew0mkd8j2r43,
2020/07/30,Spain,ES,,ESMRE,en,20,1,1,0,0,,0,0,15,0,0,0,0,,N,Y,limesurvey-5568,g9jrfmpe66kd8ojbrq,
2020/07/30,Spain,ES,,ESMRO,en,30,3,3,0,0,,0,0,1,1,1,1,0,,Y,N,limesurvey-5760,5g1tmdkgg2kd8wsd02,
2020/07/30,Spain,ES,,ESMRE,en,22,1,1,,0,,0,0,,,,,,,Y,Y,limesurvey-5832,pk4opjhkaskd8zugy3,
2020/07/30,Spain,ES,,ESMRO,es,10,2,2,0,0,,0,0,0,0,0,0,0,,N,N,limesurvey-5235,6565cc0wqikd8icsyt,
