ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,E7,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,C0_1.0,C0_1.1,C0_1.2,C0_1.NA,C0_2.0,C0_2.1,C0_2.2,C0_2.NA,C0_3.0,C0_3.1,C0_3.2,C0_3.NA,C0_4.0,C0_4.1,C0_4.2,C0_4.NA,C0_5.0,C0_5.1,C0_5.2,C0_5.NA,C0_6.0,C0_6.1,C0_6.2,C0_6.NA,C0a_7.0,C0a_7.1,C0a_7.NA,I6_1.1,I6_1.2,I6_1.3,I6_1.NA,I6_2.1,I6_2.2,I6_2.3,I6_2.NA,I6_3.1,I6_3.2,I6_3.3,I6_3.NA,I6_4.1,I6_4.2,I6_4.3,I6_4.NA,I6_5.1,I6_5.2,I6_5.3,I6_5.NA,I6_6.1,I6_6.2,I6_6.3,I6_6.NA,I6_7.1,I6_7.2,I6_7.3,I6_7.NA,I6_8.1,I6_8.2,I6_8.3,I6_8.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D10.1,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,D5.1,D5.2,D5.3,D5.4,D5.NA,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_rf_symp,p_rf_symp_CI,p_XGB,p_XGB_CI,p_XGB_symp,p_XGB_symp_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
CA,CAN,Canada,2021-07-01,2021-07-01,1651,28237366.9331271,1408,4062,127,3931,0,3341,3,2,5,4,1651,577,101,1519,1431,182,498,915,7,154522.863830807,6,0,2,3,4,90870.5969325011,127,1627,48526.743976381,104,89,0,0,0,2,0,2,0,0,1,1,2,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1038,526,0,87,524,1040,0,87,1268,296,0,87,946,618,0,87,1454,110,0,87,1452,112,0,87,1290,274,87,33,216,435,967,33,163,486,969,90,203,375,983,105,242,326,978,299,290,75,987,179,365,117,990,91,437,130,993,412,189,41,1009,8,24,61,113,577,868,28,34,97,53,10,46,170,62,40,77,11,47,114,44,6,812,18,33,96,140,497,867,21,37,89,618,886,61,121,179,412,878,1,0.0623456790123457,0.0117737590310001,0.00181708055723804,0.00205431346226913,0.00121138703815869,0.00167784874259425,0.00302846759539673,0.00265049749880573,0.00242277407631738,0.0023713970560221,0.00423985463355542,0.00313420506226871,0.00547228302825664,2.72100107597621e-05,0.00242277407631738,0.0023713970560221,0.00321809739370193,2.08898661054908e-05,0.00261711356652764,0.000454568937504499
CA,CAN,Canada,2021-07-02,2021-07-02,1640,28380076.5040732,1413,3809.5,194,3845,0,3457,0,0,2,5,1640,556,92,1511,1436,176,506,914,10,116782.468416632,6,3,1,5,5,51199.8999074123,196,1620,48317.9626562614,101,91,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,433,0,82,548,1010,0,82,1236,322,0,82,921,637,0,82,1433,125,0,82,1454,104,0,82,1269,289,82,37,219,433,951,37,166,482,955,76,231,376,957,95,244,345,956,289,306,74,971,170,377,124,969,96,436,135,973,422,188,43,987,9,20,68,104,579,860,11,30,80,43,10,37,180,50,35,83,14,47,126,46,5,843,14,35,84,131,516,860,8,51,82,631,868,48,131,161,437,863,1,0.0573923892701185,0.0113860727230553,0,0,0,0,0.00121951219512195,0.00168909573566302,0.00304878048780488,0.00266824804327825,0.00609756097560976,0.00376769831689749,0.00411494551115359,2.35520091789377e-05,0.00304878048780488,0.00266824804327825,0.00180407899534957,1.5612662821246e-05,0.00405646242566896,0.000566741312802641
CA,CAN,Canada,2021-07-03,2021-07-03,1664,28015650.7877228,1448,4578.5,90,3950,0,3546,4,2,4,2,1664,602,106,1524,1447,179,473,956,5,102880.417296838,3,1,1,2,4,70836.3003849878,91,1641,48944.3066166203,108,93,0,0,0,4,1,2,0,1,1,2,2,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1105,484,0,75,516,1073,0,75,1230,359,0,75,930,659,0,75,1458,131,0,75,1474,115,0,75,1311,278,75,31,227,484,922,24,174,544,922,76,243,409,936,73,305,361,925,299,355,69,941,165,420,144,935,114,455,159,936,454,227,36,947,10,11,71,105,562,905,21,31,85,54,12,48,179,60,39,72,11,46,105,47,7,847,12,33,78,143,492,906,18,32,102,592,920,57,122,166,404,915,1,0.0650306748466258,0.0119704947510242,0.00240384615384615,0.0023528928379715,0.00120192307692308,0.00166474843634836,0.00240384615384615,0.0023528928379715,0.00120192307692308,0.00166474843634836,0.00300480769230769,0.00262982169170793,0.00367224799010997,2.23982892080096e-05,0.00240384615384615,0.0023528928379715,0.00252845457425641,1.85962582598201e-05,0.00185925608698068,0.000381647567553835
CA,CAN,Canada,2021-07-04,2021-07-04,1763,27757602.1104588,1516,4354,158,4432,0,3715,3,1,2,3,1763,628,80,1636,1509,214,451,1039,9,169572.355837711,7,2,2,5,6,119887.760857226,159,1741,51926.8969040439,94,75,0,0,0,2,2,0,1,1,1,2,1,1,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,2,2,1,2,2,2,2,2,1,1,2,2,1,1,0,1,1,1,1,1,0,1,1,1,1223,443,0,97,518,1148,0,97,1284,382,0,97,912,754,0,97,1492,174,0,97,1544,122,0,97,1401,265,97,41,229,470,1023,30,168,539,1026,86,250,401,1026,94,280,367,1022,309,341,77,1036,161,437,131,1034,98,472,162,1031,453,219,46,1045,9,18,87,108,618,923,19,38,94,48,15,40,176,55,47,82,11,46,133,40,6,913,16,32,91,156,544,924,22,47,89,671,934,66,138,176,449,934,1,0.0466200466200466,0.00997490593511191,0.00170164492342598,0.00192391811501521,0.000567214974475326,0.00111140558436408,0.00113442994895065,0.00157131877013658,0.00170164492342598,0.00192391811501521,0.00510493477027794,0.00332663897794779,0.00610904195408932,2.89876521793866e-05,0.00340328984685196,0.0027185112120088,0.00431909645437469,2.43957210186327e-05,0.00306199695109487,0.000475213050096121
CA,CAN,Canada,2021-07-05,2021-07-05,1771,27661483.2316287,1500,4304.2,321,4075,0,3654,4,4,3,4,1771,607,108,1629,1561,174,462,1084,4,62178.3691048545,3,1,2,1,4,62178.3691048545,321,1748,52135.6782241635,95,85,0,0,0,4,3,1,2,1,3,2,2,2,0,4,1,2,2,3,1,1,1,1,0,2,2,0,1,2,1,2,1,1,1,0,0,2,2,0,2,3,3,4,2,2,2,2,0,2,3,1,1,2,1,2,1,1,1,0,0,2,2,0,1194,474,0,103,532,1136,0,103,1285,383,0,103,954,714,0,103,1479,189,0,103,1563,105,0,103,1412,256,103,33,285,431,1022,24,212,517,1018,95,247,405,1024,88,322,340,1021,329,335,66,1041,196,415,121,1039,101,503,131,1036,473,216,33,1049,9,18,82,112,585,965,21,40,98,40,12,46,163,51,44,100,8,47,111,47,7,936,12,38,99,148,508,966,22,51,90,633,975,54,142,179,425,971,1,0.0621761658031088,0.0113558797032566,0.00225861095426313,0.00221089704716279,0.00225861095426313,0.00221089704716279,0.00169395821569735,0.00191523472338508,0.00225861095426313,0.00221089704716279,0.00225861095426313,0.00221089704716279,0.0022478320697481,1.76483306037058e-05,0.00225861095426313,0.00221089704716279,0.0022478320697481,1.76483306037058e-05,0.00615701206800883,0.000671466682978876
CA,CAN,Canada,2021-07-06,2021-07-06,1748,28192174.5649464,1495,4894.7,106,4135,0,3613,2,1,2,3,1748,614,82,1627,1538,171,476,1046,13,197946.828291667,9,4,2,6,8,116989.021103604,111,1719,51270.7270408107,108,94,0,0,0,2,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,481,0,109,553,1086,0,109,1303,336,0,109,994,645,0,109,1501,138,0,109,1536,103,0,109,1337,302,109,30,255,457,1006,21,189,534,1004,90,252,395,1011,97,305,339,1007,318,328,87,1015,179,436,116,1017,111,480,141,1016,466,221,30,1031,12,27,71,116,589,933,20,25,95,50,17,44,190,50,41,74,17,54,112,44,4,911,15,38,102,161,499,933,19,49,113,619,948,71,164,162,409,942,1,0.0479812755997659,0.0101329453318337,0.0011441647597254,0.00158479490420327,0.0005720823798627,0.00112094008804637,0.0011441647597254,0.00158479490420327,0.0017162471395881,0.0019404135183506,0.0074370709382151,0.0040277023118437,0.00702133947970762,3.0822207977237e-05,0.0045766590389016,0.00316413909103112,0.00414969837938879,2.37295279164184e-05,0.00216497807631333,0.000402318011246845
CA,CAN,Canada,2021-07-07,2021-07-07,1747,27717819.2864098,1509,3999.5,92,4242,0,3900,4,3,4,4,1747,642,99,1603,1498,204,415,1064,11,212265.716485582,10,1,1,9,5,118771.051446242,95,1721,51330.3788465592,107,95,0,0,0,3,2,1,2,0,2,3,1,2,1,3,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,2,1,3,2,2,2,1,2,2,3,2,0,1,0,2,1,1,1,0,1,2,2,1,1106,529,0,112,548,1087,0,112,1325,310,0,112,965,670,0,112,1482,153,0,112,1504,131,0,112,1364,271,112,27,248,480,992,27,179,547,994,71,264,410,1002,70,319,358,1000,316,345,77,1009,188,441,108,1010,87,497,154,1009,445,224,54,1024,14,29,73,115,575,941,19,27,89,57,15,48,185,64,39,71,5,39,130,38,10,911,19,32,97,143,514,942,21,38,105,632,951,54,148,184,414,947,1,0.0581668625146886,0.011119701161474,0.00228963938179737,0.00224123513832665,0.00171722953634803,0.00194152327483941,0.00228963938179737,0.00224123513832665,0.00228963938179737,0.00224123513832665,0.00629650829994276,0.0037091973133732,0.00765809583691373,3.24533568733365e-05,0.00286204922724671,0.00250505814675096,0.00428500706419125,2.43171042097458e-05,0.00185075587078719,0.000371820358415879
CA,CAN,Canada,2021-07-08,2021-07-08,1733,28289541.3174505,1481,4926.123456789,224,3881,0,3637.4,2,2,3,2,1733,617,87,1597,1512,181,386,1111,11,220299.870309727,9,1,2,7,7,109278.812761941,225,1699,50674.208983326,101,89,0,0,0,3,2,1,0,2,2,1,1,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,2,1,0,0,0,1,0,1,1,0,0,1,1,1,1161,471,0,101,546,1086,0,101,1286,346,0,101,945,687,0,101,1501,131,0,101,1509,123,0,101,1329,303,101,43,247,473,970,30,188,543,972,90,258,405,980,99,303,359,972,300,362,83,988,182,431,135,985,93,500,151,989,486,193,49,1005,9,21,63,120,548,972,15,31,101,45,18,39,192,53,26,78,12,50,108,31,6,928,10,37,85,142,488,971,19,44,91,596,983,60,142,177,376,978,1,0.0516627078384798,0.0105717539005582,0.00115406809001731,0.00159850418903136,0.00115406809001731,0.00159850418903136,0.00173110213502597,0.00195719422606261,0.00115406809001731,0.00159850418903136,0.00634737449509521,0.00373906627490716,0.00778732563521042,3.2391547064816e-05,0.00403923831506059,0.00298620530494893,0.00386286972756719,2.28586055419533e-05,0.00444012850943633,0.000578876692014653
CA,CAN,Canada,2021-07-09,2021-07-09,1684,28266894.6202907,1460,3893.5,154,4043,0,3460,0,0,2,4,1684,606,104,1558,1483,170,336,1128,10,190692.203417666,6,2,1,5,8,133902.774203956,154,1675,49958.3873143443,93,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,490,0,83,488,1113,0,83,1213,388,0,83,920,681,0,83,1454,147,0,83,1466,135,0,83,1338,263,83,42,218,449,975,33,157,516,978,74,235,396,979,91,252,363,978,306,316,75,987,159,430,102,993,95,469,129,991,445,208,30,1001,11,24,66,120,573,890,16,36,93,45,12,41,177,49,41,85,15,39,114,41,4,876,13,38,96,133,513,891,16,42,91,633,902,61,133,158,431,901,1,0.062575210589651,0.0116439936027956,0,0,0,0,0.00118764845605701,0.00164498883204531,0.00237529691211401,0.00232498201000298,0.00593824228028504,0.00366954896480051,0.00674613203817521,3.01763419333502e-05,0.00475059382422803,0.00328410444727248,0.00473708824413408,2.53124212161063e-05,0.00308256547656379,0.000486104494303483
CA,CAN,Canada,2021-07-10,2021-07-10,1631,27776281.7659889,1422,4395,106,4151,0,3459,1,0,1,0,1631,534,86,1514,1426,169,310,1097,5,160256.317492253,4,1,1,3,4,73704.1381062177,106,1611,48049.5295303933,94,84,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,473,0,85,521,1025,0,85,1208,338,0,85,876,670,0,85,1390,156,0,85,1446,100,0,85,1296,250,85,50,218,426,937,39,166,494,932,91,224,377,939,106,274,317,934,299,318,65,949,191,389,105,946,115,444,129,943,437,194,36,964,8,22,64,112,566,859,16,21,93,38,12,53,207,43,40,78,13,50,98,46,7,816,14,21,94,137,504,861,13,51,80,617,870,48,139,141,433,870,1,0.05375,0.0110504580501259,0.000613120784794605,0.00120132620790045,0,0,0.000613120784794605,0.00120132620790045,0,0,0.00306560392397302,0.00268294903077382,0.00576953815641666,2.81659947515478e-05,0.00245248313917842,0.0024004403676881,0.00265349187940863,1.91312326757553e-05,0.00220605697987013,0.000419500338493965
