ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,E7,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,C0_1.0,C0_1.1,C0_1.2,C0_1.NA,C0_2.0,C0_2.1,C0_2.2,C0_2.NA,C0_3.0,C0_3.1,C0_3.2,C0_3.NA,C0_4.0,C0_4.1,C0_4.2,C0_4.NA,C0_5.0,C0_5.1,C0_5.2,C0_5.NA,C0_6.0,C0_6.1,C0_6.2,C0_6.NA,C0a_7.0,C0a_7.1,C0a_7.NA,I6_1.1,I6_1.2,I6_1.3,I6_1.NA,I6_2.1,I6_2.2,I6_2.3,I6_2.NA,I6_3.1,I6_3.2,I6_3.3,I6_3.NA,I6_4.1,I6_4.2,I6_4.3,I6_4.NA,I6_5.1,I6_5.2,I6_5.3,I6_5.NA,I6_6.1,I6_6.2,I6_6.3,I6_6.NA,I6_7.1,I6_7.2,I6_7.3,I6_7.NA,I6_8.1,I6_8.2,I6_8.3,I6_8.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D10.1,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,D5.1,D5.2,D5.3,D5.4,D5.NA,first_date,day_count,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_rf_symp,p_rf_symp_CI,p_XGB,p_XGB_CI,p_XGB_symp,p_XGB_symp_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
JP,JPN,Japan,2021-07-01,100610559.010362,4945,7905.2,241,9729,0,11899,6,6,4,4,5755,1538,534,5039,2222,3420,1117,1062,20,272513.851406301,11,9,6,5,17,244431.660621435,251,5680,76168.2817292097,255,126,0,0,0,5,0,5,0,0,5,0,6,0,0,6,1,3,0,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,3,2,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2900,2072,0,783,1550,3422,0,783,3732,1240,0,783,3358,1614,0,783,4729,243,0,783,3447,1525,0,783,4638,334,783,159,1665,633,3298,137,1603,707,3308,699,1358,365,3333,324,1639,450,3342,1655,706,54,3340,1002,1292,119,3342,553,1598,260,3344,2077,272,40,3366,46,48,332,430,1824,3075,49,202,512,162,59,185,600,385,221,301,56,189,350,445,2,2037,53,57,328,470,1771,3076,26,183,755,1684,3107,167,522,843,1121,3102,2021-07-01,5755,1,0.0958191279382738,0.00772782598576823,0.00104257167680278,0.000833780777836571,0.00104257167680278,0.000833780777836571,0.000695047784535187,0.000680897561018617,0.000695047784535187,0.000680897561018617,0.00347523892267593,0.00152041381823776,0.00270860090716953,1.0155699843007e-05,0.00295395308427454,0.00140211886207469,0.00242948317776726,9.61955674144171e-06,0.00329533493866049,0.000406999652798405
JP,JPN,Japan,2021-07-02,101487863.543916,4988,7356.52,312,9655,0,11898,8,9,9,5,5782,1563,546,5042,2268,3390,1178,1051,29,795156.715303043,4,23,2,1,20,512022.012656699,318,5706,76516.9393568434,289,148,0,0,0,8,1,7,1,0,5,1,7,1,0,6,2,1,1,1,0,2,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3,1,2,2,0,3,2,2,1,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,2828,2198,0,756,1525,3501,0,756,3780,1246,0,756,3400,1626,0,756,4783,243,0,756,3424,1602,0,756,4683,343,756,168,1678,638,3298,150,1607,713,3312,706,1375,372,3329,292,1700,469,3321,1693,705,44,3340,1077,1265,101,3339,560,1620,266,3336,2162,232,31,3357,50,59,304,471,1804,3094,57,167,507,213,43,193,664,359,227,308,52,186,381,479,3,1943,42,70,300,511,1762,3097,31,157,751,1713,3130,174,453,859,1177,3119,2021-07-02,5782,1,0.0977093772369363,0.00778504696483739,0.0013836042891733,0.000958107728289294,0.00155655482531996,0.0010161387036259,0.00155655482531996,0.0010161387036259,0.00086475268073331,0.000757647415254372,0.0050155655482532,0.00182086247532654,0.00783499314633772,1.71534823195542e-05,0.00345901072293324,0.00151332631779461,0.00504515510305461,1.37841497519414e-05,0.00415594249682386,0.000455826667069149
JP,JPN,Japan,2021-07-03,101406794.458939,5502,8304.9,250,10867.2,0,13284,16,13,13,13,6358,1645,606,5544,2515,3727,1285,1193,22,279932.252595521,9,12,4,5,17,188042.746754255,256,6255,83878.9792634167,301,140,0,0,0,10,2,8,1,1,7,2,13,1,1,13,3,4,1,5,2,4,3,2,0,3,2,1,0,0,1,1,0,1,0,0,0,1,0,0,8,8,3,11,6,8,8,5,3,8,7,6,0,0,1,1,0,1,0,0,0,1,0,0,3471,2086,0,801,1486,4071,0,801,3983,1574,0,801,3828,1729,0,801,5220,337,0,801,3983,1574,0,801,5166,391,801,162,1863,704,3629,153,1797,778,3630,774,1514,417,3653,310,1907,491,3650,1797,853,52,3656,1172,1416,114,3656,588,1854,258,3658,2333,314,31,3680,54,57,346,522,2014,3365,58,156,578,203,36,199,749,426,244,370,69,228,410,597,8,2027,46,84,347,593,1922,3366,42,199,864,1860,3393,207,557,939,1271,3384,2021-07-03,6358,1,0.0985365853658537,0.00744874900194727,0.00251651462724127,0.00123151701292737,0.00204466813463353,0.00111033695621981,0.00204466813463353,0.00111033695621981,0.00204466813463353,0.00111033695621981,0.00346020761245675,0.00144339843591125,0.00276048813187632,1.02119162550602e-05,0.00267379679144385,0.00126931859675344,0.00185434070525123,8.37348585158873e-06,0.00305201615766029,0.000373294152175284
JP,JPN,Japan,2021-07-04,100731318.725157,5104,7481.7,256,10392.1,0,12153,6,4,8,4,5914,1541,552,5166,2410,3403,1265,1098,16,347934.363214565,8,7,4,4,12,262215.491012076,264,5835,78246.8175862568,258,127,0,0,0,7,2,5,1,1,3,0,6,0,0,4,1,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3407,1704,0,803,1346,3765,0,803,3592,1519,0,803,3503,1608,0,803,4733,378,0,803,3696,1415,0,803,4742,369,803,167,1762,638,3347,148,1677,722,3367,704,1433,380,3397,295,1740,483,3396,1721,712,65,3416,1058,1344,98,3414,569,1677,256,3412,2177,262,37,3438,46,57,330,458,1847,3176,64,200,538,192,52,172,634,397,237,315,61,166,379,464,2,2041,36,66,339,537,1758,3178,46,171,761,1721,3215,183,507,871,1146,3207,2021-07-04,5914,1,0.0965372507869884,0.00765470757198918,0.00101454176530267,0.000811375667170085,0.000676361176868448,0.000662597582229221,0.0013527223537369,0.000936737325392334,0.000676361176868448,0.000662597582229221,0.00270544470747379,0.00132384910503087,0.00345408327437761,1.14572632039689e-05,0.00202908353060534,0.0011468756612735,0.0026031178220502,9.95054222946139e-06,0.00337393913444435,0.000406302496632007
JP,JPN,Japan,2021-07-05,101739656.121967,4913,7787.5,334,9975,0,11845,8,6,5,5,5721,1539,561,4985,2487,3112,1320,1132,20,290122.342593923,11,9,6,5,13,144564.816976999,342,5645,75698.9349227797,263,145,0,0,0,7,4,3,3,1,4,3,5,2,1,6,2,1,2,2,2,1,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,3,3,3,4,3,2,3,3,1,1,3,1,1,0,1,1,1,0,1,1,1,0,0,0,2996,1991,0,734,1518,3469,0,734,3666,1321,0,734,3395,1592,0,734,4705,282,0,734,3449,1538,0,734,4649,338,734,128,1666,622,3305,155,1543,700,3323,672,1342,374,3333,290,1644,453,3334,1615,703,55,3348,1004,1264,111,3342,529,1597,252,3343,2042,284,34,3361,43,38,330,512,1770,3028,56,171,540,171,47,188,642,368,221,309,52,182,352,412,3,2007,41,69,341,523,1720,3027,26,164,779,1694,3058,171,511,905,1085,3049,2021-07-05,5721,1,0.101153984853949,0.00793582907257642,0.00139835693060654,0.00096831637214036,0.0010487676979549,0.000838733350007332,0.000873973081629086,0.000765722276086241,0.000873973081629086,0.000765722276086241,0.00349589232651634,0.00152943381400545,0.00285161512877652,1.03616354470937e-05,0.00227233001223562,0.0012338257443125,0.00142092889328908,7.31948223034331e-06,0.00451789711901328,0.000477736147729721
JP,JPN,Japan,2021-07-06,101175635.390445,5074,7056.534,171,10577,0,12560,6,3,6,8,5890,1535,515,5180,2619,3157,1318,1262,22,448182.120165241,11,9,4,6,16,264081.412671398,175,5799,77764.0608710717,252,133,0,0,0,4,0,4,0,0,1,0,6,0,0,3,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,1,1,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2917,2158,1,814,1448,3627,1,814,3805,1270,1,814,3449,1626,1,814,4783,292,1,814,3475,1600,1,814,4729,346,815,180,1627,631,3452,145,1595,689,3461,694,1340,376,3480,297,1659,448,3486,1692,661,45,3492,1035,1264,103,3488,560,1593,242,3495,2077,268,26,3519,42,57,307,461,1973,3050,74,198,510,176,53,190,672,394,222,300,57,177,382,440,4,2041,31,63,345,532,1871,3048,23,165,795,1825,3082,177,512,911,1215,3075,2021-07-06,5890,1,0.0904302019315189,0.00744862298409461,0.00101867572156197,0.000814680096301612,0.000509337860780985,0.000576212657543159,0.00101867572156197,0.000814680096301612,0.00135823429541596,0.000940551656020899,0.00373514431239389,0.00155787117541972,0.00442974356855451,1.29400326016273e-05,0.00271646859083192,0.00132923605019192,0.00261012853195619,9.94199509703197e-06,0.00225039688050936,0.000333041969123756
JP,JPN,Japan,2021-07-07,100041619.589636,5075,7078.4,295,9971.1,0,12025,14,11,8,9,5931,1615,517,5241,2607,3184,1306,1270,24,558965.581796988,12,10,4,8,19,471511.041629838,301,5851,78461.3761263391,269,145,0,0,0,11,2,9,1,1,9,2,12,1,1,12,2,3,2,8,0,4,1,2,1,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,10,1,5,3,3,1,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,3019,2126,0,786,1561,3584,0,786,3874,1271,0,786,3488,1657,0,786,4863,282,0,786,3592,1553,0,786,4783,362,786,172,1757,574,3428,151,1649,684,3447,734,1384,355,3458,301,1752,419,3459,1748,676,40,3467,1064,1296,103,3468,577,1637,241,3476,2133,270,39,3489,38,63,383,520,1774,3153,64,195,578,192,50,176,707,407,224,271,38,173,361,444,2,2049,36,87,368,569,1712,3159,44,172,764,1757,3194,201,518,894,1131,3187,2021-07-07,5931,1,0.0897881208753039,0.00738402148390947,0.00236047883999326,0.00123501151658803,0.00185466194570899,0.00109499818901683,0.00134884505142472,0.000934054172445179,0.00151745068285281,0.000990630422674644,0.00404653515427415,0.00161564265754633,0.0055873303939883,1.46064015243805e-05,0.0032035069971337,0.00143813686192356,0.00471314882309927,1.34210793477978e-05,0.00383628244698803,0.000432554443525193
JP,JPN,Japan,2021-07-08,100622587.544257,5121,8279.5,225,10273,0,12322.6,11,10,10,8,5981,1588,571,5200,2775,3081,1461,1275,28,788402.981135608,11,14,4,7,23,735591.446918455,226,5901,79131.8715640962,269,146,0,0,0,11,2,8,0,2,8,1,9,0,1,9,4,6,2,5,5,4,2,1,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,5,5,4,2,1,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2952,2184,1,844,1581,3555,1,844,3857,1279,1,844,3445,1691,1,844,4847,289,1,844,3540,1596,1,844,4768,368,845,177,1696,596,3512,153,1625,688,3515,747,1347,345,3542,325,1671,438,3547,1682,691,57,3551,1116,1227,88,3550,556,1614,256,3555,2127,256,30,3568,59,52,341,492,1914,3123,60,161,545,178,51,191,722,367,246,299,50,225,365,431,3,2087,51,75,354,527,1850,3124,35,200,792,1799,3155,223,507,919,1185,3147,2021-07-08,5981,1,0.0989429908161497,0.00770355531770474,0.00183915733154991,0.00108585264993505,0.00167196121049992,0.00103540658572312,0.00167196121049992,0.00103540658572312,0.00133756896839993,0.000926250889971202,0.00468149138939977,0.00172995315986141,0.00783524852994703,1.72273562873535e-05,0.00384551078414981,0.00156856151339509,0.0073104008242177,1.66447655043369e-05,0.00285599209942787,0.000371817490236952
JP,JPN,Japan,2021-07-09,100114153.846865,5209,7413.9,265,10498,0,12479,11,9,9,8,6052,1618,604,5284,2916,3015,1477,1393,16,417535.783398413,6,8,3,3,12,282480.756014654,271,5963,79963.2859069151,292,169,0,0,0,10,1,9,0,0,6,1,10,0,0,7,3,5,2,3,3,2,2,1,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,3,4,3,2,1,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2965,2312,0,775,1566,3711,0,775,3947,1330,0,775,3510,1767,0,775,5005,272,0,775,3624,1653,0,775,4934,343,775,137,1779,664,3472,156,1713,698,3485,745,1391,412,3504,306,1765,474,3507,1777,706,51,3518,1145,1290,108,3509,562,1716,261,3513,2214,262,32,3544,33,41,345,516,1891,3226,56,169,523,231,40,219,705,417,224,333,49,200,399,495,2,1990,31,65,342,558,1830,3226,31,181,810,1765,3265,152,525,909,1212,3254,2021-07-09,6052,1,0.10258152173913,0.0077499029290002,0.00181758096497026,0.00107312539518657,0.00148711169861203,0.000970839110861125,0.00148711169861203,0.000970839110861125,0.00132187706543291,0.00091539162207558,0.00264375413086583,0.00129370220651169,0.00417059693714315,1.26238531261826e-05,0.00198281559814937,0.00112075014655345,0.00282158661048804,1.03904289642535e-05,0.00338905532615893,0.000402814347046457
JP,JPN,Japan,2021-07-10,99570590.1196885,5519,7090.1,290,10954,0,13607,4,3,7,4,6427,1669,638,5560,3120,3175,1657,1429,28,557129.956834335,12,15,2,9,19,334111.729496851,304,6332,84911.5422375627,237,126,0,0,0,4,0,4,0,0,3,0,4,0,0,3,1,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3456,2131,0,840,1466,4121,0,840,3903,1684,0,840,3812,1775,0,840,5233,354,0,840,3890,1697,0,840,5192,395,840,171,1924,666,3666,180,1844,725,3678,785,1497,450,3695,329,1893,510,3695,1942,728,52,3705,1231,1371,111,3714,623,1818,270,3716,2361,303,28,3735,43,42,365,519,2003,3455,59,139,606,223,54,238,711,429,243,388,72,197,402,596,7,2063,40,59,366,536,1971,3455,37,178,818,1917,3477,185,544,935,1291,3472,2021-07-10,6427,1,0.102936431106809,0.00756516610920605,0.000622374358176443,0.0006097258359882,0.000466780768632332,0.000528079166961383,0.00108915512680878,0.000806403075050042,0.000622374358176443,0.0006097258359882,0.0043566205072351,0.00161016622244454,0.00559532645296808,1.46513230358242e-05,0.0029562782013381,0.00132731405494893,0.00335552625624929,1.13588143833159e-05,0.00358019642546922,0.000401734684587185
