ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
LS,LSO,Lesotho,2021-04-06,2020-12-02,100,9,468088.755858179,4,152386.384374167,108,79,27,3,3689648.16166503,47,12,80,8,23,74,3,10,84,6,21,73,6,12,82,6,20,75,5,13,79,8,10,83,7,9,85,6,9,83,8,14,79,7,19,76,5,18,71,11,6,11,83,48,35,17,27,19,54,3,21,3,73,32,36,32,48,23,29,30,39,31,28,42,30,14,55,31,25,44,31,23,46,31,13,5,2,3,77,10,57,33,48,7,5,3,4,33,27,13,14,11,35,8,3,9,9,31,40,5,4,12,14,27,38,27,16,7,11,39,19,8,10,24,39,24,23,1,1,51,4,17,10,8,7,3,1,50,16,14,16,54,21.875,39.3730921393708,168.75,262.797450520358,8.09876543209877,6.99776388134593,0.09,0.0560905943465434,0.126865417879559,0.000339600120514536,0.04,0.0384072934108425,0.0413010611573867,0.000203038007183661,0.0192547691210554,0.00359627282430162
LS,LSO,Lesotho,2021-04-09,2020-12-04,100,9,468088.755858179,4,152386.384374167,108,79,27,3,3663731.98950366,46,12,80,8,23,74,3,9,85,6,20,74,6,12,82,6,19,76,5,13,79,8,9,84,7,9,85,6,9,83,8,14,79,7,19,76,5,18,71,11,6,11,83,49,34,17,27,20,53,3,21,3,73,31,37,32,48,23,29,29,40,31,28,42,30,14,55,31,25,44,31,23,46,31,13,5,2,3,77,9,58,33,47,8,5,3,4,33,26,13,15,11,35,8,3,8,9,32,40,5,3,12,14,28,38,27,16,7,11,39,18,8,10,25,39,24,23,1,1,51,5,16,10,8,7,3,1,50,16,14,16,54,21.625,39.4657836223111,168.75,262.797450520358,8.04938271604938,6.99990201773479,0.09,0.0560905943465434,0.127762826865945,0.000341826552337813,0.04,0.0384072934108425,0.0415932128252676,0.000204443080989316,0.0192547691210554,0.00359627282430162
LS,LSO,Lesotho,2021-04-10,2020-12-08,100,9,468088.755858179,4,152386.384374167,108,78,28,3,3756749.50031663,45,12,79,9,23,73,4,9,84,7,20,73,7,12,81,7,19,75,6,13,78,9,9,83,8,9,84,7,9,82,9,14,78,8,20,75,5,18,70,12,6,11,83,49,33,18,28,19,53,3,22,3,72,31,36,33,48,22,30,30,38,32,28,41,31,14,54,32,25,43,32,24,44,32,13,6,2,3,76,9,57,34,46,8,5,3,4,34,25,13,15,11,36,8,3,7,9,32,41,5,3,12,13,28,39,27,16,7,10,40,18,7,10,25,40,24,23,1,0,52,5,15,10,7,8,3,1,51,16,14,16,54,22.6166995397765,40.9110739843974,168.75,262.797450520358,8.41942148760331,7.16321394503401,0.09,0.0560905943465434,0.12459940590096,0.000333966862584595,0.04,0.0384072934108425,0.0405633605225271,0.00019948814221246,0.019501625135428,0.00364192045938971
LS,LSO,Lesotho,2021-04-12,2020-12-10,100,9,468088.755858179,4,152386.384374167,108,78,28,3,3774854.51867035,45,12,80,8,22,74,4,9,85,6,20,74,6,12,82,6,19,76,5,13,79,8,9,84,7,9,85,6,9,83,8,14,79,7,20,76,4,18,70,12,6,11,83,49,34,17,28,19,53,3,22,3,72,30,37,33,48,22,30,29,39,32,27,42,31,14,54,32,24,44,32,24,45,31,13,6,2,3,76,10,57,33,47,8,5,3,4,33,26,13,15,11,35,8,3,7,9,33,40,5,3,12,13,29,38,27,16,7,10,40,18,7,10,25,40,24,23,1,0,52,5,15,10,7,8,3,1,51,16,14,16,54,22.6166995397765,40.9110739843974,168.75,262.797450520358,8.41942148760331,7.16321394503401,0.09,0.0560905943465434,0.124001800213233,0.000332478513026918,0.04,0.0384072934108425,0.040368809876107,0.000198551481623846,0.019501625135428,0.00364192045938971
LS,LSO,Lesotho,2021-04-15,2020-12-11,100,8,382190.168022234,3,66487.7965382214,108,78,28,3,3767545.28132463,45,11,81,8,21,75,4,8,86,6,19,75,6,12,82,6,18,77,5,12,80,8,8,85,7,8,86,6,9,83,8,13,80,7,20,76,4,17,70,13,6,10,84,49,33,18,28,19,53,3,22,3,72,30,36,34,48,21,31,28,39,33,26,42,32,14,53,33,24,43,33,24,45,31,13,6,2,3,76,10,57,33,47,8,5,3,4,33,26,13,15,11,35,8,3,7,9,33,40,5,3,12,13,29,38,27,16,7,10,40,18,7,10,25,40,24,23,1,0,52,5,15,10,7,8,3,1,51,16,14,16,54,23.4764542936288,42.5183399337361,168.75,262.797450520358,8.41942148760331,7.16321394503401,0.08,0.0531724899927667,0.101442753698732,0.000304861260510432,0.03,0.0334344809563718,0.0176475109317983,0.000132951810377911,0.019501625135428,0.00364192045938971
LS,LSO,Lesotho,2021-04-17,2020-12-14,100,8,382190.168022234,3,66487.7965382214,108,77,28,3,3816464.79990653,45,11,81,8,21,75,4,8,86,6,19,75,6,12,82,6,18,77,5,12,80,8,8,85,7,9,85,6,9,82,9,13,80,7,20,76,4,17,69,14,6,10,84,49,32,19,28,19,53,3,22,3,72,30,36,34,47,21,32,27,39,34,25,42,33,14,53,33,23,43,34,23,45,32,13,5,2,3,77,10,56,34,47,8,4,3,4,34,26,13,15,10,36,8,3,7,9,32,41,5,3,12,13,28,39,26,16,7,10,41,18,6,10,25,41,24,23,1,0,52,5,15,10,7,8,3,1,51,16,14,16,54,23.4764542936288,42.5183399337361,168.75,262.797450520358,8.41942148760331,7.16321394503401,0.08,0.0531724899927667,0.100142458547395,0.00030117121809644,0.03,0.0334344809563718,0.0174213048001516,0.000131262741851697,0.0197548929943296,0.00368874162475093
LS,LSO,Lesotho,2021-04-18,2020-12-16,100,8,382190.168022234,3,66487.7965382214,115,78,28,3,3839753.35587004,44,11,81,8,22,74,4,9,85,6,20,74,6,13,81,6,18,77,5,13,79,8,8,85,7,9,85,6,10,81,9,14,79,7,20,76,4,18,69,13,7,10,83,48,33,19,28,18,54,3,22,3,72,31,35,34,47,21,32,28,38,34,27,40,33,16,51,33,25,41,34,24,44,32,12,5,2,5,76,9,57,34,45,8,4,5,4,34,25,12,15,12,36,9,3,6,9,32,41,4,4,13,12,28,39,25,16,6,11,42,18,6,9,25,42,24,22,1,0,53,5,15,11,6,7,3,1,52,16,14,15,55,26.2465373961219,45.5041997363513,141.975308641975,219.832833359284,8.70740941049216,7.39069173755611,0.08,0.0531724899927667,0.0995350827515937,0.000299445586306576,0.03,0.0334344809563718,0.0173156425364087,0.000130473632594801,0.0207656193571687,0.00375566966486518
LS,LSO,Lesotho,2021-04-21,2020-12-16,100,9,409686.718870155,4,93984.347386142,115,78,28,3,3832992.01461696,44,11,81,8,23,73,4,9,84,7,21,73,6,13,80,7,18,76,6,13,78,9,8,84,8,9,84,7,11,80,9,14,78,8,20,75,5,18,69,13,7,10,83,48,33,19,28,18,54,3,22,3,72,31,35,34,47,21,32,28,38,34,27,40,33,16,51,33,25,41,34,24,44,32,12,5,2,5,76,9,57,34,45,8,4,5,4,34,25,12,15,12,36,9,3,6,9,32,41,4,4,13,12,28,39,25,16,6,11,42,18,6,9,25,42,24,22,1,0,53,5,15,11,6,7,3,1,52,16,14,15,55,26.2465373961219,45.5041997363513,141.975308641975,219.832833359284,8.70740941049216,7.39069173755611,0.09,0.0560905943465434,0.10688431317045,0.000309307163233994,0.04,0.0384072934108425,0.024519839078124,0.000154827165214537,0.0207656193571687,0.00375566966486518
LS,LSO,Lesotho,2021-04-22,2020-12-17,100,9,409686.718870155,4,93984.347386142,115,78,27,2,3907904.6266944,45,11,82,7,23,73,4,9,85,6,21,74,5,13,81,6,18,77,5,13,79,8,8,85,7,9,85,6,11,81,8,14,79,7,20,75,5,18,69,13,7,10,83,47,34,19,27,18,55,2,22,3,73,31,35,34,47,21,32,29,38,33,28,39,33,16,51,33,25,42,33,24,44,32,13,5,2,4,76,9,58,33,45,9,4,5,4,33,25,12,16,12,35,9,3,6,9,33,40,4,4,13,12,29,38,25,16,6,12,41,18,7,9,25,41,25,22,1,0,52,5,16,11,6,7,3,1,51,16,14,16,54,26.2465373961219,45.5041997363513,141.975308641975,219.832833359284,8.41942148760331,7.16321394503401,0.09,0.0560905943465434,0.104835393390012,0.000303725691031185,0.04,0.0384072934108425,0.0240498058074772,0.000151895786639616,0.0207656193571687,0.00375566966486518
LS,LSO,Lesotho,2021-04-28,2020-12-21,100,9,409686.718870155,4,93984.347386142,115,77,27,2,3933048.5490543,45,11,82,7,23,73,4,9,85,6,21,74,5,13,81,6,17,78,5,13,79,8,8,85,7,9,85,6,11,81,8,15,78,7,19,76,5,18,68,14,7,10,83,47,33,20,27,18,55,2,22,3,73,31,34,35,46,21,33,28,38,34,27,39,34,15,51,34,24,42,34,24,43,33,13,5,2,4,76,9,57,34,44,9,4,5,4,34,25,12,16,11,36,9,3,6,9,33,40,4,4,13,12,29,38,25,16,6,12,41,18,7,9,25,41,25,22,1,0,52,5,16,11,6,7,3,1,51,16,14,16,54,27.4653031409788,47.2716082682254,141.975308641975,219.832833359284,8.41942148760331,7.16321394503401,0.09,0.0560905943465434,0.104165182239783,0.000301896929022794,0.04,0.0384072934108425,0.0238960557475805,0.000150936606861822,0.0210353027254436,0.00380392068317057
LS,LSO,Lesotho,2021-05-09,2020-12-21,100,9,409686.718870155,4,93984.347386142,115,77,27,2,3946905.90215365,46,11,82,7,23,73,4,9,85,6,21,74,5,13,81,6,17,78,5,13,79,8,8,85,7,9,85,6,11,81,8,15,78,7,19,76,5,18,68,14,7,10,83,47,33,20,27,18,55,2,22,3,73,31,34,35,47,20,33,29,37,34,27,39,34,15,51,34,23,43,34,24,43,33,13,5,2,4,76,9,57,34,44,10,4,5,3,34,25,12,16,11,36,9,3,6,9,33,40,4,4,13,12,29,38,25,16,6,12,41,18,7,9,25,41,26,22,1,0,51,5,16,11,6,7,4,1,50,17,14,16,53,27.4653031409788,47.2716082682254,141.975308641975,219.832833359284,8.41942148760331,7.16321394503401,0.09,0.0560905943465434,0.103799464447989,0.000300898387713839,0.04,0.0384072934108425,0.0238121581096877,0.000150413141069401,0.0210353027254436,0.00380392068317057
LS,LSO,Lesotho,2021-05-12,2020-12-22,100,8,351905.605107912,4,93984.347386142,115,77,27,2,3930015.99360631,46,10,83,7,22,74,4,9,85,6,21,74,5,13,81,6,17,78,5,12,80,8,7,86,7,9,85,6,11,81,8,15,78,7,18,77,5,18,68,14,7,10,83,47,33,20,27,18,55,2,22,3,73,31,33,36,46,20,34,29,36,35,27,38,35,15,50,35,23,42,35,24,42,34,13,5,2,4,76,8,57,35,43,10,4,5,3,35,25,12,16,10,37,8,3,6,9,33,41,3,4,13,12,29,39,24,16,6,12,42,17,7,9,25,42,26,22,1,0,51,5,16,11,6,7,4,1,50,17,14,16,53,26.6975308641975,48.360591555508,141.975308641975,219.832833359284,8.41942148760331,7.16321394503401,0.08,0.0531724899927667,0.0895430465627678,0.00028229070212453,0.04,0.0384072934108425,0.0239144948873093,0.000151051648760218,0.0210353027254436,0.00380392068317057
LS,LSO,Lesotho,2021-05-19,2020-12-23,100,8,351905.605107912,4,93984.347386142,115,77,26,2,3971993.85369229,46,10,83,7,22,74,4,9,85,6,20,75,5,13,81,6,17,78,5,12,80,8,7,86,7,9,85,6,11,81,8,15,78,7,17,78,5,18,68,14,7,10,83,46,34,20,26,18,56,2,22,2,74,30,33,37,45,20,35,28,36,36,26,38,36,14,50,36,22,42,36,23,42,35,13,5,2,3,77,8,56,36,43,9,4,5,3,36,25,12,16,9,38,8,3,5,9,33,42,3,4,12,12,29,40,24,16,5,12,43,16,7,9,25,43,26,22,1,0,51,5,16,11,6,7,4,1,50,17,14,16,53,28.0816326530612,50.3265958451084,141.975308641975,219.832833359284,8.41942148760331,7.16321394503401,0.08,0.0531724899927667,0.0885967144135399,0.000279452442800501,0.04,0.0384072934108425,0.0236617554930947,0.000149474613473319,0.0210353027254436,0.00380392068317057
