ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.-77,B1_1.-99,B1_1.1,B1_1.2,B1_2.-77,B1_2.-99,B1_2.1,B1_2.2,B1_3.-77,B1_3.-99,B1_3.1,B1_3.2,B1_4.-77,B1_4.-99,B1_4.1,B1_4.2,B1_5.-77,B1_5.-99,B1_5.1,B1_5.2,B1_6.-77,B1_6.-99,B1_6.1,B1_6.2,B1_7.-77,B1_7.-99,B1_7.1,B1_7.2,B1_8.-77,B1_8.-99,B1_8.1,B1_8.2,B1_9.-77,B1_9.-99,B1_9.1,B1_9.2,B1_10.-77,B1_10.-99,B1_10.1,B1_10.2,B1_11.-77,B1_11.-99,B1_11.1,B1_11.2,B1_12.-77,B1_12.-99,B1_12.1,B1_12.2,B3.-77,B3.-99,B3.1,B3.2,B5.-77,B5.-99,B5.1,B5.2,B6.-77,B6.-99,B6.1,B6.2,B7.-77,B7.-99,B7.1,B7.2,B8.-77,B8.-99,B8.1,B8.2,B8.3,C0_1.-77,C0_1.-99,C0_1.1,C0_1.2,C0_2.-77,C0_2.-99,C0_2.1,C0_2.2,C0_3.-77,C0_3.-99,C0_3.1,C0_3.2,C0_4.-77,C0_4.-99,C0_4.1,C0_4.2,C0_5.-77,C0_5.-99,C0_5.1,C0_5.2,C0_6.-77,C0_6.-99,C0_6.1,C0_6.2,C1_m.-77,C1_m.-99,C1_m.1,C1_m.2,C2.-77,C2.-99,C2.1,C2.2,C2.3,C2.4,C3.-77,C3.-99,C3.1,C3.2,C5.-77,C5.-99,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6.-77,C6.-99,C6.1,C6.2,C6.3,C6.4,D1.-77,D1.-99,D1.1,D1.2,D1.3,D1.4,D1.5,D2.-77,D2.-99,D2.1,D2.2,D2.3,D2.4,D2.5,D3.-77,D3.-99,D3.1,D3.2,D3.3,D3.4,D4.-77,D4.-99,D4.1,D4.2,D4.3,D4.4,E3.-77,E3.-99,E3.1,E3.2,E3.3,E3.4,E4.-77,E4.-99,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2.-77,E2.-99,E2.1,E2.2,E2.3,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd
PT,PRT,Portugal,Lisboa,2021-01-01,2021-01-01,300,0,0,0,0,31,286,29,2,1220231.0234924273,192,0,0,0,300,0,0,23,277,1,0,2,297,2,0,17,281,0,0,44,256,2,0,12,286,0,0,15,285,1,0,2,297,1,0,6,293,0,0,2,298,1,0,6,293,1,0,30,269,1,13,21,265,0,279,7,14,6,14,104,176,0,196,29,75,0,271,2,27,0,3,43,65,189,1,43,186,70,2,43,135,120,1,43,132,124,1,43,6,250,1,43,31,225,1,45,119,135,0,181,81,22,7,9,2,52,44,202,0,52,203,33,6,1,0,5,1,52,43,62,87,55,3,62,1,4,27,51,152,2,62,3,4,27,57,145,2,63,107,95,24,9,0,63,22,30,66,119,5,103,86,104,0,2,2,103,9,37,40,42,37,22,8,10,107,122,43,18,2.8941176470588235,2.4689670551321115,1.5555555555555556,0.7838233761296739,2.5136612021857925,1.0785517533180131
PT,PRT,Portugal,Porto,2021-01-01,2021-01-01,256,0,0,0,0,29,245,19,2,1225324.967515328,162,0,0,1,255,1,0,16,239,0,0,5,251,0,0,28,228,0,0,41,215,0,0,16,240,0,0,8,248,0,0,3,253,0,0,2,254,0,0,1,255,0,0,5,251,0,0,25,231,1,10,17,228,0,240,6,10,7,12,82,155,1,174,19,62,0,237,2,17,0,2,33,62,159,1,33,166,56,1,33,94,128,1,33,109,113,3,33,11,209,3,33,23,197,1,36,107,112,1,149,72,23,9,2,2,38,35,181,0,38,193,22,1,1,0,1,0,38,34,43,79,62,4,48,2,8,32,56,106,0,48,3,11,36,42,116,2,50,89,84,27,4,0,50,11,31,53,111,2,88,76,90,0,0,0,88,17,20,42,38,35,11,5,8,94,117,24,13,2.7901234567901234,2.380735439852127,2,1.4142135623730951,2.5294117647058822,1.0885699426880382
PT,PRT,Portugal,Setúbal,2021-01-01,2021-01-01,121,0,0,0,0,20,117,5,2,722185.3305691541,78,0,0,0,121,0,0,9,112,0,0,1,120,0,0,12,109,0,0,16,105,0,0,6,115,0,0,5,116,0,0,2,119,0,0,4,117,0,0,1,120,0,0,4,117,0,0,19,102,3,1,8,109,0,113,1,7,2,1,44,74,0,77,5,39,0,116,2,3,0,0,7,20,94,0,7,75,39,0,7,53,61,0,7,62,52,0,7,2,112,0,7,13,101,2,7,54,58,0,67,35,14,3,2,1,11,17,92,0,11,88,16,2,0,0,4,0,11,21,24,39,26,1,17,0,2,19,22,60,2,17,1,5,19,24,53,2,18,51,35,10,5,0,18,6,16,34,47,4,40,32,45,0,0,0,40,2,8,23,21,12,14,1,1,42,41,28,9,2.6458333333333335,1.9731127080998814,2.5,1.3093073414159542,2.3896103896103895,1.0020484828569418
PT,PRT,Portugal,Aveiro,2021-01-02,2021-01-02,102,0,0,0,0,25,97,7,3,485774.4315678923,61,0,0,0,102,0,0,10,92,0,0,2,100,0,0,6,96,0,0,19,83,0,0,8,94,0,0,3,99,0,0,1,101,0,0,3,99,0,0,2,100,0,0,3,99,0,0,9,93,1,4,9,88,0,93,2,7,1,5,36,60,1,66,7,28,0,95,3,4,0,0,6,21,75,0,6,43,53,1,6,30,65,1,6,51,44,1,6,3,92,1,6,3,92,1,8,43,50,0,59,34,6,1,2,1,10,13,78,0,10,74,13,1,0,0,4,0,10,10,25,39,18,3,15,0,3,20,13,48,2,15,0,7,16,17,45,0,18,43,32,6,3,1,18,4,14,30,35,1,39,26,36,0,0,1,39,12,10,12,16,10,2,0,2,41,26,19,14,2.973684210526316,2.1496302900890374,2.7777777777777777,1.5634719199411433,2.2033898305084745,1.1563864796164065
PT,PRT,Portugal,Braga,2021-01-02,2021-01-02,113,0,0,0,0,14,110,9,1,495495.98509388027,75,0,0,0,113,0,0,12,101,0,0,3,110,0,0,6,107,0,0,14,99,0,0,6,107,0,0,7,106,0,0,3,110,0,0,1,112,1,0,1,111,0,0,2,111,1,0,11,101,0,3,7,103,0,106,3,4,2,4,51,56,0,62,9,42,0,104,1,7,1,0,11,19,83,0,11,44,58,0,11,25,77,0,11,50,52,0,11,2,100,0,11,3,99,1,12,44,56,0,69,34,9,0,1,1,13,14,85,0,13,86,11,1,0,0,2,1,13,15,30,36,18,0,20,0,3,17,23,50,1,20,0,4,17,23,48,2,20,51,31,7,2,1,20,6,10,32,44,2,31,30,50,0,0,0,31,8,18,24,16,12,4,0,4,35,31,18,25,2.323529411764706,2.0848746526567377,2,0.816496580927726,2.788732394366197,1.1453694719889234
PT,PRT,Portugal,Coimbra,2021-01-02,2021-01-01,100,0,0,0,0,13,96,15,3,445750.6144521493,59,0,0,0,100,0,0,6,94,0,0,0,100,0,0,10,90,0,0,14,86,0,0,8,92,0,0,4,96,0,0,1,99,0,0,3,97,0,0,1,99,0,0,0,100,0,0,16,84,0,4,4,92,0,96,1,3,1,4,42,53,0,58,15,27,0,85,3,12,0,1,14,13,72,0,14,51,35,1,14,25,60,0,14,40,46,1,14,2,83,1,14,6,79,0,15,35,50,0,65,29,3,3,0,0,15,9,76,0,15,73,11,0,0,0,1,0,15,22,14,33,16,1,19,0,4,9,19,48,0,19,0,5,8,28,40,1,20,40,25,13,1,0,20,6,12,31,31,3,40,24,33,0,0,0,40,6,10,20,9,8,6,1,2,41,29,14,14,2.515151515151515,2.0481884087104287,3.25,0.9574271077563381,2.392857142857143,1.038855514121564
PT,PRT,Portugal,Faro,2021-01-02,2021-01-01,100,0,0,0,0,18,97,6,2,378141.3294722562,68,0,0,0,100,0,0,8,92,0,0,1,99,0,0,2,98,0,0,9,91,0,0,2,98,0,0,3,97,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,7,93,1,2,10,87,0,90,6,4,2,2,38,58,0,62,6,32,0,94,2,4,0,0,8,16,76,1,8,58,33,1,8,34,57,2,8,39,51,2,8,3,87,2,8,2,88,0,9,27,64,0,73,23,2,1,1,0,11,12,77,0,11,63,19,3,1,1,2,1,11,18,19,34,17,2,14,0,1,11,22,50,0,14,0,2,12,21,51,1,14,40,30,10,5,0,14,6,14,26,40,0,30,31,38,0,1,0,30,3,10,13,11,23,8,2,0,32,43,10,15,3.0833333333333335,3.4755877409335447,2.142857142857143,1.4638501094227998,2.3181818181818183,1.083570890217098
PT,PRT,Portugal,Leiria,2021-01-02,2021-01-01,100,0,0,0,0,9,91,4,1,444975.9343239682,60,0,0,0,100,0,0,6,94,0,0,2,98,0,0,7,93,0,0,17,83,0,0,10,90,0,0,8,92,0,0,6,94,0,0,4,96,0,0,1,99,0,0,2,98,0,0,17,83,0,9,6,85,0,94,1,5,1,10,26,63,1,74,4,21,0,96,1,3,0,0,15,12,73,0,15,44,41,0,15,20,65,0,15,32,53,2,15,0,83,1,15,0,84,0,15,31,54,0,69,26,5,0,0,0,22,9,69,0,22,68,5,0,0,0,5,0,22,18,21,26,13,0,23,1,2,13,19,42,0,23,2,3,12,14,46,0,23,36,33,4,4,0,23,6,11,23,37,2,37,26,35,0,0,0,37,4,15,11,15,10,7,1,3,38,25,10,24,3.073529411764706,2.4928149870607714,1.6,0.8944271909999157,2.6610169491525424,1.0104654013344445
PT,PRT,Portugal,Lisboa,2021-01-02,2021-01-02,334,0,0,0,0,50,321,26,1,1221601.1931938457,204,0,0,1,333,0,0,33,301,0,0,7,327,0,0,32,302,0,0,56,278,0,0,25,309,0,0,11,323,0,0,4,330,0,0,6,328,0,0,4,330,1,0,15,318,0,0,33,301,0,13,27,294,0,309,8,17,5,17,118,194,4,216,26,88,0,308,1,24,1,6,47,47,234,2,47,156,129,3,47,85,199,7,47,108,172,6,47,9,272,3,47,26,258,0,50,101,183,0,233,86,10,3,2,1,57,37,239,0,57,230,35,3,2,1,6,0,57,50,71,113,43,4,69,1,9,38,48,165,3,69,3,9,37,61,152,4,70,117,105,29,9,0,70,27,43,75,119,3,117,92,121,0,1,1,117,18,38,40,50,41,27,2,8,125,154,29,18,3.0423728813559325,2.4298502215336963,2.15,1.4244112357114613,2.350253807106599,1.0805150116288667
PT,PRT,Portugal,Porto,2021-01-02,2021-01-02,308,0,0,0,0,52,300,24,1,1206590.170903846,213,0,0,0,308,0,0,23,285,1,0,9,298,1,0,21,286,0,0,39,269,1,0,20,287,1,0,6,301,0,0,5,303,0,0,5,303,0,0,2,306,0,0,8,300,1,0,33,274,1,7,27,273,0,281,3,24,6,8,114,180,1,194,24,89,0,284,1,23,0,8,21,49,230,1,21,165,121,4,21,85,198,2,21,120,165,5,21,5,277,5,21,22,260,0,22,108,178,0,200,81,22,1,4,2,26,39,241,0,26,239,34,2,1,2,4,0,26,42,82,107,51,1,35,0,7,44,80,141,1,35,0,6,44,72,150,2,39,124,112,24,7,1,39,35,50,56,127,2,92,93,119,0,2,1,92,22,47,41,48,36,18,3,6,93,156,32,21,2.9047619047619047,2.3473545237294813,2.1363636363636362,1.1252705302431794,2.465686274509804,0.9488385534951983
