ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
GP,GLP,Guadeloupe,Pointe-à-Pitre,2021-03-18,2021-01-06,100,0,0,0,0,0,95,26,0,1203203.19691533,65,0,100,0,6,94,0,3,97,0,15,85,0,12,88,0,7,93,0,4,96,0,4,96,0,4,96,0,1,99,0,3,97,0,9,91,0,0,95,5,0,0,100,76,16,8,26,49,25,0,26,74,30,53,17,69,16,15,49,36,15,44,40,16,9,74,17,15,68,17,43,42,15,27,9,3,4,57,11,70,19,46,28,6,1,0,1,18,29,22,15,15,19,0,2,4,19,53,22,1,4,8,15,51,21,22,27,19,9,23,3,9,8,57,23,22,45,0,0,33,2,12,9,14,8,22,1,32,14,29,21,36,45.92,74.288805796477,0,0,3.7396449704142,1.88361886466184,0,0,0,0,0,0,0,0,0,0
GP,GLP,Guadeloupe,Pointe-à-Pitre,2021-03-20,2021-01-07,100,0,0,0,0,0,96,26,0,1190045.92658003,66,0,100,0,6,94,0,3,97,0,14,86,0,12,88,0,6,94,0,4,96,0,4,96,0,4,96,0,1,99,0,3,97,0,9,91,0,0,96,4,0,0,100,76,17,7,26,49,25,0,26,74,30,54,16,70,16,14,50,36,14,44,41,15,9,75,16,15,69,16,43,43,14,27,9,3,4,57,11,71,18,47,28,6,1,0,1,17,29,23,15,15,18,1,2,4,19,53,21,1,4,8,15,52,20,22,28,19,9,22,3,9,8,58,22,22,46,0,0,32,2,12,9,14,9,22,1,31,14,30,21,35,45.92,74.288805796477,0,0,3.67309458218549,1.84250640191855,0,0,0,0,0,0,0,0,0,0
GP,GLP,Guadeloupe,Pointe-à-Pitre,2021-03-21,2021-01-09,100,0,0,0,0,0,96,24,0,1186589.87033583,67,0,100,0,6,94,0,3,97,0,14,86,0,13,87,0,6,94,0,4,96,0,4,96,0,4,96,0,1,99,0,3,97,0,9,91,0,0,96,4,0,0,100,76,17,7,24,51,25,0,24,76,31,52,17,69,16,15,48,37,15,42,42,16,9,74,17,15,68,17,41,44,15,26,8,3,4,59,11,70,19,46,28,5,2,0,1,18,30,21,15,15,19,1,2,4,18,53,22,1,3,8,15,52,21,21,28,19,10,22,4,8,8,58,22,23,46,0,0,31,2,12,9,14,9,23,1,30,14,31,21,34,45.76,74.378132987234,0,0,3.72020494542214,1.88027992862049,0,0,0,0,0,0,0,0,0,0
GP,GLP,Guadeloupe,Pointe-à-Pitre,2021-03-22,2021-01-11,100,0,0,0,0,0,96,23,0,1188558.74852143,67,0,100,0,6,94,0,3,97,0,14,86,0,13,87,0,6,94,0,4,96,0,4,96,0,4,96,0,1,99,0,3,97,0,9,91,0,0,96,4,0,0,100,76,17,7,23,52,25,0,23,77,31,52,17,68,17,15,49,36,15,43,41,16,9,74,17,15,68,17,42,43,15,26,9,3,4,58,11,70,19,46,28,5,2,0,1,18,29,22,15,15,19,1,2,4,17,54,22,1,3,8,15,52,21,21,28,19,10,22,4,8,7,59,22,23,46,0,0,31,2,12,9,14,9,23,1,30,14,31,21,34,45.76,74.378132987234,0,0,3.74248162174204,1.88027992862049,0,0,0,0,0,0,0,0,0,0
GP,GLP,Guadeloupe,Pointe-à-Pitre,2021-03-23,2021-01-11,100,0,0,0,0,0,96,21,0,1230021.25846016,66,0,100,0,6,94,0,3,97,0,14,86,0,13,87,0,6,94,0,4,96,0,3,97,0,4,96,0,1,99,0,3,97,0,9,91,0,0,96,4,0,0,100,75,17,8,21,53,26,0,21,79,30,52,18,67,17,16,48,36,16,42,41,17,9,73,18,15,67,18,41,43,16,25,9,3,4,59,11,69,20,45,29,4,2,0,1,19,30,21,15,14,20,1,2,4,17,53,23,1,3,8,15,51,22,20,27,19,11,23,4,7,7,59,23,24,44,0,0,32,2,12,9,13,8,23,2,31,14,32,19,35,49.3055555555556,78.6996778358424,0,0,3.74196510560147,1.9205762657977,0,0,0,0,0,0,0,0,0,0
GP,GLP,Guadeloupe,Pointe-à-Pitre,2021-03-25,2021-01-13,100,0,0,0,0,0,96,20,0,1240717.8921941,66,0,100,0,5,95,0,3,97,0,13,87,0,12,88,0,6,94,0,3,97,0,2,98,0,4,96,0,1,99,0,3,97,0,10,90,0,0,96,4,0,0,100,75,17,8,20,54,26,0,20,80,31,51,18,68,16,16,48,36,16,43,40,17,9,73,18,16,66,18,42,42,16,26,9,3,4,58,11,69,20,45,30,3,2,0,1,19,30,20,16,14,20,1,2,4,17,53,23,1,3,8,15,51,22,19,27,19,11,24,4,8,8,57,23,26,42,0,0,32,2,12,9,14,7,23,2,31,15,30,19,36,49.1319444444445,78.7601995414152,0,0,3.67309458218549,1.91764845010811,0,0,0,0,0,0,0,0,0,0
GP,GLP,Guadeloupe,Pointe-à-Pitre,2021-03-26,2021-01-13,100,0,0,0,0,0,96,21,1,1243812.85071961,67,0,100,0,5,95,0,3,97,0,13,87,0,12,88,0,6,94,0,3,97,0,2,98,0,4,96,0,1,99,0,3,97,0,10,90,0,0,96,4,0,0,100,75,17,8,21,53,26,1,20,79,32,51,17,69,16,15,48,37,15,44,40,16,9,74,17,16,67,17,43,42,15,26,9,3,5,57,11,70,19,46,30,3,2,0,1,18,30,20,16,15,19,1,2,4,18,53,22,1,3,8,15,52,21,19,27,20,11,23,4,8,9,57,22,26,43,0,0,31,2,12,10,14,7,23,2,30,15,30,20,35,49.6527777777778,78.4907902020221,0,0,3.65337491646246,1.89655278300059,0,0,0,0,0,0,0,0,0,0
GP,GLP,Guadeloupe,Pointe-à-Pitre,2021-03-27,2021-01-13,100,0,0,0,0,0,96,21,1,1243812.85071961,67,0,100,0,5,95,0,3,97,0,13,87,0,12,88,0,6,94,0,3,97,0,2,98,0,4,96,0,1,99,0,3,97,0,10,90,0,0,96,4,0,0,100,75,17,8,21,53,26,1,20,79,32,51,17,69,16,15,48,37,15,44,40,16,9,74,17,16,67,17,43,42,15,26,9,3,5,57,11,70,19,46,30,3,2,0,1,18,30,20,16,15,19,1,2,4,18,53,22,1,3,8,15,52,21,19,27,20,11,23,4,8,9,57,22,26,43,0,0,31,2,12,10,14,7,23,2,30,15,30,20,35,49.6527777777778,78.4907902020221,0,0,3.65337491646246,1.89655278300059,0,0,0,0,0,0,0,0,0,0
GP,GLP,Guadeloupe,Pointe-à-Pitre,2021-03-28,2021-01-13,100,0,0,0,0,0,96,21,1,1261200.38320664,67,0,100,0,5,95,0,3,97,0,13,87,0,12,88,0,6,94,0,3,97,0,2,98,0,4,96,0,1,99,0,3,97,0,10,90,0,0,96,4,0,0,100,76,16,8,21,54,25,1,20,79,32,51,17,69,16,15,48,37,15,44,40,16,9,74,17,16,67,17,43,42,15,26,9,3,5,57,11,69,20,46,30,3,2,0,1,18,30,20,16,15,19,1,2,4,17,54,22,1,3,8,15,52,21,19,26,20,12,23,4,8,9,57,22,27,42,0,0,31,2,13,10,14,7,22,2,30,15,30,20,35,49.6527777777778,78.4907902020221,0,0,3.65337491646246,1.89655278300059,0,0,0,0,0,0,0,0,0,0
GP,GLP,Guadeloupe,Pointe-à-Pitre,2021-03-29,2021-01-14,100,0,0,0,0,2,96,22,1,1238646.89900035,68,0,100,0,5,95,0,3,97,0,14,86,0,12,88,0,6,94,0,3,97,0,2,98,0,4,96,0,1,99,0,3,97,0,10,90,0,1,95,4,0,1,99,77,15,8,22,54,24,1,21,78,32,51,17,70,15,15,49,36,15,44,40,16,9,74,17,16,67,17,44,41,15,26,10,3,5,56,11,69,20,46,31,3,2,0,0,18,30,20,16,15,19,1,2,5,17,53,22,1,3,8,16,51,21,19,27,20,11,23,4,8,9,57,22,28,41,0,0,31,2,14,10,14,7,21,2,30,15,31,20,34,45.76,74.378132987234,200,0,3.63321799307959,1.87520916279508,0,0,0,0,0,0,0,0,0.000293427230046948,0.000406602253072662
