ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
AL,ALB,Albania,Tiranë,2021-01-03,2021-01-01,100,1,18129.9900114664,1,18129.9900114664,185,84,6,2,2067560.83083078,66,1,98,1,14,85,1,7,92,1,17,81,2,21,78,1,20,79,1,11,88,1,6,93,1,4,96,0,3,96,1,6,93,1,17,81,2,44,53,3,13,29,58,40,52,8,6,34,60,2,4,0,94,22,59,19,54,28,18,49,33,18,44,37,19,7,75,18,9,71,20,47,33,20,32,14,1,0,53,13,61,26,39,24,6,3,1,2,25,19,26,23,7,25,1,1,12,25,30,31,1,1,14,17,36,31,25,30,9,5,31,4,9,19,38,30,44,23,0,1,32,4,18,28,16,1,1,0,32,58,7,1,34,18.8368055555556,27.5279191949716,19.2507804370447,28.2754877175645,4.84389348025712,2.30504906260578,0.01,0.0195013954179879,0.00876878191012231,0.000127079665524954,0.01,0.0195013954179879,0.00876878191012231,0.000127079665524954,0.0310194500335345,0.0044000118921951
AL,ALB,Albania,Tiranë,2021-01-04,2021-01-02,100,2,36856.9481008979,2,36856.9481008979,84,85,8,2,2075813.95999236,65,3,97,0,16,84,0,5,95,0,25,74,1,23,77,0,21,79,0,9,91,0,8,92,0,5,95,0,5,95,0,7,93,0,21,79,0,40,56,4,14,26,60,31,62,7,8,23,69,2,6,0,92,25,61,14,64,24,12,58,29,13,51,36,13,11,76,13,12,74,14,49,36,15,32,14,2,1,51,15,62,23,43,23,4,4,1,3,22,21,23,24,10,22,1,4,11,24,34,26,2,3,10,20,39,26,32,28,8,2,30,7,14,13,36,30,43,26,0,0,31,6,14,32,14,0,3,0,31,58,6,1,35,16.0493827160494,25.9782839582393,9.98810939357907,5.70678326396321,4.5207100591716,2.4306493866045,0.02,0.0274394957835608,0.0177554197106534,0.000179650805536223,0.02,0.0274394957835608,0.0177554197106534,0.000179650805536223,0.0139188069594035,0.00295574386980042
AL,ALB,Albania,Tiranë,2021-01-05,2021-01-03,100,2,27990.3667520159,2,27990.3667520159,127,91,9,3,1720713.32038945,73,4,95,1,14,84,2,5,93,2,21,77,2,21,77,2,13,85,2,13,86,1,7,90,3,5,93,2,8,90,2,8,91,1,23,74,3,37,59,4,17,20,63,33,60,7,9,23,68,3,6,0,91,32,58,10,71,21,8,59,31,10,53,37,10,12,78,10,12,78,10,52,38,10,39,6,5,2,48,13,70,17,50,19,9,3,1,2,16,23,18,30,13,16,2,6,11,21,41,19,3,3,9,21,45,19,45,23,6,3,23,10,12,23,33,22,43,34,0,0,23,9,20,30,7,6,5,0,23,64,6,2,28,14.8353339489074,23.8831111964491,12.40234375,12.9331303737773,4.93827160493827,8.75587864502603,0.02,0.0274394957835608,0.0162667228877387,0.000189009026894468,0.02,0.0274394957835608,0.0162667228877387,0.000189009026894468,0.0196563999380901,0.00338484954651902
AL,ALB,Albania,Tiranë,2021-01-06,2021-01-04,100,2,14836.4845831479,2,14836.4845831479,164,87,10,4,1493556.11597408,80,6,92,2,13,83,4,7,89,4,19,77,4,19,77,4,12,84,4,15,84,1,8,88,4,5,92,3,9,87,4,11,86,3,25,72,3,43,52,5,21,20,59,39,52,9,10,28,62,4,6,0,90,34,51,15,69,18,13,50,35,15,48,37,15,8,77,15,12,74,14,47,40,13,32,7,5,3,53,14,70,16,50,18,13,2,1,1,15,21,18,34,12,15,1,7,12,21,40,19,2,3,8,24,45,18,42,26,10,3,19,8,9,27,39,17,38,42,0,0,20,6,27,30,5,8,5,0,19,75,3,2,20,13.1985731272295,18.45276085759,13.3877551020408,13.4328873552697,4.375,7.46033816724284,0.02,0.0274394957835608,0.00993366397450141,0.000159046529975195,0.02,0.0274394957835608,0.00993366397450141,0.000159046529975195,0.0265501052290756,0.00400912147072659
AL,ALB,Albania,Tiranë,2021-01-07,2021-01-05,100,1,5573.07592056352,1,5573.07592056352,150,83,7,4,1788892.91294621,72,4,95,1,10,87,3,6,91,3,22,75,3,15,81,4,19,77,4,12,87,1,9,89,2,6,93,1,8,90,2,9,89,2,25,74,1,47,48,5,19,25,56,41,51,8,7,33,60,4,3,0,93,35,49,16,67,19,14,51,33,16,44,40,16,12,72,16,14,71,15,37,49,14,24,7,3,3,63,12,66,22,44,23,8,2,2,3,18,30,14,28,10,18,2,4,14,19,34,27,4,2,8,22,38,26,34,24,13,4,25,8,11,18,39,24,32,38,0,1,29,6,27,27,6,2,4,0,28,65,2,4,29,14.1331434674261,24.2719174028438,12.2448979591837,10.6131683040865,3.98730410632811,2.04777461562815,0.01,0.0195013954179879,0.00311537704701672,8.16645692543529e-05,0.01,0.0195013954179879,0.00311537704701672,8.16645692543529e-05,0.0254539283896148,0.00402122586241226
AL,ALB,Albania,Tiranë,2021-01-08,2021-01-06,100,0,0,0,0,144,86,10,4,2046805.32810923,72,1,98,1,8,90,2,4,95,1,19,79,2,12,85,3,22,75,3,10,88,2,6,92,2,5,94,1,7,92,1,6,93,1,21,77,2,44,51,5,20,22,58,42,51,7,10,31,59,4,6,0,90,38,49,13,68,19,13,56,31,13,52,35,13,14,73,13,11,76,13,39,47,14,24,8,5,2,61,9,70,21,45,23,7,3,2,2,18,26,11,35,9,19,2,3,12,22,33,28,4,3,9,20,36,28,37,20,13,4,26,7,10,15,42,26,30,40,0,1,29,7,28,27,5,2,3,0,28,64,3,4,29,11.498754004984,19.6891810005845,11.7551020408163,12.4688602006826,4.12616544336441,2.32438802729196,0,0,0,0,0,0,0,0,0.0235833606288896,0.00380618701206901
AL,ALB,Albania,Tiranë,2021-01-09,2021-01-07,100,1,19390.6119789048,1,19390.6119789048,162,89,17,3,2258753.70755715,69,1,97,2,10,86,4,6,92,2,11,85,4,14,81,5,14,81,5,7,90,3,6,91,3,3,96,1,5,93,2,5,92,3,16,80,4,38,55,7,14,24,62,50,42,8,17,32,51,3,13,1,83,47,38,15,62,22,16,55,29,16,48,36,16,8,76,16,9,75,16,41,42,17,29,8,3,1,59,18,62,20,47,22,4,3,3,2,19,20,17,27,16,20,0,2,11,19,38,30,1,4,4,23,39,29,33,25,13,1,28,2,10,16,43,29,31,36,0,1,32,6,19,25,13,3,3,0,31,64,2,3,31,19.188323246707,35.3349738341504,14.0138408304498,21.7950218061793,4.30581810544003,2.25030614312657,0.01,0.0195013954179879,0.0085846508692069,0.000120310294457646,0.01,0.0195013954179879,0.0085846508692069,0.000120310294457646,0.0256369678746637,0.00389688547031871
AL,ALB,Albania,Tiranë,2021-01-10,2021-01-08,100,2,41337.4278323417,2,41337.4278323417,141,89,14,1,2222416.17255474,69,3,95,2,12,85,3,4,94,2,17,80,3,18,78,4,14,83,3,7,91,2,6,92,2,3,97,0,4,94,2,8,89,3,13,84,3,39,56,5,8,31,61,50,44,6,14,36,50,1,12,1,86,46,38,16,64,18,18,56,28,16,45,39,16,10,74,16,16,67,17,41,42,17,30,8,2,1,59,17,61,22,42,21,8,3,3,1,22,21,15,23,19,22,0,1,15,22,36,26,0,2,7,26,40,25,30,29,9,4,28,2,12,21,38,27,41,25,0,1,33,5,16,22,18,2,5,1,31,63,1,4,32,25,43.5325905149423,12.9476584022039,22.2200046894241,4.40771349862259,2.20332691236427,0.02,0.0274394957835608,0.0186002191411445,0.0001776304456732,0.02,0.0274394957835608,0.0186002191411445,0.0001776304456732,0.0223136572242443,0.0036417410895311
AL,ALB,Albania,Tiranë,2021-01-11,2021-01-09,100,2,30428.0813575399,2,30428.0813575399,131,86,6,0,2228543.47660543,70,5,92,3,11,86,3,4,93,3,19,78,3,18,79,3,13,84,3,9,88,3,3,94,3,3,95,2,2,95,3,11,86,3,18,79,3,41,55,4,8,32,60,39,56,5,6,33,61,0,6,0,94,44,40,16,71,12,17,56,29,15,44,41,15,13,72,15,20,64,16,42,42,16,31,9,1,1,58,16,64,20,46,16,11,4,2,1,20,24,12,31,13,20,1,2,13,23,39,22,1,0,13,18,46,22,30,32,8,4,26,2,12,16,47,23,47,22,0,1,30,6,17,24,16,3,5,1,28,59,6,4,31,22.5897920604915,44.0409918199522,13.6316337148803,15.9497493376214,4.05435509022054,2.21692869116926,0.02,0.0274394957835608,0.0136537975036003,0.000152362802637771,0.02,0.0274394957835608,0.0136537975036003,0.000152362802637771,0.0214543072387815,0.00363427254897385
AL,ALB,Albania,Tiranë,2021-01-12,2021-01-10,100,3,99296.4394613775,3,99296.4394613775,129,86,6,2,2177260.17741249,69,5,90,5,13,82,5,5,91,4,19,76,5,19,77,4,18,77,5,14,83,3,7,89,4,3,92,5,4,91,5,13,82,5,18,77,5,42,51,7,12,29,59,38,53,9,6,31,63,2,4,0,94,48,35,17,70,13,17,55,28,17,45,38,17,9,74,17,17,66,17,39,43,18,24,11,2,2,61,19,61,20,42,22,9,4,1,2,20,26,15,27,12,20,4,2,15,16,40,23,4,0,15,15,44,22,37,29,4,6,24,7,12,14,44,23,40,29,0,2,29,3,20,27,10,4,5,3,28,58,8,2,32,16.5364583333333,31.391247717939,10.530612244898,11.0172064176535,4.01744719926538,2.11775316121133,0.03,0.0334344809563718,0.0456061432122384,0.000277120349027949,0.03,0.0334344809563718,0.0456061432122384,0.000277120349027949,0.0211267605633803,0.00360702684177215
