"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"1",2020-03-26,0,0,0,0,0.0434299885306119,0.042344973451901,0.0445150036093228
"2",2020-03-27,0,0,0,0,0.0434299885306119,0.042344973451901,0.0445150036093228
"3",2020-03-28,0,0,0,0,0.0434299885306119,0.042344973451901,0.0445150036093228
"4",2020-03-29,0,0,0,0,0.0434299885306119,0.042344973451901,0.0445150036093228
"5",2020-03-30,0,0,0,0,0.0434299885306119,0.042344973451901,0.0445150036093229
"6",2020-03-31,0,0,0,0,0.0434299885306119,0.042344973451901,0.0445150036093229
"7",2020-04-01,0,0,0,0,0.0434299885306119,0.042344973451901,0.0445150036093229
"8",2020-04-02,0,0,0,0,0.0434299885306119,0.042344973451901,0.0445150036093229
"9",2020-04-03,0,0,0,0,0.0434299885306119,0.042344973451901,0.0445150036093229
"10",2020-04-04,0,0,0,0,0.0434299885306119,0.042344973451901,0.0445150036093229
"11",2020-04-05,0,0,0,0,0.043429988530612,0.042344973451901,0.0445150036093229
"12",2020-04-06,0,0,0,0,0.043429988530612,0.042344973451901,0.0445150036093229
"13",2020-04-07,0,0,0,0,0.043429988530612,0.0423449734519011,0.0445150036093229
"14",2020-04-08,0,0,0,0,0.043429988530612,0.0423449734519011,0.0445150036093229
"15",2020-04-09,0,0,0,0,0.043429988530612,0.0423449734519011,0.0445150036093229
"16",2020-04-10,0,0,0,0,0.043429988530612,0.0423449734519011,0.0445150036093229
"17",2020-04-11,0,0,0,0,0.043429988530612,0.0423449734519011,0.0445150036093229
"18",2020-04-12,0,0,0,0,0.043429988530612,0.0423449734519011,0.0445150036093229
"19",2020-04-13,0,0,0,0,0.043429988530612,0.0423449734519011,0.0445150036093229
"20",2020-04-14,0,0,0,0,0.043429988530612,0.0423449734519011,0.0445150036093229
"21",2020-04-15,0,0,0,0,0.043429988530612,0.0423449734519011,0.0445150036093229
"22",2020-04-16,0,0,0,0,0.043429988530612,0.0423449734519011,0.0445150036093229
"23",2020-04-17,0,0,0,0,0.043429988530612,0.0423449734519011,0.0445150036093229
"24",2020-04-18,0,0,0,0,0.043429988530612,0.0423449734519011,0.0445150036093229
"25",2020-04-19,0,0,0,0,0.043429988530612,0.0423449734519011,0.044515003609323
"26",2020-04-20,0,0,0,0,0.043429988530612,0.0423449734519011,0.044515003609323
"27",2020-04-21,0,0,0,0,0.0434299885306121,0.0423449734519011,0.044515003609323
"28",2020-04-22,0,0,0,0,0.0434299885306121,0.0423449734519011,0.044515003609323
"29",2020-04-23,0,0,0,0,0.0434299885306121,0.0423449734519011,0.044515003609323
"30",2020-04-24,0,0,0,0,0.0434299885306121,0.0423449734519011,0.044515003609323
"31",2020-04-25,0,0,0,0,0.0434299885306121,0.0423449734519011,0.044515003609323
"32",2020-04-26,0,0,0,0,0.0434299885306121,0.0423449734519012,0.044515003609323
"33",2020-04-27,0.0666666666666667,0,0,0,0.0434299885306121,0.0423449734519012,0.044515003609323
"34",2020-04-28,0.0606060606060606,0,0,0,0.0434299885306121,0.0423449734519012,0.044515003609323
"35",2020-04-29,0.0606060606060606,0,0,0,0.0434299885306121,0.0423449734519012,0.044515003609323
