"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"1",2020-04-05,0,0,0,0,0.0076340179721424,0.00741048444498051,0.00785755149930429
"2",2020-04-06,0,0,0,0,0.0076340179721424,0.00741048444498051,0.00785755149930429
"3",2020-04-07,0,0,0,0,0.0076340179721424,0.00741048444498051,0.00785755149930429
"4",2020-04-08,0,0,0,0,0.0076340179721424,0.00741048444498051,0.00785755149930429
"5",2020-04-09,0,0,0,0,0.0076340179721424,0.00741048444498051,0.00785755149930429
"6",2020-04-10,0,0,0,0,0.0076340179721424,0.00741048444498051,0.00785755149930429
"7",2020-04-11,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"8",2020-04-12,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"9",2020-04-13,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"10",2020-04-14,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"11",2020-04-15,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"12",2020-04-16,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"13",2020-04-17,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"14",2020-04-18,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"15",2020-04-19,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"16",2020-04-20,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"17",2020-04-21,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"18",2020-04-22,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"19",2020-04-23,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"20",2020-04-24,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"21",2020-04-25,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"22",2020-04-26,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"23",2020-04-27,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"24",2020-04-28,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"25",2020-04-29,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"26",2020-04-30,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"27",2020-05-01,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"28",2020-05-02,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"29",2020-05-03,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"30",2020-05-04,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"31",2020-05-05,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"32",2020-05-06,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"33",2020-05-07,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
"34",2020-05-08,0,0,0,0,0.00763401797214241,0.00741048444498052,0.0078575514993043
