"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_active_smooth","p_cases_active_smooth_low","p_cases_active_smooth_high"
"1",2020-03-22,0.00833333333333333,0,0,0,0.0376499736514108,0.0365618607864959,0.0387380865163256,2.22044604925031e-16,-5.49433695662734e-15,5.9384261664774e-15,2.22044604925031e-16,-3.22981338376924e-15,3.67390259361931e-15
"2",2020-03-23,0.00454545454545455,0,0,0,0.0376499736891684,0.0365618615668917,0.038738085811445,2.22044604925031e-16,-5.43351297327105e-15,5.87760218312111e-15,2.22044604925031e-16,-3.19320781144884e-15,3.6372970212989e-15
"3",2020-03-24,0.00454545454545455,0,0,0,0.037649973726926,0.0365618623436917,0.0387380851101603,2.22044604925031e-16,-5.37268905804999e-15,5.81677826790006e-15,2.22044604925031e-16,-3.15660230150795e-15,3.60069151135802e-15
"4",2020-03-25,0.00454545454545455,0,0,0,0.0376499737646836,0.0365618631168958,0.0387380844124713,2.22044604925031e-16,-5.31186521321082e-15,5.75595442306089e-15,2.22044604925031e-16,-3.11999685599632e-15,3.56408606584638e-15
"5",2020-03-26,0.00454545454545455,0,0,0,0.0376499738024412,0.0365618638865041,0.0387380837183782,2.22044604925031e-16,-5.25104144110006e-15,5.69513065095012e-15,2.22044604925031e-16,-3.08339147705447e-15,3.52748068690453e-15
"6",2020-03-27,0.00454545454545455,0,0,0,0.0376499738401987,0.0365618646525166,0.0387380830278809,2.22044604925031e-16,-5.19021774416969e-15,5.63430695401975e-15,2.22044604925031e-16,-3.0467861669188e-15,3.49087537676887e-15
"7",2020-03-28,0.00454545454545455,0,0,0,0.0376499738779563,0.0365618654149333,0.0387380823409794,2.22044604925031e-16,-5.12939412498319e-15,5.57348333483325e-15,2.22044604925031e-16,-3.01018092792704e-15,3.4542701377771e-15
"8",2020-03-29,0.00454545454545455,0,0,0,0.0376499739157139,0.0365618661737541,0.0387380816576738,2.22044604925031e-16,-5.0685705862219e-15,5.51265979607197e-15,2.22044604925031e-16,-2.973575762524e-15,3.41766497237406e-15
"9",2020-03-30,0.00454545454545455,0,0,0,0.0376499739534715,0.036561866928979,0.038738080977964,2.22044604925031e-16,-5.00774713069192e-15,5.45183634054198e-15,2.22044604925031e-16,-2.93697067326781e-15,3.38105988311788e-15
"10",2020-03-31,0.00452488687782805,0,0,0,0.0376499739912291,0.0365618676806081,0.0387380803018501,2.22044604925031e-16,-4.9469237613314e-15,5.39101297118146e-15,2.22044604925031e-16,-2.90036566283657e-15,3.34445487268663e-15
"11",2020-04-01,0.00452488687782805,0,0,0,0.0376499740289867,0.0365618684286414,0.038738079629332,2.22044604925031e-16,-4.88610048121843e-15,5.3301896910685e-15,2.22044604925031e-16,-2.86376073403543e-15,3.30784994388549e-15
"12",2020-04-02,0.00452488687782805,0,0,0,0.0376499740667443,0.0365618691730787,0.0387380789604099,2.22044604925031e-16,-4.82527729357948e-15,5.26936650342954e-15,2.22044604925031e-16,-2.82715588980423e-15,3.27124509965429e-15
"13",2020-04-03,0.00452488687782805,0,0,0,0.0376499741045019,0.0365618699139202,0.0387380782950836,2.22044604925031e-16,-4.76445420179842e-15,5.20854341164848e-15,2.22044604925031e-16,-2.79055113322571e-15,3.23464034307577e-15
"14",2020-04-04,0.00452488687782805,0,0,0,0.0376499741422595,0.0365618706511658,0.0387380776333532,2.22044604925031e-16,-4.70363120942626e-15,5.14772041927632e-15,2.22044604925031e-16,-2.75394646753425e-15,3.19803567738431e-15
"15",2020-04-05,0.00452488687782805,0,0,0,0.0376499741800171,0.0365618713848155,0.0387380769752186,2.22044604925031e-16,-4.64280832019159e-15,5.08689753004165e-15,2.22044604925031e-16,-2.71734189612535e-15,3.16143110597541e-15
"16",2020-04-06,0.00452488687782805,0,0,0,0.0376499742177747,0.0365618721148693,0.03873807632068,2.22044604925031e-16,-4.58198553801182e-15,5.02607474786188e-15,2.22044604925031e-16,-2.68073742256577e-15,3.12482663241583e-15
"17",2020-04-07,0.00452488687782805,0,0,0,0.0376499742555323,0.0365618728413272,0.0387380756697373,2.22044604925031e-16,-4.52116286700529e-15,4.96525207685535e-15,2.22044604925031e-16,-2.64413305060446e-15,3.08822226045452e-15
"18",2020-04-08,0.0186915887850467,0,0,0,0.0376499742932899,0.0365618735641892,0.0387380750223905,2.22044604925031e-16,-4.46034031150431e-15,4.90442952135437e-15,2.22044604925031e-16,-2.60752878418435e-15,3.05161799403441e-15
"19",2020-04-09,0.0142517814726841,0,0,0,0.0376499743310475,0.0365618742834552,0.0387380743786397,2.22044604925031e-16,-4.39951787606925e-15,4.84360708591931e-15,2.22044604925031e-16,-2.57092462745507e-15,3.01501383730513e-15
"20",2020-04-10,0.0250521920668058,0,0,0,0.037649974368805,0.0365618749991253,0.0387380737384848,2.22044604925031e-16,-4.33869556550374e-15,4.7827847753538e-15,2.22044604925031e-16,-2.53432058478666e-15,2.97840979463672e-15
"21",2020-04-11,0.0250521920668058,0,0,0,0.0376499744065626,0.0365618757111995,0.0387380731019257,2.22044604925031e-16,-4.27787338487111e-15,4.72196259472118e-15,2.22044604925031e-16,-2.4977166607844e-15,2.94180587063446e-15
"22",2020-04-12,0.0281124497991968,0,0,0,0.0376499744443202,0.0365618764196778,0.0387380724689627,2.22044604925031e-16,-4.21705133951218e-15,4.66114054936224e-15,2.22044604925031e-16,-2.46111286030486e-15,2.90520207015492e-15
"23",2020-04-13,0.0281124497991968,0,0,0,0.0376499744820778,0.0365618771245601,0.0387380718395956,2.22044604925031e-16,-4.15622943506453e-15,4.60031864491459e-15,2.22044604925031e-16,-2.42450918847327e-15,2.86859839832333e-15
"24",2020-04-14,0.0281124497991968,0,0,0,0.0376499745198354,0.0365618778258464,0.0387380712138244,2.22044604925031e-16,-4.09540767748339e-15,4.53949688733345e-15,2.22044604925031e-16,-2.38790565070236e-15,2.83199486055242e-15
"25",2020-04-15,0.0281124497991968,0,0,0,0.037649974557593,0.0365618785235368,0.0387380705916492,2.22044604925031e-16,-4.03458607306437e-15,4.47867528291443e-15,2.22044604925031e-16,-2.35130225271281e-15,2.79539146256287e-15
"26",2020-04-16,0.0281124497991968,0,0,0,0.0376499745953506,0.0365618792176312,0.03873806997307,2.22044604925031e-16,-3.97376462846809e-15,4.41785383831815e-15,2.22044604925031e-16,-2.31469900055546e-15,2.75878821040552e-15
"27",2020-04-17,0.0281124497991968,0,0,0,0.0376499746331082,0.0365618799081296,0.0387380693580868,2.22044604925031e-16,-3.91294335074704e-15,4.3570325605971e-15,2.22044604925031e-16,-2.27809590063546e-15,2.72218511048553e-15
"28",2020-04-18,0.0281124497991968,0,0,0,0.0376499746708658,0.0365618805950321,0.0387380687466995,2.22044604925031e-16,-3.85212224737482e-15,4.29621145722488e-15,2.22044604925031e-16,-2.24149295973862e-15,2.68558216958868e-15
"29",2020-04-19,0.0609756097560976,0,0,0,0.0376499747086234,0.0365618812783386,0.0387380681389082,2.22044604925031e-16,-3.79130132627804e-15,4.2353905361281e-15,2.22044604925031e-16,-2.20489018506008e-15,2.64897939491015e-15
"30",2020-04-20,0.0609756097560976,0,0,0,0.037649974746381,0.036561881958049,0.0387380675347129,2.22044604925031e-16,-3.7304805958712e-15,4.17456980572126e-15,2.22044604925031e-16,-2.16828758423567e-15,2.61237679408573e-15
"31",2020-04-21,0.0609756097560976,0,0,0,0.0376499747841386,0.0365618826341635,0.0387380669341137,2.22044604925031e-16,-3.66966006509477e-15,4.11374927494483e-15,2.22044604925031e-16,-2.13168516537614e-15,2.5757743752262e-15
"32",2020-04-22,0.0609756097560976,0,0,0,0.0376499748218962,0.0365618833066819,0.0387380663371104,2.22044604925031e-16,-3.60883974345697e-15,4.05292895330703e-15,2.22044604925031e-16,-2.09508293710469e-15,2.53917214695475e-15
