"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_active_smooth","p_cases_active_smooth_low","p_cases_active_smooth_high"
"1",2020-03-23,0.0114532960040723,0,0,0,0.0102675417166001,0.00956944135959167,0.0109656420736085,1896745.21589316,-16881881.4828023,20675371.9145886,2.22044604925031e-16,-5.98926158397808e-15,6.43335079382815e-15
"2",2020-03-24,0.0112119594233849,0,0,0,0.0106973720187773,0.0100209552523182,0.0113737887852364,1659807.89413306,-14664188.4570285,17983804.2452946,2.22044604925031e-16,-5.94759567961571e-15,6.39168488946577e-15
"3",2020-03-25,0.0109489051094891,0,0,0,0.0111274264025973,0.0104739359837446,0.01178091682145,1452468.27161714,-12737121.8669555,15642058.4101898,2.22044604925031e-16,-5.90592979311553e-15,6.35001900296559e-15
"4",2020-03-26,0.0109489051094891,0,0,0,0.011556691569591,0.0109271318306941,0.012186251308488,1271029.06758761,-11062678.7390748,13604736.8742501,2.22044604925031e-16,-5.8642639248444e-15,6.30835313469446e-15
"5",2020-03-27,0.0124192747143567,0,0,0,0.011984160850297,0.0113792822043902,0.0125890394962039,1112254.85762518,-9607815.53210154,11832325.2473519,2.22044604925031e-16,-5.82259807517926e-15,6.26668728502933e-15
"6",2020-03-28,0.0124192747143567,0,0,0,0.0124088405446056,0.0118291255940686,0.0129885554951426,973314.379551392,-8343802.10954744,10290430.8686502,2.22044604925031e-16,-5.78093224450756e-15,6.22502145435763e-15
"7",2020-03-29,0.0139095876800795,0,0,0,0.0128297560694473,0.0122754075514235,0.0133841045874712,851730.04635306,-7245659.72374856,8949119.81645468,2.22044604925031e-16,-5.73926643322755e-15,6.18335564307761e-15
"8",2020-03-30,0.0139095876800795,0,0,0,0.0132459578578541,0.0127168887970168,0.0137750269186914,745333.765843415,-6291672.10319692,7782339.63488375,2.22044604925031e-16,-5.69760064174868e-15,6.14168985159875e-15
"9",2020-03-31,0.0139095876800795,0,0,0,0.0136565269582224,0.0131523536076574,0.0141607003087874,652228.279235845,-5462960.14931758,6767416.70778926,2.22044604925031e-16,-5.65593487049205e-15,6.10002408034211e-15
"10",2020-04-01,0.0139095876800795,0,0,0,0.0140605802879486,0.0135806187341307,0.0145405418417665,570753.329219659,-4743111.97999894,5884618.63843826,2.22044604925031e-16,-5.61426911989076e-15,6.05835832974082e-15
"11",2020-04-02,0.0139095876800795,0,0,0,0.0144572755013642,0.0140005431865342,0.0149140078161941,499456.054246811,-4117861.12890871,5116773.23740233,2.22044604925031e-16,-5.57260339039036e-15,6.01669260024042e-15
"12",2020-04-03,0.0139095876800795,0,0,0,0.0148458154379699,0.0144110392776793,0.0152805915982604,437065.081100543,-3574806.6425328,4448936.80473389,2.22044604925031e-16,-5.53093768244932e-15,5.97502689229938e-15
"13",2020-04-04,0.0139095876800795,0,0,0,0.0152254521232356,0.0148110852785932,0.0156398189678779,382467.853764419,-3103169.62891517,3868105.33644401,2.22044604925031e-16,-5.48927199653949e-15,5.93336120638955e-15
"14",2020-04-05,0.0139095876800795,0,0,0,0.0155954903005919,0.0151997398393261,0.0159912407618576,334690.794320195,-2693581.51889795,3362963.10753834,2.22044604925031e-16,-5.44760633314658e-15,5.89169554299664e-15
