ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,E7,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C0a_7.NA,I6_1.NA,I6_2.NA,I6_3.NA,I6_4.NA,I6_5.NA,I6_6.NA,I6_7.NA,I6_8.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D10.1,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,D5.1,D5.2,D5.3,D5.4,D5.NA,first_date,day_count,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_rf_symp,p_rf_symp_CI,p_XGB,p_XGB_CI,p_XGB_symp,p_XGB_symp_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
BR,BRA,Brazil,2020-10-01,152803052.390381,8117,26141.6,6225,20988.8,110754.5,17290,1031,838,883,732,10077,5006,0,0,0,0,0,0,108,1867063.82691636,0,0,0,0,66,992582.160154243,6248,9700,487271.988991546,496,0,0,0,0,190,0,0,0,0,131,0,0,0,0,840,23,55,36,71,71,66,32,34,27,64,79,28,0,0,0,0,0,0,0,0,0,0,0,0,120,355,239,475,438,458,228,216,215,325,564,227,0,0,0,0,0,0,0,0,0,0,0,0,4461,5158,458,6882,2794,401,2108,7438,531,5907,3755,415,1547,8086,444,1734,7930,413,10077,10077,10077,10077,10077,10077,10077,10077,10077,215,572,952,2454,4976,908,184,327,353,338,77,208,2115,785,226,861,67,251,691,343,9,3242,329,681,1002,2548,4755,762,1707,1756,2158,3500,956,2932,2580,1931,1738,896,2020-10-01,10077,1,,,0.102312196090106,0.0059170988900692,0.0831596705368661,0.00539120313674669,0.0876252853031656,0.00552056852080763,0.0726406668651384,0.00506753079519953,0.0107174754391188,0.00201042964201185,0.0122187600163012,1.74191127615837e-05,0.00654956832390592,0.00157493234236041,0.00649582678242839,1.27374983785911e-05,0.0128224074873066,0.000315896489290588
BR,BRA,Brazil,2020-10-02,152961320.703081,7750,23909.94,5881.6,20104.9,106515.78,16524,877,653,694,559,9578,4717,0,0,0,0,0,0,96,1823612.81950518,0,0,0,0,55,1100010.1572356,5907,9265,465420.10082543,439,0,0,0,0,168,0,0,0,0,111,0,0,0,0,679,21,55,34,58,64,59,35,28,32,50,81,23,0,0,0,0,0,0,0,0,0,0,0,0,101,263,194,393,345,373,195,156,172,248,453,182,0,0,0,0,0,0,0,0,0,0,0,0,4272,4867,439,6720,2501,357,2058,7040,480,5713,3499,366,1432,7716,430,1656,7524,398,9578,9578,9578,9578,9578,9578,9578,9578,9578,203,572,915,2270,4764,854,201,328,353,327,71,193,2097,779,205,772,61,217,647,312,24,2991,274,664,982,2337,4626,695,1463,1720,2059,3458,878,2697,2490,1887,1678,826,2020-10-02,9578,1,,,0.0915640008352474,0.0057759074134595,0.0681770724577156,0.00504773497782258,0.072457715598246,0.00519182269013233,0.0583629150135728,0.00469484154861836,0.0100229693046565,0.00199490139475469,0.011922052000617,1.71999976639472e-05,0.00574232616412612,0.00151322699028687,0.00719142690570036,1.33905240335852e-05,0.012691759529775,0.000321597616580184
BR,BRA,Brazil,2020-10-03,151946340.703691,8256,23641.6,6295,22152.7,115362.21,17705,938,721,760,632,10258,4964,0,0,0,0,0,0,94,1912240.97705978,0,0,0,0,58,1005051.19665823,6325,9897,497168.131448385,511,0,0,0,0,192,0,0,0,0,125,0,0,0,0,721,25,61,38,75,69,80,42,34,35,78,86,38,0,0,0,0,0,0,0,0,0,0,0,0,92,299,187,421,374,416,225,185,174,320,471,204,0,0,0,0,0,0,0,0,0,0,0,0,4691,5089,478,7347,2502,409,2455,7266,537,6295,3545,418,1619,8167,472,1842,7977,439,10258,10258,10258,10258,10258,10258,10258,10258,10258,220,553,981,2421,5154,929,215,365,354,364,88,244,2083,825,255,839,91,243,742,396,17,3137,306,649,999,2498,5029,777,1551,1680,2191,3876,960,2737,2676,2036,1900,909,2020-10-03,10258,1,,,0.0914408266718659,0.00557780624615171,0.0702866055761357,0.0049468366828515,0.0740885162799766,0.00506847055337605,0.0616104503801911,0.0046530264013816,0.009163579645155,0.00184395493893994,0.0125849755130913,1.77247052249956e-05,0.00565412361084032,0.00145100240271955,0.00661451399226631,1.28887512863041e-05,0.0127220543713725,0.000311526353239262
BR,BRA,Brazil,2020-10-04,152353507.027209,8896,27142.85,5949,24051,121906.51,19146,963,769,791,642,11075,5324,0,0,0,0,0,0,92,1775064.98022356,0,0,0,0,62,1235847.72677069,5975,10651,535044.737602985,488,0,0,0,0,174,0,0,0,0,124,0,0,0,0,785,17,63,40,70,67,69,35,36,40,57,71,42,0,0,0,0,0,0,0,0,0,0,0,0,90,310,224,437,407,442,203,204,189,304,487,227,0,0,0,0,0,0,0,0,0,0,0,0,4420,6094,561,7984,2624,467,2803,7683,589,6922,3674,479,2207,8359,509,1686,8881,508,11075,11075,11075,11075,11075,11075,11075,11075,11075,235,629,1006,2582,5608,1015,179,338,387,385,110,246,2219,892,271,924,93,293,764,467,18,3489,272,701,1054,2755,5426,867,1574,1897,2378,4163,1063,2911,3005,2250,1910,999,2020-10-04,11075,1,,,0.0869525959367946,0.00524764155758141,0.0694356659142212,0.00473413597453371,0.0714221218961625,0.00479624947216675,0.0579683972911964,0.00435215752774016,0.00830699774266366,0.00169038991941426,0.0116509623891136,1.70395426999811e-05,0.00559819413092551,0.00138957231542968,0.00811171170841496,1.42432631469294e-05,0.0111672904713878,0.000281571283741066
BR,BRA,Brazil,2020-10-05,152676221.263169,8899,25741.52,6300,24359.4,120863.42,19145,1031,837,826,699,11068,5461,0,0,0,0,0,0,106,1685452.07867554,0,0,0,0,59,925599.123124534,6332,10717,538360.196497155,467,0,0,0,0,179,0,0,0,0,112,0,0,0,0,839,19,63,26,62,68,62,40,29,38,48,74,34,0,0,0,0,0,0,0,0,0,0,0,0,108,350,213,477,437,459,220,205,210,316,539,252,0,0,0,0,0,0,0,0,0,0,0,0,4621,5921,526,7625,3008,435,2661,7828,579,7018,3618,432,2311,8271,486,1837,8761,470,11068,11068,11068,11068,11068,11068,11068,11068,11068,213,616,1032,2693,5531,983,216,436,419,368,95,243,2329,933,247,851,78,263,732,370,17,3471,306,731,1110,2827,5245,849,1742,1921,2363,3982,1060,3140,2832,2174,1915,1007,2020-10-05,11068,1,,,0.0931514275388507,0.00541471571413224,0.075623418865197,0.0049256793472782,0.0746295627032888,0.00489583502237808,0.0631550415612577,0.00453159814584953,0.00957715937838815,0.00181443826749412,0.0110393882212366,1.65738876430188e-05,0.00533068305023491,0.0013565765546533,0.00606249693283327,1.23131081622781e-05,0.0117616421890014,0.000287989367836755
BR,BRA,Brazil,2020-10-06,152156325.150114,9038,29074,6219.3,24006.7,124258.85,19300,1133,903,898,763,11074,5597,0,0,0,0,0,0,108,1864402.75143565,0,0,0,0,60,903605.995855956,6244,10709,537958.322691801,494,0,0,0,0,176,0,0,0,0,114,0,0,0,0,921,19,51,27,72,66,62,39,26,31,61,77,36,0,0,0,0,0,0,0,0,0,0,0,0,102,391,257,528,467,489,284,226,220,382,606,274,0,0,0,0,0,0,0,0,0,0,0,0,4951,5621,502,7663,2980,431,2424,8081,569,6720,3914,440,1908,8671,495,1935,8672,467,11074,11074,11074,11074,11074,11074,11074,11074,11074,235,639,1090,2707,5419,984,179,392,414,338,94,246,2287,957,269,862,69,268,811,411,22,3455,297,782,1177,2792,5202,824,1811,1986,2361,3898,1018,3226,2937,2143,1799,969,2020-10-06,11074,1,,,0.102311721148636,0.00564444576026936,0.0815423514538559,0.00509702794392081,0.0810908434170128,0.00508414618927079,0.0689001264222503,0.00471741381624825,0.00975257359581001,0.00183032120313621,0.0122532057053578,1.7480375690773e-05,0.00541809644211667,0.00136722337104781,0.0059386686354608,1.22082727202751e-05,0.0116068471043569,0.000286217228125351
BR,BRA,Brazil,2020-10-07,151709723.649066,8641,26681.4,5791.1,22608.26,117221.13,18499,961,782,827,663,10818,5412,0,0,0,0,0,0,99,1618419.16480141,0,0,0,0,65,1023758.86061921,5817,10439,524395.081761108,487,0,0,0,0,167,0,0,0,0,116,0,0,0,0,788,21,73,34,71,62,72,36,28,35,64,79,35,0,0,0,0,0,0,0,0,0,0,0,0,101,337,212,447,423,439,223,185,216,312,517,232,0,0,0,0,0,0,0,0,0,0,0,0,4956,5375,487,7605,2815,398,2523,7732,563,6581,3823,414,1758,8591,469,1994,8384,440,10818,10818,10818,10818,10818,10818,10818,10818,10818,206,614,1043,2675,5292,988,194,377,395,358,97,218,2265,923,220,839,68,272,751,407,17,3417,311,741,1055,2769,5109,833,1722,1947,2322,3816,1011,3102,2862,2118,1762,974,2020-10-07,10818,1,,,0.0888334257718617,0.00536119615532227,0.0722869291920873,0.00487990455947817,0.0764466629691255,0.00500708379637392,0.0612867443150305,0.00451985344783969,0.00915141430948419,0.00179441279835818,0.0106678670679351,1.63474959154144e-05,0.00600850434461083,0.00145629422259368,0.00674814267665111,1.30275636429825e-05,0.0110927813824348,0.000283476320237165
BR,BRA,Brazil,2020-10-08,153208711.463571,8044,26369.6,5599.3,21199.7,110260,17199,964,750,757,642,9981,5059,0,0,0,0,0,0,93,1743089.15947902,0,0,0,0,56,1025317.66601216,5633,9642,484358.403902731,473,0,0,0,0,169,0,0,0,0,114,0,0,0,0,774,26,57,34,74,64,67,38,37,36,63,80,40,0,0,0,0,0,0,0,0,0,0,0,0,95,329,206,438,387,431,201,202,217,309,518,225,0,0,0,0,0,0,0,0,0,0,0,0,4509,5024,448,6995,2627,359,2355,7127,499,6066,3541,374,1591,7974,416,1869,7721,391,9981,9981,9981,9981,9981,9981,9981,9981,9981,190,539,997,2415,4946,894,151,366,377,321,88,201,2071,803,246,803,73,220,674,358,20,3209,306,654,1015,2494,4737,775,1615,1719,2138,3574,935,2840,2600,1959,1677,905,2020-10-08,9981,1,,,0.0965835086664663,0.00579504162015645,0.0751427712654043,0.00517180348915488,0.0758441037972147,0.00519391208836631,0.0643222122031861,0.00481287640793446,0.00931770363691013,0.00188487567952156,0.0113772196295344,1.6793442774775e-05,0.00561066025448352,0.00146536656756281,0.00669229351397523,1.29102827397134e-05,0.0116298178262459,0.000301933252009629
BR,BRA,Brazil,2020-10-09,152546848.916158,7164,23311.1,4833.3,19060.83,98448.89,15269,828,677,687,584,8851,4396,0,0,0,0,0,0,90,1695714.4633564,0,0,0,0,61,1191080.81106265,4868,8567,430356.611308307,403,0,0,0,0,155,0,0,0,0,113,0,0,0,0,663,16,63,34,65,60,69,29,31,25,60,69,31,0,0,0,0,0,0,0,0,0,0,0,0,89,279,177,383,322,380,178,158,174,268,426,208,0,0,0,0,0,0,0,0,0,0,0,0,3936,4495,420,6193,2299,359,2116,6272,463,5331,3140,380,1385,7033,433,1694,6772,385,8851,8851,8851,8851,8851,8851,8851,8851,8851,141,495,888,2207,4352,768,148,331,297,301,78,182,1867,703,183,733,61,225,606,300,16,2820,229,591,848,2227,4277,679,1378,1524,1874,3228,847,2498,2211,1756,1576,810,2020-10-09,8851,1,,,0.0935487515534968,0.0060665690397558,0.0764885323692238,0.00553695802164375,0.0776183482092419,0.0055742885560804,0.0659812450570557,0.00517177916547947,0.0101683425601627,0.00209005480760236,0.0111160241945632,1.66377227100206e-05,0.00689187662411027,0.0017235303482054,0.00780796731971362,1.39673279884646e-05,0.0113115492409911,0.000315954559619061
BR,BRA,Brazil,2020-10-10,151637776.209916,6422,19752.4,4445.2,17194,88756.82,13914,726,568,601,491,7911,3880,0,0,0,0,0,0,87,1958908.59490627,0,0,0,0,59,1253512.19894525,4472,7642,383889.952564268,380,0,0,0,0,140,0,0,0,0,92,0,0,0,0,573,24,51,31,61,63,55,27,31,30,58,64,36,0,0,0,0,0,0,0,0,0,0,0,0,89,255,160,326,306,319,170,156,156,257,382,180,0,0,0,0,0,0,0,0,0,0,0,0,3549,4017,345,5632,1975,304,2043,5486,382,4834,2767,310,1375,6201,335,1430,6155,326,7911,7911,7911,7911,7911,7911,7911,7911,7911,166,452,781,1883,3935,694,159,262,306,275,62,159,1614,652,193,657,71,207,560,261,11,2462,214,499,829,1967,3789,613,1067,1235,1663,3211,735,1975,2016,1636,1576,708,2020-10-10,7911,1,,,0.0917709518392112,0.00636183953731195,0.0717987612185564,0.00568868578590398,0.0759701681203388,0.00583844157672819,0.062065478447731,0.00531671906641891,0.0109973454683352,0.00229813248362688,0.0129183416155781,1.79731546462279e-05,0.0074579699153078,0.00189590759141522,0.00826649025246841,1.44112768237798e-05,0.0116491717746933,0.000339428111732813
