"date","region","population","sample_size","reach","p_cases","p_cases_error"
"2020/04/13","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/14","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/15","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/16","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/17","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/18","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/19","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/20","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/21","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/22","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/23","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/24","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/25","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/26","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/27","UA71",1246166,50,4559,0.0109673173941654,0.00302321352997606
"2020/04/13","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/14","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/15","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/16","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/17","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/18","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/19","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/20","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/21","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/22","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/23","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/24","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/25","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/26","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/27","UA74",1047023,50,5261,0.00969397452955712,0.0026475830254915
"2020/04/13","UA77",910001,0,0,NA,NA
"2020/04/14","UA77",910001,0,0,NA,NA
"2020/04/15","UA77",910001,0,0,NA,NA
"2020/04/16","UA77",910001,0,0,NA,NA
"2020/04/17","UA77",910001,0,0,NA,NA
"2020/04/18","UA77",910001,0,0,NA,NA
"2020/04/19","UA77",910001,0,0,NA,NA
"2020/04/20","UA77",910001,0,0,NA,NA
"2020/04/21","UA77",910001,0,0,NA,NA
"2020/04/22","UA77",910001,0,0,NA,NA
"2020/04/23","UA77",910001,0,0,NA,NA
"2020/04/24","UA77",910001,0,0,NA,NA
"2020/04/25","UA77",910001,0,0,NA,NA
"2020/04/26","UA77",910001,0,0,NA,NA
"2020/04/27","UA77",910001,0,0,NA,NA
"2020/04/13","UA12",3258705,50,4626,0.0095114569822741,0.00279700684393179
"2020/04/14","UA12",3258705,50,4626,0.0095114569822741,0.00279700684393179
"2020/04/15","UA12",3258705,50,4526,0.00861688024745912,0.00269269153385583
"2020/04/16","UA12",3258705,50,4526,0.00861688024745912,0.00269269153385583
"2020/04/17","UA12",3258705,50,4526,0.00861688024745912,0.00269269153385583
