"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_infected","p_infected_low","p_infected_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_hospital","p_hospital_low","p_hospital_high","p_recent","p_recent_low","p_recent_high","p_daily","p_daily_low","p_daily_high","p_active","p_active_low","p_active_high"
"2022/10/23","FR91",1233645,10,198,5,90,0.52020202020202,0.450614602511129,0.589789437892911,0.00546448087431694,0,0.0161453636935996,0.0218579234972678,0.000672947924390429,0.0430428990701451,0.0111111111111111,0,0.0327671653351987,0.00158730158730159,0,0.00981184144406951,0.0222222222222222,0,0.0526759639863768
"2022/10/23","FR27",603194,7,65,4,50,0.584615384615385,0.464816786367621,0.704413982863148,0,0,0,0,0,0,0.06,0,0.125826784440249,0.00857142857142857,0,0.03412316442793,0,0,0
"2022/10/23","FR28",440291,1,15,1,15,0.333333333333333,0.0947741141710458,0.571892552495621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022/10/23","FR29",929286,5,61,4,40,0.377049180327869,0.255428044550248,0.49867031610549,0.025,0,0.0733827342019907,0.05,0,0.117540597788103,0,0,0,0,0,0,0.075,0,0.156624323226238
"2022/10/23","FR30",726285,3,33,2,18,0.939393939393939,0.857984825817176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022/10/23","FR32",195489,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR33",1479277,12,205,8,142,0.453658536585366,0.385508234530601,0.521808838640131,0,0,0,0.00714285714285714,0,0.0210925112039575,0.0140845070422535,0,0.0334663285676388,0.00201207243460765,0,0.00938242678598269,0,0,0
"2022/10/23","FR68",765634,7,137,6,122,0.525547445255474,0.441931295315419,0.60916359519553,0,0,0,0,0,0,0.00819672131147541,0,0.024196023091187,0.00117096018735363,0,0.00723950859504534,0.00819672131147541,0,0.024196023091187
"2022/10/23","FR2B",168869,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR31",1268370,23,323,12,177,0.526315789473684,0.471863708255296,0.580767870692072,0.004,0,0.011824160515134,0.024,0.0050281965626945,0.0429718034373055,0.0225988700564972,0.000704057137179498,0.0444936829758149,0.00322841000807102,0,0.0115854720421175,0.0112994350282486,0,0.0268706397157262
"2022/10/23","FR43",231877,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR52",191004,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR70",247311,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR74",760979,5,113,3,74,0.690265486725664,0.605012078645706,0.775518894805622,0.0120481927710843,0,0.035519532450992,0.036144578313253,0,0.0762992956694968,0.0540540540540541,0.00253361835770359,0.105574489750405,0.00772200772200772,0,0.0276660885956057,0.027027027027027,0,0.0639742462528176
"2022/10/23","FR87",384781,8,121,4,65,0.520661157024793,0.431647978961776,0.609674335087811,0,0,0,0,0,0,0.0461538461538462,0,0.0971614036953602,0.00659340659340659,0,0.0262681855040965,0.0307692307692308,0,0.0727512505201517
"2022/10/23","FR05",142312,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR65",237945,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR92",1590749,32,476,20,316,0.510504201680672,0.465596714018278,0.555411689343066,0.00237529691211401,0,0.00702526093211998,0.0403800475059382,0.0215764870603914,0.0591836079514851,0.048951048951049,0.0239448598431063,0.0739572380589916,0.00699300699300699,0,0.0166506958414093,0.0411392405063291,0.0192409376663932,0.063037543346265
