"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_infected","p_infected_low","p_infected_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_hospital","p_hospital_low","p_hospital_high","p_recent","p_recent_low","p_recent_high","p_daily","p_daily_low","p_daily_high","p_active","p_active_low","p_active_high"
"2022/12/14","DEBB",2485000,5,140,2,70,0.635714285714286,0.556000005515483,0.715428565913088,0.02,0,0.058805307081791,0.02,0,0.058805307081791,0,0,0,0,0,0,0,0,0
"2022/12/14","DEBE",3520000,73,1727,30,720,0.647944412275622,0.625418809695753,0.670470014855492,0.0050093926111459,0.0015468298108906,0.0084719554114012,0.0275516593613024,0.0195237440394136,0.0355795746831912,0.025,0.0135960801844754,0.0364039198155246,0.00357142857142857,0,0.00792881336128529,0.0222222222222222,0.0114551985652534,0.0329892458791911
"2022/12/14","DEBW",10880000,77,2013,33,774,0.631395926477894,0.610321432447756,0.652470420508031,0.00383982446516731,0.00100076146302541,0.0066788874673092,0.00955593029792018,0.00503516894487622,0.0140766916509641,0.0322997416020672,0.0198446317246306,0.0447548514795037,0.00461424880029531,0,0.00938870402083151,0.0258397932816537,0.0146624826482324,0.0370171039150751
"2022/12/14","DEBY",12844000,70,1812,30,754,0.70916114790287,0.688250491184493,0.730071804621246,0.00132890365448505,0,0.00316941216196957,0.0189830508474576,0.0120188170609561,0.0259472846339592,0.0225464190981432,0.0119502403259871,0.0331425978702994,0.00322091701402046,0,0.00726529412444844,0.0185676392572944,0.00893221260186282,0.028203065912726
"2022/12/14","DEHB",671000,8,252,4,175,0.634920634920635,0.57547757122765,0.694363698613619,0,0,0,0.00396825396825397,0,0.0117304416725512,0.00571428571428571,0,0.0168820346551411,0.000816326530612245,0,0.00504772268363474,0.0171428571428571,0,0.0363744771285186
"2022/12/14","DEHE",6176000,57,1395,28,663,0.649462365591398,0.624424038533909,0.674500692648887,0.00159362549800797,0,0.00380047661864564,0.0223107569721116,0.0141395953766281,0.030481918567595,0.0196078431372549,0.00905410891809331,0.0301615773564165,0.00280112044817927,0,0.00682410263601152,0.0271493212669683,0.0147786317132246,0.0395200108207121
"2022/12/14","DEHH",1787000,25,517,13,290,0.704061895551257,0.664715162067347,0.743408629035167,0,0,0,0.0211864406779661,0.00819503690534419,0.034177844450588,0.0724137931034483,0.0425849175990876,0.102242668607809,0.0103448275862069,0,0.0219901809151654,0.0517241379310345,0.0262345349768359,0.0772137408852331
"2022/12/14","DEMV",1612000,3,45,1,10,0.333333333333333,0.19560110393232,0.471065562734347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022/12/14","DENI",7927000,44,1203,24,718,0.58686616791355,0.559041486855996,0.614690848971103,0.00465983224603914,0.000584911780463755,0.00873475271161453,0.0121155638397018,0.00556960731102068,0.0186615203683829,0.0222841225626741,0.0114874489659876,0.0330807961593606,0.00318344608038201,0,0.00730387321876642,0.0167130919220056,0.00733629742184859,0.0260898864221626
"2022/12/14","DENW",17865000,87,2223,46,1196,0.619883040935672,0.599704402425974,0.640061679445371,0.00336538461538462,0.000876517212983755,0.00585425201778548,0.0230769230769231,0.0166243109639518,0.0295295351898944,0.0284280936454849,0.019009331187517,0.0378468561034529,0.00406115623506928,0.000456833382282043,0.00766547908785651,0.0351170568561873,0.0246847855940943,0.0455493281182803
"2022/12/14","DERP",4053000,24,621,10,281,0.499194847020934,0.459869575291885,0.538520118749983,0.0197841726618705,0.00820891952306965,0.0313594258006714,0.0158102766798419,0.00494146708499998,0.0266790862746838,0.0106761565836299,0,0.0226924807674031,0.00152516522623284,0,0.00608786549539612,0.00711743772241993,0,0.0169463556941214
"2022/12/14","DESH",2859000,24,508,15,315,0.616141732283465,0.573851312404231,0.658432152162698,0.004,0,0.00953251695734326,0.01,0.00127871083785524,0.0187212891621448,0.0285714285714286,0.0101736991088658,0.0469691580339913,0.00408163265306122,0,0.0111224267347972,0.0380952380952381,0.0169557630839353,0.0592347131065409
"2022/12/14","DESL",996000,9,165,4,52,0.496969696969697,0.420679603483989,0.573259790455405,0.00714285714285714,0,0.0210925112039575,0.00714285714285714,0,0.0210925112039575,0.0576923076923077,0,0.121064939439866,0.00824175824175824,0,0.0328148195316279,0.0576923076923077,0,0.121064939439866
"2022/12/14","DESN",4085000,23,591,11,232,0.663282571912014,0.625181566026856,0.701383577797172,0.00349040139616056,0,0.00831931249492246,0.0209424083769634,0.00921807357512439,0.0326667431788023,0,0,0,0,0,0,0.021551724137931,0.00286582310043302,0.0402376251754291
"2022/12/14","DEST",2245000,11,283,3,100,0.399293286219081,0.342233239860542,0.45635333257762,0,0,0,0.0145631067961165,0,0.0309220749432051,0,0,0,0,0,0,0,0,0
"2022/12/14","DETH",2171000,9,172,7,141,0.441860465116279,0.367644415604765,0.516076514627793,0,0,0,0,0,0,0,0,0,0,0,0,0.0141843971631206,0,0.0337026895718831
