"date","region","country","ISO2","ISO3","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,"-99","Madagascar","MG","MDG",208,208,0.0144230769230769,0,0.0306258983814778,0.0144230769230769,0,0.0306258983814778,0.0192307692307692,0.000567051054443889,0.0378944874070946,0.0214985486211901,0.0187910777271916,0.0242060195151887
2020-05-06,"Analamanga","Madagascar","MG","MDG",100,100,0,0,0,0,0,0,0,0,0,0.00283018867924528,0.00139997011143617,0.0042604072470544
2020-05-07,"-99","Madagascar","MG","MDG",152,152,0.00657894736842105,0,0.0194309611548396,0.00657894736842105,0,0.0194309611548396,0.00657894736842105,0,0.0194309611548396,0.00322740814299901,0.0019888586914843,0.00446595759451371
2020-05-07,"Analamanga","Madagascar","MG","MDG",126,126,0.00793650793650794,0,0.023429927431133,0.00793650793650794,0,0.023429927431133,0.00793650793650794,0,0.023429927431133,0.00239592692422881,0.00122335153565505,0.00356850231280258
2020-05-08,"-99","Madagascar","MG","MDG",131,131,0.00763358778625954,0,0.0225379303429549,0.00763358778625954,0,0.0225379303429549,0.00763358778625954,0,0.0225379303429549,0.00302462912285755,0.00173295550892584,0.00431630273678927
2020-05-08,"Analamanga","Madagascar","MG","MDG",153,153,0.0065359477124183,0,0.0193042377337855,0.0065359477124183,0,0.0193042377337855,0.0065359477124183,0,0.0193042377337855,0.00221975582685905,0.00119543856029749,0.0032440730934206
2020-05-09,"-99","Madagascar","MG","MDG",111,111,0,0,0,0,0,0,0.00900900900900901,0,0.0265866247160538,0.00288968213496515,0.00151802581630445,0.00426133845362586
2020-05-09,"Analamanga","Madagascar","MG","MDG",163,163,0.00613496932515337,0,0.0181223470894496,0.00613496932515337,0,0.0181223470894496,0.00613496932515337,0,0.0181223470894496,0.00219932862599838,0.00121149611936544,0.00318716113263132
2020-05-10,"Analamanga","Madagascar","MG","MDG",187,187,0.0053475935828877,0,0.0158006225361199,0.0053475935828877,0,0.0158006225361199,0.0053475935828877,0,0.0158006225361199,0.00201795984259913,0.00113445898464926,0.002901460700549
2020-05-11,"Analamanga","Madagascar","MG","MDG",215,215,0.00465116279069767,0,0.0137460493783047,0.00465116279069767,0,0.0137460493783047,0.00465116279069767,0,0.0137460493783047,0.00193067134708205,0.00112468913566984,0.00273665355849427
2020-05-12,"Analamanga","Madagascar","MG","MDG",238,238,0.00840336134453781,0,0.0200005749067908,0.00420168067226891,0,0.0124195045329978,0.00420168067226891,0,0.0124195045329978,0.00206120183922626,0.00126973287036511,0.0028526708080874
2020-05-13,"Analamanga","Madagascar","MG","MDG",251,251,0.00796812749003984,0,0.0189671016100914,0.00398406374501992,0,0.011777114650567,0.00398406374501992,0,0.011777114650567,0.00195444636548147,0.00120392967292811,0.00270496305803483
2020-05-14,"Analamanga","Madagascar","MG","MDG",276,276,0.0072463768115942,0,0.0172527051003648,0.0036231884057971,0,0.0107116308084462,0.0036231884057971,0,0.0107116308084462,0.00191413727098715,0.00120582281225817,0.00262245172971612
2020-05-15,"Analamanga","Madagascar","MG","MDG",289,289,0.0069204152249135,0,0.016478200580032,0.00346020761245675,0,0.0102303463839593,0.00346020761245675,0,0.0102303463839593,0.00195860808252269,0.00125842875764083,0.00265878740740454
2020-05-16,"Analamanga","Madagascar","MG","MDG",304,304,0.00657894736842105,0,0.0156666934687006,0.00328947368421053,0,0.00972611086904245,0.00657894736842105,0,0.0156666934687006,0.0019240317775571,0.00124738614328018,0.00260067741183402
2020-05-17,"Analamanga","Madagascar","MG","MDG",310,310,0.00967741935483871,0,0.0205751323332957,0.00645161290322581,0,0.0153640382758659,0.0161290322580645,0.00210604717322054,0.0301520173429085,0.00194765672550213,0.00127349797487447,0.00262181547612979
2020-05-18,"Analamanga","Madagascar","MG","MDG",329,329,0.0121580547112462,0.000316031165913435,0.024000078256579,0.0060790273556231,0,0.0144783278373909,0.0151975683890578,0.00197816816205719,0.0284169686160583,0.00183517806962207,0.00119991670575594,0.00247043943348819
2020-05-19,"Analamanga","Madagascar","MG","MDG",343,343,0.0145772594752187,0.00189343383647024,0.0272610851139671,0.0087463556851312,0,0.0186002295063514,0.0174927113702624,0.00361884565745619,0.0313665770830686,0.00726112547444854,0.00602693388843892,0.00849531706045816
2020-05-20,"Analamanga","Madagascar","MG","MDG",337,337,0.0148367952522255,0.00192884497660995,0.0277447455278411,0.00890207715133531,0,0.0189306030516846,0.0178041543026706,0.0036855143951583,0.031922794210183,0.00811824645876491,0.00680224529832474,0.00943424761920507
2020-05-21,"Analamanga","Madagascar","MG","MDG",332,332,0.0120481927710843,0.000312522931130524,0.0237838626110382,0.00602409638554217,0,0.0143477295751317,0.0150602409638554,0.00195937980829745,0.0281611021194134,0.00818367810866106,0.00685251580911815,0.00951484040820397
2020-05-22,"Analamanga","Madagascar","MG","MDG",328,328,0.0121951219512195,0.000317217531826492,0.0240730263706125,0.00609756097560976,0,0.0145223905309041,0.0152439024390244,0.00198451109465108,0.0285032937833977,0.00816843074091118,0.00683041410358563,0.00950644737823673
2020-05-23,"Analamanga","Madagascar","MG","MDG",344,344,0.0116279069767442,0.000299212059947688,0.0229566018935407,0.00581395348837209,0,0.013848076519059,0.0145348837209302,0.00188765774521905,0.0271821096966414,0.0132733655111891,0.011612173295207,0.0149345577271713
2020-05-24,"Analamanga","Madagascar","MG","MDG",347,347,0.0115273775216138,0.000296054074682094,0.0227587009685456,0.00576368876080692,0,0.0137285538534431,0.0144092219020173,0.00187053857747602,0.0269479052265586,0.013321733456582,0.0116647675601654,0.0149786993529986
2020-05-25,"Analamanga","Madagascar","MG","MDG",340,340,0.0117647058823529,0.000303525445449914,0.023225886319256,0.00588235294117647,0,0.0140107154384802,0.0147058823529412,0.00191097571869319,0.0275007889871892,0.0160932297447281,0.0142559754222706,0.0179304840671855
2020-05-26,"Analamanga","Madagascar","MG","MDG",352,352,0.00852272727272727,0,0.0181257385005937,0.00568181818181818,0,0.0135338692555649,0.0170454545454545,0.00352324161421886,0.0305676674766902,0.0157590051457976,0.0139718841869299,0.0175461261046653
2020-05-27,"Analamanga","Madagascar","MG","MDG",371,371,0.0134770889487871,0.00174398896693721,0.0252101889306369,0.0107816711590297,0.000272940662938622,0.0212904016551207,0.0161725067385445,0.00333711038772642,0.0290079030893625,0.0203427757717541,0.0183696017902187,0.0223159497532894
2020-05-28,"Analamanga","Madagascar","MG","MDG",373,373,0.0134048257372654,0.00173421040444093,0.0250754410700899,0.0107238605898123,0.000271171756513557,0.0211765494231111,0.0187667560321716,0.00499547294103616,0.032538039123307,0.0202842834741262,0.0183191791403334,0.0222493878079189
