ISO2,ISO_3,country_agg,region_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope
KZ,KAZ,Kazakhstan,Almaty,2020-05-02,2020-05-01,113,49,2,0,0,0,0,0,0,0,0,0.000373924965723545,0.000423049040340317,0,0,0.00444571105867165,0.00682958881640377,0.00595866371609841,4.30288372027222e-05,0.0042996492036715,0.00654458597524573,0.00583784900631,4.15387616775256e-05,0.00179546456560277,0.000762480886016313,,,,,
KZ,KAZ,Kazakhstan,Almaty,2020-05-03,2020-05-03,100,100,1,0,0,0,0,0,0,0,0,0.00654431640347133,0.00188498419401102,1,0,0.00478159345488651,0.00729452902259631,0.00645409457479713,4.63423355429285e-05,0.00459053418075749,0.00692216234660617,0.00629714726014815,4.43995198872315e-05,0.00170570451969825,0.000744556678279387,,,,,
KZ,KAZ,Kazakhstan,Almaty,2020-05-04,2020-05-03,196,96,2,0,0,0,0,0,0,0,0,0.00370262813997386,0.00101430272619992,1,0,0.0051101520161547,0.00775231517099265,0.00692382014124401,4.95594952882034e-05,0.00486357796281456,0.00727197333878259,0.00672281577087677,4.70594713397307e-05,0.00161405467394683,0.000725948437708934,,,,,
KZ,KAZ,Kazakhstan,Almaty,2020-05-05,2020-05-05,108,108,1,0.00925925925925926,0.0180636016201853,0.00483192640123422,7.18159780510161e-05,0.00925925925925926,0.0180636016201853,0.00483192640123422,7.18159780510161e-05,0.000394892720810846,0.000446766730760694,1,0,0.00542167093467828,0.00819224542371139,0.00734848321087438,5.25820688686008e-05,0.00510767873992462,0.0075809621711367,0.0070945818910635,4.9408638922635e-05,0.00152210717891822,0.000706837219835477,,,,,
KZ,KAZ,Kazakhstan,Almaty,2020-05-06,2020-05-06,127,127,1,0,0,0,0,0,0,0,0,0.00046178711613946,0.000452438556736382,2,0,0.00570501205295817,0.00860208530297766,0.00770723631656894,5.53024895589545e-05,0.00531102958692742,0.00783576356389139,0.00739134272293562,5.1334588073528e-05,0.00143155463292651,0.000687408570799912,,,,,
KZ,KAZ,Kazakhstan,Almaty,2020-05-07,2020-05-07,108,108,1,0,0,0,0,0,0,0,0,0.000521648408972353,0.000511072694785633,0,0,0.00594786499423781,0.00896760686035018,0.00797892027336807,5.76042534881684e-05,0.00546145533256616,0.00802268502812554,0.00759234177102992,5.27245269247476e-05,0.00134408058105435,0.000667835014852831,,,,,
KZ,KAZ,Kazakhstan,Almaty,2020-05-08,2020-05-08,113,113,1,0.0176991150442478,0.0243112289346397,0.036716085174352,0.000209776015002205,0.0176991150442478,0.0243112289346397,0.036716085174352,0.000209776015002205,0.000768245838668374,0.000614477231987496,0,0,0.00613900450538081,0.00927599294893753,0.00814542697480274,5.93869533642034e-05,0.0055489643131541,0.0081317246175196,0.00768071965155473,5.3493276553592e-05,0.00126134469027361,0.000648310605425355,0.000282215574451527,0.000364460543117389,0.000208219184913766,0.000307145107540787,-8.90199792215275e-05
KZ,KAZ,Kazakhstan,Almaty,2020-05-09,2020-05-09,128,128,1,0.0078125,0.0152522879936616,0.0105516651864926,0.000103817148466436,0.0078125,0.0152522879936616,0.0105516651864926,0.000103817148466436,0.000990316901408451,0.000646674708874498,1,0,0.00626852942650179,0.00951482025928464,0.00819311262414395,6.05644974322729e-05,0.00556598213734468,0.00815585245951076,0.0076448265066652,5.35823194066948e-05,0.00118474474237342,0.000629008950756977,0.00024782266193588,0.000289836341557803,0.000162574659431199,0.000224613207752842,-8.68266295541385e-05
KZ,KAZ,Kazakhstan,Almaty,2020-05-10,2020-05-10,121,121,1,0.0247933884297521,0.0277058619900296,0.0352566016098197,0.000192154853293208,0.0247933884297521,0.0277058619900296,0.0352566016098197,0.000192154853293208,0.00167104320840296,0.000874598215508044,0,0,0.00632930212525072,0.00967413279902147,0.00811561823411652,6.10825288205832e-05,0.00550956686772575,0.00809382711271925,0.00748166590079089,5.29818612418859e-05,0.00111535111743205,0.000610108474825347,0.000203191684849338,0.000198633015478751,0.000107664817485198,0.000126475021652353,-8.31172594191302e-05
KZ,KAZ,Kazakhstan,Almaty,2020-05-11,2020-05-11,112,112,1,0,0,0,0,0,0,0,0,0.000503018108651912,0.000492824691611082,1,0,0.00631853780699541,0.00974768573192428,0.00791522485369417,6.09244905798201e-05,0.0053816781987172,0.00795027675185908,0.00719686779776544,5.17283114497273e-05,0.00105378814439388,0.000591784977696464,0.000149477812052855,9.44569404699659e-05,4.56665764654301e-05,1.70476511169901e-05,-7.80531724207242e-05
