ISO2,ISO_3,country_agg,region_agg,date,first_date,day_count,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B2,B4,E5,B0.NA,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,B0.1,B0.2,D1.-88,D2.-88,D4.-88,E3.3,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope,p_cases_infected,p_cases_infected_smooth,p_cases_active
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-09-26,2020-05-05,1,100,3,75153.5675220355,2,53287.7657883738,6,95,3,0,2899668.51800477,73,203,4,169,100,6,81,13,8,79,13,6,81,13,18,69,13,16,73,11,16,72,12,8,79,13,6,83,11,6,81,13,3,84,13,10,80,10,23,66,11,11,89,0,4,7,89,10,88,2,4,4,92,0,3,1,96,38,48,14,56,30,14,22,58,20,27,57,16,27,56,17,21,62,17,27,63,10,16,5,2,4,73,18,82,0,50,14,10,3,2,4,17,46,16,10,10,18,4,4,17,19,35,21,2,8,16,22,31,21,25,27,11,17,20,7,13,18,42,20,50,27,1,22,7,12,22,19,11,3,1,25,41,21,13,25,72,0.03,0.0334344809563718,0.0259179858164436,0.000182882563410274,0.02,0.0274394957835608,0.0183771922402498,0.000154591572136404,0.000889547813194959,0.000711456765164581,,,,,,,0.0299997824319101,0.0334342421927175,0.0249101348159503,0.000175859945045287,0.0199998549546067,0.0274392987953297,0.0176625737619172,0.000148633028709314,0.00088981065022113,0.000711654019153116,,,,,,,,0.0299997824319101
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-09-28,2020-05-07,1,100,3,75153.5675220355,2,53287.7657883738,6,95,3,0,2979995.49858921,73,203,4,167,100,6,80,14,8,78,14,6,80,14,18,68,14,16,72,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,10,79,11,23,65,12,11,89,0,4,7,89,10,88,2,4,4,92,0,3,1,96,38,47,15,56,29,15,23,57,20,27,56,17,28,55,17,21,61,18,28,62,10,17,5,2,4,72,18,82,0,50,14,10,3,2,4,17,45,16,10,11,18,4,4,17,19,35,21,2,8,17,22,30,21,24,27,12,17,20,7,13,19,41,20,50,27,1,22,7,12,21,19,11,4,1,25,41,21,13,25,72,0.03,0.0334344809563718,0.0252193560552742,0.00017801669427674,0.02,0.0274394957835608,0.0178818276113509,0.000150462444163969,0.000889547813194959,0.000711456765164581,,,,,,,0.0299985703067406,0.0334333225537588,0.0247682638466825,0.000174872877645268,0.0199995968443178,0.0274389482520403,0.0175623761302749,0.000147797387998404,0.000890066780426729,0.000711819293272298,,,,,,,,0.0299985703067406
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-09-30,2020-05-14,2,100,3,75153.5675220355,2,53287.7657883738,6,95,4,0,3061681.92087796,72,203,4,172,100,6,80,14,8,78,14,6,80,14,17,69,14,15,73,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,11,89,0,4,7,89,11,87,2,5,4,91,0,4,1,95,37,48,15,55,30,15,21,58,21,26,57,17,27,55,18,21,61,18,27,63,10,17,5,2,3,73,18,82,0,49,15,10,3,2,4,17,46,16,10,10,18,4,4,17,19,35,21,2,8,17,21,31,21,25,26,12,17,20,7,13,18,42,20,49,27,1,23,7,12,20,20,10,4,1,26,42,20,12,26,72,0.03,0.0334344809563718,0.0245464974691051,0.000173326955303343,0.02,0.0274394957835608,0.0174047360782315,0.000146483635678851,0.000889547813194959,0.000711456765164581,,,,,,,0.0299932854080859,0.0334296685274513,0.0246154180180285,0.000173816688971972,0.0199989473733573,0.0274380661962039,0.0174560453826797,0.000146910554945977,0.000890617316401086,0.000712131974396721,,,,,,,,0.0299932854080859
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-01,2020-05-17,2,100,3,75153.5675220355,2,53287.7657883738,6,95,4,0,3088926.53047185,71,203,4,170,100,6,80,14,8,78,14,6,80,14,17,69,14,15,73,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,11,89,0,4,7,89,12,86,2,5,4,91,0,4,1,95,37,47,16,56,28,16,22,56,22,27,55,18,26,55,19,20,61,19,27,62,11,18,4,2,3,73,18,82,0,49,15,10,3,2,3,18,46,16,9,10,19,4,4,18,18,34,22,2,9,17,21,29,22,25,26,11,17,21,6,13,18,42,21,49,26,1,24,6,11,20,21,10,4,1,27,43,19,11,27,71,0.03,0.0334344809563718,0.024329995155487,0.000171817260264069,0.02,0.0274394957835608,0.0172512247418956,0.000145202978085099,0.000889547813194959,0.000711456765164581,,,,,,,0.0299879260001068,0.0334260005791848,0.0245359257003125,0.000173272096214764,0.0199983391629631,0.0274372401769349,0.0174017937767991,0.000146458062119551,0.000891100330585002,0.000712382338119908,,,,,,,,0.0299879260001068
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-04,2020-05-18,1,100,3,75153.5675220355,2,53287.7657883738,6,95,4,0,3159455.14037834,71,210,4,168,100,6,80,14,8,78,14,6,80,14,18,68,14,15,73,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,11,89,0,4,7,89,12,86,2,5,4,91,0,4,1,95,37,47,16,56,28,16,22,56,22,27,55,18,26,55,19,20,61,19,26,63,11,17,4,2,3,74,18,82,0,50,15,9,3,2,3,18,46,16,9,10,19,4,4,17,19,34,22,2,9,16,21,30,22,25,26,11,17,21,6,14,18,41,21,48,27,1,24,6,12,20,20,10,4,1,27,43,19,11,27,71,0.03,0.0334344809563718,0.0237868759589465,0.000168028526614868,0.02,0.0274394957835608,0.016866125145234,0.000141989419529071,0.000889547813194959,0.000711456765164581,,,,,,,0.0299349234368768,0.0333910099662649,0.0242785245916844,0.000171572182126117,0.0199947808198439,0.027431848443118,0.0172422401631319,0.000145117935420356,0.000894677564972303,0.000714006368192906,,,,,,,,0.0299349234368768
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-07,2020-05-20,2,100,3,75153.5675220355,2,53287.7657883738,6,95,4,0,3135487.77889719,71,210,4,167,100,6,80,14,8,78,14,6,80,14,18,68,14,15,73,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,11,89,0,4,7,89,12,86,2,5,4,91,0,4,1,95,37,47,16,55,29,16,22,56,22,26,56,18,25,56,19,19,62,19,26,63,11,17,4,2,3,74,17,83,0,50,15,9,3,2,3,18,45,16,10,10,19,4,4,18,18,34,22,2,9,17,21,30,21,25,26,11,17,21,6,14,17,42,21,48,27,1,24,6,13,19,20,10,4,1,27,43,19,11,27,70,0.03,0.0334344809563718,0.0239687005090061,0.000169297151793956,0.02,0.0274394957835608,0.0169950481539163,0.000143065391400615,0.000889547813194959,0.000711456765164581,,,,,,,0.0297030787246376,0.0332429694154336,0.0239254298384236,0.000169530888335442,0.019987908712688,0.0274185711166276,0.0170992786029928,0.000143859906029273,0.000906864006317575,0.000718987745175673,,,,,,,,0.0297030787246376
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-08,2020-05-22,1,100,3,75153.5675220355,2,53287.7657883738,6,94,4,0,3138501.76762268,71,210,4,168,100,6,81,13,8,78,14,6,80,14,18,68,14,15,73,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,12,88,0,4,8,88,12,86,2,5,4,91,0,4,1,95,37,47,16,55,29,16,22,56,22,25,57,18,25,56,19,19,62,19,26,64,10,17,4,2,3,74,17,83,0,50,14,10,3,2,3,18,46,15,10,10,19,4,4,19,18,33,22,2,9,18,21,29,21,25,27,11,16,21,6,15,17,41,21,48,27,1,24,6,13,19,19,11,4,1,27,43,19,11,27,70,0.03,0.0334344809563718,0.0239456827131126,0.000169136565471078,0.02,0.0274394957835608,0.0169787273463089,0.00014292918831899,0.000899011087803416,0.000719022048950883,,,,,,,0.0295327725513897,0.0331357603767742,0.0237535504555226,0.000168637268935807,0.0199863829140576,0.0274124911307132,0.0170594203775862,0.000143460881105522,0.000914878616532428,0.000722168241922338,-7.7834980086734e-05,-0.000192764060071295,-2.24534009152753e-06,-0.000100525564055167,4.17799438521634e-06,,,0.0295327725513897
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-15,2020-05-22,1,101,3,75153.5675220355,2,53287.7657883738,6,95,4,0,3173975.39740343,71,210,4,168,101,6,82,13,8,79,14,6,81,14,18,69,14,15,74,12,16,72,13,8,79,14,6,83,12,6,81,14,3,84,14,9,81,11,22,67,12,12,89,0,4,8,89,12,87,2,5,4,92,0,4,1,96,38,47,16,56,29,16,22,57,22,25,58,18,25,57,19,19,63,19,26,65,10,17,4,2,3,75,17,84,0,50,14,10,3,2,3,19,46,15,10,10,20,4,4,19,18,33,23,2,9,18,21,29,22,25,27,11,16,22,6,15,17,41,22,48,27,1,25,6,13,19,19,11,4,1,28,43,19,11,28,71,0.0297029702970297,0.0331085145091172,0.0236780561007238,0.00016726915421186,0.0198019801980198,0.0271705622473482,0.0167889662383544,0.000141345394624452,0.000889547813194959,0.000711456765164581,,,,,,,0.0263304383588668,0.0311675447032656,0.0215916815088213,0.000158096050625094,0.020214621739215,0.0275006290407703,0.017335200470423,0.000142082325680186,0.00103161160941211,0.000767937823616126,-0.000611355324645628,-0.000529430389643537,3.58374824828781e-05,-3.78626099753077e-05,2.35908048308964e-05,,,0.0263304383588668
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-18,2020-05-23,1,100,3,75153.5675220355,2,53287.7657883738,8,94,4,0,3150028.76688681,69,208,6,166,100,6,81,13,8,78,14,6,80,14,18,68,14,14,74,12,16,71,13,8,78,14,6,82,12,6,80,14,3,83,14,9,80,11,22,66,12,13,87,0,4,9,87,13,85,2,5,5,90,0,4,1,95,38,45,17,55,28,17,22,55,23,25,56,19,25,55,20,19,61,20,25,64,11,16,4,2,3,75,17,83,0,48,14,10,3,2,3,20,45,15,9,10,21,4,4,18,18,32,24,2,9,18,19,29,23,25,27,10,15,23,6,15,16,40,23,47,26,1,26,5,13,19,19,10,4,1,29,42,18,11,29,71,0.03,0.0334344809563718,0.023858057523808,0.000168525202879745,0.02,0.0274394957835608,0.0169165965557319,0.000142410663290503,0.00119868145040456,0.000830130624322721,,,,,,,0.0249396617739801,0.0303269031331995,0.0211504551615723,0.000155056150914702,0.0206080313643069,0.0277297111460748,0.0181386613388019,0.000143724692756659,0.00106936134160289,0.000783103446768494,-0.000842270605684293,-0.000577493809409363,0.000101513998491606,0.000113769326020375,2.97906708669669e-05,,,0.0249396617739801
TC,TCA,Turks and Caicos Islands,Grand Turk,2020-10-20,2020-05-24,2,101,2,53287.7657883738,2,53287.7657883738,8,94,4,0,3260308.55507109,71,206,6,169,101,5,83,13,8,79,14,5,82,14,18,69,14,14,75,12,16,72,13,8,79,14,6,83,12,6,81,14,3,84,14,9,81,11,22,67,12,14,87,0,4,10,87,13,86,2,5,5,91,0,4,1,96,38,46,17,55,29,17,22,56,23,25,57,19,24,57,20,21,60,20,25,65,11,16,4,2,3,76,17,84,0,50,14,9,3,2,3,20,45,16,9,10,21,3,4,19,19,32,24,2,9,18,20,29,23,27,26,10,15,23,5,15,17,41,23,47,27,1,26,5,15,19,19,10,4,1,28,43,18,11,29,71,0.0198019801980198,0.0271705622473482,0.0163443934487396,0.000137633666419227,0.0198019801980198,0.0271705622473482,0.0163443934487396,0.000137633666419227,0.00119868145040456,0.000830130624322721,,,,,,,0.0243818670917582,0.0299929300885032,0.0213770587382785,0.000154836445799931,0.0210231600221647,0.0279790978008747,0.0190426030640357,0.000146053297703767,0.0010825815718149,0.000788681614862655,-0.000934343151391442,-0.000526477827005678,0.000170803476533591,0.000273468214539429,3.19135402049827e-05,,,0.0243818670917582
