"date","region","country","ISO2","ISO3","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-04-23,"-99","Cook Islands","CK","COK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,"-99","Cook Islands","CK","COK",0,0,1,51,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.962264150943396,0.910962141946899,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,"-99","Cook Islands","CK","COK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,"-99","Cook Islands","CK","COK",0,0,1,6,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.113207547169811,0.0279056204373457,0.198509473902277,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"-99","Cook Islands","CK","COK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,"-99","Cook Islands","CK","COK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,"-99","Cook Islands","CK","COK",1,1,2,100,2,NA,NA,NA,NA,NA,0.5,0,1,0.5,0,1,0.943396226415094,0.899405116625756,0.987387336204432,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,"-99","Cook Islands","CK","COK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,"-99","Cook Islands","CK","COK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,"-99","Cook Islands","CK","COK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,"-99","Cook Islands","CK","COK",0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,"-99","Cook Islands","CK","COK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-05,"-99","Cook Islands","CK","COK",0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-06,"-99","Cook Islands","CK","COK",NA,NA,NA,NA,NA,1,1,6,157,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,0,0.464865690619526,0.166666666666667,0,0.464865690619526,0.493710691823899,0.438760378225137,0.548661005422662
