"date","region","country","ISO2","ISO3","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,"-99","French Southern Territories","TF","ATF",0.153846153846154,0,0.349976323034732,0.0769230769230769,0,0.221774806631782,0.0769230769230769,0,0.221774806631782,0.148040638606676,0.121522783416724,0.174558493796629
2020-05-06,"Kerguelen","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,"Îles Crozet","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,"Îles Saint Paul et Amsterdam","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"-99","French Southern Territories","TF","ATF",0.153846153846154,0,0.349976323034732,0.0769230769230769,0,0.221774806631782,0.0769230769230769,0,0.221774806631782,0.148040638606676,0.121522783416724,0.174558493796629
2020-05-07,"Kerguelen","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"Îles Crozet","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"Îles Saint Paul et Amsterdam","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,"-99","French Southern Territories","TF","ATF",0.142857142857143,0,0.326156802419226,0.0714285714285714,0,0.206333468106206,0.0714285714285714,0,0.206333468106206,0.138814016172507,0.113936256129964,0.16369177621505
2020-05-08,"Kerguelen","French Southern Territories","TF","ATF",0,0,0,0,0,0,0.5,0,1,0.254716981132075,0.171773029770515,0.337660932493636
2020-05-08,"Îles Crozet","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,"Îles Saint Paul et Amsterdam","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,"-99","French Southern Territories","TF","ATF",0.166666666666667,0,0.377525218646943,0.0833333333333333,0,0.239710220752064,0.0833333333333333,0,0.239710220752064,0.161949685534591,0.133318150384368,0.190581220684814
2020-05-09,"Kerguelen","French Southern Territories","TF","ATF",0,0,0,0,0,0,0.5,0,1,0.254716981132075,0.171773029770515,0.337660932493636
2020-05-09,"Îles Crozet","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,"Îles Saint Paul et Amsterdam","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,"-99","French Southern Territories","TF","ATF",0.181818181818182,0,0.409744941200983,0.0909090909090909,0,0.260795666866152,0.0909090909090909,0,0.260795666866152,0.176672384219554,0.145713557747271,0.207631210691837
2020-05-10,"Kerguelen","French Southern Territories","TF","ATF",0,0,0,0,0,0,0.5,0,1,0.254716981132075,0.171773029770515,0.337660932493636
2020-05-10,"Îles Crozet","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,"Îles Saint Paul et Amsterdam","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,"-99","French Southern Territories","TF","ATF",0.1,0,0.285938509691368,0.1,0,0.285938509691368,0.1,0,0.285938509691368,0.190566037735849,0.157129321493965,0.224002753977733
2020-05-11,"Kerguelen","French Southern Territories","TF","ATF",0,0,0,0,0,0,0.5,0,1,0.254716981132075,0.171773029770515,0.337660932493636
2020-05-11,"Îles Crozet","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,"Îles Saint Paul et Amsterdam","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,"-99","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0.00209643605870021,0,0.00620106590578278
2020-05-12,"Kerguelen","French Southern Territories","TF","ATF",0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.5,0.0100090038649866,0.989990996135013,0.599056603773585,0.53308521554879,0.665027991998379
2020-05-12,"Îles Crozet","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,"Îles Saint Paul et Amsterdam","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,"-99","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0.00188679245283019,0,0.00558134733756389
2020-05-13,"Kerguelen","French Southern Territories","TF","ATF",0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.5,0.0100090038649866,0.989990996135013,0.599056603773585,0.53308521554879,0.665027991998379
2020-05-13,"Îles Crozet","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,"Îles Saint Paul et Amsterdam","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,"Îles Éparses","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,"-99","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0.00188679245283019,0,0.00558134733756389
2020-05-14,"Kerguelen","French Southern Territories","TF","ATF",0.25,0,0.674344650278564,0.25,0,0.674344650278564,0.5,0.0100090038649866,0.989990996135013,0.599056603773585,0.53308521554879,0.665027991998379
2020-05-14,"Îles Crozet","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,"Îles Saint Paul et Amsterdam","French Southern Territories","TF","ATF",0,0,0,0,0,0,0,0,0,0,0,0
