"date","region","country","ISO2","ISO3","cli","count","cli_local","count_local","cli_7days","count_7days","cli_local_7days","count_local_7days","cli_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_cli_7days","p_cli_7days_low","p_cli_7days_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_local_7days","p_cli_local_7days_low","p_cli_local_7days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-04-23,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,"-99","Falkland Islands","FK","FLK",0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
2020-04-24,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,"-99","Falkland Islands","FK","FLK",0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
2020-04-26,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,"-99","Falkland Islands","FK","FLK",0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
2020-04-28,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-04-29,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-04-30,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-05-01,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,"-99","Falkland Islands","FK","FLK",0,1,2,1,0,3,2,3,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.0377358490566038,0,0.0890378580531014,0.0125786163522013,0,0.0299013819415159,NA,NA,NA
2020-05-02,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0188679245283019,0,0.0447691886552224,NA,NA,NA
2020-05-03,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0188679245283019,0,0.0447691886552224,NA,NA,NA
2020-05-04,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-05,"-99","Falkland Islands","FK","FLK",0,1,0,1,0,2,2,2,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0.0188679245283019,0,0.0447691886552224,NA,NA,NA
2020-05-05,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-06,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,2,2,2,0,5,2,5,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.0188679245283019,0,0.0447691886552224,0.00754716981132075,0,0.0179672761780292
2020-05-06,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-07,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,2,2,2,0,5,2,5,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.0188679245283019,0,0.0447691886552224,0.00754716981132075,0,0.0179672761780292
2020-05-07,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-08,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,2,2,2,0,4,2,4,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.0188679245283019,0,0.0447691886552224,0.00943396226415094,0,0.0224467080271918
2020-05-08,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-09,"-99","Falkland Islands","FK","FLK",0,1,0,1,0,2,0,2,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754716981132075,0,0.0179672761780292
2020-05-09,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-10,"-99","Falkland Islands","FK","FLK",1,2,0,2,1,4,0,4,1,6,2,6,0.5,0,1,0.25,0,0.674344650278564,0.166666666666667,0,0.464865690619526,0,0,0,0,0,0,0.00628930817610063,0,0.0149782312081253
2020-05-10,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-11,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,1,4,0,4,1,6,2,6,NA,NA,NA,0.25,0,0.674344650278564,0.166666666666667,0,0.464865690619526,NA,NA,NA,0,0,0,0.00628930817610063,0,0.0149782312081253
2020-05-11,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-12,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,1,3,0,3,1,5,2,5,NA,NA,NA,0.333333333333333,0,0.866767964039479,0.2,0,0.550609016230633,NA,NA,NA,0,0,0,0.00754716981132075,0,0.0179672761780292
2020-05-12,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-13,"-99","Falkland Islands","FK","FLK",0,3,11,3,1,6,11,6,1,8,13,8,0,0,0,0.166666666666667,0,0.464865690619526,0.125,0,0.354172303767662,0.0691823899371069,0.0297385121225222,0.108626267751692,0.0345911949685535,0.0145061438515138,0.0546762460855931,0.0306603773584906,0.0142510079030873,0.0470697468138938
2020-05-13,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-14,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,1,6,11,6,1,8,13,8,NA,NA,NA,0.166666666666667,0,0.464865690619526,0.125,0,0.354172303767662,NA,NA,NA,0.0345911949685535,0.0145061438515138,0.0546762460855931,0.0306603773584906,0.0142510079030873,0.0470697468138938
2020-05-14,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-15,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,1,6,11,6,1,8,13,8,NA,NA,NA,0.166666666666667,0,0.464865690619526,0.125,0,0.354172303767662,NA,NA,NA,0.0345911949685535,0.0145061438515138,0.0546762460855931,0.0306603773584906,0.0142510079030873,0.0470697468138938
2020-05-15,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-16,"-99","Falkland Islands","FK","FLK",0,1,0,1,1,6,11,6,1,8,11,8,0,0,0,0.166666666666667,0,0.464865690619526,0.125,0,0.354172303767662,0,0,0,0.0345911949685535,0.0145061438515138,0.0546762460855931,0.0259433962264151,0.0108122901973254,0.0410745022555048
2020-05-16,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-17,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,4,11,4,1,8,11,8,NA,NA,NA,0,0,0,0.125,0,0.354172303767662,NA,NA,NA,0.0518867924528302,0.0220303078687955,0.0817432770368649,0.0259433962264151,0.0108122901973254,0.0410745022555048
2020-05-17,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-18,"-99","Falkland Islands","FK","FLK",1,1,100,1,1,5,111,5,2,9,111,9,1,1,1,0.2,0,0.550609016230633,0.222222222222222,0,0.493833841502414,1,1,1,0.418867924528302,0.359465915982179,0.478269933074425,0.232704402515723,0.194784033534938,0.270624771496508
2020-05-18,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-19,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,1,5,111,5,2,8,111,8,NA,NA,NA,0.2,0,0.550609016230633,0.25,0,0.550056979772207,NA,NA,NA,0.418867924528302,0.359465915982179,0.478269933074425,0.261792452830189,0.21994847490633,0.303636430754048
2020-05-19,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-20,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,1,2,100,2,2,8,111,8,NA,NA,NA,0.5,0,1,0.25,0,0.550056979772207,NA,NA,NA,0.943396226415094,0.899405116625756,0.987387336204432,0.261792452830189,0.21994847490633,0.303636430754048
2020-05-20,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-21,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,1,2,100,2,2,8,111,8,NA,NA,NA,0.5,0,1,0.25,0,0.550056979772207,NA,NA,NA,0.943396226415094,0.899405116625756,0.987387336204432,0.261792452830189,0.21994847490633,0.303636430754048
2020-05-21,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-22,"-99","Falkland Islands","FK","FLK",0,2,0,2,1,4,100,4,2,10,111,10,0,0,0,0.25,0,0.674344650278564,0.2,0,0.447918012921825,0,0,0,0.471698113207547,0.404500583035962,0.538895643379132,0.209433962264151,0.17479197581364,0.244075948714662
2020-05-22,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-23,"-99","Falkland Islands","FK","FLK",1,2,0,2,2,5,100,5,3,11,111,11,0.5,0,1,0.4,0,0.829406594492118,0.272727272727273,0.00954012095691376,0.535914424497632,0,0,0,0.377358490566038,0.318997688453012,0.435719292679064,0.190394511149228,0.158524827861674,0.222264194436782
2020-05-23,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-24,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,2,5,100,5,2,9,111,9,NA,NA,NA,0.4,0,0.829406594492118,0.222222222222222,0,0.493833841502414,NA,NA,NA,0.377358490566038,0.318997688453012,0.435719292679064,0.232704402515723,0.194784033534938,0.270624771496508
2020-05-24,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-25,"-99","Falkland Islands","FK","FLK",0,1,0,1,1,5,0,5,2,10,111,10,0,0,0,0.2,0,0.550609016230633,0.2,0,0.447918012921825,0,0,0,0,0,0,0.209433962264151,0.17479197581364,0.244075948714662
2020-05-25,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-26,"-99","Falkland Islands","FK","FLK",0,2,0,2,1,7,0,7,2,12,111,12,0,0,0,0.142857142857143,0,0.402082007388211,0.166666666666667,0,0.377525218646943,0,0,0,0,0,0,0.174528301886792,0.145029555597847,0.204027048175738
2020-05-26,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-27,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,1,7,0,7,2,9,100,9,NA,NA,NA,0.142857142857143,0,0.402082007388211,0.222222222222222,0,0.493833841502414,NA,NA,NA,0,0,0,0.209643605870021,0.173114318694895,0.246172893045147
2020-05-27,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-28,"-99","Falkland Islands","FK","FLK",1,3,13,3,2,10,13,10,3,12,113,12,0.333333333333333,0,0.866767964039479,0.2,0,0.447918012921825,0.25,0.0050045019324933,0.494995498067507,0.0817610062893082,0.0391717056479707,0.124350306930646,0.0245283018867925,0.0113593492917001,0.0376972544818848,0.177672955974843,0.147966387765155,0.20737952418453
2020-05-28,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-29,"-99","Falkland Islands","FK","FLK",0,1,0,1,2,9,13,9,3,13,113,13,0,0,0,0.222222222222222,0,0.493833841502414,0.230769230769231,0.00173853632193746,0.459799925216524,0,0,0,0.0272536687631027,0.0126419538930525,0.041865383633153,0.164005805515239,0.136357423489594,0.191654187540885
2020-05-29,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-30,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,1,7,13,7,3,12,113,12,NA,NA,NA,0.142857142857143,0,0.402082007388211,0.25,0.0050045019324933,0.494995498067507,NA,NA,NA,0.0350404312668464,0.016329284036351,0.0537515784973417,0.177672955974843,0.147966387765155,0.20737952418453
2020-05-30,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-31,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,1,7,13,7,3,12,113,12,NA,NA,NA,0.142857142857143,0,0.402082007388211,0.25,0.0050045019324933,0.494995498067507,NA,NA,NA,0.0350404312668464,0.016329284036351,0.0537515784973417,0.177672955974843,0.147966387765155,0.20737952418453
2020-05-31,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,1,6,13,6,2,11,13,11,NA,NA,NA,0.166666666666667,0,0.464865690619526,0.181818181818182,0,0.409744941200983,NA,NA,NA,0.0408805031446541,0.0191169897591493,0.0626440165301589,0.0222984562607204,0.0103130057534332,0.0342839067680076
2020-06-01,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-02,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,1,4,13,4,2,11,13,11,NA,NA,NA,0.25,0,0.674344650278564,0.181818181818182,0,0.409744941200983,NA,NA,NA,0.0613207547169811,0.0290252174392754,0.0936162919946868,0.0222984562607204,0.0103130057534332,0.0342839067680076
2020-06-02,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-03,"-99","Falkland Islands","FK","FLK",0,2,0,2,1,6,13,6,2,13,13,13,0,0,0,0.166666666666667,0,0.464865690619526,0.153846153846154,0,0.349976323034732,0,0,0,0.0408805031446541,0.0191169897591493,0.0626440165301589,0.0188679245283019,0.00870861289677202,0.0290272361598317
2020-06-03,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-04,"-99","Falkland Islands","FK","FLK",0,1,0,1,0,4,0,4,2,14,13,14,0,0,0,0,0,0,0.142857142857143,0,0.326156802419226,0,0,0,0,0,0,0.0175202156334232,0.0080800921890619,0.0269603390777845
2020-06-04,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-05,"-99","Falkland Islands","FK","FLK",0,2,3,2,0,5,3,5,2,14,16,14,0,0,0,0,0,0,0.142857142857143,0,0.326156802419226,0.0283018867924528,0,0.0598714470737785,0.0113207547169811,0,0.024058441138122,0.0215633423180593,0.0111120370086422,0.0320146476274764
2020-06-05,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-06,"-99","Falkland Islands","FK","FLK",0,1,0,1,0,6,3,6,1,13,16,13,0,0,0,0,0,0,0.0769230769230769,0,0.221774806631782,0,0,0,0.00943396226415094,0,0.0200588246881556,0.02322206095791,0.0119763535033561,0.0344677684124639
2020-06-06,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-07,"-99","Falkland Islands","FK","FLK",0,1,0,1,0,7,3,7,1,14,16,14,0,0,0,0,0,0,0.0714285714285714,0,0.206333468106206,0,0,0,0.00808625336927224,0,0.0171994714533938,0.0215633423180593,0.0111120370086422,0.0320146476274764
2020-06-07,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-08,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,7,3,7,1,13,16,13,NA,NA,NA,0,0,0,0.0769230769230769,0,0.221774806631782,NA,NA,NA,0.00808625336927224,0,0.0171994714533938,0.02322206095791,0.0119763535033561,0.0344677684124639
2020-06-08,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-09,"-99","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,7,3,7,1,11,16,11,NA,NA,NA,0,0,0,0.0909090909090909,0,0.260795666866152,NA,NA,NA,0.00808625336927224,0,0.0171994714533938,0.0274442538593482,0.0141826277452352,0.0407058799734612
2020-06-09,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-10,"-99","Falkland Islands","FK","FLK",0,1,0,1,0,6,3,6,1,12,16,12,0,0,0,0,0,0,0.0833333333333333,0,0.239710220752064,0,0,0,0.00943396226415094,0,0.0200588246881556,0.0251572327044025,0.012986457147039,0.037328008261766
2020-06-10,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-11,"-99","Falkland Islands","FK","FLK",0,1,0,1,0,6,3,6,0,10,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00943396226415094,0,0.0200588246881556,0.00566037735849057,0,0.0120474259703057
2020-06-11,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-12,"-99","Falkland Islands","FK","FLK",1,2,4,2,1,6,4,6,1,11,7,11,0.5,0,1,0.166666666666667,0,0.464865690619526,0.0909090909090909,0,0.260795666866152,0.0377358490566038,0.00145985060668707,0.0740118475065205,0.0125786163522013,0.000329571335091925,0.0248276613693106,0.0120068610634648,0.00316577698738949,0.0208479451395402
2020-06-12,"Falkland Islands","Falkland Islands","FK","FLK",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
